time,gFx,gFy,gFz,gFTotal
0.002445220947265625,0.023,-0.109,-0.966,0.972
0.01258707046508789,0.071,-0.057,-0.932,0.936
0.02126598358154297,-0.004,-0.052,-0.927,0.928
0.030503034591674805,-0.045,-0.1,-0.974,0.98
0.04281306266784668,-0.074,-0.142,-0.972,0.985
0.04992508888244629,-0.081,-0.158,-0.992,1.008
0.0594029426574707,-0.077,-0.179,-1.019,1.037
0.07155990600585938,-0.056,-0.196,-1.007,1.027
0.08169698715209961,-0.036,-0.205,-0.976,0.998
0.09270000457763672,-0.032,-0.213,-0.956,0.98
0.09914112091064453,-0.033,-0.213,-0.94,0.964
0.11238503456115723,-0.025,-0.208,-0.92,0.944
0.12020611763000488,-0.016,-0.205,-0.911,0.934
0.1302351951599121,-0.014,-0.201,-0.899,0.921
0.1423051357269287,-0.012,-0.197,-0.893,0.915
0.15006494522094727,-0.009,-0.192,-0.904,0.924
0.1587381362915039,-0.006,-0.188,-0.909,0.928
0.17037296295166016,-0.006,-0.185,-0.894,0.913
0.17986512184143066,-0.005,-0.182,-0.889,0.907
0.19164705276489258,-0.001,-0.176,-0.906,0.923
0.1999521255493164,0.005,-0.176,-0.914,0.931
0.21173095703125,0.012,-0.185,-0.904,0.923
0.22012710571289062,0.026,-0.192,-0.908,0.928
0.22947907447814941,0.032,-0.201,-0.913,0.935
0.24118900299072266,0.026,-0.215,-0.893,0.919
0.25215911865234375,0.018,-0.215,-0.865,0.892
0.2589249610900879,-0.0,-0.222,-0.845,0.874
0.2689790725708008,-0.008,-0.243,-0.838,0.873
0.2788851261138916,-0.01,-0.258,-0.844,0.883
0.29015302658081055,-0.012,-0.259,-0.843,0.882
0.2990570068359375,-0.018,-0.26,-0.834,0.874
0.3102560043334961,-0.029,-0.272,-0.831,0.875
0.31859397888183594,-0.044,-0.283,-0.855,0.902
0.3297882080078125,-0.064,-0.279,-0.888,0.933
0.34052109718322754,-0.075,-0.24,-0.854,0.89
0.35222721099853516,-0.07,-0.256,-0.809,0.851
0.3583240509033203,-0.073,-0.299,-0.777,0.836
0.3681471347808838,-0.082,-0.312,-0.763,0.828
0.3779280185699463,-0.057,-0.312,-0.727,0.793
0.3892841339111328,-0.01,-0.32,-0.695,0.765
0.3981320858001709,0.02,-0.347,-0.698,0.78
0.40946006774902344,0.03,-0.382,-0.751,0.843
0.41778111457824707,0.045,-0.397,-0.835,0.926
0.42853808403015137,0.054,-0.384,-0.881,0.963
0.4389009475708008,0.042,-0.347,-0.856,0.925
0.4496889114379883,0.017,-0.303,-0.799,0.855
0.4575200080871582,-0.002,-0.275,-0.765,0.813
0.46830105781555176,-0.019,-0.254,-0.757,0.799
0.47762513160705566,-0.052,-0.237,-0.777,0.814
0.48888111114501953,-0.08,-0.212,-0.813,0.844
0.49730920791625977,-0.09,-0.185,-0.832,0.857
0.5082111358642578,-0.078,-0.181,-0.831,0.854
0.5172920227050781,-0.062,-0.196,-0.816,0.841
0.5272610187530518,-0.039,-0.214,-0.804,0.833
0.5407309532165527,-0.034,-0.242,-0.81,0.846
0.5512020587921143,-0.051,-0.275,-0.835,0.881
0.5571560859680176,-0.076,-0.312,-0.904,0.959
0.5707402229309082,-0.114,-0.354,-1.033,1.098
0.576693058013916,-0.146,-0.375,-1.184,1.251
0.5879302024841309,-0.125,-0.352,-1.322,1.374
0.5966861248016357,-0.059,-0.318,-1.457,1.492
0.6079192161560059,-0.079,-0.287,-1.561,1.589
0.6176729202270508,-0.1,-0.263,-1.583,1.608
0.626410961151123,-0.099,-0.238,-1.552,1.573
0.6380171775817871,-0.107,-0.218,-1.5,1.52
0.6477699279785156,-0.093,-0.199,-1.454,1.47
0.6566300392150879,-0.074,-0.192,-1.423,1.438
0.666229248046875,-0.064,-0.203,-1.389,1.405
0.6759839057922363,-0.051,-0.215,-1.35,1.368
0.6871051788330078,-0.03,-0.223,-1.307,1.326
0.695925235748291,-0.006,-0.232,-1.268,1.289
0.7080831527709961,0.018,-0.24,-1.232,1.255
0.7163791656494141,0.024,-0.239,-1.197,1.221
0.7258510589599609,0.015,-0.226,-1.151,1.173
0.7379069328308105,0.002,-0.2,-1.098,1.116
0.7493991851806641,-0.013,-0.164,-1.044,1.057
0.7557492256164551,-0.023,-0.123,-0.988,0.996
0.7655491828918457,-0.027,-0.085,-0.938,0.942
0.7754359245300293,-0.028,-0.061,-0.891,0.894
0.7863991260528564,-0.026,-0.051,-0.849,0.851
0.7953619956970215,-0.028,-0.054,-0.813,0.815
0.8064651489257812,-0.017,-0.065,-0.786,0.789
0.8150129318237305,0.006,-0.083,-0.77,0.774
0.8250842094421387,0.021,-0.105,-0.766,0.773
0.8379521369934082,0.035,-0.123,-0.769,0.78
0.8492422103881836,0.048,-0.139,-0.781,0.795
0.8546719551086426,0.056,-0.155,-0.793,0.81
0.8677549362182617,0.065,-0.164,-0.807,0.826
0.8747491836547852,0.073,-0.17,-0.821,0.842
