time,gFx,gFy,gFz,gFTotal
0.013085126876831055,0.104,-0.095,-1.05,1.059
0.02367711067199707,0.111,-0.083,-1.082,1.091
0.031497955322265625,0.1,-0.094,-1.055,1.064
0.03986716270446777,0.096,-0.109,-1.008,1.018
0.05067300796508789,0.098,-0.122,-0.967,0.98
0.06013798713684082,0.103,-0.14,-0.939,0.955
0.07026100158691406,0.089,-0.15,-0.938,0.954
0.08034396171569824,0.061,-0.153,-0.953,0.967
0.09037613868713379,0.05,-0.159,-0.959,0.973
0.10055088996887207,0.044,-0.163,-0.974,0.989
0.11019301414489746,0.051,-0.154,-0.979,0.992
0.12131285667419434,0.066,-0.146,-0.978,0.991
0.12759900093078613,0.06,-0.14,-0.98,0.992
0.1382889747619629,0.037,-0.126,-0.975,0.984
0.14797401428222656,0.018,-0.118,-0.965,0.972
0.15915799140930176,-0.012,-0.017,-1.03,1.03
0.1687171459197998,0.013,-0.067,-1.058,1.06
0.178635835647583,0.095,-0.164,-0.951,0.97
0.18804097175598145,0.098,-0.191,-0.891,0.916
0.19992613792419434,0.085,-0.217,-0.929,0.958
0.20941710472106934,0.002,-0.163,-0.913,0.927
0.21957802772521973,-0.074,-0.116,-0.902,0.912
0.22822213172912598,-0.155,-0.117,-0.894,0.915
0.23847293853759766,-0.25,-0.117,-0.951,0.99
0.24681782722473145,-0.25,-0.117,-0.951,0.99
0.2550179958343506,-0.249,-0.107,-0.904,0.944
0.2655019760131836,-0.175,-0.113,-0.919,0.942
0.2749650478363037,-0.133,-0.104,-0.993,1.007
0.2849128246307373,-0.174,-0.103,-1.011,1.031
0.2958638668060303,-0.239,-0.093,-0.988,1.021
0.3055760860443115,-0.309,-0.084,-0.902,0.957
0.31569504737854004,-0.378,-0.085,-0.821,0.908
0.3242218494415283,-0.425,-0.099,-0.78,0.894
0.3352780342102051,-0.455,-0.115,-0.723,0.862
0.3454289436340332,-0.449,-0.124,-0.654,0.803
0.35728907585144043,-0.239,-0.161,-0.52,0.595
0.36601996421813965,-0.018,-0.216,-0.544,0.586
0.3763270378112793,-0.123,-0.152,-0.741,0.766
0.3864729404449463,-0.328,-0.056,-0.852,0.915
0.39673399925231934,-0.3,-0.108,-0.861,0.918
0.40743303298950195,-0.255,-0.076,-0.838,0.879
0.4169018268585205,-0.323,-0.076,-0.833,0.897
0.42699694633483887,-0.356,-0.114,-0.837,0.917
0.43638110160827637,-0.386,-0.092,-0.781,0.876
0.44658493995666504,-0.371,-0.071,-0.782,0.868
0.4560868740081787,-0.366,-0.075,-0.785,0.869
0.46634984016418457,-0.337,-0.022,-0.684,0.763
0.477463960647583,-0.326,0.028,-0.608,0.69
0.4865090847015381,-0.324,0.106,-0.544,0.642
0.49666285514831543,-0.314,0.158,-0.504,0.614
0.5062429904937744,-0.306,0.17,-0.499,0.61
0.5168259143829346,-0.375,0.14,-0.38,0.552
0.5273740291595459,-0.437,0.018,-0.298,0.529
0.5364749431610107,-0.496,-0.152,-0.304,0.601
