time,gFx,gFy,gFz,gFTotal
0.009093999862670898,-0.135,-0.197,-0.927,0.957
0.0253751277923584,-0.07,-0.205,-1.018,1.041
0.02559208869934082,-0.07,-0.205,-1.018,1.041
0.03405594825744629,-0.079,-0.179,-1.009,1.028
0.04322409629821777,-0.093,-0.171,-0.987,1.006
0.05389094352722168,-0.085,-0.168,-0.977,0.995
0.06357002258300781,-0.078,-0.168,-0.963,0.981
0.07435488700866699,-0.074,-0.173,-0.935,0.954
0.08472299575805664,-0.068,-0.177,-0.911,0.931
0.09430193901062012,-0.059,-0.177,-0.903,0.922
0.10503792762756348,-0.053,-0.177,-0.913,0.932
0.14056611061096191,-0.087,-0.156,-0.967,0.983
0.1407489776611328,-0.087,-0.156,-0.967,0.983
0.14090394973754883,-0.087,-0.156,-0.967,0.983
0.14407992362976074,-0.097,-0.16,-0.974,0.992
0.15465402603149414,-0.105,-0.163,-0.977,0.996
0.16466212272644043,-0.113,-0.16,-0.965,0.985
0.17497801780700684,-0.112,-0.15,-0.956,0.974
0.18541598320007324,-0.103,-0.149,-0.944,0.961
0.19527316093444824,-0.077,-0.154,-0.91,0.926
0.20585989952087402,-0.067,-0.169,-0.87,0.889
0.24144482612609863,-0.149,-0.189,-0.897,0.929
0.24172282218933105,-0.149,-0.189,-0.897,0.929
0.24187493324279785,-0.149,-0.189,-0.897,0.929
0.24481415748596191,-0.194,-0.154,-0.907,0.94
0.2554471492767334,-0.202,-0.12,-0.918,0.948
0.265941858291626,-0.176,-0.117,-0.922,0.946
0.27581000328063965,-0.148,-0.133,-0.9,0.922
0.28615593910217285,-0.137,-0.153,-0.862,0.886
0.2964770793914795,-0.109,-0.218,-0.833,0.868
0.30635714530944824,-0.089,-0.209,-0.79,0.822
0.3198859691619873,-0.15,-0.157,-0.755,0.786
0.3443028926849365,-0.225,-0.044,-0.742,0.777
0.3444809913635254,-0.225,-0.044,-0.742,0.777
0.34584593772888184,-0.207,-0.128,-0.641,0.686
0.3561861515045166,-0.212,-0.159,-0.648,0.7
0.3671548366546631,-0.223,-0.124,-0.724,0.768
0.3766930103302002,-0.283,-0.08,-0.782,0.835
0.38678693771362305,-0.393,-0.065,-0.853,0.941
0.3973209857940674,-0.461,-0.031,-0.83,0.95
0.4070010185241699,-0.554,0.02,-0.824,0.993
0.420773983001709,-0.531,0.106,-0.798,0.964
0.445296049118042,-0.337,0.196,-0.729,0.827
0.445483922958374,-0.337,0.196,-0.729,0.827
0.446760892868042,-0.296,0.171,-0.67,0.752
0.4570009708404541,-0.312,0.154,-0.572,0.67
0.46694302558898926,-0.374,0.222,-0.556,0.706
0.47743701934814453,-0.52,0.273,-0.657,0.881
0.4875938892364502,-0.604,0.263,-0.758,1.004
0.49863409996032715,-0.552,0.295,-0.819,1.031
0.508310079574585,-0.505,0.33,-0.774,0.981
0.5416281223297119,-0.359,0.346,-0.687,0.849
0.5419070720672607,-0.359,0.346,-0.687,0.849
0.5421500205993652,-0.359,0.346,-0.687,0.849
0.5473358631134033,-0.371,0.472,-0.467,0.761
0.557852029800415,-0.388,0.489,-0.384,0.733
0.5679450035095215,-0.37,0.399,-0.37,0.658
0.5782449245452881,-0.365,0.407,-0.281,0.615
0.5885200500488281,-0.384,0.511,-0.198,0.669
0.5989959239959717,-0.442,0.607,-0.169,0.77
0.6087801456451416,-0.485,0.631,-0.195,0.819
0.6446568965911865,-0.949,0.643,-0.23,1.169
0.6448318958282471,-0.949,0.643,-0.23,1.169
