time,gFx,gFy,gFz,gFTotal
0.003610849380493164,-0.354,-0.003,-1.088,1.144
0.014451980590820312,-0.349,0.008,-1.109,1.163
0.023040771484375,-0.321,0.007,-1.098,1.144
0.03309202194213867,-0.314,-0.006,-1.065,1.11
0.044677734375,-0.316,-0.025,-1.022,1.07
0.05331277847290039,-0.321,-0.045,-0.996,1.047
0.07383584976196289,-0.35,-0.026,-0.962,1.024
0.07955384254455566,-0.35,-0.026,-0.962,1.024
0.08526086807250977,-0.33,-0.008,-0.949,1.005
0.09386301040649414,-0.292,-0.023,-0.927,0.972
0.10332489013671875,-0.275,-0.038,-0.923,0.964
0.11580181121826172,-0.295,-0.034,-0.94,0.986
0.12346386909484863,-0.295,-0.028,-0.958,1.003
0.1340188980102539,-0.266,-0.038,-0.94,0.978
0.14679193496704102,-0.277,-0.044,-0.934,0.975
0.15413570404052734,-0.293,-0.026,-1.006,1.048
0.17491388320922852,-0.289,-0.032,-1.004,1.045
0.18116998672485352,-0.289,-0.032,-1.004,1.045
0.18410873413085938,-0.298,-0.036,-0.98,1.025
0.1950359344482422,-0.295,-0.028,-0.978,1.022
0.20448589324951172,-0.271,-0.033,-0.969,1.007
0.21683382987976074,-0.244,-0.043,-0.958,0.99
0.22466588020324707,-0.245,-0.002,-0.965,0.996
0.2347550392150879,-0.261,0.054,-1.021,1.055
0.2460470199584961,-0.215,-0.081,-0.926,0.954
0.25488901138305664,-0.198,-0.108,-0.952,0.978
0.2750239372253418,-0.371,-0.034,-0.955,1.025
0.2808878421783447,-0.371,-0.034,-0.955,1.025
0.2849907875061035,-0.431,-0.015,-0.972,1.063
0.2953908443450928,-0.477,-0.009,-0.974,1.085
0.305250883102417,-0.478,-0.007,-0.929,1.045
0.3166379928588867,-0.443,-0.002,-0.884,0.989
0.32580995559692383,-0.412,0.013,-0.854,0.948
0.3355379104614258,-0.424,0.072,-0.804,0.912
0.3468508720397949,-0.463,0.077,-0.784,0.914
0.35573792457580566,-0.466,0.074,-0.788,0.918
0.37572383880615234,-0.452,0.102,-0.823,0.944
0.38152074813842773,-0.452,0.102,-0.823,0.944
0.3876779079437256,-0.438,0.105,-0.844,0.957
0.39626598358154297,-0.463,0.065,-0.834,0.956
0.40606069564819336,-0.48,0.046,-0.819,0.95
0.41744279861450195,-0.449,0.048,-0.764,0.887
