time,gFx,gFy,gFz,gFTotal
0.005661964416503906,-0.063,-0.428,-0.899,0.998
0.015913009643554688,-0.094,-0.404,-0.927,1.016
0.024415969848632812,-0.099,-0.423,-0.949,1.044
0.03389120101928711,-0.036,-0.454,-0.962,1.064
0.04266023635864258,-0.018,-0.462,-1.013,1.114
0.05275917053222656,-0.033,-0.476,-1.074,1.175
0.06265115737915039,-0.056,-0.505,-1.056,1.172
0.07294201850891113,-0.065,-0.497,-1.03,1.145
0.08335590362548828,0.006,-0.403,-0.988,1.067
0.09295201301574707,0.029,-0.361,-0.916,0.985
0.10326099395751953,0.043,-0.464,-0.858,0.976
0.11282110214233398,0.169,-0.518,-0.837,0.999
0.12323904037475586,0.158,-0.496,-0.786,0.943
0.13355708122253418,0.097,-0.488,-0.735,0.888
0.1431751251220703,0.08,-0.529,-0.681,0.866
0.15348291397094727,0.065,-0.556,-0.642,0.852
0.16323208808898926,0.04,-0.557,-0.659,0.864
0.17364501953125,0.025,-0.56,-0.679,0.88
0.18376803398132324,0.026,-0.562,-0.711,0.907
0.1932680606842041,0.004,-0.538,-0.76,0.931
0.20370101928710938,-0.02,-0.512,-0.835,0.98
0.21448111534118652,-0.032,-0.491,-0.914,1.038
0.22368812561035156,-0.011,-0.511,-0.941,1.071
0.2353830337524414,0.039,-0.525,-0.932,1.07
0.2439589500427246,0.096,-0.489,-0.935,1.06
0.2538290023803711,0.122,-0.469,-0.835,0.965
0.26525211334228516,0.034,-0.518,-0.572,0.772
0.2739591598510742,-0.088,-0.531,-0.409,0.676
0.2847151756286621,-0.141,-0.529,-0.432,0.697
0.29417896270751953,-0.111,-0.553,-0.562,0.796
0.30408716201782227,0.015,-0.61,-0.802,1.008
0.3146371841430664,0.06,-0.613,-0.951,1.133
0.32518815994262695,-0.077,-0.5,-1.046,1.162
0.33499813079833984,-0.192,-0.428,-1.068,1.166
0.34537315368652344,-0.212,-0.401,-1.027,1.123
0.35524511337280273,-0.209,-0.369,-0.971,1.06
0.36496496200561523,-0.204,-0.327,-0.933,1.009
0.3760662078857422,-0.202,-0.389,-0.942,1.039
0.3848409652709961,-0.187,-0.52,-0.912,1.066
0.39582395553588867,-0.186,-0.564,-0.839,1.028
0.40572309494018555,-0.207,-0.505,-0.813,0.979
0.41524791717529297,-0.215,-0.454,-0.833,0.973
0.42568016052246094,-0.135,-0.461,-0.822,0.952
0.43546295166015625,-0.058,-0.447,-0.87,0.98
0.4458909034729004,-0.036,-0.432,-0.925,1.022
0.45568418502807617,-0.083,-0.422,-0.917,1.013
0.46639490127563477,-0.125,-0.411,-0.874,0.974
0.4767470359802246,-0.148,-0.396,-0.847,0.947
0.48693203926086426,-0.139,-0.46,-0.837,0.965
0.49691295623779297,-0.09,-0.514,-0.881,1.024
0.5063140392303467,-0.022,-0.546,-0.92,1.07
0.5170211791992188,0.066,-0.575,-0.976,1.135
0.52646803855896,0.068,-0.514,-1.039,1.161
0.5365040302276611,-0.013,-0.338,-1.047,1.1
0.546018123626709,-0.076,-0.274,-1.024,1.063
0.5570840835571289,-0.078,-0.313,-0.98,1.032
0.5665931701660156,-0.075,-0.364,-0.932,1.003
0.5771830081939697,-0.077,-0.299,-0.856,0.91
0.587003231048584,-0.028,-0.161,-0.759,0.776
0.5965042114257812,-0.077,-0.175,-0.696,0.722
0.6068840026855469,-0.108,-0.288,-0.696,0.761
0.6176650524139404,-0.13,-0.428,-0.783,0.902
0.627140998840332,-0.09,-0.492,-0.883,1.015
0.6381430625915527,-0.007,-0.451,-0.918,1.023
0.6476449966430664,-0.021,-0.339,-0.851,0.916
0.6571369171142578,-0.098,-0.217,-0.742,0.779
0.667957067489624,-0.192,-0.154,-0.639,0.685
0.6775000095367432,-0.33,-0.12,-0.685,0.77
0.6874651908874512,-0.3,-0.154,-0.631,0.715
0.6981561183929443,-0.299,-0.195,-0.455,0.578
0.7075772285461426,-0.338,-0.163,-0.566,0.679
0.7175281047821045,-0.388,-0.156,-0.484,0.64
0.7280750274658203,-0.432,-0.131,-0.404,0.606
0.7379121780395508,-0.445,-0.112,-0.416,0.619
0.7485880851745605,-0.432,-0.132,-0.387,0.595
0.7582302093505859,-0.457,-0.114,-0.365,0.596
0.7681190967559814,-0.519,-0.052,-0.394,0.654
0.778656005859375,-0.516,0.007,-0.414,0.662
0.7884869575500488,-0.497,0.03,-0.385,0.629
0.7991180419921875,-0.494,-0.041,-0.482,0.691
0.8085122108459473,-0.555,-0.133,-0.476,0.743
0.8196120262145996,-0.667,-0.128,-0.398,0.787
0.8291680812835693,-0.753,-0.119,-0.481,0.901
0.8391680717468262,-0.743,-0.09,-0.591,0.954
0.8487300872802734,-0.732,-0.012,-0.758,1.054
0.8604722023010254,-0.708,0.074,-0.886,1.137
0.8706340789794922,-0.659,0.158,-1.02,1.225
0.8799231052398682,-0.583,0.217,-1.133,1.293
0.8896942138671875,-0.599,0.2,-1.278,1.426
0.8994240760803223,-0.746,0.113,-1.269,1.476
0.9100499153137207,-0.839,0.06,-1.117,1.398
0.9200150966644287,-0.879,0.078,-1.009,1.34
