time,gFx,gFy,gFz,gFTotal
0.006339073181152344,-0.092,-0.498,-0.57,0.762
0.012537956237792969,-0.085,-0.519,-0.57,0.776
0.02151203155517578,-0.066,-0.544,-0.579,0.797
0.03787994384765625,-0.067,-0.572,-0.594,0.827
0.0495150089263916,-0.087,-0.588,-0.611,0.852
0.05093693733215332,-0.113,-0.596,-0.636,0.879
0.06264114379882812,-0.134,-0.604,-0.678,0.918
0.07167482376098633,-0.136,-0.615,-0.722,0.958
0.08156108856201172,-0.12,-0.635,-0.768,1.004
0.09128999710083008,-0.095,-0.662,-0.817,1.056
0.10191011428833008,-0.07,-0.683,-0.864,1.104
0.11147403717041016,-0.058,-0.696,-0.898,1.138
0.12116193771362305,-0.054,-0.692,-0.931,1.161
0.15111684799194336,-0.018,-0.668,-0.992,1.196
0.15123701095581055,-0.018,-0.668,-0.992,1.196
0.1513381004333496,-0.018,-0.668,-0.992,1.196
0.16090893745422363,-0.022,-0.662,-0.99,1.191
0.17139196395874023,-0.023,-0.656,-0.99,1.188
0.18169784545898438,-0.017,-0.661,-0.992,1.192
0.19086503982543945,0.001,-0.695,-0.99,1.21
0.20094013214111328,0.028,-0.754,-0.986,1.242
0.21088695526123047,0.052,-0.816,-0.988,1.282
0.22058391571044922,0.058,-0.872,-1.0,1.328
0.25357484817504883,-0.147,-0.902,-1.118,1.444
0.25390100479125977,-0.147,-0.902,-1.118,1.444
0.2541971206665039,-0.147,-0.902,-1.118,1.444
0.2612769603729248,-0.257,-0.877,-1.18,1.493
0.2700920104980469,-0.346,-0.848,-1.238,1.54
0.280336856842041,-0.408,-0.82,-1.277,1.571
0.28968286514282227,-0.446,-0.781,-1.291,1.573
0.3002359867095947,-0.465,-0.73,-1.276,1.542
0.3099651336669922,-0.463,-0.672,-1.224,1.471
0.3193058967590332,-0.432,-0.616,-1.135,1.362
0.3489189147949219,-0.247,-0.555,-0.803,1.007
0.3495650291442871,-0.247,-0.555,-0.803,1.007
0.3514108657836914,-0.247,-0.555,-0.803,1.007
0.3591580390930176,-0.224,-0.532,-0.718,0.921
0.3694419860839844,-0.21,-0.513,-0.66,0.862
0.37969303131103516,-0.2,-0.506,-0.62,0.825
0.38888001441955566,-0.189,-0.513,-0.601,0.812
0.4009280204772949,-0.184,-0.53,-0.595,0.818
0.41095399856567383,-0.175,-0.54,-0.605,0.83
0.41950297355651855,-0.16,-0.536,-0.625,0.839
0.45505189895629883,-0.107,-0.506,-0.678,0.853
0.455380916595459,-0.107,-0.506,-0.678,0.853
0.4556698799133301,-0.107,-0.506,-0.678,0.853
0.4586319923400879,-0.082,-0.51,-0.69,0.862
0.46930694580078125,-0.06,-0.518,-0.69,0.865
0.4792649745941162,-0.044,-0.525,-0.675,0.856
0.48840999603271484,-0.035,-0.536,-0.648,0.842
0.4985971450805664,-0.031,-0.547,-0.624,0.83
0.5089340209960938,-0.027,-0.557,-0.607,0.824
0.5189290046691895,-0.03,-0.566,-0.596,0.822
0.5553169250488281,-0.051,-0.565,-0.578,0.81
0.5556159019470215,-0.051,-0.565,-0.578,0.81
0.5558581352233887,-0.051,-0.565,-0.578,0.81
0.5581331253051758,-0.062,-0.554,-0.575,0.801
0.567695140838623,-0.074,-0.543,-0.561,0.784
0.5786728858947754,-0.084,-0.535,-0.538,0.763
0.5877900123596191,-0.085,-0.535,-0.51,0.744
0.5985100269317627,-0.069,-0.537,-0.486,0.728
0.6077139377593994,-0.045,-0.54,-0.464,0.713
0.6181578636169434,-0.019,-0.544,-0.446,0.704
0.6520190238952637,0.028,-0.549,-0.453,0.712
0.6522178649902344,0.028,-0.549,-0.453,0.712
0.6523759365081787,0.028,-0.549,-0.453,0.712
0.6570100784301758,0.032,-0.54,-0.482,0.725
0.6674339771270752,0.023,-0.53,-0.513,0.738
0.6781389713287354,0.001,-0.531,-0.548,0.763
0.687654972076416,-0.025,-0.544,-0.574,0.791
0.6976239681243896,-0.054,-0.57,-0.59,0.822
0.7070770263671875,-0.086,-0.625,-0.586,0.861
0.7171080112457275,-0.116,-0.699,-0.565,0.906
0.7464449405670166,-0.177,-0.752,-0.664,1.019
0.746906042098999,-0.177,-0.752,-0.664,1.019
0.7483620643615723,-0.177,-0.752,-0.664,1.019
0.7564101219177246,-0.189,-0.716,-0.803,1.092
0.766869068145752,-0.207,-0.669,-0.929,1.163
0.776602029800415,-0.206,-0.6,-1.008,1.191
0.786566972732544,-0.193,-0.543,-1.041,1.19
0.7964329719543457,-0.197,-0.536,-1.058,1.202
0.806175947189331,-0.174,-0.562,-1.097,1.245
0.8164129257202148,-0.151,-0.589,-1.127,1.281
0.846886157989502,-0.063,-0.782,-0.94,1.224
0.8472471237182617,-0.063,-0.782,-0.94,1.224
0.8480410575866699,-0.063,-0.782,-0.94,1.224
0.8563461303710938,-0.056,-0.84,-0.851,1.197
0.8665030002593994,-0.089,-0.903,-0.749,1.177
0.8759000301361084,-0.103,-0.91,-0.745,1.181
0.8862948417663574,-0.346,-1.061,-0.798,1.372
0.896273136138916,-0.595,-1.219,-0.781,1.565
0.9057421684265137,-0.535,-1.125,-0.714,1.436
0.9156579971313477,-0.592,-0.97,-0.641,1.305
0.9478998184204102,-0.851,-0.702,-0.717,1.316
0.9483251571655273,-0.851,-0.702,-0.717,1.316
0.9487659931182861,-0.851,-0.702,-0.717,1.316
0.9551329612731934,-0.694,-0.589,-0.687,1.14
0.9658429622650146,-0.467,-0.494,-0.508,0.849
0.9756789207458496,-0.049,-0.518,-0.328,0.615
0.9856328964233398,0.242,-0.583,-0.239,0.675
0.9959521293640137,0.194,-0.519,-0.187,0.585
1.006673812866211,-0.045,-0.453,-0.202,0.498
1.015023946762085,-0.211,-0.453,-0.334,0.601
1.0503768920898438,-0.442,-0.359,-0.411,0.702
1.0507068634033203,-0.442,-0.359,-0.411,0.702
1.05098295211792,-0.442,-0.359,-0.411,0.702
1.0544459819793701,-0.696,-0.49,-0.438,0.957
1.0649991035461426,-0.916,-0.738,-0.541,1.295
1.0743141174316406,-0.982,-0.572,-1.363,1.775
1.0847270488739014,-1.154,-0.37,-1.566,1.98
1.094851016998291,-1.395,-0.247,-1.415,2.002
1.104546070098877,-1.235,-0.149,-1.182,1.716
1.1144208908081055,-1.01,-0.056,-0.941,1.382
1.1463029384613037,-0.659,-0.244,-0.636,0.948
1.146575927734375,-0.659,-0.244,-0.636,0.948
1.1468329429626465,-0.659,-0.244,-0.636,0.948
1.153594970703125,-0.58,-0.366,-0.496,0.846
1.1638460159301758,-0.532,-0.428,-0.417,0.8
1.1735038757324219,-0.493,-0.399,-0.38,0.739
1.1844191551208496,-0.451,-0.336,-0.349,0.662
1.1937899589538574,-0.436,-0.309,-0.357,0.643
1.2034969329833984,-0.473,-0.301,-0.37,0.672
1.2138960361480713,-0.487,-0.245,-0.321,0.633
1.2517309188842773,-0.591,-0.278,-0.203,0.684
1.2522048950195312,-0.556,-0.254,-0.279,0.672
1.2530779838562012,-0.556,-0.254,-0.279,0.672
1.2550878524780273,-0.556,-0.254,-0.279,0.672
1.263484001159668,-0.517,-0.305,-0.377,0.709
1.2733190059661865,-0.435,-0.386,-0.848,1.028
