time,gFx,gFy,gFz,gFTotal
0.0019412040710449219,0.078,-0.177,-0.657,0.685
0.010792016983032227,0.054,-0.174,-0.614,0.64
0.020789146423339844,0.053,-0.179,-0.62,0.647
0.030887126922607422,0.07,-0.201,-0.667,0.7
0.04159116744995117,0.092,-0.247,-0.712,0.759
0.05147504806518555,0.107,-0.281,-0.722,0.782
0.0766758918762207,0.096,-0.263,-0.772,0.821
0.0769801139831543,0.096,-0.263,-0.772,0.821
0.07994794845581055,0.098,-0.256,-0.789,0.835
0.09194803237915039,0.1,-0.259,-0.799,0.846
0.10116004943847656,0.088,-0.261,-0.804,0.85
0.11092305183410645,0.092,-0.279,-0.802,0.854
0.12099218368530273,0.12,-0.313,-0.786,0.854
0.13190412521362305,0.161,-0.349,-0.748,0.841
0.14125490188598633,0.167,-0.377,-0.709,0.82
0.1517200469970703,0.187,-0.424,-0.704,0.843
0.18109703063964844,0.101,-0.557,-0.662,0.871
0.18138504028320312,0.101,-0.557,-0.662,0.871
0.18230509757995605,0.101,-0.557,-0.662,0.871
0.1927781105041504,-0.031,-0.642,-0.702,0.952
0.2004251480102539,-0.067,-0.683,-0.707,0.985
0.21005606651306152,-0.078,-0.712,-0.681,0.988
0.21973419189453125,-0.101,-0.712,-0.68,0.99
0.23070287704467773,-0.095,-0.703,-0.715,1.007
0.24093914031982422,-0.103,-0.668,-0.683,0.961
0.2511711120605469,-0.098,-0.608,-0.643,0.89
0.28127288818359375,0.175,-0.542,-0.723,0.92
0.2817850112915039,0.175,-0.542,-0.723,0.92
0.2820301055908203,0.175,-0.542,-0.723,0.92
0.2902390956878662,0.442,-0.657,-0.887,1.189
0.30033111572265625,0.624,-0.798,-0.948,1.387
0.3102281093597412,0.582,-0.81,-1.02,1.427
0.3196530342102051,0.537,-0.646,-1.109,1.391
0.3299078941345215,0.495,-0.377,-0.986,1.166
0.33942699432373047,0.486,-0.251,-1.026,1.163
0.34996700286865234,0.481,-0.231,-1.221,1.333
0.38494396209716797,0.254,0.054,-1.046,1.078
0.3854210376739502,0.254,0.054,-1.046,1.078
0.38579797744750977,0.254,0.054,-1.046,1.078
0.38947606086730957,0.099,-0.031,-1.472,1.476
0.39810705184936523,0.138,0.101,-1.651,1.66
0.40874719619750977,0.375,0.298,-1.193,1.286
0.418626070022583,0.524,0.303,-0.908,1.091
0.4288320541381836,0.658,0.201,-1.104,1.301
0.4388461112976074,0.49,0.194,-1.019,1.147
