time,gFx,gFy,gFz,gFTotal
0.009069204330444336,0.146,-0.548,-0.744,0.935
0.017473220825195312,0.156,-0.518,-0.81,0.974
0.027737140655517578,0.179,-0.609,-0.807,1.027
0.03766632080078125,0.18,-0.622,-0.819,1.044
0.07397699356079102,0.141,-0.6,-0.777,0.992
0.07484626770019531,0.141,-0.6,-0.777,0.992
0.07524418830871582,0.141,-0.6,-0.777,0.992
0.07739615440368652,0.15,-0.582,-0.835,1.029
0.08751821517944336,0.143,-0.567,-0.828,1.014
0.09748315811157227,0.141,-0.594,-0.781,0.991
0.10750627517700195,0.143,-0.588,-0.791,0.996
0.11764812469482422,0.147,-0.588,-0.797,1.001
0.12777113914489746,0.144,-0.602,-0.794,1.007
0.13788700103759766,0.137,-0.593,-0.785,0.993
0.1755681037902832,0.153,-0.596,-0.81,1.017
0.1766071319580078,0.153,-0.596,-0.81,1.017
0.17696809768676758,0.153,-0.596,-0.81,1.017
0.178497314453125,0.149,-0.582,-0.804,1.004
0.18772411346435547,0.15,-0.581,-0.807,1.006
0.1976943016052246,0.154,-0.588,-0.804,1.008
0.2077181339263916,0.156,-0.588,-0.804,1.008
0.21779823303222656,0.16,-0.586,-0.796,1.001
0.2278733253479004,0.165,-0.585,-0.795,1.001
0.2390003204345703,0.165,-0.588,-0.798,1.005
0.27377820014953613,0.158,-0.586,-0.791,0.997
0.2745380401611328,0.158,-0.586,-0.791,0.997
0.2749819755554199,0.158,-0.586,-0.791,0.997
0.2778902053833008,0.157,-0.59,-0.793,1.001
0.2876319885253906,0.151,-0.588,-0.793,0.999
0.2976961135864258,0.15,-0.588,-0.793,0.999
0.3076910972595215,0.152,-0.592,-0.797,1.004
0.3178741931915283,0.154,-0.595,-0.803,1.011
0.32794713973999023,0.151,-0.596,-0.802,1.011
0.3390622138977051,0.149,-0.59,-0.788,0.996
0.3755183219909668,0.151,-0.595,-0.796,1.005
0.37590718269348145,0.151,-0.595,-0.796,1.005
0.37648916244506836,0.151,-0.595,-0.796,1.005
0.37852001190185547,0.15,-0.59,-0.796,1.002
0.3876972198486328,0.153,-0.592,-0.805,1.011
0.39788007736206055,0.148,-0.595,-0.801,1.009
0.4078671932220459,0.149,-0.586,-0.794,0.998
0.41795825958251953,0.157,-0.581,-0.795,0.997
0.42798519134521484,0.158,-0.588,-0.795,1.001
0.4396991729736328,0.157,-0.585,-0.788,0.994
0.47148799896240234,0.155,-0.594,-0.782,0.994
0.4718151092529297,0.155,-0.594,-0.782,0.994
0.4724149703979492,0.155,-0.594,-0.782,0.994
0.4778022766113281,0.159,-0.585,-0.78,0.988
0.48783016204833984,0.16,-0.588,-0.785,0.994
0.4979681968688965,0.16,-0.591,-0.783,0.994
0.5079922676086426,0.157,-0.587,-0.784,0.992
0.5181541442871094,0.158,-0.584,-0.777,0.985
0.5282382965087891,0.157,-0.588,-0.777,0.987
0.539121150970459,0.155,-0.597,-0.78,0.994
0.5771591663360596,0.154,-0.598,-0.785,0.999
0.5775012969970703,0.154,-0.598,-0.785,0.999
0.5781660079956055,0.155,-0.595,-0.785,0.997
0.5807690620422363,0.155,-0.595,-0.785,0.997
0.5880391597747803,0.157,-0.589,-0.789,0.997
0.5980710983276367,0.158,-0.588,-0.795,1.001
0.6080381870269775,0.155,-0.591,-0.801,1.007
0.6180720329284668,0.157,-0.587,-0.797,1.002
0.6282572746276855,0.163,-0.584,-0.8,1.004
0.6381340026855469,0.162,-0.592,-0.804,1.011
0.6741642951965332,0.162,-0.594,-0.791,1.002
0.6745662689208984,0.162,-0.594,-0.791,1.002
0.6752071380615234,0.162,-0.594,-0.791,1.002
0.6780810356140137,0.162,-0.599,-0.798,1.011
0.6880502700805664,0.159,-0.595,-0.793,1.004
0.6981251239776611,0.159,-0.591,-0.791,1.0
0.7081890106201172,0.157,-0.594,-0.799,1.008
0.7182221412658691,0.157,-0.594,-0.794,1.004
0.7283511161804199,0.158,-0.589,-0.79,0.998
0.7399671077728271,0.159,-0.591,-0.794,1.002
0.7704572677612305,0.161,-0.593,-0.78,0.993
0.7709851264953613,0.161,-0.593,-0.78,0.993
0.7713911533355713,0.161,-0.593,-0.78,0.993
0.7781729698181152,0.16,-0.593,-0.777,0.99
0.7883172035217285,0.162,-0.59,-0.777,0.989
0.7983191013336182,0.16,-0.588,-0.779,0.989
0.8083581924438477,0.158,-0.584,-0.775,0.983
