time,gFx,gFy,gFz,gFTotal
0.002541065216064453,0.099,-0.167,-0.987,1.006
0.008924007415771484,0.091,-0.15,-0.974,0.99
0.0189821720123291,0.061,-0.169,-0.943,0.96
0.029178142547607422,0.058,-0.149,-0.965,0.978
0.04029107093811035,0.076,-0.135,-1.003,1.015
0.04912424087524414,0.08,-0.178,-0.977,0.996
0.06921005249023438,0.065,-0.234,-1.0,1.029
0.07314300537109375,0.065,-0.234,-1.0,1.029
0.0789179801940918,0.041,-0.237,-0.965,0.995
0.08896923065185547,0.014,-0.235,-0.956,0.985
0.10036706924438477,0.015,-0.249,-0.968,1.0
0.10894107818603516,0.04,-0.282,-0.991,1.031
0.11918401718139648,0.064,-0.27,-0.981,1.019
0.1291811466217041,0.099,-0.204,-0.947,0.974
0.14013910293579102,0.08,-0.23,-0.936,0.967
0.14890623092651367,0.043,-0.252,-0.915,0.95
0.16996312141418457,0.084,-0.254,-0.984,1.02
0.1710219383239746,0.084,-0.254,-0.984,1.02
0.17879009246826172,0.095,-0.249,-0.988,1.023
0.18866920471191406,0.086,-0.238,-0.998,1.03
0.20023822784423828,0.063,-0.236,-0.998,1.027
0.20899009704589844,0.047,-0.245,-0.979,1.01
0.21883296966552734,0.034,-0.245,-0.971,1.002
0.22900104522705078,0.034,-0.248,-0.971,1.003
0.2401270866394043,0.048,-0.261,-0.965,1.001
0.24890995025634766,0.059,-0.272,-0.959,0.999
0.2692580223083496,0.055,-0.287,-0.934,0.979
0.27334022521972656,0.055,-0.287,-0.934,0.979
0.278806209564209,0.031,-0.282,-0.92,0.963
0.2888922691345215,0.006,-0.273,-0.901,0.941
0.3001680374145508,-0.012,-0.26,-0.925,0.961
0.3088650703430176,-0.001,-0.26,-0.962,0.997
0.31947994232177734,0.006,-0.262,-0.985,1.019
0.32898426055908203,0.011,-0.261,-0.99,1.024
0.341062068939209,0.013,-0.257,-0.993,1.026
0.3487892150878906,0.015,-0.253,-1.004,1.035
0.37084102630615234,0.028,-0.251,-1.007,1.038
0.37301206588745117,0.028,-0.251,-1.007,1.038
0.3787569999694824,0.031,-0.254,-1.003,1.035
0.38875722885131836,0.033,-0.259,-0.994,1.028
0.4003300666809082,0.034,-0.264,-0.987,1.022
0.4091041088104248,0.035,-0.264,-0.986,1.021
0.4187660217285156,0.036,-0.263,-0.984,1.019
0.4288160800933838,0.035,-0.267,-0.98,1.016
0.44129109382629395,0.032,-0.266,-0.985,1.021
0.44877195358276367,0.028,-0.258,-0.982,1.016
0.47184324264526367,0.029,-0.249,-0.987,1.018
0.4750211238861084,0.029,-0.249,-0.987,1.018
0.47849011421203613,0.032,-0.252,-0.984,1.016
0.4885711669921875,0.032,-0.252,-0.975,1.008
0.5001201629638672,0.028,-0.255,-0.97,1.003
0.5086591243743896,0.028,-0.259,-0.966,1.001
0.518700122833252,0.029,-0.263,-0.968,1.004
0.5296759605407715,0.028,-0.264,-0.972,1.008
0.5408940315246582,0.027,-0.262,-0.974,1.009
0.5486559867858887,0.025,-0.263,-0.97,1.005
0.5721471309661865,0.023,-0.261,-0.974,1.009
0.5744321346282959,0.023,-0.261,-0.974,1.009
0.5788259506225586,0.024,-0.26,-0.974,1.008
0.5888261795043945,0.025,-0.258,-0.972,1.006
0.600006103515625,0.025,-0.257,-0.968,1.002
0.6087732315063477,0.026,-0.252,-0.969,1.002
0.6186690330505371,0.028,-0.251,-0.968,1.0
0.6288442611694336,0.029,-0.249,-0.978,1.01
0.6400232315063477,0.028,-0.25,-0.983,1.015
0.648698091506958,0.027,-0.252,-0.98,1.012
0.6729340553283691,0.018,-0.255,-0.984,1.017
0.675166130065918,0.018,-0.255,-0.984,1.017
0.6785039901733398,0.014,-0.254,-0.984,1.016
0.6887061595916748,0.013,-0.254,-0.983,1.015
0.7000741958618164,0.012,-0.256,-0.982,1.015
0.708651065826416,0.013,-0.255,-0.977,1.01
0.7186412811279297,0.014,-0.254,-0.971,1.004
0.7294702529907227,0.013,-0.257,-0.979,1.012
0.7411942481994629,0.015,-0.261,-0.977,1.011
0.7486691474914551,0.014,-0.261,-0.973,1.007
0.7718701362609863,0.019,-0.263,-0.975,1.01
0.7742700576782227,0.019,-0.263,-0.975,1.01
0.7785711288452148,0.02,-0.264,-0.972,1.007
0.7886440753936768,0.02,-0.264,-0.966,1.002
0.7997610569000244,0.02,-0.266,-0.96,0.996
0.80892014503479,0.019,-0.267,-0.958,0.995
0.8185510635375977,0.015,-0.267,-0.959,0.996
0.8287220001220703,0.011,-0.267,-0.962,0.998
0.8411331176757812,0.011,-0.263,-0.964,0.999
0.848607063293457,0.009,-0.258,-0.966,1.0
0.8721790313720703,0.022,-0.259,-0.97,1.004
0.8744492530822754,0.022,-0.259,-0.97,1.004
0.878547191619873,0.026,-0.262,-0.971,1.006
0.8886351585388184,0.023,-0.261,-0.97,1.005
0.8998522758483887,0.02,-0.258,-0.968,1.002
0.9085221290588379,0.018,-0.262,-0.971,1.006
0.9183802604675293,0.018,-0.268,-0.968,1.005
0.929591178894043,0.017,-0.266,-0.965,1.001
0.9409451484680176,0.014,-0.262,-0.962,0.997
0.9484200477600098,0.015,-0.259,-0.963,0.997
0.9738481044769287,0.016,-0.255,-0.97,1.003
0.9761791229248047,0.016,-0.255,-0.97,1.003
0.978391170501709,0.017,-0.254,-0.974,1.007
0.9887211322784424,0.019,-0.256,-0.977,1.01
0.9998891353607178,0.02,-0.26,-0.968,1.003
1.0084562301635742,0.019,-0.259,-0.958,0.993
1.0183072090148926,0.019,-0.26,-0.953,0.988
1.0285639762878418,0.019,-0.258,-0.951,0.986
1.0409750938415527,0.02,-0.258,-0.953,0.988
1.048314094543457,0.02,-0.259,-0.959,0.994
1.0728371143341064,0.019,-0.267,-0.98,1.016
1.075167179107666,0.019,-0.267,-0.98,1.016
1.0784740447998047,0.01,-0.267,-0.976,1.012
1.0883500576019287,0.001,-0.26,-0.972,1.006
1.0998561382293701,-0.004,-0.257,-0.981,1.014
1.1084091663360596,-0.002,-0.26,-0.986,1.02
1.1183841228485107,-0.0,-0.258,-0.986,1.019
1.1286470890045166,0.002,-0.253,-0.994,1.026
1.1396431922912598,0.007,-0.255,-0.997,1.029
1.1484942436218262,0.008,-0.259,-0.99,1.023
1.1700260639190674,0.008,-0.253,-0.994,1.026
1.1724021434783936,0.008,-0.253,-0.994,1.026
1.1783421039581299,0.006,-0.254,-0.993,1.025
1.1883561611175537,0.006,-0.252,-0.995,1.026
1.1997079849243164,0.005,-0.25,-0.996,1.027
1.20849609375,0.0,-0.247,-0.993,1.023
1.2183010578155518,-0.001,-0.246,-0.989,1.019
1.22855806350708,0.0,-0.248,-0.988,1.019
1.2406401634216309,0.002,-0.25,-0.989,1.02
1.2483210563659668,0.006,-0.254,-0.99,1.022
1.2713022232055664,0.005,-0.259,-0.983,1.017
1.273900032043457,0.005,-0.259,-0.983,1.017
1.278378963470459,0.001,-0.255,-0.978,1.011
1.2883410453796387,0.003,-0.255,-0.98,1.013
1.299692153930664,0.007,-0.26,-0.986,1.02
1.3082232475280762,0.01,-0.264,-0.983,1.018
1.3182671070098877,0.011,-0.265,-0.98,1.015
1.328512191772461,0.01,-0.26,-0.98,1.014
1.3393211364746094,0.01,-0.256,-0.981,1.014
1.3483710289001465,0.011,-0.255,-0.985,1.018
1.3692631721496582,0.008,-0.254,-0.989,1.021
1.3719511032104492,0.008,-0.254,-0.989,1.021
1.3782539367675781,0.01,-0.255,-0.988,1.02
1.3882522583007812,0.013,-0.26,-0.986,1.02
1.3996920585632324,0.017,-0.265,-0.983,1.018
1.4082140922546387,0.017,-0.265,-0.975,1.011
1.4182791709899902,0.015,-0.262,-0.971,1.006
1.4283971786499023,0.019,-0.261,-0.966,1.001
1.4403882026672363,0.021,-0.263,-0.964,0.999
1.4480230808258057,0.021,-0.262,-0.964,0.999
1.4718151092529297,0.022,-0.261,-0.958,0.993
1.4740500450134277,0.022,-0.261,-0.958,0.993
1.4780492782592773,0.02,-0.259,-0.966,1.0
1.4882781505584717,0.021,-0.261,-0.971,1.006
1.499561071395874,0.019,-0.258,-0.97,1.004
1.5082781314849854,0.018,-0.254,-0.973,1.006
1.5181691646575928,0.019,-0.255,-0.978,1.011
1.5284652709960938,0.017,-0.256,-0.977,1.01
1.5393610000610352,0.014,-0.255,-0.972,1.005
1.5483331680297852,0.016,-0.256,-0.971,1.004
1.5684731006622314,0.014,-0.258,-0.974,1.008
1.5715241432189941,0.014,-0.258,-0.974,1.008
1.5780291557312012,0.013,-0.255,-0.971,1.004
1.5879731178283691,0.011,-0.256,-0.973,1.006
1.5994040966033936,0.011,-0.257,-0.973,1.006
1.6082372665405273,0.012,-0.258,-0.971,1.005
1.6181361675262451,0.013,-0.26,-0.973,1.007
1.6285841464996338,0.012,-0.262,-0.972,1.007
1.6412081718444824,0.009,-0.261,-0.966,1.001
1.6483070850372314,0.006,-0.258,-0.964,0.998
1.672029972076416,0.008,-0.263,-0.972,1.007
1.67470121383667,0.008,-0.263,-0.972,1.007
1.6778380870819092,0.008,-0.261,-0.973,1.007
1.688025951385498,0.009,-0.26,-0.973,1.007
1.6993989944458008,0.009,-0.262,-0.972,1.007
1.708069086074829,0.009,-0.262,-0.965,1.0
1.718569278717041,0.009,-0.26,-0.965,0.999
1.728811264038086,0.008,-0.259,-0.968,1.002
1.7407491207122803,0.008,-0.258,-0.969,1.003
1.7481460571289062,0.009,-0.257,-0.973,1.006
1.773108959197998,0.015,-0.263,-0.984,1.019
1.7759580612182617,0.015,-0.263,-0.984,1.019
1.7781171798706055,0.008,-0.264,-0.978,1.013
1.7881190776824951,0.006,-0.261,-0.971,1.005
1.79951810836792,0.004,-0.261,-0.972,1.006
1.8080072402954102,0.008,-0.265,-0.978,1.013
1.8187251091003418,0.011,-0.266,-0.983,1.018
1.8285901546478271,0.012,-0.264,-0.987,1.022
1.8416390419006348,0.013,-0.264,-0.993,1.028
1.8479721546173096,0.013,-0.266,-0.991,1.026
1.8725032806396484,0.01,-0.259,-0.982,1.016
1.8752212524414062,0.01,-0.259,-0.982,1.016
1.8778860569000244,0.013,-0.261,-0.983,1.017
1.8879730701446533,0.014,-0.266,-0.974,1.01
1.899482250213623,0.011,-0.262,-0.968,1.003
1.9080591201782227,0.013,-0.258,-0.972,1.006
1.9182441234588623,0.016,-0.26,-0.977,1.011
1.9281840324401855,0.014,-0.261,-0.976,1.01
1.940176010131836,0.009,-0.257,-0.975,1.008
1.9480631351470947,0.008,-0.253,-0.98,1.012
1.9704370498657227,0.011,-0.258,-0.99,1.023
1.972668170928955,0.011,-0.258,-0.99,1.023
1.9779441356658936,0.006,-0.251,-0.985,1.016
1.9878640174865723,0.007,-0.249,-0.985,1.016
1.9993782043457031,0.01,-0.252,-0.984,1.016
2.0080299377441406,0.008,-0.255,-0.98,1.013
2.0177690982818604,0.008,-0.255,-0.972,1.005
2.029269218444824,0.01,-0.257,-0.973,1.006
2.0406832695007324,0.012,-0.262,-0.978,1.013
2.048013210296631,0.011,-0.264,-0.979,1.014
2.072890281677246,0.009,-0.263,-0.978,1.013
2.075490951538086,0.009,-0.263,-0.978,1.013
2.077876091003418,0.008,-0.261,-0.973,1.007
2.0879011154174805,0.007,-0.26,-0.969,1.003
2.0994300842285156,0.009,-0.259,-0.975,1.009
2.10799503326416,0.011,-0.263,-0.977,1.012
2.1177401542663574,0.011,-0.265,-0.976,1.011
2.128052234649658,0.009,-0.267,-0.973,1.009
2.13909912109375,0.008,-0.266,-0.971,1.007
2.1490612030029297,0.008,-0.264,-0.969,1.004
2.169027090072632,0.012,-0.264,-0.973,1.008
2.171563148498535,0.012,-0.264,-0.973,1.008
2.1779050827026367,0.014,-0.262,-0.976,1.011
2.1878161430358887,0.013,-0.261,-0.976,1.01
2.1992101669311523,0.012,-0.262,-0.974,1.009
2.207919120788574,0.013,-0.262,-0.973,1.008
