time,gFx,gFy,gFz,gFTotal
0.004597663879394531,-0.183,-0.254,-0.739,0.803
0.015660762786865234,-0.136,-0.281,-0.709,0.775
0.02662181854248047,-0.069,-0.32,-0.772,0.839
0.03574371337890625,-0.042,-0.345,-0.734,0.812
0.0455327033996582,-0.03,-0.346,-0.688,0.771
0.05558967590332031,-0.039,-0.36,-0.675,0.766
0.06464290618896484,-0.059,-0.369,-0.685,0.78
0.0756227970123291,-0.069,-0.378,-0.705,0.803
0.08551383018493652,-0.074,-0.385,-0.713,0.814
0.09436798095703125,-0.084,-0.381,-0.728,0.826
0.1051018238067627,-0.09,-0.366,-0.73,0.822
0.11629581451416016,-0.069,-0.344,-0.761,0.838
0.12734174728393555,-0.02,-0.341,-0.812,0.881
0.13592290878295898,0.016,-0.365,-0.826,0.903
0.1454029083251953,0.033,-0.377,-0.823,0.906
0.15569186210632324,0.038,-0.39,-0.834,0.921
0.1643986701965332,0.027,-0.409,-0.862,0.954
0.17554664611816406,0.0,-0.422,-0.897,0.991
0.18556690216064453,-0.025,-0.426,-0.927,1.021
0.19494986534118652,-0.051,-0.439,-0.954,1.051
0.20479583740234375,-0.077,-0.457,-0.981,1.085
0.21627473831176758,-0.097,-0.446,-1.006,1.105
0.2276778221130371,-0.099,-0.444,-1.027,1.123
0.23556995391845703,-0.071,-0.467,-1.033,1.136
0.24643898010253906,-0.038,-0.482,-1.034,1.141
0.25557374954223633,-0.009,-0.477,-1.042,1.146
0.2645606994628906,0.028,-0.475,-1.047,1.15
0.27544164657592773,0.078,-0.495,-1.04,1.154
0.28606176376342773,0.114,-0.516,-1.055,1.18
0.2944307327270508,0.121,-0.518,-1.091,1.214
0.3052077293395996,0.107,-0.516,-1.097,1.217
0.31606578826904297,0.068,-0.51,-1.11,1.223
0.3264148235321045,0.014,-0.495,-1.147,1.249
0.33571577072143555,-0.04,-0.471,-1.175,1.267
0.3453657627105713,-0.092,-0.451,-1.188,1.274
0.3555469512939453,-0.136,-0.413,-1.175,1.253
0.36437082290649414,-0.144,-0.373,-1.152,1.219
0.37545180320739746,-0.113,-0.361,-1.111,1.174
0.38557887077331543,-0.065,-0.366,-1.052,1.116
0.394589900970459,-0.029,-0.353,-0.998,1.059
0.40444183349609375,0.003,-0.323,-0.959,1.012
0.41543078422546387,0.048,-0.312,-0.933,0.985
0.42511487007141113,0.088,-0.323,-0.913,0.972
0.4356038570404053,0.11,-0.334,-0.893,0.96
0.4454679489135742,0.107,-0.328,-0.881,0.946
0.4556698799133301,0.092,-0.316,-0.865,0.925
0.46465587615966797,0.074,-0.314,-0.839,0.899
0.47537684440612793,0.046,-0.311,-0.82,0.878
0.48547887802124023,0.023,-0.304,-0.808,0.864
0.494478702545166,0.011,-0.302,-0.785,0.841
0.5046377182006836,0.006,-0.295,-0.768,0.823
0.5154309272766113,0.0,-0.296,-0.758,0.814
0.5264596939086914,-0.009,-0.298,-0.731,0.789
0.535632848739624,-0.022,-0.302,-0.701,0.764
0.5455527305603027,-0.04,-0.31,-0.668,0.738
0.5555896759033203,-0.071,-0.304,-0.646,0.717
0.5643758773803711,-0.1,-0.286,-0.643,0.711
0.5755448341369629,-0.099,-0.28,-0.653,0.717
0.5855259895324707,-0.08,-0.288,-0.66,0.725
0.5944867134094238,-0.054,-0.301,-0.66,0.727
0.605090856552124,-0.025,-0.315,-0.666,0.737
0.6164138317108154,0.003,-0.33,-0.686,0.761
0.6271817684173584,0.031,-0.348,-0.719,0.799
0.635563850402832,0.047,-0.366,-0.74,0.827
0.6455206871032715,0.041,-0.375,-0.751,0.84
0.655484676361084,0.027,-0.382,-0.754,0.846
0.6646277904510498,0.014,-0.407,-0.761,0.863
0.6754498481750488,-0.001,-0.43,-0.799,0.907
0.6856358051300049,0.0,-0.443,-0.863,0.97
0.6945858001708984,0.006,-0.456,-0.92,1.027
0.7051186561584473,0.001,-0.47,-0.98,1.087
0.7161757946014404,-0.008,-0.481,-1.037,1.143
0.7281608581542969,-0.028,-0.494,-1.074,1.182
0.7359108924865723,-0.073,-0.505,-1.072,1.187
0.7455739974975586,-0.117,-0.506,-1.053,1.174
