time;gFx;gFy;gFz;TgF
0.002558282;-0,5546;0,4722;1,0977;1,318
0.002811407;-0,5577;0,4759;1,0975;1,321
0.002992136;-0,5463;0,4783;1,0992;1,318
0.004253334;-0,5260;0,4800;1,1029;1,314
0.006704323;-0,5013;0,4808;1,1099;1,310
0.009278021;-0,4688;0,4786;1,1229;1,308
0.01148474;-0,4312;0,4751;1,1454;1,313
0.014324844;-0,3926;0,4720;1,1781;1,328
0.016549844;-0,3525;0,4686;1,2169;1,350
0.019277605;-0,3108;0,4681;1,2643;1,382
0.021312084;-0,2692;0,4673;1,3208;1,425
0.02368198;-0,2221;0,4695;1,3845;1,476
0.026127917;-0,1764;0,4727;1,4458;1,529
0.029502344;-0,1383;0,4778;1,5008;1,578
0.031131719;-0,1007;0,4830;1,5482;1,621
0.034284375;-0,0716;0,4861;1,5866;1,657
0.035970052;-0,0494;0,4866;1,6100;1,679
0.038932084;-0,0354;0,4837;1,6198;1,687
0.041018073;-0,0262;0,4781;1,6173;1,683
0.043445834;-0,0201;0,4690;1,6056;1,669
0.046219584;-0,0196;0,4605;1,5834;1,645
0.048338802;-0,0242;0,4446;1,5550;1,614
0.051098282;-0,0293;0,4307;1,5221;1,578
0.054001563;-0,0354;0,4192;1,4835;1,538
0.055571459;-0,0435;0,4063;1,4415;1,494
0.058018542;-0,0518;0,3965;1,3931;1,446
0.060490209;-0,0611;0,3850;1,3354;1,388
0.063093698;-0,0728;0,3733;1,2678;1,320
0.065640365;-0,0894;0,3596;1,1962;1,249
0.068515834;-0,1087;0,3469;1,1187;1,173
0.070301563;-0,1297;0,3320;1,0393;1,096
0.072932917;-0,1522;0,3193;0,9590;1,020
0.075717396;-0,1732;0,3078;0,8793;0,946
0.077568698;-0,1969;0,2988;0,8034;0,878
0.081622344;-0,2187;0,2934;0,7330;0,818
0.087917292;-0,2421;0,2873;0,6700;0,768
0.088191615;-0,2614;0,2846;0,6096;0,722
0.088339896;-0,2839;0,2839;0,5571;0,688
0.089952761;-0,3034;0,2831;0,5129;0,661
0.092310886;-0,3205;0,2866;0,4750;0,643
0.095996667;-0,3381;0,2880;0,4467;0,633
0.097382917;-0,3518;0,2912;0,4264;0,628
0.099824896;-0,3586;0,2975;0,4103;0,624
0.102260052;-0,3633;0,3049;0,3998;0,624
0.104755834;-0,3640;0,3110;0,3954;0,625
0.106947657;-0,3603;0,3196;0,3978;0,628
0.109443177;-0,3532;0,3276;0,4039;0,632
0.112656719;-0,3452;0,3347;0,4132;0,637
0.114645157;-0,3352;0,3405;0,4244;0,642
0.117122657;-0,3247;0,3471;0,4379;0,649
0.119637865;-0,3120;0,3520;0,4526;0,655
0.121754584;-0,2983;0,3581;0,4643;0,660
0.124106563;-0,2885;0,3625;0,4723;0,663
0.126634323;-0,2809;0,3662;0,4784;0,666
0.129655938;-0,2785;0,3674;0,4833;0,669
0.131526146;-0,2753;0,3698;0,4882;0,673
0.134227865;-0,2768;0,3703;0,4934;0,677
0.136585469;-0,2814;0,3672;0,4982;0,681
0.138948125;-0,2851;0,3659;0,5051;0,687
0.141272084;-0,2868;0,3659;0,5109;0,692
0.143772448;-0,2866;0,3637;0,5192;0,697
0.146431667;-0,2878;0,3620;0,5268;0,702
0.149018854;-0,2870;0,3613;0,5366;0,709
0.151369479;-0,2853;0,3603;0,5451;0,714
0.154238438;-0,2809;0,3572;0,5513;0,715
0.155965782;-0,2744;0,3510;0,5566;0,714
0.158426459;-0,2678;0,3420;0,5622;0,711
0.160808959;-0,2580;0,3315;0,5705;0,709
0.163497917;-0,2543;0,3198;0,5813;0,711
0.166255;-0,2543;0,3041;0,5881;0,710
0.172706927;-0,2555;0,2890;0,5908;0,706
0.17310349;-0,2585;0,2756;0,5874;0,699
0.174169375;-0,2636;0,2626;0,5806;0,690
0.175592709;-0,2690;0,2506;0,5688;0,678
0.178105052;-0,2783;0,2394;0,5581;0,669
0.181855521;-0,2883;0,2299;0,5473;0,661
0.183593021;-0,2963;0,2204;0,5339;0,651
0.185515677;-0,3100;0,2108;0,5205;0,643
0.189416354;-0,3196;0,2028;0,5070;0,635
0.190394792;-0,3352;0,1932;0,4963;0,632
0.193088542;-0,3493;0,1854;0,4875;0,631
0.195838177;-0,3621;0,1769;0,4819;0,631
0.197776667;-0,3743;0,1683;0,4792;0,634
0.200204479;-0,3850;0,1581;0,4828;0,641
0.202606667;-0,3970;0,1476;0,4897;0,651
0.205267552;-0,4092;0,1395;0,5041;0,668
0.207578542;-0,4219;0,1329;0,5214;0,687
0.209878959;-0,4378;0,1278;0,5407;0,711
0.212892188;-0,4527;0,1234;0,5669;0,739
0.215253282;-0,4624;0,1160;0,6045;0,773
0.217475938;-0,4632;0,1112;0,6450;0,805
0.219689115;-0,4539;0,1109;0,6868;0,833
0.222210209;-0,4368;0,1138;0,7311;0,861
0.225154479;-0,4185;0,1158;0,7755;0,890
0.227163386;-0,3948;0,1170;0,8117;0,911
0.230033125;-0,3670;0,1165;0,8339;0,919
0.232123646;-0,3393;0,1173;0,8422;0,916
0.234677761;-0,3161;0,1209;0,8471;0,912
0.236976615;-0,3002;0,1261;0,8569;0,916
0.239624688;-0,2905;0,1378;0,8669;0,924
0.241716615;-0,2892;0,1527;0,8747;0,933
0.244704844;-0,2902;0,1671;0,8835;0,944
0.246827396;-0,2963;0,1857;0,8886;0,954
0.249241823;-0,3027;0,2040;0,8945;0,966
0.251841823;-0,3081;0,2255;0,9001;0,977
0.254293021;-0,3193;0,2455;0,9052;0,990
0.256625625;-0,3340;0,2651;0,9152;1,009
0.258884063;-0,3420;0,2841;0,9301;1,031
0.261356771;-0,3425;0,3046;0,9436;1,049
0.265197188;-0,3315;0,3286;0,9517;1,060
0.271217188;-0,3166;0,3542;0,9531;1,064
0.271554219;-0,2993;0,3831;0,9534;1,069
0.271696615;-0,2778;0,4097;0,9578;1,077
0.274339427;-0,2553;0,4400;0,9626;1,088
0.276176563;-0,2301;0,4700;0,9644;1,096
0.279449011;-0,2060;0,4962;0,9658;1,103
0.281027709;-0,1820;0,5167;0,9651;1,108
0.28363974;-0,1608;0,5308;0,9626;1,109
0.285863698;-0,1373;0,5374;0,9568;1,104
0.288340677;-0,1158;0,5379;0,9448;1,091
