time,gFx,gFy,gFz,gFTotal
0.003595113754272461,-0.106,-0.169,-0.729,0.756
0.012412071228027344,-0.085,-0.208,-0.569,0.612
0.022377967834472656,-0.022,-0.142,-0.626,0.642
0.03166389465332031,-0.059,-0.135,-0.777,0.791
0.04231405258178711,-0.0,-0.138,-0.958,0.968
0.05225801467895508,0.107,-0.096,-1.033,1.043
0.06178402900695801,0.042,-0.129,-1.007,1.016
0.07230091094970703,0.012,-0.158,-0.941,0.954
0.08219408988952637,0.034,-0.125,-0.913,0.922
0.09160423278808594,0.049,-0.089,-0.901,0.907
0.10193204879760742,0.036,-0.076,-0.898,0.902
0.11190414428710938,-0.005,-0.079,-0.868,0.872
0.12170910835266113,-0.032,-0.086,-0.819,0.824
0.1314101219177246,-0.007,-0.086,-0.783,0.788
0.141815185546875,0.059,-0.059,-0.793,0.797
0.1515789031982422,0.113,-0.016,-0.831,0.839
0.16083407402038574,0.125,0.004,-0.866,0.875
0.17154598236083984,0.119,-0.022,-0.781,0.79
0.1817479133605957,0.033,-0.053,-0.575,0.578
0.19083404541015625,0.052,-0.029,-0.571,0.574
0.2013230323791504,0.179,0.013,-0.618,0.644
0.21118807792663574,0.282,0.043,-0.662,0.721
0.22084403038024902,0.359,-0.123,-0.529,0.651
0.2306499481201172,0.489,-0.134,-0.594,0.781
0.2409980297088623,0.43,-0.049,-0.985,1.076
0.25084710121154785,0.307,-0.091,-1.173,1.216
0.2604179382324219,0.306,-0.164,-1.095,1.149
0.27103424072265625,0.28,-0.228,-0.913,0.982
0.28072214126586914,0.036,-0.275,-0.788,0.835
0.29000091552734375,-0.228,-0.31,-0.706,0.804
0.30045413970947266,-0.259,-0.28,-0.545,0.665
0.31047916412353516,-0.25,-0.11,-0.586,0.647
0.32186317443847656,-0.134,0.017,-0.883,0.893
0.3296642303466797,0.07,0.123,-0.944,0.955
0.3405489921569824,0.04,0.161,-0.8,0.817
0.35022711753845215,0.11,0.144,-0.67,0.694
0.3596160411834717,0.181,0.161,-0.599,0.646
0.36997222900390625,0.174,0.256,-0.586,0.663
0.380033016204834,0.21,0.42,-0.626,0.783
0.3896770477294922,0.37,0.521,-0.63,0.897
