time,gFx,gFy,gFz,gFTotal
0.010400056838989258,0.084,0.064,-1.022,1.027
0.016583919525146484,0.053,0.055,-0.956,0.959
0.02589702606201172,-0.0,0.025,-0.931,0.931
0.03660011291503906,0.003,0.032,-0.951,0.952
0.046035051345825195,0.015,0.022,-0.949,0.949
0.05653500556945801,0.012,0.01,-0.941,0.941
0.06640815734863281,0.0,0.012,-0.94,0.94
0.07544517517089844,0.006,0.016,-0.94,0.94
0.08647298812866211,0.027,0.02,-0.944,0.945
0.09595894813537598,0.043,0.017,-0.944,0.945
0.11110305786132812,0.032,-0.006,-0.93,0.931
0.11582303047180176,-0.056,-0.1,-0.903,0.91
0.12526416778564453,0.007,-0.115,-0.88,0.888
0.13699603080749512,0.078,-0.055,-0.883,0.888
0.14590096473693848,0.049,-0.031,-0.911,0.913
0.15648984909057617,0.004,-0.063,-0.879,0.881
0.16653013229370117,0.101,-0.127,-0.833,0.849
0.17588090896606445,0.271,-0.134,-0.78,0.837
0.1857738494873047,0.172,-0.103,-0.856,0.879
0.19579100608825684,0.011,-0.081,-0.978,0.981
0.21091699600219727,-0.086,-0.011,-0.931,0.935
0.2153000831604004,-0.078,0.053,-0.813,0.818
0.22479701042175293,-0.038,-0.002,-0.734,0.735
0.23606395721435547,0.015,-0.04,-0.656,0.657
0.24541902542114258,0.051,-0.078,-0.616,0.623
0.25614309310913086,0.059,-0.112,-0.625,0.638
0.26555585861206055,0.06,-0.14,-0.702,0.718
0.27422595024108887,0.039,-0.148,-0.862,0.875
0.28495001792907715,0.006,-0.118,-1.039,1.046
0.29517698287963867,-0.095,-0.094,-0.993,1.002
0.3094649314880371,-0.199,-0.07,-0.762,0.791
0.31450414657592773,-0.221,-0.016,-0.591,0.631
0.32393789291381836,-0.258,0.077,-0.532,0.596
0.3355441093444824,-0.295,0.193,-0.531,0.637
0.34436893463134766,-0.289,0.279,-0.52,0.657
0.35547590255737305,-0.263,0.231,-0.533,0.638
0.36515092849731445,-0.192,0.154,-0.616,0.663
0.373568058013916,-0.037,0.126,-0.71,0.722
0.38437795639038086,0.108,0.117,-0.771,0.787
0.39403605461120605,0.143,0.095,-0.739,0.759
0.4098320007324219,0.064,0.104,-0.648,0.659
0.4139740467071533,-0.056,0.147,-0.627,0.646
0.4240450859069824,-0.136,0.221,-0.627,0.679
0.43477916717529297,-0.087,0.357,-0.629,0.728
0.44391489028930664,-0.084,0.333,-0.829,0.897
0.4547460079193115,-0.045,0.246,-0.93,0.963
0.46393394470214844,0.11,0.169,-0.911,0.933
