time,gFx,gFy,gFz,gFTotal
0.016292095184326172,-0.189,-0.096,-0.821,0.848
0.017590999603271484,-0.189,-0.096,-0.821,0.848
0.025950908660888672,-0.209,-0.088,-0.824,0.855
0.03673219680786133,-0.2,-0.052,-0.841,0.866
0.046066999435424805,-0.189,-0.048,-0.826,0.849
0.06639909744262695,-0.161,-0.153,-0.822,0.851
0.06658601760864258,-0.161,-0.153,-0.822,0.851
0.07644104957580566,-0.178,-0.166,-0.758,0.796
0.08642816543579102,-0.255,-0.087,-0.956,0.993
0.09600591659545898,-0.147,0.001,-0.855,0.868
0.10635614395141602,-0.053,0.031,-0.743,0.746
0.11722993850708008,-0.141,0.006,-0.819,0.831
0.1263751983642578,-0.146,0.01,-0.835,0.848
0.13600707054138184,-0.076,-0.029,-0.781,0.785
0.14588117599487305,-0.116,-0.06,-0.768,0.779
0.16872596740722656,-0.094,0.039,-0.72,0.727
0.16896820068359375,-0.094,0.039,-0.72,0.727
0.17533016204833984,-0.118,0.069,-0.739,0.752
0.18579387664794922,-0.121,0.077,-0.775,0.788
0.19554615020751953,-0.089,0.04,-0.73,0.736
0.20577621459960938,-0.123,0.012,-0.762,0.772
0.21540498733520508,-0.111,0.06,-0.95,0.958
0.22571516036987305,-0.251,0.09,-1.095,1.127
0.23553800582885742,-0.242,0.028,-1.141,1.167
0.24574518203735352,-0.219,0.01,-1.18,1.2
0.2672891616821289,-0.06,-0.036,-0.915,0.918
0.2675189971923828,-0.06,-0.036,-0.915,0.918
0.27485203742980957,-0.074,0.012,-0.798,0.802
0.28499507904052734,-0.165,-0.003,-0.669,0.689
0.2948720455169678,-0.244,-0.146,-0.57,0.637
0.30527210235595703,-0.228,-0.207,-0.648,0.717
0.3150949478149414,-0.108,-0.133,-0.628,0.651
0.3253920078277588,-0.039,-0.017,-0.544,0.546
0.3349781036376953,-0.083,0.015,-0.968,0.972
0.34482812881469727,-0.057,0.053,-1.439,1.441
0.36856794357299805,0.165,0.159,-0.823,0.854
0.36884403228759766,0.165,0.159,-0.823,0.854
0.3744821548461914,0.194,0.249,-0.674,0.744
0.3839559555053711,0.24,0.374,-0.91,1.013
