time,gFx,gFy,gFz,gFTotal
0.009990215301513672,0.212,-0.261,-1.039,1.092
0.01601123809814453,0.212,-0.261,-1.039,1.092
0.025470256805419922,0.151,-0.261,-0.951,0.998
0.03291916847229004,0.129,-0.235,-0.963,1.0
0.0394291877746582,0.174,-0.206,-1.02,1.055
0.049932003021240234,0.153,-0.283,-1.079,1.126
0.05932211875915527,0.264,-0.304,-1.049,1.124
0.06962013244628906,0.362,-0.267,-0.935,1.038
0.07945823669433594,0.156,-0.178,-1.011,1.038
0.0898141860961914,0.256,-0.105,-0.942,0.982
0.10041093826293945,0.201,-0.316,-0.891,0.967
0.11199116706848145,0.171,-0.337,-0.952,1.024
0.12451696395874023,0.175,-0.217,-0.961,1.001
0.1289529800415039,0.134,-0.213,-0.993,1.024
0.13908815383911133,0.176,-0.191,-0.948,0.983
0.14961814880371094,0.143,-0.135,-0.991,1.01
0.15897011756896973,0.183,0.025,-1.147,1.162
0.16957902908325195,0.219,-0.025,-1.105,1.127
0.17896413803100586,0.191,-0.104,-1.082,1.104
0.19001007080078125,0.084,-0.117,-1.104,1.113
0.2001500129699707,-0.026,-0.134,-1.115,1.123
0.22593116760253906,-0.092,-0.158,-0.993,1.01
0.22617006301879883,-0.092,-0.158,-0.993,1.01
0.2282872200012207,-0.058,-0.154,-0.883,0.898
0.23871707916259766,0.034,-0.136,-0.934,0.944
0.248582124710083,0.086,-0.092,-1.042,1.05
0.25839996337890625,0.085,-0.062,-0.99,0.996
0.2687251567840576,0.076,-0.063,-0.83,0.836
0.2783012390136719,0.062,-0.075,-0.751,0.757
0.2886929512023926,0.054,-0.11,-0.765,0.775
0.2999081611633301,0.056,-0.142,-0.776,0.791
0.3245682716369629,0.004,-0.155,-0.776,0.791
0.32480716705322266,0.004,-0.155,-0.776,0.791
0.3274970054626465,-0.005,-0.135,-0.792,0.803
0.33825111389160156,0.022,-0.108,-0.826,0.833
0.3477482795715332,0.035,-0.099,-0.857,0.863
0.3580942153930664,0.047,-0.09,-0.863,0.869
0.36809396743774414,0.062,-0.083,-0.864,0.87
0.3777151107788086,0.086,-0.089,-0.882,0.891
0.38859128952026367,0.128,-0.106,-0.889,0.904
0.39861607551574707,0.151,-0.13,-0.85,0.873
0.4287910461425781,0.05,-0.247,-0.797,0.836
0.4290900230407715,0.05,-0.247,-0.797,0.836
0.42937707901000977,0.05,-0.247,-0.797,0.836
0.4373021125793457,0.229,-0.305,-0.855,0.936
0.4470372200012207,0.446,-0.281,-0.96,1.095
0.45714616775512695,0.504,-0.344,-0.965,1.142
0.4671030044555664,0.422,-0.437,-0.883,1.072
0.4768710136413574,0.338,-0.42,-0.88,1.032
0.48719024658203125,0.28,-0.316,-0.941,1.031
0.49714112281799316,0.241,-0.252,-0.964,1.025
0.522395133972168,0.28,-0.309,-0.921,1.011
0.5226280689239502,0.28,-0.309,-0.921,1.011
0.5261130332946777,0.362,-0.341,-0.952,1.074
0.5366272926330566,0.44,-0.385,-0.99,1.15
0.5462632179260254,0.462,-0.421,-1.023,1.199
0.5565710067749023,0.469,-0.4,-1.035,1.205
0.5663840770721436,0.486,-0.339,-1.032,1.19
0.5762381553649902,0.507,-0.288,-1.001,1.158
0.5865330696105957,0.525,-0.283,-0.962,1.132
0.596339225769043,0.534,-0.315,-0.954,1.138
0.6227302551269531,0.536,-0.376,-1.047,1.235
0.6229641437530518,0.536,-0.376,-1.047,1.235
0.625391960144043,0.551,-0.383,-1.08,1.271
0.636120080947876,0.567,-0.385,-1.082,1.281
0.6453831195831299,0.557,-0.375,-1.072,1.265
0.6562011241912842,0.519,-0.338,-1.066,1.233
0.6662182807922363,0.49,-0.312,-1.034,1.186
0.675544261932373,0.473,-0.314,-0.992,1.143
0.6865150928497314,0.47,-0.321,-0.967,1.122
0.6960451602935791,0.489,-0.326,-0.955,1.121
0.7265462875366211,0.461,-0.328,-0.871,1.039
0.726870059967041,0.461,-0.328,-0.871,1.039
0.7271311283111572,0.461,-0.328,-0.871,1.039
0.7353940010070801,0.4,-0.3,-0.827,0.966
0.7448911666870117,0.368,-0.286,-0.818,0.941
0.7557151317596436,0.389,-0.261,-0.833,0.956
0.7658729553222656,0.427,-0.218,-0.814,0.945
0.7754650115966797,0.446,-0.162,-0.745,0.883
0.785743236541748,0.413,-0.085,-0.627,0.756
0.7953650951385498,0.318,-0.002,-0.588,0.668
0.8242530822753906,0.276,0.087,-0.486,0.566
0.824721097946167,0.276,0.087,-0.486,0.566
0.826268196105957,0.276,0.087,-0.486,0.566
0.834557056427002,0.24,0.165,-0.431,0.52
0.8440032005310059,0.307,0.234,-0.333,0.51
0.8549289703369141,0.432,0.242,-0.251,0.555
0.8643350601196289,0.33,0.192,-0.283,0.475
0.8743650913238525,0.195,0.229,-0.461,0.55
0.8850491046905518,0.158,0.324,-0.647,0.741
0.8945612907409668,0.29,0.394,-0.645,0.81
0.9238340854644775,0.419,0.61,-0.773,1.07
0.9242992401123047,0.419,0.61,-0.773,1.07
0.9257841110229492,0.419,0.61,-0.773,1.07
0.9343352317810059,0.41,0.705,-0.794,1.138
0.9432802200317383,0.394,0.718,-0.734,1.1
0.9542191028594971,0.331,0.604,-0.822,1.072
0.9636211395263672,0.316,0.526,-0.867,1.062
0.9737551212310791,0.382,0.645,-0.884,1.159
0.9843282699584961,0.429,0.841,-1.059,1.419
0.9939100742340088,0.473,0.918,-1.083,1.496
1.0224151611328125,0.486,0.825,-1.047,1.419
1.0230531692504883,0.486,0.825,-1.047,1.419
1.0246131420135498,0.486,0.825,-1.047,1.419
1.0332350730895996,0.465,0.848,-1.071,1.443
1.0427131652832031,0.417,0.815,-1.108,1.437
1.0534181594848633,0.398,0.743,-1.143,1.42
1.0630302429199219,0.422,0.764,-1.112,1.414
1.0736942291259766,0.45,0.761,-1.124,1.43
1.0835120677947998,0.481,0.707,-1.114,1.404
1.093170166015625,0.531,0.66,-1.03,1.334
1.118730068206787,0.837,0.267,-1.884,2.079
1.1189932823181152,0.837,0.267,-1.884,2.079
1.1218740940093994,0.677,0.299,-1.044,1.28
1.132500171661377,0.522,0.669,-0.644,1.065
1.142014980316162,0.736,0.833,-0.74,1.335
1.1526741981506348,0.713,0.499,-0.655,1.089
1.161999225616455,0.751,0.427,-0.688,1.104
1.1729912757873535,0.734,0.518,-0.705,1.142
1.1829562187194824,0.719,0.531,-0.64,1.099
1.1926302909851074,0.77,0.495,-0.659,1.128
1.220752239227295,0.681,0.323,-0.621,0.977
1.221303939819336,0.681,0.323,-0.621,0.977
1.2227251529693604,0.681,0.323,-0.621,0.977
1.2312991619110107,0.693,0.305,-0.562,0.943
1.2413661479949951,0.689,0.319,-0.56,0.943
1.2515630722045898,0.742,0.456,-0.552,1.031
1.2610960006713867,0.76,0.533,-0.519,1.064
1.27193021774292,0.617,0.455,-0.386,0.858
1.2812480926513672,0.644,0.502,-0.244,0.852
1.2918782234191895,0.768,0.643,-0.214,1.024
1.3198962211608887,0.828,0.627,0.294,1.079
1.320500135421753,0.828,0.627,0.294,1.079
1.3219621181488037,0.828,0.627,0.294,1.079
1.330841064453125,0.717,0.635,0.06,0.96
1.3408751487731934,0.853,0.707,-0.548,1.236
1.351034164428711,1.031,0.843,-0.836,1.572
1.3605561256408691,1.117,0.914,-0.911,1.707
1.3710722923278809,1.092,0.788,-0.768,1.55
1.380730152130127,1.107,0.675,-0.757,1.501
1.3913490772247314,1.16,0.634,-0.638,1.468
1.4218239784240723,0.876,0.402,-0.364,1.03
1.4221291542053223,0.876,0.402,-0.364,1.03
1.4223852157592773,0.876,0.402,-0.364,1.03
1.430030107498169,0.783,0.202,-0.207,0.835
1.4403390884399414,0.885,0.253,-0.287,0.964
1.4505562782287598,1.011,0.499,-0.525,1.244
1.4599580764770508,1.024,0.707,-0.59,1.377
1.4709041118621826,1.051,0.826,-0.4,1.395
1.4805541038513184,1.075,0.927,-0.4,1.475
1.4906730651855469,1.114,0.997,-0.416,1.552
1.5153989791870117,1.112,0.931,-0.253,1.472
1.5156402587890625,1.112,0.931,-0.253,1.472
1.5191049575805664,1.008,1.025,-0.181,1.449
1.529055118560791,0.766,1.198,-0.124,1.427
1.5394020080566406,0.476,0.749,-0.26,0.925
1.5500121116638184,0.581,0.43,-0.517,0.889
1.5594501495361328,0.73,0.486,-0.474,0.997
1.569714069366455,0.702,0.592,-0.366,0.989
1.5799269676208496,0.682,0.438,-0.236,0.844
1.590022087097168,0.544,0.385,-0.44,0.799
1.611976146697998,0.632,0.5,-0.321,0.867
1.6121711730957031,0.632,0.5,-0.321,0.867
1.6187262535095215,0.734,0.477,-0.303,0.926
1.6284022331237793,0.789,0.457,-0.305,0.961
1.6385812759399414,0.762,0.385,-0.268,0.895
1.6484661102294922,0.659,0.254,-0.218,0.739
1.658189058303833,0.56,0.138,-0.167,0.6
1.6683201789855957,0.457,0.12,-0.171,0.502
1.6780800819396973,0.424,0.122,-0.135,0.461
1.6880912780761719,0.448,0.102,-0.083,0.467
1.7109720706939697,0.597,-0.006,-0.021,0.597
1.7111871242523193,0.597,-0.006,-0.021,0.597
1.7182092666625977,0.655,-0.053,-0.061,0.66
1.7279729843139648,0.674,-0.038,-0.097,0.682
1.7391409873962402,0.667,-0.015,-0.113,0.677
1.7487602233886719,0.684,-0.016,-0.132,0.697
1.7586500644683838,0.725,-0.014,-0.136,0.738
1.7687921524047852,0.765,-0.016,-0.138,0.778
1.7771482467651367,0.787,-0.027,-0.182,0.808
1.788762092590332,0.752,-0.106,-0.106,0.767
1.816817283630371,0.952,-0.002,-0.348,1.014
1.8172900676727295,0.952,-0.002,-0.348,1.014
1.8185901641845703,0.952,-0.002,-0.348,1.014
1.8269362449645996,0.971,-0.046,-0.306,1.019
1.8377001285552979,1.061,-0.023,-0.265,1.094
1.8474769592285156,1.174,0.057,-0.247,1.201
1.8575341701507568,1.247,0.114,-0.254,1.278
1.8676509857177734,1.269,0.14,-0.269,1.305
1.8769590854644775,1.29,0.193,-0.307,1.34
1.8881020545959473,1.282,0.228,-0.364,1.352
1.9153461456298828,1.202,0.23,-0.458,1.307
1.915593147277832,1.222,0.284,-0.517,1.357
1.9172310829162598,1.222,0.284,-0.517,1.357
1.9261140823364258,1.309,0.308,-0.575,1.463
1.936413288116455,1.393,0.342,-0.617,1.561
1.9464421272277832,1.422,0.366,-0.644,1.603
1.956624984741211,1.405,0.387,-0.63,1.588
1.9667901992797852,1.395,0.436,-0.405,1.517
1.976181983947754,1.411,0.458,0.0,1.483
1.987394094467163,1.49,0.621,0.108,1.618
2.014979124069214,1.285,0.751,-0.007,1.488
2.015247106552124,1.043,0.475,-0.073,1.148
2.0170021057128906,1.043,0.475,-0.073,1.148
2.026151180267334,0.855,0.433,-0.115,0.965
2.0359110832214355,0.796,0.458,-0.121,0.926
2.0460782051086426,0.856,0.459,0.046,0.972
2.0557920932769775,0.999,0.442,0.246,1.12
2.066056251525879,1.159,0.413,0.381,1.288
2.0757012367248535,1.185,0.381,0.441,1.321
2.0862090587615967,1.08,0.346,0.437,1.215
2.111448287963867,0.824,0.257,0.226,0.892
2.111678123474121,0.824,0.257,0.226,0.892
2.1151552200317383,0.792,0.248,0.121,0.839
2.1252431869506836,0.791,0.293,0.081,0.847
2.1352720260620117,0.819,0.336,0.104,0.891
2.1450209617614746,0.879,0.434,0.134,0.989
2.155179023742676,0.906,0.485,0.136,1.037
2.165347099304199,0.98,0.44,0.072,1.077
2.1749770641326904,1.044,0.412,0.084,1.125
2.18540620803833,1.061,0.392,0.124,1.138
2.210315227508545,0.986,0.28,0.101,1.03
2.2105302810668945,0.986,0.28,0.101,1.03
2.2143492698669434,0.895,0.275,0.138,0.946
2.2248010635375977,0.78,0.307,0.173,0.856
2.2344460487365723,0.622,0.317,0.17,0.719
2.244307041168213,0.477,0.307,0.138,0.584
2.2545320987701416,0.477,0.341,0.013,0.586
2.2650671005249023,0.669,0.117,-0.027,0.68
2.274458169937134,0.456,0.107,0.171,0.499
2.2846879959106445,0.604,0.216,0.073,0.646
2.311291217803955,0.846,0.127,0.168,0.872
2.311577081680298,0.846,0.127,0.168,0.872
2.3141870498657227,0.841,0.099,0.137,0.858
2.323866128921509,0.84,0.06,0.09,0.847
2.3348770141601562,0.835,0.006,0.052,0.837
2.3434650897979736,0.85,-0.007,0.06,0.852
2.3539042472839355,0.907,-0.001,0.037,0.908
