time,gFx,gFy,gFz,gFTotal
0.007464885711669922,-0.021,0.257,-1.122,1.151
0.01604604721069336,0.044,0.256,-1.123,1.153
0.026401996612548828,0.069,0.246,-1.126,1.155
0.053714752197265625,0.001,0.2,-1.087,1.105
0.054327964782714844,0.001,0.2,-1.087,1.105
0.055624961853027344,-0.071,0.18,-1.051,1.069
0.06544780731201172,-0.126,0.16,-1.014,1.034
0.07622480392456055,-0.152,0.144,-0.968,0.99
0.08602190017700195,-0.148,0.114,-0.892,0.911
0.09736990928649902,-0.123,0.085,-0.821,0.835
0.1069650650024414,-0.1,0.061,-0.775,0.784
0.11568403244018555,-0.103,0.052,-0.745,0.754
0.12575387954711914,-0.119,0.044,-0.735,0.746
0.1529860496520996,-0.136,-0.03,-0.748,0.761
0.15361690521240234,-0.136,-0.03,-0.748,0.761
0.1551680564880371,-0.147,-0.022,-0.763,0.777
0.16548395156860352,-0.141,-0.018,-0.727,0.741
0.17545795440673828,-0.139,-0.012,-0.702,0.716
0.18596792221069336,-0.14,-0.017,-0.694,0.708
0.19696903228759766,-0.154,-0.029,-0.706,0.723
0.2066488265991211,-0.162,-0.049,-0.729,0.748
0.21516704559326172,-0.144,-0.063,-0.753,0.769
0.22517085075378418,-0.106,-0.072,-0.784,0.794
0.25342798233032227,-0.039,-0.088,-0.853,0.858
0.254025936126709,-0.101,-0.116,-0.813,0.827
0.25550174713134766,-0.101,-0.116,-0.813,0.827
0.2651400566101074,-0.238,-0.102,-0.682,0.73
0.2748279571533203,-0.352,-0.07,-0.582,0.684
0.2855498790740967,-0.339,-0.076,-0.594,0.688
0.29645872116088867,-0.259,-0.068,-0.691,0.741
0.30629491806030273,-0.173,-0.04,-0.82,0.839
0.3151130676269531,-0.187,-0.02,-0.839,0.86
0.3252987861633301,-0.318,-0.052,-0.83,0.89
0.35515880584716797,-0.648,-0.051,-0.71,0.963
0.3557767868041992,-0.648,-0.051,-0.71,0.963
0.3559880256652832,-0.648,-0.051,-0.71,0.963
0.3646559715270996,-0.652,0.001,-0.749,0.993
0.3752858638763428,-0.627,0.016,-0.744,0.973
0.3845489025115967,-0.577,0.06,-0.727,0.93
0.39606285095214844,-0.447,0.165,-0.648,0.804
0.4058060646057129,-0.196,-0.001,-0.451,0.492
0.41440582275390625,-0.408,0.023,-0.546,0.682
0.42525386810302734,-0.583,0.097,-0.299,0.662
0.45261693000793457,-0.795,0.246,-0.24,0.866
0.4532599449157715,-0.795,0.246,-0.24,0.866
0.4550790786743164,-0.877,0.349,-0.182,0.961
0.4642510414123535,-0.82,0.441,-0.315,0.983
0.4745779037475586,-0.626,0.581,-0.586,1.036
0.48430299758911133,-0.474,0.516,-0.727,1.01
0.4957759380340576,-0.423,0.457,-0.662,0.909
0.5055637359619141,-0.387,0.507,-0.472,0.793
0.5139589309692383,-0.358,0.587,-0.289,0.746
0.5240559577941895,-0.353,0.602,-0.2,0.726
0.5506157875061035,-0.518,0.628,-0.161,0.83
0.5511429309844971,-0.518,0.628,-0.161,0.83
0.5534830093383789,-0.662,0.675,-0.116,0.953
0.5638737678527832,-0.807,0.758,-0.121,1.114
0.5737209320068359,-1.035,0.781,-0.203,1.312
0.5838909149169922,-1.089,0.739,-0.356,1.363
0.5951988697052002,-1.104,0.717,-0.406,1.378
0.6050610542297363,-1.128,0.733,-0.397,1.403
0.6135098934173584,-1.094,0.723,-0.413,1.375
0.6237549781799316,-1.121,0.695,-0.398,1.378
0.6511540412902832,-1.477,0.714,-0.277,1.664
0.6517467498779297,-1.477,0.714,-0.277,1.664
0.652991771697998,-1.794,0.66,-0.316,1.937
0.6641979217529297,-1.833,0.58,-0.35,1.954
0.6737370491027832,-1.804,0.492,-0.311,1.896
0.6833968162536621,-1.702,0.426,-0.211,1.767
0.6947429180145264,-1.674,0.388,-0.069,1.72
0.7045907974243164,-1.729,0.36,0.091,1.768
0.7131068706512451,-1.803,0.353,0.187,1.847
0.7235798835754395,-1.846,0.334,0.246,1.892
0.753903865814209,-1.887,0.294,0.445,1.961
0.7545070648193359,-1.887,0.294,0.445,1.961
0.7547187805175781,-1.887,0.294,0.445,1.961
0.7626438140869141,-1.931,0.226,0.55,2.02
0.7729208469390869,-2.092,0.202,0.703,2.216
0.7838587760925293,-2.178,0.259,0.912,2.375
0.7951488494873047,-2.151,0.274,1.02,2.396
0.8051910400390625,-1.926,0.274,1.067,2.219
0.8134150505065918,-1.311,0.26,0.966,1.649
0.8232359886169434,-0.575,0.429,0.692,0.997
0.8481109142303467,-0.357,0.699,0.204,0.811
0.8487389087677002,-0.357,0.699,0.204,0.811
0.852262020111084,-0.735,0.68,0.235,1.029
