time,gFx,gFy,gFz,gFTotal
0.0017387866973876953,0.334,-0.06,-0.821,0.888
0.002917766571044922,0.334,-0.06,-0.821,0.888
0.003131866455078125,0.334,-0.06,-0.821,0.888
0.009833812713623047,0.302,-0.085,-1.045,1.091
0.01984882354736328,0.177,-0.167,-1.203,1.227
0.03012990951538086,0.027,-0.173,-1.181,1.194
0.04015493392944336,-0.077,-0.135,-1.128,1.139
0.05011487007141113,-0.092,-0.129,-1.042,1.054
0.06024479866027832,-0.031,-0.155,-0.94,0.953
0.07073974609375,0.036,-0.186,-0.919,0.938
0.09847784042358398,0.099,-0.247,-0.999,1.034
0.10012388229370117,0.096,-0.294,-0.908,0.959
0.10138368606567383,0.096,-0.294,-0.908,0.959
0.10953092575073242,0.07,-0.309,-0.864,0.92
0.11969995498657227,0.058,-0.326,-0.86,0.922
0.12976479530334473,0.067,-0.343,-0.848,0.917
0.13988971710205078,0.071,-0.353,-0.864,0.936
0.14985990524291992,0.064,-0.362,-0.917,0.988
0.1603226661682129,0.047,-0.353,-0.936,1.001
0.1705188751220703,0.015,-0.321,-0.918,0.973
0.19968485832214355,0.056,-0.267,-0.954,0.992
0.2012338638305664,0.056,-0.267,-0.954,0.992
0.2014470100402832,0.056,-0.267,-0.954,0.992
0.20906281471252441,0.089,-0.258,-0.944,0.983
0.2193758487701416,0.109,-0.254,-0.931,0.971
0.22933387756347656,0.123,-0.252,-0.916,0.958
0.23943686485290527,0.111,-0.254,-0.928,0.969
0.2492198944091797,0.066,-0.263,-0.948,0.986
0.2600698471069336,0.054,-0.284,-0.949,0.992
0.26976490020751953,0.022,-0.304,-0.942,0.99
0.3026118278503418,-0.035,-0.282,-0.879,0.924
0.3038167953491211,-0.035,-0.282,-0.879,0.924
0.3040318489074707,-0.035,-0.282,-0.879,0.924
0.3085308074951172,-0.052,-0.237,-0.856,0.89
0.31896281242370605,-0.044,-0.235,-0.769,0.805
0.3289909362792969,-0.029,-0.251,-0.755,0.796
0.3389706611633301,-0.046,-0.264,-0.831,0.873
0.34877967834472656,-0.082,-0.304,-0.864,0.92
0.3601388931274414,-0.221,-0.288,-0.957,1.024
0.36955976486206055,-0.405,-0.286,-0.975,1.094
0.39943695068359375,-0.496,-0.2,-0.872,1.023
0.40062785148620605,-0.496,-0.2,-0.872,1.023
0.40083980560302734,-0.496,-0.2,-0.872,1.023
0.4083409309387207,-0.414,-0.26,-0.817,0.952
0.4185347557067871,-0.287,-0.33,-0.738,0.858
0.42857789993286133,-0.217,-0.401,-0.687,0.825
