time,gFx,gFy,gFz,gFTotal
0.002254009246826172,0.027,-0.415,-0.886,0.979
0.0025730133056640625,0.027,-0.415,-0.886,0.979
0.002885103225708008,0.027,-0.415,-0.886,0.979
0.008892059326171875,0.021,-0.413,-0.879,0.971
0.01866292953491211,0.018,-0.413,-0.896,0.987
0.028563976287841797,0.018,-0.414,-0.917,1.006
0.03878593444824219,0.024,-0.423,-0.936,1.027
0.0511479377746582,0.035,-0.423,-0.948,1.039
0.0587460994720459,0.047,-0.412,-0.949,1.036
0.06927013397216797,0.049,-0.399,-0.94,1.022
0.09892010688781738,0.049,-0.381,-0.915,0.992
0.09923696517944336,0.049,-0.381,-0.915,0.992
0.09953117370605469,0.049,-0.381,-0.915,0.992
0.10841012001037598,0.046,-0.376,-0.907,0.983
0.11831903457641602,0.034,-0.388,-0.899,0.98
0.12811613082885742,0.034,-0.393,-0.896,0.979
0.1390841007232666,0.045,-0.394,-0.903,0.986
0.15064716339111328,0.049,-0.385,-0.913,0.992
0.1583099365234375,0.042,-0.383,-0.919,0.997
0.16882991790771484,0.035,-0.386,-0.921,0.999
0.19735407829284668,0.031,-0.395,-0.908,0.991
0.19772911071777344,0.031,-0.395,-0.908,0.991
0.19867610931396484,0.031,-0.395,-0.908,0.991
0.20826411247253418,0.027,-0.4,-0.914,0.998
0.2178051471710205,0.036,-0.398,-0.926,1.009
0.22785520553588867,0.045,-0.398,-0.932,1.014
0.23787403106689453,0.042,-0.408,-0.926,1.013
0.250946044921875,0.037,-0.416,-0.912,1.003
0.2576441764831543,0.041,-0.416,-0.903,0.995
0.268571138381958,0.051,-0.406,-0.9,0.989
0.2998981475830078,0.042,-0.386,-0.92,0.999
0.30048608779907227,0.042,-0.386,-0.92,0.999
0.30081701278686523,0.042,-0.386,-0.92,0.999
0.30713415145874023,0.042,-0.386,-0.924,1.002
0.3174419403076172,0.038,-0.386,-0.92,0.998
0.3276231288909912,0.031,-0.39,-0.913,0.993
0.337615966796875,0.029,-0.392,-0.91,0.991
0.3495302200317383,0.035,-0.387,-0.913,0.992
0.3574831485748291,0.037,-0.382,-0.919,0.996
0.36782026290893555,0.031,-0.381,-0.924,1.0
0.39543819427490234,0.027,-0.398,-0.919,1.002
0.39566612243652344,0.027,-0.398,-0.919,1.002
0.3969602584838867,0.028,-0.402,-0.902,0.988
0.4072420597076416,0.027,-0.407,-0.889,0.978
0.41719722747802734,0.029,-0.409,-0.89,0.98
0.42696213722229004,0.039,-0.403,-0.907,0.993
0.4371161460876465,0.05,-0.393,-0.931,1.012
0.4491000175476074,0.048,-0.386,-0.95,1.027
0.45702505111694336,0.044,-0.394,-0.953,1.032
0.46752405166625977,0.046,-0.406,-0.939,1.024
0.49405622482299805,0.05,-0.404,-0.893,0.981
0.49428415298461914,0.05,-0.404,-0.893,0.981
0.4963221549987793,0.054,-0.394,-0.887,0.972
0.5068202018737793,0.057,-0.382,-0.896,0.976
0.5169930458068848,0.059,-0.376,-0.908,0.985
0.5265321731567383,0.053,-0.381,-0.912,0.99
0.5373959541320801,0.045,-0.396,-0.912,0.995
0.5488710403442383,0.045,-0.409,-0.917,1.005
0.5567202568054199,0.054,-0.412,-0.928,1.017
0.5675230026245117,0.066,-0.407,-0.941,1.027
0.5966901779174805,0.073,-0.408,-0.93,1.018
0.5970320701599121,0.073,-0.408,-0.93,1.018
0.5973272323608398,0.073,-0.408,-0.93,1.018
0.6062712669372559,0.066,-0.402,-0.906,0.993
0.616793155670166,0.057,-0.398,-0.889,0.976
0.6262271404266357,0.049,-0.402,-0.889,0.977
0.6362719535827637,0.048,-0.406,-0.895,0.984
0.6488990783691406,0.052,-0.409,-0.901,0.991
0.6563539505004883,0.048,-0.408,-0.908,0.997
0.6672172546386719,0.047,-0.402,-0.918,1.003
0.6966960430145264,0.048,-0.384,-0.926,1.004
0.6970310211181641,0.048,-0.384,-0.926,1.004
0.6973390579223633,0.048,-0.384,-0.926,1.004
0.7058870792388916,0.042,-0.394,-0.918,1.0
0.7161049842834473,0.038,-0.398,-0.91,0.994
0.7258310317993164,0.036,-0.401,-0.906,0.991
0.7367250919342041,0.031,-0.402,-0.913,0.998
0.7479782104492188,0.029,-0.401,-0.929,1.012
0.7559080123901367,0.034,-0.401,-0.942,1.024
0.7661552429199219,0.039,-0.396,-0.944,1.024
0.7960829734802246,0.029,-0.391,-0.917,0.997
0.796417236328125,0.029,-0.391,-0.917,0.997
0.7967171669006348,0.029,-0.391,-0.917,0.997
0.8055100440979004,0.027,-0.389,-0.9,0.981
0.815554141998291,0.021,-0.391,-0.888,0.97
0.8254542350769043,0.015,-0.393,-0.888,0.971
0.8361160755157471,0.014,-0.388,-0.903,0.983
0.8480250835418701,0.015,-0.379,-0.918,0.993
0.8553500175476074,0.014,-0.378,-0.93,1.004
0.8660249710083008,0.013,-0.394,-0.94,1.019
0.8964841365814209,0.026,-0.4,-0.93,1.013
0.8968062400817871,0.026,-0.4,-0.93,1.013
0.8971052169799805,0.026,-0.4,-0.93,1.013
0.9051001071929932,0.028,-0.399,-0.933,1.015
0.9152181148529053,0.031,-0.397,-0.942,1.023
0.925058126449585,0.033,-0.396,-0.937,1.018
0.9358041286468506,0.024,-0.401,-0.918,1.002
0.9477429389953613,0.02,-0.401,-0.9,0.985
0.9551892280578613,0.025,-0.395,-0.89,0.974
0.9654049873352051,0.025,-0.391,-0.89,0.972
0.9968271255493164,0.035,-0.395,-0.924,1.005
0.9973981380462646,0.035,-0.395,-0.924,1.005
0.9977202415466309,0.035,-0.395,-0.924,1.005
1.0046451091766357,0.041,-0.394,-0.938,1.018
1.0146570205688477,0.042,-0.394,-0.945,1.025
1.024773120880127,0.045,-0.406,-0.946,1.03
1.0353689193725586,0.048,-0.415,-0.942,1.03
1.0464839935302734,0.051,-0.416,-0.933,1.023
1.0541801452636719,0.052,-0.412,-0.917,1.007
1.0651092529296875,0.045,-0.407,-0.907,0.995
1.094567060470581,0.04,-0.399,-0.904,0.989
1.0953102111816406,0.04,-0.399,-0.904,0.989
1.0955939292907715,0.04,-0.399,-0.904,0.989
1.1043329238891602,0.033,-0.396,-0.895,0.979
1.114044189453125,0.033,-0.396,-0.891,0.976
1.1244029998779297,0.037,-0.393,-0.893,0.976
1.1351189613342285,0.038,-0.387,-0.904,0.984
1.146644115447998,0.025,-0.389,-0.919,0.998
1.154496192932129,0.02,-0.398,-0.932,1.014
1.1643431186676025,0.021,-0.401,-0.935,1.018
1.193716049194336,0.016,-0.419,-0.905,0.997
1.1941461563110352,0.016,-0.419,-0.905,0.997
1.1950531005859375,0.016,-0.419,-0.905,0.997
1.203732967376709,0.016,-0.418,-0.89,0.983
1.2141001224517822,0.017,-0.414,-0.882,0.974
1.2238669395446777,0.007,-0.407,-0.874,0.964
1.2344670295715332,-0.005,-0.409,-0.874,0.965
1.2466659545898438,-0.013,-0.417,-0.879,0.973
1.25341796875,-0.01,-0.427,-0.888,0.985
1.264303207397461,-0.002,-0.435,-0.9,1.0
1.293213129043579,0.024,-0.431,-0.957,1.05
1.2937660217285156,0.024,-0.431,-0.957,1.05
1.2950220108032227,0.024,-0.431,-0.957,1.05
1.3035340309143066,0.013,-0.427,-0.947,1.039
1.3135321140289307,0.001,-0.432,-0.928,1.024
1.3234729766845703,-0.006,-0.435,-0.909,1.008
1.3345911502838135,-0.013,-0.432,-0.882,0.982
1.3460521697998047,-0.025,-0.431,-0.861,0.963
1.3533482551574707,-0.036,-0.429,-0.85,0.953
1.3640031814575195,-0.033,-0.431,-0.858,0.961
1.393887996673584,-0.01,-0.454,-0.908,1.015
1.3942101001739502,-0.01,-0.454,-0.908,1.015
1.3945190906524658,-0.01,-0.454,-0.908,1.015
1.403090000152588,0.008,-0.459,-0.924,1.032
1.4132590293884277,0.005,-0.45,-0.93,1.033
1.423044204711914,-0.006,-0.44,-0.926,1.025
1.4339652061462402,-0.012,-0.437,-0.926,1.024
1.445810079574585,-0.014,-0.438,-0.917,1.016
1.4532010555267334,-0.022,-0.437,-0.903,1.003
1.4636640548706055,-0.035,-0.432,-0.887,0.987
1.4939541816711426,-0.048,-0.441,-0.877,0.983
1.4942760467529297,-0.048,-0.441,-0.877,0.983
1.4946022033691406,-0.048,-0.441,-0.877,0.983
1.5026869773864746,-0.034,-0.44,-0.893,0.996
1.512756109237671,-0.019,-0.442,-0.919,1.02
1.5226612091064453,-0.012,-0.446,-0.944,1.044
1.5333530902862549,-0.014,-0.451,-0.947,1.049
1.5454769134521484,-0.019,-0.453,-0.93,1.035
1.552502155303955,-0.022,-0.454,-0.909,1.016
1.5633149147033691,-0.021,-0.449,-0.896,1.002
1.5915989875793457,-0.037,-0.442,-0.88,0.985
1.5922131538391113,-0.037,-0.442,-0.88,0.985
1.5934481620788574,-0.037,-0.442,-0.88,0.985
1.6022441387176514,-0.04,-0.444,-0.876,0.983
1.6122901439666748,-0.039,-0.443,-0.869,0.976
1.6221671104431152,-0.037,-0.445,-0.861,0.97
1.6329550743103027,-0.038,-0.446,-0.865,0.974
1.6448791027069092,-0.031,-0.443,-0.877,0.983
1.652198076248169,-0.027,-0.439,-0.887,0.99
1.6634039878845215,-0.034,-0.443,-0.888,0.993
1.6937012672424316,-0.033,-0.457,-0.892,1.003
1.6940231323242188,-0.033,-0.457,-0.892,1.003
1.694331169128418,-0.033,-0.457,-0.892,1.003
1.701909065246582,-0.03,-0.454,-0.897,1.006
1.7119591236114502,-0.027,-0.458,-0.908,1.017
1.7218332290649414,-0.028,-0.456,-0.918,1.025
1.7319679260253906,-0.028,-0.447,-0.917,1.021
1.7439451217651367,-0.025,-0.447,-0.902,1.007
1.7517530918121338,-0.031,-0.445,-0.889,0.995
1.7622361183166504,-0.03,-0.438,-0.886,0.989
1.7901592254638672,-0.028,-0.442,-0.884,0.989
1.79038405418396,-0.028,-0.442,-0.884,0.989
1.7916460037231445,-0.029,-0.447,-0.885,0.992
1.801537036895752,-0.037,-0.445,-0.887,0.993
1.8115530014038086,-0.044,-0.443,-0.884,0.99
1.821444034576416,-0.049,-0.446,-0.882,0.99
1.8313331604003906,-0.054,-0.448,-0.888,0.996
1.8426661491394043,-0.059,-0.45,-0.901,1.009
1.8518791198730469,-0.055,-0.452,-0.912,1.019
1.8624820709228516,-0.051,-0.451,-0.916,1.022
1.8838551044464111,-0.044,-0.461,-0.903,1.015
1.8840789794921875,-0.044,-0.461,-0.903,1.015
1.8908419609069824,-0.041,-0.465,-0.889,1.004
1.9007041454315186,-0.04,-0.458,-0.878,0.991
1.910959243774414,-0.04,-0.457,-0.879,0.992
1.9209821224212646,-0.035,-0.46,-0.889,1.002
1.9309630393981934,-0.029,-0.465,-0.895,1.009
1.9423251152038574,-0.028,-0.469,-0.894,1.01
1.9514000415802002,-0.028,-0.467,-0.889,1.005
1.961050033569336,-0.026,-0.458,-0.892,1.003
1.9904451370239258,-0.032,-0.452,-0.903,1.01
1.9908320903778076,-0.032,-0.452,-0.903,1.01
1.9918270111083984,-0.032,-0.452,-0.903,1.01
2.0006799697875977,-0.029,-0.457,-0.895,1.005
2.010694980621338,-0.023,-0.458,-0.88,0.992
2.02048921585083,-0.023,-0.454,-0.867,0.979
2.0305941104888916,-0.028,-0.455,-0.862,0.975
2.042713165283203,-0.031,-0.452,-0.863,0.975
2.0505621433258057,-0.026,-0.451,-0.867,0.978
2.0607030391693115,-0.021,-0.448,-0.87,0.979
2.088992118835449,-0.021,-0.449,-0.896,1.002
2.0892181396484375,-0.021,-0.449,-0.896,1.002
2.090419054031372,-0.017,-0.452,-0.913,1.019
2.100358009338379,-0.015,-0.456,-0.916,1.023
2.111609935760498,-0.02,-0.46,-0.909,1.019
2.120258092880249,-0.024,-0.469,-0.897,1.012
2.130263090133667,-0.021,-0.465,-0.882,0.997
2.1430301666259766,-0.023,-0.449,-0.876,0.985
2.150184154510498,-0.03,-0.44,-0.882,0.986
2.160944938659668,-0.034,-0.445,-0.892,0.997
