time,gFx,gFy,gFz,gFTotal
0.005614042282104492,-0.042,-0.128,-0.945,0.955
0.01569509506225586,-0.025,-0.135,-0.934,0.944
0.026103973388671875,-0.0,-0.141,-0.978,0.988
0.054293155670166016,0.004,-0.183,-1.048,1.064
0.0544891357421875,-0.026,-0.167,-1.019,1.033
0.05583000183105469,-0.026,-0.167,-1.019,1.033
0.06490421295166016,-0.048,-0.138,-1.008,1.019
0.0748910903930664,-0.067,-0.137,-1.023,1.034
0.08507704734802246,-0.072,-0.138,-1.026,1.038
0.09472799301147461,-0.072,-0.131,-1.027,1.038
0.10559892654418945,-0.064,-0.127,-1.021,1.031
0.11507105827331543,-0.051,-0.123,-1.016,1.025
0.1255631446838379,-0.038,-0.119,-1.005,1.013
0.15415191650390625,-0.029,-0.139,-0.949,0.96
0.15444707870483398,-0.029,-0.139,-0.949,0.96
0.15551209449768066,-0.029,-0.139,-0.949,0.96
0.16446304321289062,-0.029,-0.146,-0.935,0.947
0.17438697814941406,-0.028,-0.153,-0.917,0.93
0.1851348876953125,-0.029,-0.158,-0.904,0.918
0.1949748992919922,-0.033,-0.164,-0.905,0.92
0.204833984375,-0.041,-0.171,-0.903,0.92
0.21471595764160156,-0.048,-0.171,-0.895,0.912
0.2251439094543457,-0.053,-0.168,-0.9,0.917
0.25333213806152344,-0.053,-0.177,-0.878,0.897
0.2535219192504883,-0.068,-0.194,-0.864,0.888
0.254749059677124,-0.068,-0.194,-0.864,0.888
0.2642068862915039,-0.077,-0.195,-0.846,0.872
0.2740321159362793,-0.083,-0.155,-0.872,0.89
0.2839179039001465,-0.092,-0.123,-0.896,0.909
0.2945220470428467,-0.098,-0.104,-0.905,0.916
0.30472707748413086,-0.108,-0.113,-0.888,0.902
0.3143959045410156,-0.119,-0.11,-0.86,0.875
0.3247840404510498,-0.14,-0.114,-0.83,0.849
0.3547511100769043,-0.105,-0.107,-0.748,0.763
0.35494208335876465,-0.105,-0.107,-0.748,0.763
0.35510802268981934,-0.105,-0.107,-0.748,0.763
0.36369895935058594,-0.033,-0.137,-0.724,0.738
0.3736870288848877,-0.016,-0.172,-0.678,0.7
0.38427209854125977,0.01,-0.141,-0.67,0.685
0.3941631317138672,0.019,-0.124,-0.753,0.763
0.4042391777038574,-0.087,-0.249,-0.718,0.765
0.4140970706939697,-0.307,-0.216,-0.721,0.813
0.4244050979614258,-0.492,-0.182,-0.682,0.86
0.4546530246734619,-0.566,-0.183,-0.441,0.74
0.45485687255859375,-0.566,-0.183,-0.441,0.74
0.4550199508666992,-0.566,-0.183,-0.441,0.74
0.46329593658447266,-0.479,-0.116,-0.464,0.677
0.47396087646484375,-0.408,-0.08,-0.506,0.655
0.48343420028686523,-0.375,-0.065,-0.565,0.681
0.49403905868530273,-0.41,-0.055,-0.594,0.724
0.5035891532897949,-0.345,0.054,-0.556,0.657
0.5138530731201172,-0.272,0.074,-0.594,0.657
0.5243902206420898,-0.27,0.016,-0.74,0.788
0.5551691055297852,-0.085,0.111,-0.615,0.631
0.5553579330444336,-0.085,0.111,-0.615,0.631
0.5555210113525391,-0.085,0.111,-0.615,0.631
0.5627460479736328,-0.036,0.16,-0.51,0.536
0.5735900402069092,-0.029,0.202,-0.387,0.438
0.5830769538879395,-0.126,0.242,-0.256,0.374
0.5932490825653076,-0.35,0.3,-0.137,0.481
0.603215217590332,-0.733,0.187,0.076,0.76
0.6132910251617432,-1.213,0.0,0.508,1.315
0.6237421035766602,-1.581,-0.033,0.478,1.652
0.6541528701782227,-1.282,-0.055,-0.495,1.375
0.6543421745300293,-1.282,-0.055,-0.495,1.375
0.6545028686523438,-1.282,-0.055,-0.495,1.375
0.6622772216796875,-1.087,0.004,-0.828,1.366
0.6732878684997559,-0.859,0.133,-1.172,1.459
0.6825551986694336,-0.704,0.067,-1.508,1.666
0.6931281089782715,-0.836,0.098,-1.657,1.859
0.7026848793029785,-1.045,0.081,-1.615,1.925
0.7128419876098633,-1.252,0.078,-1.435,1.906
0.7231080532073975,-1.421,0.127,-1.207,1.869
0.7351820468902588,-1.46,0.069,-0.901,1.717
0.7546181678771973,-1.5,-0.011,-0.453,1.567
0.7548141479492188,-1.5,-0.011,-0.453,1.567
0.7618789672851562,-1.493,-0.017,-0.306,1.524
0.7744660377502441,-1.506,-0.002,-0.263,1.529
0.7820949554443359,-1.519,0.007,-0.229,1.536
0.7928500175476074,-1.548,0.03,-0.178,1.558
0.8024959564208984,-1.502,0.003,-0.12,1.507
0.8125240802764893,-1.413,0.027,-0.085,1.416
0.8224930763244629,-1.318,0.045,-0.089,1.322
0.8504891395568848,-1.253,0.053,-0.216,1.273
0.8507199287414551,-1.253,0.053,-0.216,1.273
0.8520798683166504,-1.225,0.05,-0.265,1.254
0.8617510795593262,-1.307,0.03,-0.259,1.333
0.8716909885406494,-1.36,-0.024,-0.194,1.374
0.8814859390258789,-1.378,-0.029,-0.132,1.385
0.8923790454864502,-1.381,-0.045,-0.104,1.386
0.9022531509399414,-1.392,-0.017,-0.022,1.392
0.9121298789978027,-1.425,0.034,0.248,1.447
0.9222700595855713,-1.401,0.051,0.648,1.544
0.9523119926452637,-0.969,0.336,0.034,1.026
0.9525060653686523,-0.969,0.336,0.034,1.026
0.952672004699707,-0.969,0.336,0.034,1.026
0.9612300395965576,-0.899,0.389,0.078,0.983
0.9712131023406982,-0.89,0.391,0.057,0.974
