time,gFx,gFy,gFz,gFTotal
0.004625082015991211,0.068,-0.189,-1.05,1.069
0.01513528823852539,0.055,-0.211,-1.032,1.055
0.02513599395751953,0.067,-0.177,-1.16,1.175
0.035130977630615234,0.053,-0.157,-1.204,1.215
0.06552910804748535,0.005,-0.194,-1.219,1.234
0.06566524505615234,0.005,-0.194,-1.219,1.234
0.06577730178833008,0.005,-0.194,-1.219,1.234
0.07419824600219727,0.018,-0.183,-1.191,1.205
0.0842742919921875,0.05,-0.177,-1.145,1.16
0.09412097930908203,0.087,-0.185,-1.123,1.141
0.10419321060180664,0.103,-0.195,-1.131,1.152
0.11400508880615234,0.099,-0.193,-1.155,1.175
0.12475824356079102,0.077,-0.184,-1.169,1.186
0.13467812538146973,0.044,-0.164,-1.174,1.186
0.16577625274658203,-0.009,-0.078,-1.233,1.235
0.16591119766235352,-0.009,-0.078,-1.233,1.235
0.16602420806884766,-0.009,-0.078,-1.233,1.235
0.17361211776733398,0.001,-0.062,-1.233,1.235
0.1838979721069336,0.018,-0.053,-1.199,1.2
0.19374608993530273,0.038,-0.041,-1.145,1.146
0.20384812355041504,0.059,-0.046,-1.099,1.102
0.21410107612609863,0.068,-0.069,-1.051,1.055
0.22435331344604492,0.062,-0.094,-0.999,1.005
0.23451900482177734,0.053,-0.108,-0.95,0.958
0.2672591209411621,-0.039,-0.166,-0.758,0.777
0.26745128631591797,-0.039,-0.166,-0.758,0.777
0.267611026763916,-0.039,-0.166,-0.758,0.777
0.2733440399169922,-0.058,-0.17,-0.706,0.728
0.283627986907959,-0.072,-0.167,-0.698,0.721
0.2934880256652832,-0.073,-0.164,-0.721,0.743
0.3041040897369385,-0.061,-0.159,-0.738,0.757
0.31394219398498535,-0.049,-0.145,-0.727,0.743
0.323760986328125,-0.051,-0.114,-0.736,0.747
0.3343961238861084,-0.047,-0.112,-0.738,0.748
0.3682680130004883,0.019,-0.184,-0.806,0.827
0.36846017837524414,0.019,-0.184,-0.806,0.827
0.3686223030090332,0.019,-0.184,-0.806,0.827
0.37295007705688477,-0.004,-0.186,-0.803,0.824
0.3830752372741699,-0.069,-0.171,-0.759,0.781
0.3930239677429199,-0.126,-0.147,-0.727,0.752
0.4036221504211426,-0.175,-0.137,-0.721,0.754
0.4134831428527832,-0.163,-0.17,-0.74,0.777
0.42351722717285156,-0.089,-0.232,-0.744,0.784
0.433549165725708,-0.019,-0.278,-0.751,0.801
0.46614503860473633,0.07,-0.255,-0.743,0.789
0.46633410453796387,0.07,-0.255,-0.743,0.789
0.4664931297302246,0.07,-0.255,-0.743,0.789
0.472562313079834,0.073,-0.262,-0.822,0.866
0.4826371669769287,0.09,-0.307,-0.901,0.956
0.4925413131713867,0.063,-0.35,-0.94,1.005
0.5032210350036621,-0.082,-0.335,-0.905,0.968
0.5128490924835205,-0.138,-0.315,-0.865,0.931
0.5231351852416992,-0.169,-0.353,-0.82,0.909
0.5328941345214844,-0.183,-0.38,-0.805,0.909
0.564697265625,0.062,-0.429,-0.856,0.959
0.5648579597473145,0.062,-0.429,-0.856,0.959
0.5649709701538086,0.062,-0.429,-0.856,0.959
0.5722479820251465,0.117,-0.415,-0.925,1.021
0.5821890830993652,0.093,-0.383,-1.073,1.143
0.5922250747680664,-0.013,-0.266,-1.179,1.209
0.6027591228485107,-0.179,-0.136,-1.156,1.178
0.612476110458374,-0.26,-0.125,-1.104,1.141
0.6223251819610596,-0.253,-0.187,-1.105,1.149
0.6331350803375244,-0.218,-0.22,-1.069,1.113
0.6674599647521973,-0.048,-0.232,-1.134,1.158
0.6676530838012695,-0.048,-0.232,-1.134,1.158
0.6678142547607422,-0.048,-0.232,-1.134,1.158
0.6716551780700684,-0.1,-0.126,-1.217,1.228
0.6819519996643066,-0.174,-0.034,-1.264,1.276
0.6917819976806641,-0.235,0.023,-1.285,1.307
0.702369213104248,-0.299,0.049,-1.262,1.298
0.7122621536254883,-0.367,0.059,-1.177,1.234
0.7220871448516846,-0.39,0.057,-1.08,1.15
0.7325031757354736,-0.39,0.056,-1.005,1.079
0.7668089866638184,-0.344,0.11,-0.873,0.945
0.767003059387207,-0.344,0.11,-0.873,0.945
0.7671651840209961,-0.344,0.11,-0.873,0.945
0.771273136138916,-0.32,0.143,-0.827,0.898
0.7816720008850098,-0.291,0.17,-0.782,0.852
0.7912859916687012,-0.264,0.192,-0.741,0.81
0.8019170761108398,-0.26,0.216,-0.678,0.758
0.8114762306213379,-0.335,0.288,-0.617,0.759
0.8218340873718262,-0.286,0.279,-0.545,0.676
0.8321421146392822,-0.233,0.226,-0.464,0.566
0.8646070957183838,-0.278,0.14,-0.103,0.328
0.8648011684417725,-0.278,0.14,-0.103,0.328
0.8649630546569824,-0.278,0.14,-0.103,0.328
0.8708510398864746,-0.362,0.163,-0.063,0.402
0.8811671733856201,-0.433,0.195,-0.062,0.479
0.8910632133483887,-0.461,0.203,-0.139,0.523
0.9016151428222656,-0.472,0.218,-0.269,0.585
0.9115021228790283,-0.48,0.287,-0.317,0.643
0.9216899871826172,-0.483,0.338,-0.294,0.659
0.9316151142120361,-0.537,0.325,-0.276,0.686
0.9651212692260742,-0.884,0.191,-0.165,0.919
0.9653110504150391,-0.884,0.191,-0.165,0.919
0.9654712677001953,-0.884,0.191,-0.165,0.919
0.9704961776733398,-0.915,0.172,-0.221,0.957
0.9804472923278809,-0.908,0.181,-0.359,0.993
0.9904580116271973,-0.935,0.21,-0.446,1.057
1.0011372566223145,-1.047,0.292,-0.441,1.173
1.0111300945281982,-1.155,0.277,-0.436,1.265
1.0206201076507568,-1.346,0.167,-0.323,1.394
1.0314280986785889,-1.543,0.073,-0.229,1.562
1.064042091369629,-1.632,-0.077,-0.444,1.693
1.0642321109771729,-1.632,-0.077,-0.444,1.693
1.0644071102142334,-1.632,-0.077,-0.444,1.693
1.0700020790100098,-1.666,-0.076,-0.485,1.737
1.0802221298217773,-1.766,-0.105,-0.428,1.82
1.0900330543518066,-1.869,-0.183,-0.239,1.893
1.1006150245666504,-1.873,-0.272,-0.018,1.893
1.1105732917785645,-1.805,-0.328,0.167,1.842
1.120826244354248,-1.681,-0.326,0.163,1.72
1.1306800842285156,-1.505,-0.263,0.045,1.528
1.1636261940002441,-1.362,-0.098,-0.083,1.368
1.1638402938842773,-1.362,-0.098,-0.083,1.368
1.163999080657959,-1.362,-0.098,-0.083,1.368
1.1695952415466309,-1.448,-0.039,0.056,1.45
1.179793119430542,-1.5,-0.025,0.248,1.521
1.18996000289917,-1.551,-0.067,0.393,1.601
1.2003271579742432,-1.575,0.009,0.564,1.673
1.2101881504058838,-1.595,0.118,0.616,1.714
1.2199101448059082,-1.569,0.106,0.518,1.656
1.2303199768066406,-1.546,0.137,0.402,1.603
1.263756275177002,-1.201,0.328,0.097,1.249
1.2639470100402832,-1.201,0.328,0.097,1.249
1.2641081809997559,-1.201,0.328,0.097,1.249
1.2692081928253174,-0.997,0.383,-0.099,1.073
1.279292106628418,-0.826,0.47,-0.354,1.014
1.2892680168151855,-0.755,0.52,-0.6,1.096
1.3000750541687012,-0.742,0.641,-0.54,1.119
1.3098602294921875,-0.75,0.681,-0.215,1.036
1.319535255432129,-0.819,0.612,0.08,1.026
1.329909086227417,-0.821,0.506,0.145,0.975
1.3624272346496582,-0.624,0.499,-0.034,0.8
1.362637996673584,-0.624,0.499,-0.034,0.8
1.3628172874450684,-0.624,0.499,-0.034,0.8
1.3688151836395264,-0.686,0.504,-0.007,0.851
1.3789782524108887,-0.771,0.499,0.044,0.919
1.3888282775878906,-0.797,0.469,0.117,0.932
1.3988432884216309,-0.793,0.418,0.126,0.905
1.409609079360962,-0.835,0.33,0.156,0.911
1.419297218322754,-0.837,0.207,0.187,0.882
1.4293999671936035,-0.847,0.107,0.235,0.885
1.462313175201416,-1.044,0.002,0.194,1.062
1.462501049041748,-1.044,0.002,0.194,1.062
1.4626681804656982,-1.044,0.002,0.194,1.062
1.468412160873413,-1.068,-0.016,0.25,1.097
1.478581190109253,-1.042,-0.011,0.31,1.087
1.4884462356567383,-0.993,0.006,0.341,1.05
1.4993171691894531,-0.969,0.005,0.321,1.021
1.508965015411377,-0.918,0.035,0.206,0.941
1.5184121131896973,-0.873,-0.049,0.143,0.886
1.52903413772583,-0.852,-0.084,0.045,0.857
1.5616040229797363,-1.009,-0.002,-0.25,1.04
1.5617961883544922,-1.009,-0.002,-0.25,1.04
1.5619592666625977,-1.009,-0.002,-0.25,1.04
1.568021297454834,-1.006,-0.02,-0.215,1.029
1.578108310699463,-0.994,-0.019,-0.109,1.0
1.5880250930786133,-0.971,-0.007,-0.013,0.971
1.5982670783996582,-0.983,0.01,0.042,0.984
1.60872220993042,-0.97,0.027,0.136,0.98
1.6181550025939941,-0.885,0.03,0.216,0.911
1.6287941932678223,-0.81,0.044,0.273,0.856
1.6619951725006104,-0.815,0.285,0.69,1.105
1.6621861457824707,-0.815,0.285,0.69,1.105
1.6623482704162598,-0.815,0.285,0.69,1.105
1.6675641536712646,-0.87,0.345,0.592,1.107
1.6777210235595703,-0.956,0.365,0.383,1.093
1.6874351501464844,-1.038,0.338,0.233,1.116
1.6983599662780762,-1.122,0.285,0.174,1.171
1.7081351280212402,-1.24,0.264,0.18,1.281
1.7180471420288086,-1.323,0.248,0.244,1.368
1.728102207183838,-1.299,0.273,0.275,1.356
1.760857105255127,-1.247,0.338,0.188,1.306
1.761047124862671,-1.247,0.338,0.188,1.306
1.7612171173095703,-1.247,0.338,0.188,1.306
1.7671799659729004,-1.186,0.3,0.142,1.232
1.7773301601409912,-1.161,0.269,0.118,1.198
1.7872400283813477,-1.197,0.288,0.022,1.231
1.7980701923370361,-1.355,0.271,-0.115,1.387
1.8080151081085205,-1.429,0.262,-0.116,1.457
1.8173179626464844,-1.484,0.283,0.067,1.512
1.8277411460876465,-1.538,0.312,0.442,1.63
1.8608531951904297,-1.062,0.521,0.174,1.196
1.861063003540039,-1.062,0.521,0.174,1.196
1.8612260818481445,-1.062,0.521,0.174,1.196
1.8668832778930664,-1.025,0.506,0.121,1.149
