time,gFx,gFy,gFz,gFTotal
0.0026161670684814453,0.11,-0.227,-0.96,0.993
0.011868953704833984,0.095,-0.221,-0.931,0.962
0.021008014678955078,0.093,-0.199,-0.943,0.968
0.04110002517700195,0.118,-0.231,-0.903,0.94
0.041676998138427734,0.118,-0.231,-0.903,0.94
0.05084228515625,0.13,-0.265,-0.872,0.921
0.061810970306396484,0.152,-0.288,-0.875,0.934
0.07336211204528809,0.208,-0.278,-0.906,0.97
0.08135509490966797,0.203,-0.269,-0.924,0.984
0.09167814254760742,0.142,-0.279,-0.927,0.978
0.10172796249389648,0.112,-0.301,-0.935,0.989
0.1119532585144043,0.145,-0.306,-0.919,0.979
0.12207818031311035,0.185,-0.287,-0.932,0.993
0.14458322525024414,0.192,-0.287,-0.985,1.044
0.145219087600708,0.192,-0.287,-0.985,1.044
0.1519002914428711,0.184,-0.253,-0.918,0.97
0.1620321273803711,0.107,-0.311,-0.877,0.937
0.17397713661193848,0.108,-0.302,-0.914,0.969
0.1819610595703125,0.127,-0.283,-0.966,1.015
0.19263315200805664,0.109,-0.286,-0.966,1.013
0.2022099494934082,0.049,-0.259,-0.982,1.017
0.21257925033569336,0.007,-0.241,-0.974,1.003
0.22242212295532227,-0.033,-0.272,-0.883,0.925
0.24474716186523438,-0.143,-0.308,-0.804,0.873
0.24544215202331543,-0.143,-0.308,-0.804,0.873
0.25235795974731445,-0.114,-0.328,-0.853,0.921
0.26261210441589355,-0.067,-0.347,-0.877,0.946
0.27461910247802734,-0.081,-0.343,-0.795,0.87
0.28235912322998047,-0.139,-0.298,-0.665,0.742
0.29238009452819824,-0.176,-0.238,-0.568,0.641
0.30242300033569336,-0.212,-0.142,-0.493,0.555
0.31243228912353516,-0.206,-0.029,-0.555,0.593
0.3234710693359375,0.1,0.146,-0.718,0.739
0.3455371856689453,0.035,0.072,-0.922,0.925
0.34638023376464844,0.035,0.072,-0.922,0.925
0.35300612449645996,-0.233,-0.096,-0.939,0.972
0.36324024200439453,-0.411,-0.026,-0.827,0.924
0.3755030632019043,-0.522,0.091,-0.611,0.809
0.3834571838378906,-0.553,0.098,-0.588,0.813
0.39336609840393066,-0.502,0.152,-0.602,0.798
0.40328311920166016,-0.415,0.277,-0.708,0.866
0.41369009017944336,-0.327,0.379,-0.784,0.93
0.42377614974975586,-0.318,0.418,-0.761,0.925
0.44742298126220703,-0.507,0.323,-0.742,0.955
0.44814014434814453,-0.507,0.323,-0.742,0.955
0.45312023162841797,-0.675,0.335,-0.779,1.084
0.4638981819152832,-0.74,0.324,-0.878,1.193
0.4758281707763672,-0.749,0.304,-1.006,1.291
0.4839150905609131,-0.788,0.29,-0.999,1.305
0.49416112899780273,-0.904,0.228,-0.923,1.312
0.5040512084960938,-1.005,0.158,-0.858,1.331
0.5141940116882324,-1.196,0.098,-0.89,1.494
0.5243191719055176,-1.363,0.048,-0.865,1.615
0.5460829734802246,-1.536,-0.218,-0.737,1.718
0.5469250679016113,-1.536,-0.218,-0.737,1.718
0.5539259910583496,-1.535,-0.368,-0.625,1.698
0.5645632743835449,-1.543,-0.533,-0.496,1.706
0.5760481357574463,-1.538,-0.69,-0.356,1.723
0.5841422080993652,-1.548,-0.789,-0.201,1.749
0.5945591926574707,-1.643,-0.794,-0.119,1.829
0.6042351722717285,-1.761,-0.705,-0.046,1.897
0.614631175994873,-1.761,-0.611,0.074,1.865
0.6252601146697998,-1.695,-0.567,0.161,1.795
0.6464662551879883,-1.399,-0.491,0.35,1.523
0.6466281414031982,-1.399,-0.491,0.35,1.523
0.6560840606689453,-1.322,-0.501,0.434,1.479
0.6654872894287109,-1.197,-0.515,0.524,1.404
0.6768412590026855,-1.114,-0.409,0.527,1.298
0.6848881244659424,-1.059,-0.296,0.477,1.199
0.6951770782470703,-1.044,-0.294,0.412,1.16
0.7052900791168213,-1.008,-0.227,0.393,1.105
0.7152371406555176,-0.941,-0.139,0.324,1.005
0.7256560325622559,-0.873,-0.094,0.314,0.933
0.745908260345459,-0.791,-0.033,0.428,0.9
0.7464621067047119,-0.791,-0.033,0.428,0.9
0.7548511028289795,-0.789,0.0,0.378,0.875
0.7657191753387451,-0.846,0.049,0.243,0.882
0.7773711681365967,-0.877,0.118,0.204,0.908
0.7853269577026367,-0.905,0.139,0.321,0.97
0.7956011295318604,-0.963,0.11,0.334,1.025
0.8057003021240234,-0.955,0.12,0.154,0.975
0.8159952163696289,-0.855,0.222,0.059,0.885
0.8261532783508301,-0.813,0.246,-0.003,0.849
0.8484592437744141,-0.817,0.322,0.0,0.878
0.8493490219116211,-0.817,0.322,0.0,0.878
0.855506181716919,-0.83,0.34,-0.019,0.897
0.8664381504058838,-0.87,0.384,0.008,0.951
0.8785381317138672,-0.926,0.445,0.015,1.027
0.8860201835632324,-1.019,0.483,-0.012,1.128
0.8964252471923828,-1.138,0.547,0.035,1.263
0.9065711498260498,-1.257,0.613,0.181,1.41
0.9166841506958008,-1.267,0.649,0.197,1.437
0.9268202781677246,-1.166,0.654,-0.007,1.337
0.9490742683410645,-0.778,0.57,-0.126,0.973
0.9492471218109131,-0.778,0.57,-0.126,0.973
0.956052303314209,-0.725,0.599,-0.099,0.946
0.9670240879058838,-0.787,0.634,-0.062,1.013
0.9792490005493164,-0.814,0.529,-0.118,0.978
0.9865002632141113,-0.852,0.604,-0.073,1.047
0.997230052947998,-0.885,0.728,-0.007,1.146
1.007406234741211,-0.956,0.737,-0.103,1.211
1.0172772407531738,-0.991,0.682,-0.181,1.217
1.028055191040039,-0.961,0.604,-0.094,1.139
1.050065040588379,-0.869,0.488,0.113,1.003
1.0511741638183594,-0.869,0.488,0.113,1.003
1.0575432777404785,-0.84,0.414,0.143,0.947
1.0676202774047852,-0.79,0.35,0.175,0.882
1.0794200897216797,-0.645,0.318,0.21,0.749
1.0870990753173828,-0.599,0.339,0.124,0.699
1.0975522994995117,-0.675,0.415,0.033,0.793
1.1084980964660645,-0.65,0.52,-0.105,0.839
1.1176342964172363,-0.641,0.69,-0.096,0.947
1.1287322044372559,-0.696,0.845,0.105,1.1
1.1533920764923096,-0.513,0.954,0.228,1.107
1.1543331146240234,-0.513,0.954,0.228,1.107
1.157217025756836,-0.538,0.981,0.141,1.128
1.1688001155853271,-0.549,0.889,0.102,1.05
1.181732177734375,-0.544,0.792,0.055,0.962
1.18743896484375,-0.465,0.765,0.06,0.897
1.197756290435791,-0.346,0.777,0.046,0.852
1.2076311111450195,-0.377,0.809,0.005,0.893
1.2176790237426758,-0.424,0.822,-0.071,0.928
1.2279021739959717,-0.471,0.921,-0.133,1.043
1.2461471557617188,-0.365,1.127,-0.233,1.207
1.2478599548339844,-0.277,1.158,-0.312,1.231
1.257972240447998,-0.247,1.141,-0.271,1.198
1.2680420875549316,-0.172,1.25,-0.205,1.278
1.2803692817687988,-0.187,1.188,-0.05,1.204
1.2883362770080566,-0.23,1.043,0.182,1.083
1.2986640930175781,-0.235,0.952,0.306,1.027
1.3089981079101562,-0.249,0.887,0.238,0.952
1.3187031745910645,-0.273,0.869,0.123,0.919
1.3291511535644531,-0.252,0.925,0.078,0.962
1.3413751125335693,-0.21,1.02,0.039,1.042
1.3499369621276855,-0.204,1.127,-0.037,1.146
1.3621859550476074,-0.196,1.171,-0.111,1.192
1.3684351444244385,-0.212,1.177,-0.142,1.204
1.3798301219940186,-0.246,1.153,-0.082,1.182
1.3889169692993164,-0.31,1.099,0.039,1.143
1.3988189697265625,-0.372,1.061,0.072,1.127
1.4093270301818848,-0.411,1.066,-0.027,1.143
1.4194130897521973,-0.449,1.088,-0.114,1.183
1.429650068283081,-0.503,1.093,-0.126,1.21
1.4427742958068848,-0.571,1.074,-0.077,1.219
1.452897071838379,-0.64,1.022,-0.013,1.206
1.4638252258300781,-0.703,0.92,0.038,1.158
1.4689140319824219,-0.75,0.787,0.071,1.089
1.4801201820373535,-0.775,0.665,0.08,1.024
1.4889271259307861,-0.8,0.534,-0.028,0.962
1.4991931915283203,-0.861,0.227,-0.277,0.933
1.5119881629943848,-0.792,0.304,0.313,0.904
1.519665241241455,-0.644,0.466,0.243,0.831
1.5297951698303223,-0.529,0.629,-0.032,0.822
1.5401611328125,-0.467,0.718,-0.122,0.865
1.5509850978851318,-0.412,0.719,-0.113,0.836
1.5622992515563965,-0.371,0.704,-0.084,0.8
1.570162296295166,-0.357,0.721,-0.09,0.81
1.5806941986083984,-0.337,0.635,-0.253,0.762
1.5945982933044434,-0.427,0.772,0.125,0.891
1.599905014038086,-0.515,0.976,0.168,1.116
1.6118731498718262,-0.581,1.038,0.008,1.19
1.6199140548706055,-0.654,1.035,-0.044,1.225
1.629967212677002,-0.706,0.971,-0.122,1.207
1.645082950592041,-0.698,0.863,-0.139,1.119
1.6499600410461426,-0.637,0.772,-0.085,1.004
1.6607980728149414,-0.584,0.74,-0.002,0.943
1.669990062713623,-0.553,0.752,0.033,0.934
1.6808271408081055,-0.542,0.76,0.028,0.934
1.6934971809387207,-0.556,0.777,-0.004,0.955
1.7002010345458984,-0.565,0.804,-0.005,0.983
1.7104861736297607,-0.536,0.8,0.025,0.963
1.7202141284942627,-0.484,0.775,0.031,0.914
1.7308270931243896,-0.444,0.764,0.023,0.884
1.7448339462280273,-0.426,0.767,0.024,0.878
1.7510321140289307,-0.427,0.775,0.014,0.885
1.76267409324646,-0.452,0.806,-0.006,0.924
1.7706000804901123,-0.49,0.835,-0.002,0.968
1.7815241813659668,-0.52,0.85,0.01,0.996
1.7935571670532227,-0.541,0.872,0.01,1.026
1.8008100986480713,-0.559,0.891,0.002,1.052
1.811251163482666,-0.601,0.871,-0.063,1.06
1.8207011222839355,-0.634,0.866,-0.048,1.074
1.8311452865600586,-0.647,0.92,0.072,1.127
1.8445730209350586,-0.68,0.925,0.07,1.15
1.8511619567871094,-0.714,0.883,0.026,1.136
1.861518144607544,-0.699,0.854,0.049,1.105
1.8711390495300293,-0.642,0.86,0.077,1.076
1.8822059631347656,-0.596,0.884,0.054,1.068
1.8932862281799316,-0.585,0.924,0.042,1.094
1.9014041423797607,-0.587,0.952,0.066,1.12
1.9118022918701172,-0.606,0.97,0.103,1.148
1.9214870929718018,-0.627,0.982,0.133,1.173
1.9318621158599854,-0.639,0.984,0.081,1.176
1.945359230041504,-0.637,0.979,-0.017,1.168
1.9517970085144043,-0.633,0.962,-0.129,1.159
1.961942195892334,-0.649,0.947,-0.294,1.185
1.971724033355713,-0.644,0.95,-0.415,1.22
1.9830269813537598,-0.597,0.973,-0.503,1.247
1.9942121505737305,-0.577,0.979,-0.627,1.298
2.0019690990448,-0.578,0.957,-0.632,1.284
2.012228012084961,-0.565,0.952,-0.513,1.22
2.022449016571045,-0.511,0.977,-0.349,1.156
2.0325822830200195,-0.458,1.027,-0.264,1.155
2.043715000152588,-0.431,1.08,-0.18,1.177
2.054098129272461,-0.396,1.117,-0.024,1.185
2.0626120567321777,-0.434,1.072,-0.029,1.157
2.072592258453369,-0.522,0.976,-0.107,1.112
2.0834741592407227,-0.581,0.94,-0.13,1.113
2.093459129333496,-0.597,0.943,-0.172,1.129
2.1025891304016113,-0.589,0.935,-0.196,1.122
2.1129770278930664,-0.602,0.925,-0.144,1.113
2.126307964324951,-0.624,0.947,-0.108,1.139
2.1328091621398926,-0.626,0.985,-0.035,1.168
2.147150993347168,-0.583,0.993,0.038,1.152
2.152812957763672,-0.48,0.943,0.034,1.059
2.163004159927368,-0.394,0.93,0.038,1.011
2.176389217376709,-0.342,0.912,0.04,0.975
2.18385910987854,-0.333,0.864,0.026,0.926
2.1933369636535645,-0.369,0.815,0.038,0.895
2.20316219329834,-0.42,0.777,0.066,0.886
2.2135252952575684,-0.448,0.745,0.099,0.875
2.2273311614990234,-0.439,0.675,0.109,0.813
2.233185291290283,-0.402,0.616,0.094,0.742
2.2443790435791016,-0.4,0.586,0.103,0.717
2.25374698638916,-0.428,0.545,0.113,0.702
2.2637062072753906,-0.468,0.525,0.109,0.712
2.276360034942627,-0.495,0.518,0.106,0.724
2.2844290733337402,-0.506,0.516,0.101,0.73
2.2949771881103516,-0.512,0.511,0.11,0.732
2.3073971271514893,-0.505,0.51,0.132,0.73
2.314359188079834,-0.471,0.503,0.125,0.7
2.3241841793060303,-0.43,0.492,0.096,0.66
2.3342461585998535,-0.406,0.489,0.105,0.644
2.348612070083618,-0.426,0.527,0.162,0.697
2.3566091060638428,-0.465,0.555,0.212,0.754
2.3646039962768555,-0.483,0.548,0.231,0.766
2.3742411136627197,-0.48,0.538,0.229,0.756
2.3848562240600586,-0.459,0.535,0.223,0.739
2.395693302154541,-0.496,0.576,0.282,0.811
2.4064791202545166,-0.548,0.636,0.355,0.911
2.414635181427002,-0.572,0.697,0.413,0.992
2.4278182983398438,-0.582,0.747,0.477,1.06
2.4347341060638428,-0.587,0.8,0.53,1.125
2.446953296661377,-0.586,0.862,0.546,1.177
2.454617977142334,-0.605,0.987,0.537,1.276
