time,gFx,gFy,gFz,gFTotal
0.008777141571044922,0.01,-0.054,-0.953,0.955
0.01365518569946289,-0.005,-0.036,-0.978,0.979
0.019849300384521484,0.024,-0.062,-1.051,1.053
0.038732051849365234,0.014,-0.058,-1.034,1.036
0.047263145446777344,0.004,-0.048,-0.973,0.974
0.05003213882446289,0.009,-0.051,-1.0,1.001
0.060038089752197266,0.016,-0.062,-1.033,1.035
0.07020902633666992,0.005,-0.049,-1.013,1.014
0.0804901123046875,0.008,-0.052,-0.998,0.999
0.09069204330444336,0.014,-0.056,-1.012,1.014
0.10124731063842773,0.008,-0.055,-1.013,1.015
0.1106271743774414,0.009,-0.051,-1.01,1.011
0.12126708030700684,0.015,-0.056,-1.011,1.013
0.14137506484985352,0.007,-0.053,-1.005,1.006
0.14172697067260742,0.007,-0.053,-1.005,1.006
0.15114402770996094,0.013,-0.055,-1.016,1.018
0.16056513786315918,0.013,-0.055,-1.012,1.014
0.1716160774230957,0.007,-0.053,-1.003,1.004
0.18123912811279297,0.01,-0.054,-1.007,1.008
0.19135117530822754,0.013,-0.054,-1.013,1.015
0.20211029052734375,0.01,-0.054,-1.006,1.007
0.21170997619628906,0.008,-0.055,-1.007,1.009
0.2224559783935547,0.01,-0.056,-1.011,1.013
0.24444317817687988,0.009,-0.054,-1.01,1.011
0.24476218223571777,0.009,-0.054,-1.01,1.011
0.2514352798461914,0.01,-0.055,-1.009,1.011
0.2612571716308594,0.01,-0.054,-1.008,1.009
0.27135324478149414,0.01,-0.054,-1.008,1.009
0.28209924697875977,0.012,-0.054,-1.009,1.011
0.29181718826293945,0.012,-0.054,-1.006,1.008
0.3030862808227539,0.01,-0.053,-1.008,1.009
0.31187915802001953,0.01,-0.053,-1.01,1.011
0.3226909637451172,0.01,-0.054,-1.011,1.012
0.3455471992492676,0.01,-0.053,-1.01,1.011
0.345858097076416,0.01,-0.053,-1.01,1.011
0.3519101142883301,0.011,-0.052,-1.01,1.011
0.36196422576904297,0.011,-0.052,-1.007,1.008
0.37248706817626953,0.011,-0.053,-1.008,1.009
0.3826460838317871,0.011,-0.054,-1.011,1.013
0.3927602767944336,0.01,-0.054,-1.011,1.012
0.40326619148254395,0.009,-0.055,-1.011,1.013
0.4134821891784668,0.01,-0.054,-1.01,1.011
0.422943115234375,0.01,-0.055,-1.009,1.011
0.4449882507324219,0.011,-0.055,-1.011,1.013
0.4453110694885254,0.011,-0.055,-1.011,1.013
0.45249128341674805,0.009,-0.055,-1.011,1.013
0.46235227584838867,0.009,-0.054,-1.01,1.011
0.4731302261352539,0.01,-0.054,-1.009,1.01
0.48427724838256836,0.011,-0.053,-1.008,1.009
0.4931812286376953,0.01,-0.053,-1.007,1.008
0.5036683082580566,0.01,-0.054,-1.009,1.01
0.5134251117706299,0.01,-0.054,-1.011,1.012
0.5238971710205078,0.009,-0.054,-1.009,1.01
0.5474731922149658,0.009,-0.055,-1.01,1.012
0.5478870868682861,0.009,-0.055,-1.01,1.012
0.553184986114502,0.01,-0.055,-1.01,1.012
0.5637083053588867,0.009,-0.054,-1.011,1.012
0.5743460655212402,0.01,-0.054,-1.008,1.009
0.5843052864074707,0.009,-0.054,-1.009,1.01
0.5939021110534668,0.01,-0.055,-1.011,1.013
0.6046080589294434,0.011,-0.053,-1.009,1.01
0.6141371726989746,0.009,-0.052,-1.009,1.01
0.6240441799163818,0.009,-0.055,-1.009,1.011
0.6476330757141113,0.01,-0.054,-1.009,1.01
0.6479260921478271,0.01,-0.054,-1.009,1.01
0.6532902717590332,0.01,-0.053,-1.01,1.011
0.6644439697265625,0.011,-0.052,-1.009,1.01
0.6744480133056641,0.01,-0.053,-1.008,1.009
0.6846191883087158,0.01,-0.053,-1.009,1.01
0.6933460235595703,0.01,-0.053,-1.009,1.01
0.7051739692687988,0.009,-0.054,-1.01,1.011
0.715022087097168,0.01,-0.055,-1.01,1.012
0.7245731353759766,0.009,-0.055,-1.01,1.012
0.7492852210998535,0.01,-0.055,-1.009,1.011
0.7496652603149414,0.01,-0.055,-1.009,1.011
0.7543120384216309,0.011,-0.053,-1.01,1.011
0.7647662162780762,0.01,-0.053,-1.009,1.01
0.7745351791381836,0.01,-0.053,-1.01,1.011
0.7851991653442383,0.011,-0.053,-1.01,1.011
0.7954182624816895,0.01,-0.054,-1.008,1.009
0.8056471347808838,0.009,-0.053,-1.009,1.01
0.8154251575469971,0.008,-0.053,-1.01,1.011
0.8255841732025146,0.01,-0.055,-1.011,1.013
0.8490011692047119,0.011,-0.053,-1.008,1.009
0.84930419921875,0.011,-0.053,-1.008,1.009
0.8544759750366211,0.01,-0.052,-1.008,1.009
0.8653512001037598,0.01,-0.052,-1.009,1.01
0.8753299713134766,0.009,-0.052,-1.01,1.011
0.8855609893798828,0.01,-0.054,-1.011,1.012
0.8953280448913574,0.011,-0.056,-1.011,1.013
0.9061121940612793,0.012,-0.057,-1.01,1.012
0.916600227355957,0.01,-0.053,-1.008,1.009
0.9255530834197998,0.01,-0.056,-1.007,1.009
0.947681188583374,0.008,-0.052,-1.01,1.011
0.9481019973754883,0.008,-0.052,-1.01,1.011
0.9553461074829102,0.01,-0.053,-1.011,1.012
0.9653491973876953,0.012,-0.054,-1.011,1.013
0.9757599830627441,0.011,-0.053,-1.009,1.01
0.9864201545715332,0.009,-0.055,-1.008,1.01
0.9954710006713867,0.008,-0.055,-1.008,1.01
1.0067551136016846,0.009,-0.054,-1.009,1.01
1.0170040130615234,0.01,-0.054,-1.01,1.011
1.0264840126037598,0.011,-0.054,-1.01,1.012
1.050206184387207,0.011,-0.053,-1.007,1.008
1.0505051612854004,0.011,-0.053,-1.007,1.008
1.0558080673217773,0.01,-0.054,-1.011,1.012
1.066154956817627,0.01,-0.054,-1.011,1.012
1.077132225036621,0.008,-0.055,-1.009,1.011
1.0868630409240723,0.009,-0.054,-1.009,1.01
1.0966320037841797,0.01,-0.054,-1.009,1.01
1.1064021587371826,0.01,-0.054,-1.009,1.01
1.1168689727783203,0.01,-0.053,-1.009,1.01
1.126763105392456,0.01,-0.054,-1.01,1.011
1.1508402824401855,0.01,-0.054,-1.012,1.013
1.1512422561645508,0.01,-0.054,-1.012,1.013
1.156723976135254,0.009,-0.054,-1.009,1.01
1.167100191116333,0.009,-0.055,-1.008,1.01
1.1766352653503418,0.009,-0.054,-1.011,1.012
1.1876981258392334,0.011,-0.053,-1.011,1.012
1.1977810859680176,0.009,-0.054,-1.01,1.011
1.2077512741088867,0.01,-0.053,-1.008,1.009
1.2169990539550781,0.01,-0.053,-1.008,1.009
1.227400302886963,0.01,-0.054,-1.011,1.012
1.2516140937805176,0.01,-0.055,-1.009,1.011
1.2519941329956055,0.01,-0.055,-1.009,1.011
1.2574400901794434,0.011,-0.054,-1.008,1.01
1.268064022064209,0.01,-0.054,-1.01,1.011
1.27705717086792,0.009,-0.054,-1.01,1.011
1.2886300086975098,0.01,-0.053,-1.009,1.01
1.2981863021850586,0.01,-0.052,-1.01,1.011
1.3078701496124268,0.01,-0.053,-1.01,1.011
1.3180451393127441,0.01,-0.054,-1.01,1.011
1.327226161956787,0.01,-0.054,-1.01,1.011
1.353088140487671,0.01,-0.054,-1.009,1.01
1.35349702835083,0.01,-0.054,-1.009,1.01
1.3575401306152344,0.011,-0.054,-1.01,1.012
1.368704080581665,0.009,-0.054,-1.01,1.011
1.378654956817627,0.011,-0.053,-1.008,1.009
1.3891572952270508,0.009,-0.054,-1.01,1.011
1.398475170135498,0.01,-0.054,-1.01,1.011
1.4090042114257812,0.009,-0.054,-1.011,1.012
1.4189491271972656,0.011,-0.054,-1.01,1.012
1.4288630485534668,0.01,-0.055,-1.009,1.011
1.4521169662475586,0.009,-0.054,-1.01,1.011
1.4524080753326416,0.009,-0.054,-1.01,1.011
1.457970142364502,0.01,-0.054,-1.01,1.011
1.4683191776275635,0.011,-0.054,-1.011,1.013
1.478203296661377,0.01,-0.053,-1.01,1.011
1.4882922172546387,0.01,-0.053,-1.009,1.01
1.4984040260314941,0.01,-0.055,-1.01,1.012
1.5082371234893799,0.01,-0.053,-1.009,1.01
1.5191640853881836,0.011,-0.053,-1.009,1.01
1.527853012084961,0.011,-0.054,-1.006,1.008
1.5503172874450684,0.008,-0.055,-1.012,1.014
1.5506961345672607,0.008,-0.055,-1.012,1.014
1.559309959411621,0.009,-0.055,-1.013,1.015
1.569730281829834,0.01,-0.054,-1.01,1.011
1.5799341201782227,0.011,-0.053,-1.008,1.009
1.5892510414123535,0.011,-0.053,-1.008,1.009
1.5989391803741455,0.011,-0.053,-1.009,1.01
1.6093041896820068,0.009,-0.053,-1.009,1.01
1.6201882362365723,0.009,-0.053,-1.01,1.011
1.629420280456543,0.009,-0.053,-1.01,1.011
1.6550850868225098,0.01,-0.053,-1.009,1.01
1.6554691791534424,0.01,-0.053,-1.009,1.01
1.6597011089324951,0.009,-0.054,-1.008,1.009
1.6701581478118896,0.01,-0.054,-1.009,1.01
1.6802961826324463,0.01,-0.053,-1.011,1.012
1.6903042793273926,0.01,-0.053,-1.01,1.011
1.7009351253509521,0.009,-0.052,-1.008,1.009
1.7107253074645996,0.01,-0.054,-1.009,1.01
1.7207081317901611,0.01,-0.055,-1.01,1.012
1.7305822372436523,0.009,-0.055,-1.01,1.012
1.7558212280273438,0.011,-0.054,-1.01,1.012
1.756211280822754,0.011,-0.054,-1.01,1.012
1.7601280212402344,0.01,-0.053,-1.011,1.012
1.7708749771118164,0.011,-0.053,-1.01,1.011
1.7809772491455078,0.01,-0.052,-1.01,1.011
1.7911252975463867,0.01,-0.053,-1.009,1.01
1.8011841773986816,0.01,-0.052,-1.01,1.011
1.8106541633605957,0.011,-0.052,-1.01,1.011
1.8212780952453613,0.011,-0.054,-1.008,1.01
1.8312711715698242,0.011,-0.055,-1.008,1.01
1.854499101638794,0.009,-0.055,-1.01,1.012
1.8548901081085205,0.009,-0.055,-1.01,1.012
1.8605341911315918,0.009,-0.055,-1.007,1.009
1.8714532852172852,0.01,-0.053,-1.01,1.011
1.881309986114502,0.01,-0.055,-1.01,1.012
1.8908791542053223,0.01,-0.054,-1.01,1.011
1.9009461402893066,0.01,-0.055,-1.01,1.012
1.9103460311889648,0.01,-0.055,-1.01,1.012
1.9207661151885986,0.01,-0.055,-1.012,1.014
1.9311389923095703,0.009,-0.055,-1.01,1.012
1.9549291133880615,0.01,-0.054,-1.009,1.01
1.9552180767059326,0.01,-0.054,-1.009,1.01
1.960799217224121,0.009,-0.053,-1.009,1.01
1.9717590808868408,0.011,-0.053,-1.009,1.01
1.9821281433105469,0.011,-0.052,-1.008,1.009
1.992429256439209,0.01,-0.054,-1.009,1.01
2.002016067504883,0.01,-0.054,-1.01,1.011
2.011733055114746,0.008,-0.054,-1.01,1.011
2.022284984588623,0.009,-0.054,-1.01,1.011
2.033170223236084,0.01,-0.052,-1.009,1.01
2.055056095123291,0.011,-0.051,-1.008,1.009
2.0553860664367676,0.011,-0.051,-1.008,1.009
2.061282157897949,0.011,-0.052,-1.008,1.009
2.0724451541900635,0.011,-0.053,-1.009,1.01
2.0821380615234375,0.009,-0.054,-1.009,1.01
2.092363119125366,0.008,-0.055,-1.01,1.012
2.10316801071167,0.009,-0.056,-1.012,1.014
2.112704277038574,0.008,-0.054,-1.013,1.014
2.1234092712402344,0.009,-0.054,-1.01,1.011
2.133277177810669,0.01,-0.053,-1.01,1.011
2.1574583053588867,0.01,-0.054,-1.011,1.012
2.157839298248291,0.01,-0.054,-1.011,1.012
2.1622180938720703,0.009,-0.055,-1.01,1.012
2.173051118850708,0.009,-0.056,-1.009,1.011
2.1832900047302246,0.009,-0.054,-1.01,1.011
2.1933491230010986,0.01,-0.054,-1.011,1.012
2.2033181190490723,0.01,-0.054,-1.01,1.011
2.2137532234191895,0.009,-0.053,-1.008,1.009
2.223757266998291,0.01,-0.051,-1.009,1.01
2.2337169647216797,0.01,-0.053,-1.009,1.01
2.2572340965270996,0.009,-0.054,-1.008,1.009
2.2576351165771484,0.009,-0.054,-1.008,1.009
2.2632412910461426,0.01,-0.054,-1.009,1.01
2.2728500366210938,0.01,-0.054,-1.009,1.01
2.2846741676330566,0.011,-0.052,-1.01,1.011
2.2931981086730957,0.01,-0.053,-1.008,1.009
2.304676055908203,0.011,-0.052,-1.01,1.011
2.313610076904297,0.011,-0.053,-1.01,1.011
2.3239681720733643,0.011,-0.054,-1.009,1.011
2.3345460891723633,0.01,-0.053,-1.008,1.009
2.3573102951049805,0.01,-0.055,-1.01,1.012
2.357699155807495,0.01,-0.055,-1.01,1.012
2.36436128616333,0.011,-0.054,-1.01,1.012
2.3739280700683594,0.011,-0.053,-1.01,1.011
2.384249210357666,0.01,-0.054,-1.01,1.011
2.3944320678710938,0.01,-0.054,-1.011,1.012
2.404405117034912,0.01,-0.053,-1.011,1.012
2.415205955505371,0.01,-0.052,-1.01,1.011
2.4241442680358887,0.009,-0.054,-1.008,1.009
2.4339001178741455,0.01,-0.054,-1.009,1.01
2.4556891918182373,0.011,-0.054,-1.01,1.012
2.4560670852661133,0.011,-0.054,-1.01,1.012
2.4643990993499756,0.009,-0.053,-1.01,1.011
2.4748551845550537,0.01,-0.052,-1.008,1.009
2.485414981842041,0.01,-0.053,-1.009,1.01
2.4949381351470947,0.011,-0.053,-1.011,1.012
2.5055391788482666,0.01,-0.054,-1.008,1.009
2.514824151992798,0.01,-0.053,-1.009,1.01
2.525444984436035,0.009,-0.054,-1.012,1.013
2.5354011058807373,0.009,-0.053,-1.01,1.011
2.5586442947387695,0.011,-0.053,-1.008,1.009
2.5589489936828613,0.011,-0.053,-1.008,1.009
2.5647521018981934,0.011,-0.054,-1.011,1.013
2.5751709938049316,0.008,-0.054,-1.012,1.013
2.585334300994873,0.008,-0.055,-1.008,1.01
2.5957212448120117,0.01,-0.055,-1.009,1.011
2.606131076812744,0.011,-0.054,-1.012,1.013
2.616391181945801,0.01,-0.054,-1.01,1.011
2.62526798248291,0.01,-0.054,-1.007,1.008
2.635848045349121,0.01,-0.054,-1.008,1.009
2.658843994140625,0.01,-0.052,-1.012,1.013
2.659147262573242,0.01,-0.052,-1.012,1.013
2.665647029876709,0.01,-0.054,-1.008,1.009
2.675528049468994,0.011,-0.054,-1.007,1.009
2.685883045196533,0.011,-0.054,-1.01,1.012
2.695505142211914,0.01,-0.054,-1.012,1.013
2.7056713104248047,0.01,-0.054,-1.008,1.009
2.716358184814453,0.01,-0.053,-1.008,1.009
2.7264809608459473,0.011,-0.052,-1.009,1.01
2.7367641925811768,0.01,-0.052,-1.011,1.012
2.760146141052246,0.009,-0.053,-1.008,1.009
2.7605271339416504,0.009,-0.053,-1.008,1.009
2.7665719985961914,0.01,-0.054,-1.009,1.01
2.775979995727539,0.01,-0.054,-1.012,1.013
2.7864322662353516,0.01,-0.053,-1.011,1.012
2.797070026397705,0.009,-0.053,-1.007,1.008
2.8071322441101074,0.01,-0.054,-1.006,1.007
2.817491054534912,0.011,-0.052,-1.01,1.011
2.8262720108032227,0.011,-0.053,-1.01,1.011
2.837085247039795,0.01,-0.054,-1.01,1.011
2.860774040222168,0.009,-0.052,-1.011,1.012
2.861186981201172,0.009,-0.052,-1.011,1.012
2.8664331436157227,0.009,-0.053,-1.011,1.012
2.8765273094177246,0.009,-0.053,-1.009,1.01
2.887275218963623,0.01,-0.053,-1.009,1.01
2.8973612785339355,0.01,-0.051,-1.01,1.011
2.907365083694458,0.01,-0.051,-1.008,1.009
2.917304039001465,0.01,-0.054,-1.008,1.009
2.926990032196045,0.01,-0.054,-1.01,1.011
2.9381532669067383,0.009,-0.052,-1.011,1.012
2.9609313011169434,0.01,-0.055,-1.009,1.011
2.961233139038086,0.01,-0.055,-1.009,1.011
2.9674320220947266,0.009,-0.055,-1.012,1.014
2.9775640964508057,0.01,-0.053,-1.01,1.011
2.987761974334717,0.011,-0.052,-1.009,1.01
2.998744010925293,0.01,-0.053,-1.008,1.009
3.008366107940674,0.009,-0.054,-1.009,1.01
3.018564224243164,0.01,-0.055,-1.012,1.014
3.027797222137451,0.01,-0.055,-1.009,1.011
3.0384960174560547,0.009,-0.055,-1.008,1.01
3.06138014793396,0.008,-0.055,-1.012,1.014
3.0617170333862305,0.008,-0.055,-1.012,1.014
3.067308187484741,0.008,-0.055,-1.012,1.014
3.0780272483825684,0.011,-0.053,-1.01,1.011
3.088499069213867,0.009,-0.054,-1.008,1.009
3.0986032485961914,0.01,-0.054,-1.009,1.01
3.108609199523926,0.011,-0.054,-1.01,1.012
3.119007110595703,0.011,-0.053,-1.009,1.01
3.128648281097412,0.01,-0.053,-1.008,1.009
3.1388871669769287,0.01,-0.054,-1.01,1.011
3.1619651317596436,0.011,-0.053,-1.012,1.013
3.1622891426086426,0.011,-0.053,-1.012,1.013
3.168452262878418,0.012,-0.051,-1.009,1.01
3.178246021270752,0.011,-0.05,-1.005,1.006
3.1889891624450684,0.012,-0.051,-1.004,1.005
3.19879412651062,0.012,-0.051,-1.01,1.011
3.209084987640381,0.011,-0.05,-1.009,1.01
3.219689130783081,0.009,-0.051,-1.008,1.009
3.2286951541900635,0.009,-0.053,-1.008,1.009
3.239873170852661,0.01,-0.055,-1.01,1.012
3.2622361183166504,0.009,-0.055,-1.012,1.014
3.2625732421875,0.009,-0.055,-1.012,1.014
3.268853187561035,0.008,-0.055,-1.009,1.011
3.278799057006836,0.008,-0.055,-1.011,1.013
3.289661169052124,0.01,-0.055,-1.011,1.013
