time,gFx,gFy,gFz,gFTotal
0.0053730010986328125,-0.032,-0.038,-1.014,1.015
0.014297962188720703,-0.025,-0.04,-0.993,0.994
0.024910926818847656,-0.048,-0.047,-0.984,0.986
0.035125732421875,-0.059,-0.046,-0.979,0.982
0.045030832290649414,-0.064,-0.035,-0.975,0.978
0.054913997650146484,-0.079,-0.019,-0.972,0.975
0.0739297866821289,-0.095,-0.006,-0.958,0.963
0.07668280601501465,-0.107,0.002,-0.928,0.934
0.08489799499511719,-0.099,0.003,-0.907,0.912
0.09536290168762207,-0.093,-0.003,-0.899,0.904
0.10733175277709961,-0.099,-0.02,-0.894,0.9
0.11513900756835938,-0.076,-0.035,-0.887,0.891
0.12532472610473633,-0.076,-0.031,-0.888,0.892
0.136138916015625,-0.112,-0.015,-0.864,0.871
0.14577674865722656,-0.138,-0.009,-0.85,0.861
0.15596985816955566,-0.135,-0.001,-0.862,0.873
0.17536497116088867,-0.158,0.008,-0.832,0.847
0.17805194854736328,-0.158,0.008,-0.832,0.847
0.18538880348205566,-0.151,0.022,-0.819,0.833
0.19567179679870605,-0.114,0.059,-0.832,0.842
0.2092456817626953,-0.148,0.069,-0.866,0.881
0.21643877029418945,-0.188,0.043,-0.88,0.901
0.22613883018493652,-0.176,0.04,-0.885,0.903
0.2360539436340332,-0.178,0.034,-0.94,0.957
0.24630975723266602,-0.15,0.01,-0.999,1.01
0.2561647891998291,-0.112,0.0,-1.042,1.048
0.27565479278564453,-0.106,-0.029,-1.145,1.15
0.2781648635864258,-0.106,-0.029,-1.145,1.15
0.2859077453613281,-0.105,-0.058,-1.139,1.145
0.29624366760253906,-0.131,-0.067,-1.09,1.1
0.30920886993408203,-0.144,-0.076,-1.058,1.07
0.31621599197387695,-0.138,-0.088,-1.085,1.097
0.3275628089904785,-0.096,-0.087,-1.103,1.111
0.33675193786621094,-0.003,-0.094,-1.077,1.081
0.34676074981689453,0.146,-0.108,-1.055,1.071
0.3571958541870117,0.3,-0.104,-1.123,1.167
0.3770427703857422,0.33,-0.096,-1.176,1.225
0.37780094146728516,0.33,-0.096,-1.176,1.225
0.3866276741027832,0.342,-0.119,-1.154,1.209
0.39719581604003906,0.443,-0.154,-1.03,1.132
0.4098348617553711,0.545,-0.136,-1.016,1.161
0.41689300537109375,0.574,-0.158,-1.014,1.176
0.42737579345703125,0.542,-0.128,-1.122,1.253
0.4371657371520996,0.499,-0.083,-1.142,1.249
0.4487278461456299,0.477,-0.082,-1.138,1.237
0.45772695541381836,0.458,-0.093,-1.141,1.233
0.47661590576171875,0.417,-0.041,-1.073,1.152
0.4788038730621338,0.417,-0.041,-1.073,1.152
0.487379789352417,0.38,-0.034,-1.049,1.116
0.4976997375488281,0.364,-0.062,-1.016,1.081
0.5104188919067383,0.358,-0.013,-1.028,1.089
0.51727294921875,0.411,0.046,-0.986,1.069
0.5279378890991211,0.428,0.054,-0.937,1.032
0.5375409126281738,0.389,0.051,-0.942,1.02
0.5480728149414062,0.353,0.084,-0.949,1.016
0.5585837364196777,0.346,0.151,-0.948,1.02
0.5786387920379639,0.443,0.15,-0.881,0.997
0.579993724822998,0.443,0.15,-0.881,0.997
0.5876078605651855,0.477,0.118,-0.897,1.023
0.5982348918914795,0.475,0.115,-0.904,1.028
0.6108779907226562,0.474,0.127,-0.897,1.022
0.6178858280181885,0.487,0.146,-0.88,1.016
0.6286277770996094,0.499,0.165,-0.884,1.028
0.6383357048034668,0.523,0.185,-0.873,1.034
0.6486029624938965,0.522,0.196,-0.859,1.024
0.659296989440918,0.513,0.205,-0.846,1.01
0.6790299415588379,0.505,0.242,-0.784,0.963
0.679811954498291,0.505,0.242,-0.784,0.963
0.6883759498596191,0.509,0.258,-0.755,0.946
0.6991519927978516,0.525,0.277,-0.74,0.949
0.711479902267456,0.508,0.269,-0.75,0.945
0.7186758518218994,0.504,0.26,-0.732,0.926
0.72916579246521,0.516,0.262,-0.725,0.928
0.7388696670532227,0.536,0.273,-0.709,0.93
0.7492647171020508,0.546,0.289,-0.722,0.95
0.7599329948425293,0.547,0.27,-0.725,0.947
0.7788577079772949,0.597,0.201,-0.737,0.97
0.7808799743652344,0.597,0.201,-0.737,0.97
0.7888858318328857,0.619,0.175,-0.732,0.974
0.7995128631591797,0.633,0.163,-0.741,0.988
0.8127470016479492,0.621,0.121,-0.737,0.971
0.8190369606018066,0.598,0.097,-0.741,0.957
0.8296136856079102,0.613,0.136,-0.776,0.998
0.8394238948822021,0.675,0.15,-0.805,1.061
0.8497018814086914,0.709,0.12,-0.812,1.085
0.860205888748169,0.745,0.111,-0.823,1.116
0.8796849250793457,0.76,0.155,-0.824,1.132
0.8818378448486328,0.76,0.155,-0.824,1.132
0.8898358345031738,0.754,0.196,-0.803,1.119
0.899622917175293,0.751,0.238,-0.782,1.11
0.9122698307037354,0.764,0.264,-0.785,1.127
