time;gFx;gFy;gFz;TgF
0.003433854;0,0081;0,1958;0,9662;0,986
0.004027968;0,0064;0,1948;0,9625;0,982
0.004249218;0,0155;0,2075;0,9723;0,994
0.004466823;0,0189;0,2048;0,9801;1,001
0.00467625;0,0213;0,2087;0,9792;1,001
0.004879427;0,0238;0,2168;0,9767;1,001
0.010903646;0,0267;0,2185;0,9752;1,000
0.011792656;0,0238;0,2258;0,9728;0,999
0.012039948;0,0179;0,2258;0,9682;0,994
0.013734427;0,0072;0,2258;0,9616;0,988
0.02297125;0,0052;0,2324;0,9520;0,980
0.023616614;-0,0019;0,2342;0,9586;0,987
0.023824062;-0,0060;0,2351;0,9608;0,989
0.027716823;-0,0063;0,2315;0,9616;0,989
0.02838125;-0,0016;0,2398;0,9660;0,995
0.028616458;0,0064;0,2337;0,9733;1,001
0.031233646;0,0113;0,2315;0,9782;1,005
0.037476875;0,0140;0,2337;0,9787;1,006
0.038232083;0,0179;0,2351;0,9860;1,014
0.038943698;0,0189;0,2300;0,9850;1,012
0.041627552;0,0143;0,2261;0,9816;1,007
0.043622656;0,0028;0,2266;0,9826;1,008
0.050126146;-0,0021;0,2241;0,9789;1,004
0.05068401;-0,0114;0,2153;0,9748;0,998
0.051552031;-0,0190;0,2075;0,9755;0,997
0.057935;-0,0275;0,2144;0,9645;0,988
0.058534896;-0,0297;0,2190;0,9662;0,991
0.058778593;-0,0288;0,2249;0,9630;0,989
0.061682031;-0,0251;0,2324;0,9552;0,983
0.067756146;-0,0165;0,2393;0,9581;0,988
0.068580937;-0,0136;0,2522;0,9606;0,993
0.068841614;-0,0082;0,2645;0,9576;0,994
0.072489687;-0,0009;0,2642;0,9613;0,997
0.078216562;-0,0046;0,2708;0,9598;0,997
0.078810312;-0,0073;0,2740;0,9623;1,001
0.079054062;-0,0068;0,2774;0,9677;1,007
0.084415312;-0,0117;0,2750;0,9784;1,016
0.088407552;-0,0148;0,2757;0,9833;1,021
0.089053802;-0,0107;0,2784;0,9914;1,030
0.089314687;-0,0060;0,2757;1,0024;1,040
0.09294375;0,0028;0,2769;1,0153;1,052
0.097952604;0,0074;0,2747;1,0254;1,062
0.101246354;0,0096;0,2742;1,0427;1,078
0.102380677;0,0077;0,2728;1,0410;1,076
0.102687656;0,0135;0,2691;1,0483;1,082
0.109803333;0,0125;0,2662;1,0522;1,085
0.111237968;0,0028;0,2632;1,0503;1,083
0.111642708;-0,0051;0,2571;1,0459;1,077
0.112176458;-0,0209;0,2547;1,0425;1,073
0.120143385;-0,0290;0,2527;1,0317;1,063
0.120871093;-0,0407;0,2513;1,0170;1,048
0.121648437;-0,0532;0,2513;1,0090;1,041
0.122342396;-0,0586;0,2549;0,9985;1,032
0.129322135;-0,0647;0,2591;0,9826;1,018
0.129922916;-0,0684;0,2618;0,9684;1,005
0.130188489;-0,0586;0,2681;0,9601;0,999
0.142818385;-0,0495;0,2686;0,9488;0,987
0.143576666;-0,0488;0,2703;0,9400;0,979
0.143769948;-0,0410;0,2701;0,9371;0,976
0.143951927;-0,0302;0,2706;0,9405;0,979
0.144129895;-0,0383;0,2637;0,9420;0,979
0.151101198;-0,0359;0,2593;0,9403;0,976
0.15205052;-0,0373;0,2525;0,9432;0,977
0.152365677;-0,0422;0,2425;0,9440;0,976
0.152616302;-0,0434;0,2339;0,9545;0,984
0.158844687;-0,0415;0,2293;0,9576;0,986
0.159553437;-0,0383;0,2202;0,9589;0,985
0.160578385;-0,0329;0,2095;0,9672;0,990
0.162472448;-0,0241;0,2012;0,9708;0,992
0.168286302;-0,0143;0,2026;0,9755;0,996
0.16897151;-0,0107;0,1919;0,9745;0,993
0.170024739;-0,0117;0,1880;0,9792;0,997
0.172887239;-0,0090;0,1821;0,9748;0,992
0.178199583;-0,0082;0,1767;0,9638;0,980
0.178665885;-0,0104;0,1777;0,9554;0,972
0.180229323;-0,0126;0,1757;0,9383;0,955
0.184081875;-0,0146;0,1667;0,9246;0,940
0.189395468;-0,0148;0,1706;0,9188;0,935
0.190171718;-0,0075;0,1684;0,9039;0,919
0.190547604;-0,0109;0,1623;0,8975;0,912
0.193538593;-0,0102;0,1665;0,8897;0,905
0.198134583;-0,0107;0,1574;0,8887;0,903
0.201720052;-0,0090;0,1564;0,8826;0,896
0.204097135;-0,0070;0,1606;0,8824;0,897
0.204616041;-0,0085;0,1577;0,8794;0,893
0.208929531;-0,0058;0,1540;0,8811;0,895
0.209535;-0,0092;0,1562;0,8828;0,897
0.210536718;-0,0114;0,1550;0,8799;0,894
0.213243385;-0,0185;0,1501;0,8745;0,888
0.218804062;-0,0244;0,1552;0,8670;0,881
0.219592135;-0,0280;0,1572;0,8640;0,879
0.221965312;-0,0300;0,1618;0,8586;0,874
0.223907135;-0,0322;0,1691;0,8564;0,874
0.228897135;-0,0312;0,1757;0,8591;0,877
0.229440989;-0,0312;0,1872;0,8591;0,880
0.2315775;-0,0293;0,1972;0,8579;0,881
0.235879583;-0,0219;0,2082;0,8621;0,887
0.238603437;-0,0217;0,2173;0,8723;0,899
0.239208958;-0,0173;0,2205;0,8787;0,906
0.242276145;-0,0117;0,2278;0,8953;0,924
0.247975468;-0,0119;0,2283;0,9070;0,935
0.248570885;-0,0092;0,2244;0,9215;0,948
0.252181198;-0,0043;0,2207;0,9528;0,978
0.252984375;-0,0090;0,2190;0,9823;1,006
0.258852395;-0,0080;0,2134;1,0104;1,033
0.259616718;-0,0004;0,2041;1,0332;1,053
0.259912083;-0,0024;0,2021;1,0659;1,085
0.261480416;0,0067;0,2068;1,0901;1,110
0.263880052;0,0179;0,2053;1,1197;1,139
0.268822031;0,0213;0,2051;1,1398;1,158
0.269582448;0,0221;0,2041;1,1581;1,176
0.272372448;0,0218;0,2078;1,1784;1,197
0.273865312;0,0221;0,2065;1,1840;1,202
0.278976927;0,0113;0,2087;1,1962;1,214
0.279763489;-0,0026;0,2107;1,1867;1,205
0.286055416;-0,0077;0,2148;1,1845;1,204
0.289651458;-0,0124;0,2207;1,1776;1,198
0.290281302;-0,0117;0,2288;1,1586;1,181
0.290652656;-0,0219;0,2393;1,1363;1,161
0.292278698;-0,0244;0,2537;1,1173;1,146
0.29807401;-0,0278;0,2628;1,1014;1,133
0.29867552;-0,0324;0,2742;1,0818;1,117
0.301998854;-0,0317;0,2835;1,0684;1,106
0.302714062;-0,0351;0,2945;1,0544;1,095
0.309128698;-0,0324;0,3060;1,0486;1,093
