time;gFx;gFy;gFz;TgF
0.003807657;-0,0821;0,2720;1,0801;1,117
0.004357813;-0,0777;0,2669;1,0742;1,110
0.004582917;-0,0679;0,2657;1,0706;1,105
0.00510724;-0,0576;0,2618;1,0681;1,101
0.005327136;-0,0459;0,2606;1,0669;1,099
0.005534584;-0,0388;0,2642;1,0598;1,093
0.00574125;-0,0407;0,2696;1,0576;1,092
0.005964219;-0,0351;0,2716;1,0515;1,087
0.006235209;-0,0244;0,2706;1,0515;1,086
0.006650105;-0,0195;0,2703;1,0527;1,087
0.006888855;-0,0156;0,2689;1,0498;1,084
0.00715198;-0,0158;0,2652;1,0454;1,079
0.018747709;-0,0185;0,2637;1,0527;1,085
0.019450886;-0,0261;0,2532;1,0569;1,087
0.019665157;-0,0344;0,2452;1,0554;1,084
0.019857761;-0,0398;0,2527;1,0608;1,091
0.021091563;-0,0439;0,2540;1,0562;1,087
0.021455677;-0,0456;0,2483;1,0542;1,084
0.022968959;-0,0579;0,2500;1,0569;1,088
0.036800521;-0,0657;0,2461;1,0596;1,090
0.037539011;-0,0725;0,2434;1,0576;1,088
0.037731354;-0,0759;0,2432;1,0586;1,089
0.037919896;-0,0769;0,2461;1,0559;1,087
0.039396198;-0,0752;0,2593;1,0515;1,086
0.039639792;-0,0740;0,2603;1,0442;1,079
0.040502969;-0,0671;0,2640;1,0405;1,076
0.044184948;-0,0627;0,2752;1,0302;1,068
0.047673802;-0,0552;0,2806;1,0205;1,060
0.05152224;-0,0478;0,2865;1,0129;1,054
0.052043438;-0,0417;0,2926;1,0036;1,046
0.052968282;-0,0300;0,2943;1,0007;1,043
0.055953646;-0,0253;0,3026;0,9906;1,036
0.062426146;-0,0217;0,3036;0,9804;1,027
0.063192448;-0,0131;0,3090;0,9779;1,026
0.063440782;-0,0073;0,3136;0,9645;1,014
0.070699792;0,0008;0,3202;0,9606;1,013
0.071417709;0,0111;0,3256;0,9572;1,011
0.071654167;0,0064;0,3349;0,9540;1,011
0.074563386;0,0081;0,3344;0,9572;1,014
0.078106667;0,0116;0,3390;0,9547;1,013
0.092116875;0,0147;0,3434;0,9525;1,013
0.092726615;0,0130;0,3476;0,9447;1,007
0.093015938;0,0152;0,3505;0,9491;1,012
0.093274948;0,0177;0,3561;0,9356;1,001
0.093544323;0,0189;0,3596;0,9295;0,997
0.093816146;0,0209;0,3605;0,9264;0,994
0.094096459;0,0216;0,3610;0,9144;0,983
0.103915;0,0218;0,3586;0,9046;0,973
0.104655261;0,0226;0,3632;0,8941;0,965
0.104963073;0,0238;0,3647;0,8863;0,959
0.105246407;0,0206;0,3600;0,8723;0,944
0.112250521;0,0221;0,3613;0,8677;0,940
0.112928646;0,0157;0,3676;0,8577;0,933
0.11322375;0,0165;0,3591;0,8476;0,921
0.115283594;0,0108;0,3642;0,8401;0,916
0.121566511;0,0064;0,3652;0,8269;0,904
0.122132396;0,0018;0,3632;0,8237;0,900
0.122455313;-0,0019;0,3625;0,8168;0,894
0.124303907;-0,0048;0,3654;0,8017;0,881
0.132815677;-0,0107;0,3627;0,7988;0,877
0.133512448;-0,0165;0,3632;0,7951;0,874
0.133827396;-0,0236;0,3647;0,7939;0,874
0.135436146;-0,0322;0,3598;0,7880;0,867
0.141864115;-0,0403;0,3596;0,7802;0,860
0.142444688;-0,0503;0,3588;0,7792;0,859
0.142739167;-0,0522;0,3574;0,7853;0,864
0.146392188;-0,0574;0,3537;0,7804;0,859
0.151729532;-0,0623;0,3559;0,7790;0,859
0.152401563;-0,0571;0,3554;0,7848;0,863
0.15270474;-0,0588;0,3517;0,7821;0,860
0.155275886;-0,0630;0,3537;0,7902;0,868
0.162030209;-0,0659;0,3549;0,7995;0,877
0.162747032;-0,0640;0,3512;0,8044;0,880
0.163047084;-0,0588;0,3483;0,8027;0,877
0.165609584;-0,0542;0,3417;0,8105;0,881
0.171241719;-0,0561;0,3380;0,8132;0,882
0.171781459;-0,0576;0,3288;0,8102;0,876
0.173387136;-0,0671;0,3275;0,8325;0,897
0.175668854;-0,0620;0,3263;0,8379;0,901
0.181233021;-0,0466;0,3229;0,8352;0,897
0.18193224;-0,0456;0,3202;0,8430;0,903
