time;gFx;gFy;gFz;TgF
0.00291375;0,4300;0,0002;0,9493;1,042
0.003518906;0,4298;-0,0044;0,9476;1,041
0.003807291;0,4298;-0,0020;0,9506;1,043
0.004101666;0,4327;-0,0017;0,9518;1,046
0.004369791;0,4308;-0,0037;0,9528;1,046
0.004657187;0,4291;0,0010;0,9513;1,044
0.004943593;0,4344;0,0002;0,9481;1,043
0.005202083;0,4357;-0,0037;0,9481;1,043
0.019303333;0,4344;-0,0017;0,9515;1,046
0.019961822;0,4396;0,0007;0,9518;1,048
0.020284947;0,4388;-0,0012;0,9535;1,050
0.020599427;0,4349;0,0015;0,9518;1,046
0.020864322;0,4332;0,0066;0,9474;1,042
0.021130624;0,4332;0,0061;0,9400;1,035
0.021389687;0,4349;0,0037;0,9410;1,037
0.030504374;0,4393;0,0103;0,9403;1,038
0.031063593;0,4335;0,0120;0,9347;1,030
0.031334218;0,4293;0,0127;0,9383;1,032
0.031610104;0,4278;0,0110;0,9347;1,028
0.047987656;0,4225;0,0100;0,9305;1,022
0.048659531;0,4234;0,0088;0,9298;1,022
0.049012395;0,4232;0,0129;0,9354;1,027
0.049281822;0,4232;0,0105;0,9325;1,024
0.049544374;0,4210;0,0110;0,9391;1,029
0.049799479;0,4178;0,0105;0,9386;1,027
0.050058854;0,4178;0,0115;0,9396;1,028
0.051182343;0,4166;0,0098;0,9440;1,032
0.060732291;0,4146;0,0095;0,9440;1,031
0.061476354;0,4159;0,0015;0,9474;1,035
0.061773124;0,4156;-0,0020;0,9469;1,034
0.062059114;0,4124;-0,0015;0,9457;1,032
0.075698593;0,4151;-0,0039;0,9491;1,036
0.076426458;0,4168;-0,0000;0,9547;1,042
0.076700729;0,4107;-0,0029;0,9528;1,038
0.076933281;0,4139;-0,0054;0,9554;1,041
0.077380468;0,4161;-0,0056;0,9620;1,048
0.077651354;0,4156;-0,0056;0,9567;1,043
0.079048177;0,4112;-0,0108;0,9572;1,042
0.09270151;0,4137;-0,0110;0,9603;1,046
0.093559062;0,4117;-0,0115;0,9567;1,042
0.093872395;0,4090;-0,0093;0,9506;1,035
0.094171458;0,4054;-0,0088;0,9469;1,030
0.094450052;0,4124;-0,0076;0,9437;1,030
