time;gFx;gFy;gFz;TgF
0.003568906;0,0299;-0,2134;0,9667;0,990
0.004057187;0,0301;-0,2137;0,9684;0,992
0.004224843;0,0316;-0,2156;0,9757;1,000
0.004398958;0,0323;-0,2163;0,9821;1,006
0.004566666;0,0370;-0,2181;0,9867;1,011
0.004728489;0,0333;-0,2168;0,9906;1,015
0.004896458;0,0336;-0,2144;0,9972;1,021
0.005061666;0,0323;-0,2173;0,9992;1,023
0.005223697;0,0372;-0,2168;1,0014;1,025
0.013976302;0,0407;-0,2159;1,0063;1,030
0.014512135;0,0416;-0,2176;1,0092;1,033
0.014699635;0,0431;-0,2146;1,0063;1,030
0.014868281;0,0458;-0,2185;1,0095;1,034
0.024304687;0,0460;-0,2171;1,0058;1,030
0.024823697;0,0463;-0,2110;1,0109;1,034
0.024973593;0,0477;-0,2151;1,0063;1,030
0.025105208;0,0475;-0,2144;1,0009;1,025
0.02852052;0,0485;-0,2156;1,0053;1,029
0.028982187;0,0514;-0,2127;1,0026;1,026
0.029117135;0,0548;-0,2122;1,0004;1,024
0.031765572;0,0573;-0,2146;0,9970;1,021
0.037993958;0,0546;-0,2146;0,9980;1,022
0.038545989;0,0538;-0,2137;0,9889;1,013
0.039423125;0,0516;-0,2146;0,9911;1,015
0.042633541;0,0538;-0,2141;0,9921;1,016
0.048021093;0,0551;-0,2137;0,9946;1,019
0.048490208;0,0582;-0,2144;0,9870;1,012
0.049036718;0,0524;-0,2161;0,9919;1,016
0.055065572;0,0494;-0,2154;0,9897;1,014
0.057846822;0,0516;-0,2141;0,9809;1,005
0.058350416;0,0499;-0,2178;0,9904;1,015
0.059338593;0,0468;-0,2149;0,9892;1,013
0.062933541;0,0485;-0,2185;0,9870;1,012
0.067699895;0,0492;-0,2144;0,9850;1,009
0.068101614;0,0455;-0,2171;0,9823;1,007
0.07089802;0,0458;-0,2173;0,9855;1,010
0.073299531;0,0436;-0,2146;0,9899;1,014
0.078652135;0,0404;-0,2220;0,9919;1,017
0.079240885;0,0441;-0,2161;0,9892;1,013
0.079530885;0,0424;-0,2171;0,9872;1,012
0.083789947;0,0392;-0,2117;0,9872;1,010
0.087240416;0,0365;-0,2115;0,9838;1,007
0.087941302;0,0429;-0,2156;0,9848;1,009
0.090052604;0,0411;-0,2151;0,9850;1,009
0.093190625;0,0436;-0,2139;0,9862;1,010
0.096244062;0,0363;-0,2122;0,9838;1,007
0.096720416;0,0363;-0,2095;0,9789;1,002
0.10054526;0,0389;-0,2149;0,9831;1,007
0.103973385;0,0380;-0,2141;0,9818;1,006
0.108272135;0,0375;-0,2166;0,9828;1,007
0.108813385;0,0363;-0,2097;0,9862;1,009
0.109590729;0,0409;-0,2139;0,9850;1,009
