time;gFx;gFy;gFz;TgF
0.003086458;0,0832;0,2051;1,0598;1,083
0.004287968;0,0966;0,2183;1,0493;1,076
0.004670312;0,1037;0,2273;1,0373;1,067
0.00501026;0,1069;0,2388;1,0273;1,060
0.005411875;0,1198;0,2515;1,0158;1,053
0.005766614;0,1250;0,2652;1,0060;1,048
0.00611427;0,1306;0,2796;0,9970;1,044
0.017804948;0,1418;0,2936;0,9867;1,039
0.018715677;0,1516;0,3004;0,9733;1,030
0.01907776;0,1590;0,3124;0,9608;1,023
0.019401718;0,1682;0,3278;0,9515;1,020
0.019724062;0,1790;0,3380;0,9396;1,014
0.034995156;0,1902;0,3476;0,9229;1,004
0.036225156;0,2005;0,3534;0,9080;0,995
0.037224583;0,1861;0,2980;0,8919;0,959
0.037481198;0,1880;0,2852;0,8679;0,933
0.03766026;0,2081;0,2994;0,8555;0,930
0.03783151;0,2203;0,3033;0,8479;0,927
0.037991927;0,2291;0,2975;0,8486;0,928
0.038150625;0,2362;0,2936;0,8577;0,937
0.046910208;0,2433;0,2874;0,8782;0,956
0.04742526;0,2531;0,2789;0,9068;0,982
0.047582343;0,2540;0,2694;0,9207;0,992
0.047724479;0,2545;0,2588;0,9462;1,013
0.054044479;0,2584;0,2525;0,9606;1,026
0.054364791;0,2680;0,2615;0,9777;1,047
0.054507864;0,2560;0,2544;0,9855;1,050
0.05780776;0,2208;0,2427;0,9789;1,032
0.063208593;0,1702;0,2302;0,9836;1,024
0.06361677;0,1040;0,2170;0,9782;1,007
0.06471927;0,0565;0,2026;0,9728;0,995
0.06869375;0,0172;0,1953;0,9655;0,985
0.071582448;-0,0195;0,1889;0,9657;0,984
0.084063593;-0,0517;0,1867;0,9811;1,000
0.084536927;-0,0894;0,1828;1,0026;1,023
0.084688177;-0,1209;0,1784;1,0214;1,044
0.084833645;-0,1434;0,1799;1,0386;1,064
0.0849725;-0,1625;0,1743;1,0835;1,109
0.085106354;-0,1862;0,1721;1,1146;1,143
0.093162187;-0,1933;0,1794;1,1410;1,171
0.093579531;-0,1850;0,1867;1,1701;1,199
0.093699791;-0,1835;0,1960;1,1801;1,210
0.096184895;-0,1730;0,2224;1,1825;1,216
0.098009375;-0,1529;0,2442;1,1838;1,218
0.102431406;-0,1341;0,2368;1,1649;1,196
0.103592656;-0,1072;0,2354;1,1505;1,179
0.106312395;-0,0855;0,2349;1,1285;1,156
0.108324218;-0,0625;0,2337;1,0970;1,123
0.113650989;-0,0319;0,2320;1,0723;1,098
0.114000416;0,0033;0,2466;1,0339;1,063
0.114945312;0,0250;0,2540;1,0019;1,034
0.123813854;0,0482;0,2642;0,9765;1,013
0.124425468;0,0429;0,2613;0,9427;0,979
0.124712604;-0,0823;0,2004;0,8393;0,867
0.125888958;-0,0816;0,1853;0,8178;0,843
0.13321;-0,0068;0,2009;0,8643;0,887
0.133860416;0,0011;0,2097;0,8489;0,874
0.134144843;0,0118;0,2124;0,8423;0,869
0.136122395;0,0336;0,2170;0,8491;0,877
0.1495025;0,0631;0,2258;0,8667;0,898
0.150308958;0,0790;0,2232;0,8821;0,913
0.150615572;0,0974;0,2261;0,8992;0,932
0.150889947;0,1052;0,2214;0,9105;0,943
0.152543229;0,1091;0,2202;0,9190;0,951
0.152933802;0,1206;0,2126;0,9342;0,966
0.15321677;0,1284;0,2117;0,9396;0,972
0.157555937;0,1382;0,2114;0,9427;0,976
0.163318958;0,1431;0,2092;0,9454;0,979
