time;gFx;gFy;gFz;TgF
0.003463462;0,2018;0,4920;1,0161;1,147
0.003687846;0,1867;0,4806;0,9961;1,122
0.003879385;0,1752;0,4718;0,9858;1,107
0.004067577;0,1241;0,4483;0,9584;1,065
0.004265462;0,1007;0,4356;0,9313;1,033
0.004491;0,0982;0,4334;0,9196;1,021
0.004752;0,1021;0,4349;0,8986;1,003
0.004983039;0,1102;0,4378;0,8803;0,989
0.005202616;0,1141;0,4400;0,8727;0,984
0.005394616;0,1226;0,4478;0,8590;0,976
0.012903077;0,1270;0,4527;0,8524;0,973
0.013217077;0,1375;0,4637;0,8392;0,969
0.013417731;0,1439;0,4749;0,8302;0,967
0.013610154;0,1471;0,4808;0,8268;0,968
0.015774923;0,1556;0,4940;0,8199;0,970
0.015973154;0,1615;0,5062;0,8131;0,971
0.033921116;0,1632;0,5106;0,8114;0,972
0.034248308;0,1666;0,5189;0,8084;0,975
0.034455693;0,1674;0,5270;0,8053;0,977
0.034644193;0,1683;0,5297;0,8033;0,977
0.034847116;0,1691;0,5382;0,7962;0,976
0.0350335;0,1678;0,5382;0,7957;0,975
0.0352065;0,1681;0,5414;0,7955;0,977
0.035378616;0,1676;0,5409;0,7916;0,973
0.035567308;0,1664;0,5404;0,7899;0,971
0.036813808;0,1652;0,5402;0,7852;0,967
0.040934539;0,1642;0,5358;0,7806;0,961
0.041295385;0,1647;0,5341;0,7786;0,958
0.043274808;0,1622;0,5292;0,7745;0,952
0.0448405;0,1598;0,5221;0,7713;0,945
0.046412116;0,1583;0,5172;0,7696;0,941
0.048519;0,1564;0,5113;0,7689;0,937
0.050258731;0,1544;0,5035;0,7723;0,935
0.052469539;0,1551;0,4996;0,7733;0,934
0.054249;0,1554;0,4918;0,7735;0,930
0.056834846;0,1544;0,4857;0,7767;0,929
0.058178616;0,1551;0,4811;0,7803;0,930
0.060215231;0,1561;0,4732;0,7862;0,931
0.062211308;0,1561;0,4703;0,7901;0,933
0.064131885;0,1583;0,4644;0,7952;0,934
0.066089231;0,1588;0,4583;0,8026;0,938
0.068568654;0,1583;0,4556;0,8072;0,940
0.070087116;0,1593;0,4488;0,8145;0,944
0.072208154;0,1605;0,4439;0,8236;0,949
0.074473193;0,1603;0,4427;0,8282;0,953
0.076409577;0,1610;0,4403;0,8404;0,962
0.078261962;0,1595;0,4390;0,8458;0,966
0.080075154;0,1598;0,4373;0,8619;0,980
