time;gFx;gFy;gFz;TgF
0.002779;0,0699;0,5568;0,7171;0,911
0.002983923;0,0774;0,5539;0,7166;0,909
0.003176347;0,0960;0,5434;0,7161;0,904
0.003359193;0,1016;0,5394;0,7119;0,899
0.003545462;0,1121;0,5358;0,7095;0,896
0.003719077;0,1051;0,5277;0,6914;0,876
0.005018385;-0,0327;0,5385;0,5915;0,801
0.008095116;-0,0687;0,5358;0,5925;0,802
0.009257693;-0,0767;0,5236;0,6223;0,817
0.011357731;-0,0689;0,5140;0,6469;0,829
0.013554308;-0,0711;0,4815;0,6616;0,821
0.01521977;-0,0647;0,4273;0,6814;0,807
0.017078616;-0,0542;0,4227;0,6941;0,814
0.018889731;-0,0308;0,4290;0,7146;0,834
0.021138423;-0,0039;0,4459;0,7290;0,855
0.023124923;0,0095;0,4559;0,7398;0,869
0.026689347;0,0374;0,4749;0,7515;0,890
0.027311193;0,0621;0,4918;0,7581;0,906
0.029206846;0,0728;0,4999;0,7674;0,919
0.03098377;0,0858;0,5135;0,7952;0,951
0.033262885;0,0862;0,5272;0,8246;0,982
0.035080731;0,0836;0,5333;0,8400;0,998
0.036988039;0,0721;0,5434;0,8636;1,023
0.0389305;0,0545;0,5458;0,8827;1,039
0.041441846;0,0440;0,5485;0,8913;1,047
0.042974308;0,0230;0,5500;0,9015;1,056
0.044983154;0,0125;0,5507;0,9054;1,060
0.047380885;-0,0098;0,5504;0,9081;1,062
0.049362693;-0,0266;0,5495;0,9003;1,055
0.051172616;-0,0406;0,5468;0,8974;1,052
0.053157423;-0,0430;0,5409;0,8979;1,049
0.054953693;-0,0469;0,5331;0,8988;1,046
0.059101039;-0,0454;0,5233;0,9018;1,044
0.059433731;-0,0430;0,5192;0,9010;1,041
0.061001231;-0,0391;0,5113;0,8964;1,033
0.065772616;-0,0376;0,5074;0,8954;1,030
0.066118616;-0,0340;0,5028;0,8913;1,024
0.067091423;-0,0325;0,4994;0,8888;1,020
0.069601616;-0,0279;0,4960;0,8866;1,016
0.071205577;-0,0215;0,4916;0,8864;1,014
0.074285654;-0,0176;0,4894;0,8871;1,013
0.075591577;-0,0054;0,4845;0,8910;1,014
0.077025077;0,0088;0,4806;0,8981;1,019
0.078993462;0,0176;0,4789;0,9008;1,020
0.081543077;0,0310;0,4742;0,9101;1,027
0.083101808;0,0474;0,4723;0,9167;1,032
0.0851455;0,0537;0,4698;0,9198;1,034
0.087102116;0,0640;0,4647;0,9274;1,039
0.089257808;0,0716;0,4613;0,9303;1,041
0.091457962;0,0740;0,4608;0,9308;1,041
0.093816231;0,0779;0,4569;0,9303;1,039
0.095222;0,0777;0,4552;0,9299;1,038
0.09740277;0,0760;0,4525;0,9303;1,037
0.099169039;0,0757;0,4503;0,9284;1,035
0.101294539;0,0755;0,4503;0,9294;1,035
0.1030415;0,0765;0,4486;0,9308;1,036
0.107101154;0,0801;0,4490;0,9308;1,037
0.109096616;0,0809;0,4483;0,9318;1,037
0.109393616;0,0826;0,4476;0,9352;1,040
0.110930577;0,0840;0,4488;0,9367;1,042
0.11304627;0,0855;0,4520;0,9367;1,044
0.115064;0,0877;0,4522;0,9350;1,042
0.118606077;0,0911;0,4559;0,9325;1,042
0.119105462;0,0911;0,4559;0,9325;1,042
0.120962462;0,0924;0,4576;0,9286;1,039
0.123835193;0,0943;0,4591;0,9252;1,037
0.124999654;0,0967;0,4583;0,9201;1,032
0.126883846;0,0970;0,4596;0,9167;1,030
0.129296808;0,0977;0,4608;0,9157;1,030
0.131085846;0,1004;0,4605;0,9128;1,027
0.133170539;0,1024;0,4596;0,9093;1,024
0.137789116;0,1048;0,4605;0,9074;1,023
0.138179577;0,1068;0,4635;0,9071;1,024
0.139075885;0,1070;0,4640;0,9066;1,024
0.141342346;0,1073;0,4649;0,9032;1,022
0.143270731;0,1065;0,4642;0,8964;1,015
0.1452775;0,1073;0,4637;0,8932;1,012
0.148733077;0,1092;0,4652;0,8883;1,009
0.149031116;0,1082;0,4674;0,8810;1,003
0.1511245;0,1085;0,4671;0,8781;1,000
0.153374385;0,1087;0,4681;0,8732;0,997
0.155437846;0,1095;0,4691;0,8683;0,993
0.158885962;0,1099;0,4701;0,8673;0,993
0.159561308;0,1085;0,4693;0,8663;0,991
0.161250539;0,1029;0,4674;0,8649;0,988
0.163209077;0,0967;0,4622;0,8646;0,985
0.165666808;0,0530;0,4188;0,8290;0,930
0.167217308;0,0432;0,4080;0,8150;0,912
0.169275116;0,0459;0,4075;0,7987;0,898
0.171233385;0,0559;0,4170;0,7979;0,902
0.177323654;0,0633;0,4227;0,7999;0,907
0.177761077;0,0853;0,4324;0,8065;0,919
0.178927539;0,1283;0,4400;0,8299;0,948
0.1793785;0,1283;0,4400;0,8299;0,948
0.181639193;0,1542;0,4447;0,8478;0,970
0.183162308;0,1769;0,4464;0,8641;0,989
0.185260693;0,1845;0,4503;0,8737;1,000
0.187146;0,1903;0,4556;0,8888;1,017
0.189613885;0,1884;0,4578;0,8952;1,023
0.1914755;0,1854;0,4613;0,9064;1,034
0.193670962;0,1759;0,4637;0,9120;1,038
0.195261423;0,1696;0,4642;0,9118;1,037
0.198125577;0,1578;0,4618;0,9120;1,034
0.199315231;0,1473;0,4578;0,9113;1,030
0.201257039;0,1451;0,4532;0,9130;1,030
0.204149693;0,1444;0,4415;0,9218;1,032
0.205141539;0,1481;0,4310;0,9303;1,036
0.207210423;0,1525;0,4261;0,9338;1,038
0.209071077;0,1622;0,4161;0,9367;1,038
0.211106885;0,1686;0,4126;0,9333;1,034
0.213093269;0,1700;0,4117;0,9281;1,029
0.215183693;0,1666;0,4122;0,9113;1,014
0.217126885;0,1620;0,4126;0,9020;1,005
0.219192923;0,1525;0,4175;0,8851;0,990
0.221322077;0,1424;0,4175;0,8739;0,979
0.2230495;0,1373;0,4195;0,8712;0,977
0.225706462;0,1285;0,4244;0,8698;0,976
0.227106269;0,1217;0,4271;0,8742;0,980
0.229148346;0,1170;0,4290;0,8771;0,983
0.231065808;0,1121;0,4322;0,8851;0,991
0.233448769;0,1070;0,4341;0,8917;0,998
0.235178923;0,1036;0,4388;0,8959;1,003
0.238657308;0,0897;0,4468;0,9025;1,011
0.238917154;0,0897;0,4468;0,9025;1,011
0.241638462;0,0818;0,4525;0,9049;1,015
0.243237231;0,0709;0,4613;0,9084;1,021
0.245206308;0,0657;0,4659;0,9098;1,024
0.247075116;0,0555;0,4732;0,9118;1,029
0.249518154;0,0457;0,4803;0,9115;1,031
0.251182577;0,0410;0,4842;0,9108;1,032
0.253518231;0,0344;0,4889;0,9086;1,032
0.255317692;0,0279;0,4908;0,9091;1,034
0.258852731;0,0254;0,4969;0,9103;1,037
0.259382;0,0200;0,5006;0,9123;1,041
0.2614825;0,0173;0,5023;0,9128;1,042
0.263283808;0,0137;0,5030;0,9137;1,043
0.265356885;0,0125;0,5057;0,9154;1,046
0.268237808;0,0117;0,5060;0,9154;1,046
0.269215308;0,0105;0,5062;0,9169;1,047
0.271334;0,0105;0,5057;0,9167;1,047
0.274021577;0,0090;0,5062;0,9159;1,047
0.276848385;0,0105;0,5050;0,9132;1,044
0.277541385;0,0149;0,5026;0,9103;1,040
0.279551154;0,0173;0,5013;0,9059;1,036
0.281398385;0,0254;0,5011;0,8954;1,026
0.283665231;0,0391;0,4979;0,8734;1,006
0.285277654;0,0479;0,4974;0,8580;0,993
0.287284154;0,0699;0,4942;0,8265;0,966
0.289098462;0,0836;0,4940;0,8089;0,952
0.291314885;0,1134;0,4938;0,7733;0,924
0.293192923;0,1500;0,4938;0,7420;0,904
0.295173039;0,1683;0,4923;0,7281;0,895
0.298617731;0,2194;0,4894;0,6958;0,878
0.299378385;0,2333;0,4886;0,6914;0,878
0.302389923;0,2438;0,4884;0,6907;0,880
0.303275154;0,2534;0,4901;0,6919;0,885
0.306113192;0,2426;0,4920;0,6914;0,883
0.307626846;0,2297;0,4986;0,6899;0,882
0.309149577;0,1952;0,5082;0,6858;0,876
0.311013192;0,1781;0,5140;0,6836;0,874
0.313472923;0,1422;0,5206;0,6797;0,868
0.315444692;0,1104;0,5270;0,6787;0,866
0.317498962;0,0977;0,5302;0,6785;0,867
0.319153769;0,0816;0,5341;0,6824;0,870
0.321329231;0,0689;0,5341;0,6958;0,880
0.323926808;0,0638;0,5343;0,7046;0,887
0.325146769;0,0533;0,5365;0,7273;0,905
0.327502539;0,0420;0,5382;0,7505;0,925
0.329451462;0,0366;0,5412;0,7608;0,934
0.331825154;0,0308;0,5402;0,7816;0,951
0.333473154;0,0335;0,5377;0,7957;0,961
0.335493808;0,0283;0,5338;0,8084;0,969
0.337209231;0,0149;0,5355;0,8087;0,970
0.340001116;0,0073;0,5375;0,8070;0,970
0.341311192;-0,0012;0,5365;0,8053;0,968
0.343152692;0,0000;0,5299;0,8057;0,964
0.345205846;0,0044;0,5250;0,8060;0,962
0.347649731;0,0134;0,5172;0,8106;0,962
0.349183192;0,0222;0,5043;0,8248;0,967
0.351146385;0,0269;0,4989;0,8338;0,972
0.353298423;0,0359;0,4898;0,8546;0,986
0.355306385;0,0432;0,4864;0,8754;1,002
0.358597231;0,0528;0,4776;0,8910;1,012
0.359603539;0,0564;0,4769;0,8957;1,016
0.360986731;0,0594;0,4764;0,8964;1,017
0.364711962;0,0645;0,4723;0,8844;1,005
0.3654185;0,0682;0,4671;0,8627;0,983
0.367199962;0,0699;0,4635;0,8492;0,970
0.369374731;0,0716;0,4552;0,8172;0,938
0.371241346;0,0709;0,4478;0,7869;0,908
0.373841846;0,0706;0,4461;0,7728;0,895
0.375614;0,0672;0,4410;0,7491;0,872
0.377139731;0,0667;0,4359;0,7393;0,861
0.379235615;0,0679;0,4261;0,7195;0,839
0.381462269;0,0750;0,4173;0,6995;0,818
0.383238462;0,0806;0,4136;0,6899;0,808
0.385184808;0,0948;0,4043;0,6750;0,793
0.387157385;0,1087;0,3960;0,6702;0,786
0.389096385;0,1146;0,3948;0,6755;0,791
0.391160462;0,1280;0,3990;0,7078;0,823
0.393121539;0,1363;0,3936;0,7061;0,820
0.395192423;0,1415;0,3902;0,7046;0,818
0.397272885;0,1539;0,3845;0,6982;0,812
0.3993355;0,1632;0,3802;0,7075;0,820
0.401226577;0,1669;0,3767;0,7161;0,826
0.403192039;0,1713;0,3665;0,7320;0,836
0.405118154;0,1708;0,3606;0,7434;0,844
0.407206615;0,1676;0,3479;0,7735;0,865
0.409170077;0,1583;0,3330;0,8055;0,886
0.411121692;0,1503;0,3259;0,8255;0,900
0.413131731;0,1290;0,3113;0,8629;0,926
0.415211885;0,1019;0,3012;0,9003;0,955
0.418680115;0,0699;0,2964;0,9394;0,987
0.419207192;0,0533;0,2927;0,9572;1,002
0.421191077;0,0188;0,2888;0,9926;1,034
0.423591;0,0042;0,2876;1,0097;1,050
0.425500731;-0,0232;0,2861;1,0361;1,075
0.427196231;-0,0342;0,2861;1,0459;1,085
0.429193885;-0,0511;0,2883;1,0603;1,100
0.431140039;-0,0669;0,2910;1,0623;1,103
0.434119846;-0,0738;0,2910;1,0598;1,102
0.435348731;-0,0882;0,2880;1,0537;1,096
0.437286923;-0,1048;0,2956;1,0405;1,087
0.439170192;-0,1146;0,3010;1,0342;1,083
0.441149154;-0,1375;0,3115;1,0269;1,082
0.443294115;-0,1576;0,3247;1,0166;1,079
0.445115115;-0,1642;0,3315;1,0127;1,078
0.447139923;-0,1737;0,3428;1,0041;1,075
0.449153308;-0,1788;0,3474;0,9995;1,073
0.451106846;-0,1791;0,3528;1,0012;1,077
0.453174192;-0,1810;0,3545;1,0071;1,083
0.455605846;-0,1825;0,3545;1,0168;1,092
0.458392538;-0,1896;0,3503;1,0508;1,124
0.459139808;-0,2047;0,3474;1,0938;1,166
0.461108885;-0,2162;0,3462;1,1163;1,189
0.463707308;-0,2453;0,3420;1,1602;1,234
0.465524346;-0,2734;0,3408;1,2018;1,279
0.467253962;-0,2856;0,3423;1,2181;1,297
0.469313462;-0,3054;0,3440;1,2387;1,321
0.471264654;-0,3100;0,3462;1,2399;1,324
0.476218692;-0,3093;0,3486;1,2345;1,320
0.476791077;-0,3029;0,3516;1,2045;1,291
0.479187192;-0,2937;0,3567;1,1593;1,248
0.479679115;-0,2937;0,3567;1,1593;1,248
0.481590577;-0,2822;0,3640;1,1380;1,228
0.483655231;-0,2724;0,3640;1,1224;1,211
0.485193654;-0,2419;0,3611;1,0804;1,164
0.487431423;-0,2089;0,3601;1,0334;1,114
0.4929345;-0,1955;0,3606;1,0117;1,092
0.493236192;-0,1747;0,3618;0,9729;1,053
0.493387385;-0,1573;0,3584;0,9406;1,019
0.495292731;-0,1512;0,3552;0,9301;1,007
0.500388038;-0,1424;0,3467;0,9081;0,982
0.500637962;-0,1383;0,3401;0,8966;0,969
0.502059423;-0,1422;0,3469;0,8866;0,963
0.504272923;-0,1478;0,3589;0,8776;0,960
0.505284462;-0,1461;0,3616;0,8756;0,959
0.508183577;-0,1353;0,3601;0,8724;0,954
0.509233;-0,1190;0,3545;0,8658;0,943
0.511466577;-0,1107;0,3518;0,8605;0,936
0.513667769;-0,1002;0,3425;0,8487;0,921
0.515876577;-0,0948;0,3398;0,8409;0,912
0.517318346;-0,0933;0,3381;0,8407;0,911
0.519478808;-0,0955;0,3347;0,8439;0,913
0.521700731;-0,0975;0,3340;0,8453;0,914
0.523486769;-0,0982;0,3303;0,8531;0,920
0.525432192;-0,0953;0,3259;0,8646;0,929
0.529407192;-0,0936;0,3235;0,8707;0,934
0.529599615;-0,0889;0,3205;0,8812;0,942
0.531376308;-0,0880;0,3181;0,8908;0,950
0.533442385;-0,0892;0,3164;0,8935;0,952
0.535279462;-0,0938;0,3157;0,8974;0,956
0.538993808;-0,1048;0,3210;0,8974;0,959
0.539163308;-0,1048;0,3210;0,8974;0,959
0.541767385;-0,1148;0,3240;0,8988;0,962
0.543939692;-0,1246;0,3259;0,8998;0,965
0.546806462;-0,1285;0,3291;0,9015;0,968
0.547334654;-0,1334;0,3318;0,9059;0,974
0.550249923;-0,1375;0,3330;0,9044;0,974
0.551115077;-0,1405;0,3357;0,9020;0,973
0.553506731;-0,1483;0,3381;0,8942;0,967
0.558440462;-0,1507;0,3379;0,8876;0,962
0.558767;-0,1573;0,3384;0,8702;0,947
0.559598962;-0,1637;0,3403;0,8522;0,932
0.561394385;-0,1666;0,3428;0,8431;0,925
0.563807615;-0,1730;0,3455;0,8255;0,911
0.566163692;-0,1798;0,3503;0,8094;0,900
0.567675;-0,1827;0,3511;0,8021;0,894
