time;gFx;gFy;gFz;TgF
0.0055425;0,3838;0,7281;0,6702;1,061
0.005924577;0,3782;0,7256;0,6618;1,052
0.006128269;0,3750;0,7197;0,6562;1,044
0.006322538;0,3682;0,7102;0,6511;1,031
0.006521615;0,3645;0,7058;0,6506;1,027
0.006719923;0,3591;0,6990;0,6499;1,020
0.006910923;0,3577;0,6941;0,6513;1,017
0.007111307;0,3577;0,6939;0,6523;1,017
0.007304654;0,3596;0,6948;0,6504;1,017
0.00749623;0,3584;0,6978;0,6526;1,020
0.007686;0,3579;0,6995;0,6531;1,022
0.012839269;0,3557;0,7048;0,6526;1,024
0.013236923;0,3511;0,7085;0,6518;1,025
0.014052807;0,3477;0,7117;0,6523;1,026
0.0165165;0,3386;0,7180;0,6516;1,027
0.019790077;0,3308;0,7207;0,6531;1,027
0.020666154;0,3247;0,7249;0,6538;1,029
0.026834384;0,3159;0,7263;0,6557;1,028
0.027285769;0,3110;0,7276;0,6562;1,028
0.02751873;0,3017;0,7298;0,6565;1,027
0.028174269;0,2915;0,7300;0,6572;1,025
0.029997;0,2805;0,7295;0,6582;1,022
0.031704538;0,2766;0,7281;0,6589;1,020
0.033919154;0,2690;0,7227;0,6596;1,015
0.037373038;0,2651;0,7205;0,6599;1,012
0.037956654;0,2560;0,7146;0,6604;1,006
0.039809538;0,2485;0,7090;0,6628;1,002
0.041829;0,2446;0,7073;0,6621;0,999
0.0454975;0,2338;0,7004;0,6604;0,991
0.045922384;0,2338;0,7004;0,6604;0,991
0.048269038;0,2284;0,6951;0,6587;0,984
0.050022;0,2223;0,6936;0,6579;0,982
0.051977423;0,2182;0,6917;0,6596;0,980
0.054172077;0,2116;0,6904;0,6601;0,978
0.056009307;0,2072;0,6890;0,6611;0,977
0.057997384;0,2055;0,6887;0,6628;0,978
0.059810192;0,2013;0,6897;0,6665;0,980
0.062145654;0,1972;0,6897;0,6702;0,982
0.064314;0,1964;0,6887;0,6738;0,983
0.06613;0,1937;0,6895;0,6792;0,987
0.068444692;0,1937;0,6897;0,6855;0,992
0.070714692;0,1930;0,6897;0,6882;0,993
0.072327923;0,1915;0,6887;0,6914;0,995
0.073938;0,1913;0,6880;0,6943;0,996
0.075996038;0,1915;0,6877;0,7007;1,000
0.077665653;0,1903;0,6877;0,7048;1,003
0.080123346;0,1908;0,6880;0,7066;1,004
0.082128423;0,1911;0,6885;0,7088;1,006
0.084135384;0,1923;0,6877;0,7102;1,007
0.086871;0,1918;0,6877;0,7117;1,008
0.088392;0,1928;0,6877;0,7134;1,009
0.090075269;0,1930;0,6887;0,7114;1,009
0.091944;0,1933;0,6887;0,7105;1,008
