time;gFx;gFy;gFz;TgF
0.002627539;-0,0274;0,6438;0,7044;0,955
0.002955846;-0,0205;0,6543;0,6973;0,956
0.003159615;-0,0103;0,6582;0,6877;0,952
0.003566923;0,0186;0,6570;0,6438;0,920
0.003792846;0,0151;0,6565;0,6157;0,900
0.003994462;0,0154;0,6577;0,6030;0,892
0.004200539;0,0264;0,6587;0,5883;0,884
0.006204346;0,0330;0,6582;0,5842;0,881
0.007722231;0,0406;0,6562;0,5761;0,874
0.009639154;0,0410;0,6545;0,5724;0,870
0.011903385;0,0371;0,6545;0,5749;0,872
0.013640231;0,0203;0,6562;0,5903;0,883
0.015712115;0,0049;0,6577;0,6164;0,901
0.021972539;-0,0015;0,6589;0,6291;0,911
0.022377154;-0,0171;0,6616;0,6506;0,928
0.022575077;-0,0293;0,6643;0,6680;0,942
0.023622731;-0,0342;0,6662;0,6746;0,949
0.025882346;-0,0459;0,6670;0,6846;0,957
0.027768346;-0,0511;0,6665;0,6904;0,961
0.029670192;-0,0601;0,6687;0,7019;0,971
0.031632731;-0,0701;0,6733;0,7112;0,982
0.038080923;-0,0760;0,6765;0,7163;0,988
0.038516154;-0,0867;0,6802;0,7219;0,996
0.038727692;-0,0999;0,6873;0,7273;1,006
0.039933654;-0,1060;0,6899;0,7295;1,010
0.041779731;-0,1170;0,6970;0,7317;1,017
0.045215539;-0,1329;0,7048;0,7356;1,027
0.045548423;-0,1329;0,7048;0,7356;1,027
0.047774115;-0,1405;0,7100;0,7378;1,034
0.058249462;-0,1485;0,7114;0,7434;1,040
0.058650231;-0,1512;0,7139;0,7456;1,043
0.058843269;-0,1498;0,7149;0,7488;1,046
0.059033308;-0,1483;0,7158;0,7505;1,048
0.0592175;-0,1437;0,7146;0,7505;1,046
0.059684692;-0,1356;0,7124;0,7474;1,041
0.061852654;-0,1290;0,7119;0,7461;1,039
0.064100539;-0,1146;0,7068;0,7422;1,031
0.065831269;-0,0977;0,7004;0,7356;1,020
0.071493962;-0,0902;0,6973;0,7344;1,017
0.071867039;-0,0743;0,6904;0,7312;1,008
0.072044192;-0,0572;0,6819;0,7285;1,000
0.073652615;-0,0489;0,6758;0,7266;0,993
0.075663577;-0,0320;0,6623;0,7224;0,981
0.077601769;-0,0230;0,6562;0,7215;0,976
0.079532192;-0,0037;0,6406;0,7197;0,964
0.081574615;0,0269;0,6010;0,7202;0,938
0.087398115;0,0528;0,5656;0,7241;0,920
0.087760462;0,0789;0,5333;0,7293;0,907
0.0879555;0,0887;0,5238;0,7381;0,909
0.089807577;0,0914;0,5219;0,7449;0,914
0.091833885;0,0950;0,5243;0,7603;0,928
0.093466885;0,0958;0,5260;0,7735;0,940
0.095545192;0,0975;0,5272;0,7796;0,946
0.097684731;0,1011;0,5287;0,7874;0,954
0.104574577;0,1053;0,5285;0,7896;0,956
0.105218808;0,1085;0,5238;0,7926;0,956
0.105674462;0,1146;0,5162;0,7926;0,953
0.105886654;0,1146;0,5162;0,7926;0,953
0.107939769;0,1156;0,5106;0,7928;0,950
0.109811731;0,1129;0,5087;0,7952;0,951
0.111751462;0,1092;0,5101;0,7984;0,954
0.113690231;0,0997;0,5131;0,8013;0,957
0.115826731;0,0853;0,5219;0,8035;0,962
