time,gFx,gFy,gFz,gFTotal
0.01055002212524414,0.055,-0.443,-0.825,0.938
0.015350818634033203,0.044,-0.452,-0.824,0.941
0.025488853454589844,0.028,-0.504,-0.781,0.93
0.0368809700012207,0.03,-0.529,-0.764,0.93
0.0465388298034668,0.047,-0.572,-0.781,0.969
0.06647586822509766,-0.046,-0.618,-0.777,0.994
0.06663179397583008,-0.046,-0.618,-0.777,0.994
0.0749979019165039,-0.13,-0.601,-0.754,0.973
0.0868840217590332,-0.133,-0.572,-0.854,1.036
0.09625005722045898,-0.122,-0.569,-0.897,1.069
0.10692787170410156,-0.17,-0.481,-0.994,1.117
0.11675691604614258,-0.175,-0.384,-0.923,1.015
0.12686586380004883,-0.106,-0.472,-0.808,0.942
0.13666486740112305,0.098,-0.706,-0.626,0.949
0.14679694175720215,-0.001,-0.617,-0.738,0.962
0.17424798011779785,-0.134,-0.524,-0.671,0.862
0.1749100685119629,-0.134,-0.524,-0.671,0.862
0.17601895332336426,-0.134,-0.524,-0.671,0.862
0.18621397018432617,0.007,-0.491,-0.543,0.732
0.1960430145263672,0.157,-0.449,-0.516,0.702
0.20602703094482422,0.276,-0.384,-0.558,0.731
0.21573090553283691,0.286,-0.298,-0.646,0.767
0.22600793838500977,0.205,-0.289,-0.796,0.871
0.23583507537841797,0.145,-0.324,-1.184,1.236
0.24556899070739746,0.158,-0.224,-1.798,1.819
0.27109384536743164,0.204,-0.199,-0.916,0.959
0.27132081985473633,0.204,-0.199,-0.916,0.959
0.27386903762817383,0.25,-0.302,-1.029,1.101
0.28404808044433594,0.212,-0.396,-1.112,1.199
0.2950758934020996,0.054,-0.489,-1.042,1.152
0.30548596382141113,-0.144,-0.607,-0.769,0.99
0.31520509719848633,-0.201,-0.4,-0.553,0.711
0.3253929615020752,-0.278,-0.595,-0.546,0.854
0.33504486083984375,-0.178,-0.813,-0.866,1.201
0.34531688690185547,-0.107,-0.669,-0.835,1.075
0.3710818290710449,-0.085,-0.456,-0.885,0.999
0.37122201919555664,-0.085,-0.456,-0.885,0.999
0.3733499050140381,-0.044,-0.422,-0.988,1.075
0.38483500480651855,-0.015,-0.405,-1.026,1.103
0.3946859836578369,0.012,-0.4,-1.03,1.105
0.4050009250640869,0.021,-0.379,-1.002,1.071
0.41453981399536133,0.014,-0.393,-1.04,1.112
0.4249610900878906,-0.018,-0.444,-0.988,1.083
0.4345870018005371,-0.026,-0.501,-0.971,1.093
0.44452500343322754,0.002,-0.511,-0.952,1.08
0.46920108795166016,-0.018,-0.475,-0.87,0.991
0.4693470001220703,-0.018,-0.475,-0.87,0.991
0.4730849266052246,-0.049,-0.48,-0.819,0.951
0.48451900482177734,-0.047,-0.489,-0.812,0.949
0.49422311782836914,-0.055,-0.483,-0.762,0.904
0.5044198036193848,-0.058,-0.447,-0.778,0.899
0.5141029357910156,-0.049,-0.396,-0.827,0.918
0.5246920585632324,-0.067,-0.367,-0.82,0.901
0.5342130661010742,-0.096,-0.352,-0.817,0.895
0.5442581176757812,-0.116,-0.34,-0.837,0.911
0.5700020790100098,-0.128,-0.293,-0.811,0.872
