time,gFx,gFy,gFz,gFTotal
0.003213167190551758,-0.096,-0.298,-1.007,1.055
0.009226083755493164,-0.118,-0.286,-0.927,0.977
0.020817995071411133,-0.153,-0.252,-0.892,0.939
0.0310518741607666,-0.114,-0.241,-0.93,0.967
0.040637969970703125,-0.018,-0.279,-0.979,1.018
0.050611019134521484,0.001,-0.397,-0.885,0.97
0.06057095527648926,0.039,-0.461,-0.839,0.958
0.07081389427185059,0.076,-0.411,-0.899,0.991
0.09544801712036133,0.007,-0.282,-1.101,1.137
0.09581303596496582,0.007,-0.282,-1.101,1.137
0.09887504577636719,-0.021,-0.151,-1.164,1.174
0.10901904106140137,-0.087,-0.089,-1.165,1.172
0.12049603462219238,-0.071,-0.171,-1.342,1.355
0.13039207458496094,0.125,-0.407,-2.203,2.244
0.1404101848602295,0.021,-0.285,-1.418,1.447
0.15043187141418457,-0.072,-0.323,-0.769,0.837
0.16016793251037598,0.086,-0.415,-0.9,0.995
0.170914888381958,0.256,-0.492,-1.009,1.151
0.1981351375579834,0.259,-0.516,-0.373,0.687
0.19954705238342285,0.112,-0.351,0.068,0.375
0.20229601860046387,0.112,-0.351,0.068,0.375
0.20854401588439941,-0.109,-0.421,-0.116,0.45
0.21968817710876465,-0.202,-0.555,-0.256,0.644
0.22952485084533691,-0.175,-0.764,-0.432,0.895
0.23951196670532227,-0.137,-0.929,-0.618,1.124
0.24981999397277832,-0.066,-0.966,-0.764,1.233
0.2598741054534912,-0.036,-0.958,-0.812,1.256
0.2697010040283203,-0.01,-0.875,-0.678,1.107
0.2947099208831787,0.4,-0.96,-0.763,1.29
0.29508399963378906,0.4,-0.96,-0.763,1.29
0.2977569103240967,0.138,-0.512,-0.697,0.876
0.3093910217285156,-0.049,-0.393,-0.503,0.64
0.3191568851470947,-0.137,-0.507,-0.536,0.75
0.3290731906890869,-0.131,-0.602,-0.768,0.985
0.33959007263183594,-0.176,-0.64,-0.939,1.15
0.34933996200561523,-0.364,-0.732,-0.904,1.219
0.3590991497039795,-0.366,-0.683,-0.761,1.086
0.3697030544281006,-0.116,-0.422,-0.852,0.958
0.39441990852355957,0.055,-0.262,-0.643,0.697
0.3948171138763428,0.055,-0.262,-0.643,0.697
0.3977200984954834,-0.022,-0.102,-0.729,0.736
0.4089329242706299,-0.106,-0.134,-0.93,0.946
0.4191310405731201,-0.275,-0.268,-0.889,0.968
0.4286010265350342,-0.332,-0.314,-0.905,1.014
0.4384791851043701,-0.241,-0.227,-0.878,0.938
