time,gFx,gFy,gFz,gFTotal
0.01188802719116211,-0.216,-0.286,-0.877,0.947
0.012228965759277344,-0.216,-0.286,-0.877,0.947
0.02080702781677246,-0.207,-0.234,-0.901,0.954
0.030786991119384766,-0.216,-0.247,-0.988,1.041
0.04254484176635742,-0.215,-0.314,-0.997,1.067
0.052047014236450195,-0.248,-0.313,-0.949,1.03
0.06232094764709473,-0.281,-0.263,-0.89,0.97
0.08431291580200195,-0.277,-0.271,-0.762,0.855
0.08446097373962402,-0.277,-0.271,-0.762,0.855
0.09221291542053223,-0.264,-0.3,-0.743,0.844
0.10133886337280273,-0.267,-0.384,-0.749,0.883
0.11190295219421387,-0.193,-0.385,-0.878,0.978
0.12175893783569336,-0.062,-0.321,-1.063,1.112
0.13213491439819336,0.01,-0.314,-0.964,1.014
0.1419811248779297,0.053,-0.288,-0.667,0.728
0.1517469882965088,0.075,-0.269,-0.486,0.561
0.16228008270263672,0.054,-0.318,-0.508,0.602
0.1925058364868164,-0.026,-0.48,-0.734,0.877
0.19264698028564453,-0.026,-0.48,-0.734,0.877
0.19298601150512695,-0.026,-0.48,-0.734,0.877
0.19984793663024902,-0.029,-0.466,-0.718,0.856
0.21182584762573242,-0.03,-0.461,-0.691,0.831
0.2212209701538086,-0.049,-0.463,-0.675,0.82
0.23111295700073242,-0.064,-0.463,-0.669,0.816
0.24140000343322754,-0.059,-0.448,-0.583,0.738
0.2511601448059082,-0.103,-0.464,-0.61,0.773
0.26156091690063477,-0.158,-0.496,-0.655,0.837
0.2876589298248291,0.032,-0.685,-0.912,1.141
0.28787708282470703,0.032,-0.685,-0.912,1.141
0.2893249988555908,0.132,-0.697,-0.914,1.157
0.29948902130126953,0.137,-0.604,-0.817,1.025
0.3113560676574707,0.119,-0.565,-0.802,0.988
0.3204469680786133,0.092,-0.609,-0.847,1.047
0.33081603050231934,0.055,-0.621,-0.924,1.115
0.34078192710876465,0.025,-0.565,-0.96,1.114
0.3505830764770508,-0.024,-0.487,-0.929,1.049
0.3610501289367676,-0.056,-0.51,-0.9,1.036
0.3869359493255615,0.136,-0.757,-0.849,1.146
0.3870689868927002,0.136,-0.757,-0.849,1.146
0.388700008392334,0.228,-0.729,-0.917,1.193
0.39902400970458984,0.236,-0.646,-0.974,1.192
0.4107379913330078,0.196,-0.547,-0.921,1.089
0.42008495330810547,0.158,-0.497,-0.875,1.019
0.43024301528930664,0.194,-0.507,-0.902,1.053
0.4406571388244629,0.265,-0.522,-0.94,1.107
0.4501791000366211,0.284,-0.512,-0.981,1.142
0.4605879783630371,0.213,-0.477,-1.041,1.165
0.4893960952758789,-0.126,-0.249,-1.427,1.454
0.4895329475402832,-0.126,-0.249,-1.427,1.454
0.48999881744384766,-0.126,-0.249,-1.427,1.454
0.4983348846435547,-0.039,-0.285,-1.363,1.393
0.5100030899047852,0.043,-0.372,-1.223,1.279
0.5195519924163818,0.07,-0.352,-1.155,1.209
0.5306878089904785,0.099,-0.242,-1.046,1.078
0.5395839214324951,0.097,-0.207,-1.045,1.07
0.5494740009307861,0.075,-0.29,-1.129,1.168
0.5599689483642578,-0.072,-0.458,-1.284,1.365
0.5868268013000488,-0.17,-0.306,-1.148,1.2
0.5869879722595215,-0.17,-0.306,-1.148,1.2
0.5880680084228516,0.702,0.426,-1.272,1.514
0.5977239608764648,0.329,-0.118,-1.28,1.327
0.609652042388916,-0.191,-0.451,-0.859,0.989
0.6190159320831299,-0.241,-0.223,-0.586,0.672
0.6291351318359375,0.041,-0.016,-0.584,0.586
0.6402568817138672,0.169,-0.195,-0.503,0.565
0.6490509510040283,-0.017,-0.467,-0.349,0.583
0.65972900390625,-0.12,-0.479,-0.483,0.691
0.6876089572906494,0.201,-0.308,-0.746,0.832
0.6880121231079102,0.201,-0.308,-0.746,0.832
0.6888480186462402,0.201,-0.308,-0.746,0.832
0.6984949111938477,0.121,-0.4,-0.715,0.828
0.7086710929870605,0.078,-0.408,-0.51,0.658
0.7183160781860352,-0.049,-0.317,-0.536,0.625
0.7280550003051758,-0.106,-0.206,-0.601,0.644
0.7388210296630859,-0.063,-0.111,-0.925,0.934
0.7485218048095703,-0.07,-0.115,-0.917,0.927
0.7587990760803223,-0.052,-0.192,-0.687,0.715
0.785181999206543,-0.099,-0.17,-0.594,0.626
0.7855448722839355,-0.099,-0.17,-0.594,0.626
0.7869260311126709,-0.098,-0.203,-0.508,0.556
0.7967958450317383,-0.155,-0.224,-0.454,0.529
0.8081159591674805,-0.294,-0.212,-0.369,0.517
0.8181281089782715,-0.427,-0.201,-0.255,0.536
0.8270378112792969,-0.549,-0.221,-0.188,0.621
0.8374948501586914,-0.631,-0.285,-0.163,0.711
0.8474330902099609,-0.689,-0.317,-0.197,0.784
0.8573110103607178,-0.744,-0.266,-0.219,0.82
0.8827948570251465,-0.94,-0.277,-0.425,1.068
0.8835000991821289,-0.94,-0.277,-0.425,1.068
0.8871588706970215,-1.009,-0.265,-0.499,1.156
0.8981289863586426,-1.094,-0.228,-0.56,1.25
0.9075219631195068,-1.162,-0.234,-0.646,1.35
0.917029857635498,-1.196,-0.251,-0.72,1.418
0.9267158508300781,-1.26,-0.235,-0.778,1.499
0.9368081092834473,-1.277,-0.127,-0.808,1.516
0.9468569755554199,-1.223,-0.067,-0.83,1.48
0.9574639797210693,-1.173,-0.073,-0.783,1.412
0.9815969467163086,-1.169,0.143,-0.944,1.509
0.9823269844055176,-1.169,0.143,-0.944,1.509
0.9865779876708984,-1.196,0.117,-0.88,1.489
0.9966158866882324,-1.305,0.119,-0.838,1.555
1.0070281028747559,-1.13,0.271,-0.709,1.361
1.0164849758148193,-0.932,0.187,-0.664,1.16
1.0263450145721436,-0.818,0.304,-0.594,1.056
1.0362789630889893,-0.729,0.412,-0.62,1.042
1.0463471412658691,-0.807,0.542,-0.522,1.103
1.0564980506896973,-0.924,0.566,-0.922,1.423
1.0815949440002441,-1.229,0.761,-0.777,1.641
1.0823619365692139,-1.229,0.761,-0.777,1.641
1.0860791206359863,-1.113,0.829,-0.755,1.58
1.095963954925537,-1.137,0.884,-0.503,1.526
1.1066019535064697,-1.119,1.148,-0.507,1.681
1.1155269145965576,-1.068,1.156,-0.581,1.678
1.1257238388061523,-1.007,0.967,-0.679,1.552
1.1356821060180664,-0.962,0.804,-0.514,1.355
1.1467161178588867,-0.934,0.72,-0.265,1.209
1.1575560569763184,-1.0,0.7,-0.189,1.235
