time,gFx,gFy,gFz,gFTotal
0.013510942459106445,0.011,-0.505,-0.821,0.964
0.016718149185180664,-0.007,-0.52,-0.783,0.94
0.026521921157836914,-0.013,-0.584,-0.811,0.999
0.036707162857055664,0.011,-0.586,-0.818,1.006
0.04815196990966797,0.031,-0.575,-0.81,0.994
0.05763602256774902,0.022,-0.597,-0.818,1.013
0.06797504425048828,-0.013,-0.614,-0.889,1.081
0.08950400352478027,0.018,-0.518,-0.861,1.005
0.08965611457824707,0.018,-0.518,-0.861,1.005
0.09632301330566406,-0.027,-0.504,-0.825,0.967
0.10766911506652832,-0.039,-0.451,-0.801,0.92
0.11640405654907227,-0.102,-0.431,-0.803,0.917
0.12800192832946777,-0.138,-0.304,-0.841,0.905
0.13753104209899902,-0.176,-0.217,-0.825,0.871
0.14745402336120605,-0.231,-0.242,-0.832,0.897
0.15781903266906738,-0.215,-0.354,-0.793,0.895
0.16771197319030762,-0.126,-0.439,-0.78,0.904
0.19591498374938965,0.136,-0.705,-0.702,1.004
0.19625496864318848,0.136,-0.705,-0.702,1.004
0.19743800163269043,0.136,-0.705,-0.702,1.004
0.20699286460876465,0.286,-0.769,-0.813,1.155
0.21701312065124512,0.404,-0.851,-0.967,1.35
0.22766518592834473,0.367,-0.817,-0.942,1.3
0.23732209205627441,0.26,-0.696,-0.83,1.114
0.24736714363098145,0.193,-0.602,-0.794,1.015
0.25739312171936035,0.185,-0.554,-0.793,0.985
0.2670581340789795,0.198,-0.568,-0.799,1.0
0.293475866317749,0.138,-0.588,-0.803,1.005
0.293687105178833,0.138,-0.588,-0.803,1.005
0.2952110767364502,0.096,-0.509,-0.889,1.029
0.3067471981048584,0.051,-0.378,-1.044,1.111
0.3166840076446533,0.019,-0.364,-1.092,1.151
0.32669901847839355,0.081,-0.53,-0.945,1.087
0.33646297454833984,0.114,-0.577,-0.882,1.06
0.3467249870300293,0.085,-0.65,-0.871,1.09
0.35685300827026367,0.139,-0.609,-0.729,0.96
0.366718053817749,0.156,-0.45,-0.558,0.734
0.39568591117858887,-0.06,-0.284,-0.674,0.734
0.39612603187561035,-0.06,-0.284,-0.674,0.734
0.39722204208374023,-0.06,-0.284,-0.674,0.734
0.40575504302978516,-0.021,-0.28,-0.656,0.714
0.41623497009277344,0.061,-0.331,-0.608,0.695
0.426347017288208,0.116,-0.508,-0.587,0.785
0.4356570243835449,0.467,-1.374,-0.583,1.564
0.4461390972137451,0.499,-1.743,-0.632,1.92
0.45638298988342285,0.116,-0.928,-0.549,1.084
0.46596598625183105,0.095,-0.615,-0.494,0.795
0.4947521686553955,0.06,-0.729,-0.719,1.026
0.49526405334472656,0.06,-0.729,-0.719,1.026
0.4965240955352783,0.06,-0.729,-0.719,1.026
0.5038700103759766,0.124,-0.656,-0.815,1.054
0.515761137008667,0.132,-0.599,-0.876,1.069
0.5259921550750732,0.143,-0.623,-0.908,1.11
0.5352308750152588,0.12,-0.652,-0.844,1.073
0.545536994934082,0.113,-0.646,-0.814,1.045
0.5555160045623779,0.092,-0.652,-0.827,1.057
0.5657820701599121,0.032,-0.653,-0.804,1.036
0.5935649871826172,-0.217,-0.814,-0.797,1.16
0.5940201282501221,-0.217,-0.814,-0.797,1.16
0.5948350429534912,-0.217,-0.814,-0.797,1.16
0.604835033416748,-0.147,-0.775,-0.757,1.093
0.6149461269378662,0.108,-0.625,-0.784,1.008
0.6248719692230225,0.265,-0.483,-0.883,1.041
0.6347930431365967,0.142,-0.464,-0.932,1.051
0.6454041004180908,-0.061,-0.599,-0.928,1.106
0.6550228595733643,-0.165,-0.637,-0.817,1.049
0.6654961109161377,-0.185,-0.576,-0.802,1.005
0.6954970359802246,-0.113,-0.504,-0.863,1.006
0.6958119869232178,-0.113,-0.504,-0.863,1.006
0.6961040496826172,-0.113,-0.504,-0.863,1.006
0.7029788494110107,-0.084,-0.467,-0.886,1.005
0.7144129276275635,-0.09,-0.446,-0.856,0.969
0.7242081165313721,-0.079,-0.409,-0.815,0.915
0.7342860698699951,-0.071,-0.377,-0.822,0.907
0.7446849346160889,-0.07,-0.331,-0.845,0.91
0.754202127456665,-0.036,-0.321,-0.808,0.87
0.764409065246582,-0.041,-0.314,-0.787,0.848
0.7913649082183838,-0.1,-0.28,-0.782,0.837
0.7915341854095459,-0.1,-0.28,-0.782,0.837
0.7924911975860596,-0.123,-0.259,-0.769,0.821
0.8024570941925049,-0.158,-0.227,-0.768,0.816
0.8138439655303955,-0.173,-0.207,-0.771,0.817
0.8234710693359375,-0.186,-0.192,-0.792,0.836
0.8334910869598389,-0.245,-0.206,-0.798,0.86
0.843829870223999,-0.311,-0.192,-0.777,0.859
0.853402853012085,-0.449,-0.204,-0.713,0.867
0.8634951114654541,-0.539,-0.217,-0.642,0.866
0.8891410827636719,-0.495,-0.339,-0.453,0.752
0.8892910480499268,-0.495,-0.339,-0.453,0.752
0.8916370868682861,-0.706,-0.426,-0.424,0.927
0.9018580913543701,-0.632,-0.467,-0.382,0.874
0.9128601551055908,-0.609,-0.429,-0.56,0.932
0.921734094619751,-0.769,-0.478,-0.487,1.028
0.9328701496124268,-0.699,-0.428,-0.47,0.945
0.9434940814971924,-0.834,-0.471,-0.433,1.051
0.9526078701019287,-0.938,-0.465,-0.385,1.115
0.9630939960479736,-0.933,-0.497,-0.358,1.116
0.9914801120758057,-1.29,-1.555,-0.187,2.029
0.9922869205474854,-1.29,-1.555,-0.187,2.029
0.9930498600006104,-1.29,-1.555,-0.187,2.029
1.0013668537139893,-1.182,-1.575,-0.087,1.971
1.0129330158233643,-1.138,-1.577,-0.047,1.945
1.0226571559906006,-1.093,-1.5,0.043,1.856
1.032670021057129,-0.954,-1.371,0.066,1.672
1.0435268878936768,-0.811,-1.316,-0.068,1.547
1.0526401996612549,-0.742,-1.167,-0.013,1.383
1.0627100467681885,-0.654,-1.064,-0.125,1.255
1.0909039974212646,-0.51,-0.686,-0.356,0.926
1.0911140441894531,-0.51,-0.686,-0.356,0.926
1.091858148574829,-0.51,-0.686,-0.356,0.926
1.101656198501587,-0.496,-0.616,-0.413,0.892
1.1113989353179932,-0.393,-0.55,-0.52,0.853
1.1219971179962158,-0.341,-0.511,-0.623,0.875
1.1318271160125732,-0.371,-0.449,-0.717,0.924
1.1414589881896973,-0.32,-0.346,-0.798,0.927
1.1511030197143555,-0.316,-0.186,-0.754,0.838
1.1615798473358154,-0.581,0.007,-0.767,0.962
1.1854479312896729,-0.647,0.147,-0.428,0.79
1.1858899593353271,-0.647,0.147,-0.428,0.79
1.1910440921783447,-0.611,0.105,-0.848,1.05
1.2016630172729492,-0.615,-0.017,-0.632,0.882
1.2109601497650146,-0.697,-0.172,-0.527,0.891
1.2211520671844482,-0.91,-0.275,-0.309,1.0
1.230816125869751,-1.102,-0.2,-0.2,1.138
1.2411611080169678,-0.94,-0.09,-0.131,0.953
1.250817060470581,-0.835,-0.001,-0.184,0.855
1.2610340118408203,-1.055,0.14,-0.269,1.098
1.285278081893921,-1.283,0.081,0.098,1.289
1.2856390476226807,-1.283,0.081,0.098,1.289
1.3223090171813965,-1.149,0.14,0.136,1.165
1.3229520320892334,-1.149,0.14,0.136,1.165
1.323261022567749,-1.149,0.14,0.136,1.165
1.3254940509796143,-1.149,0.14,0.136,1.165
1.3302738666534424,-1.315,0.193,0.088,1.332
1.340034008026123,-1.336,0.163,0.058,1.347
1.349945068359375,-1.284,0.124,-0.107,1.294
1.3603389263153076,-1.209,0.093,-0.259,1.24
1.3867619037628174,-1.08,0.022,-0.259,1.111
1.3870818614959717,-1.08,0.022,-0.259,1.111
1.390354871749878,-1.057,0.018,-0.297,1.098
1.4003651142120361,-0.984,0.162,-0.363,1.061
1.4095919132232666,-1.039,0.216,-0.366,1.123
1.4199931621551514,-0.975,0.232,-0.462,1.104
1.4292781352996826,-0.997,0.278,-0.382,1.103
1.4395091533660889,-0.969,0.382,-0.52,1.164
1.4496171474456787,-0.93,0.438,-0.598,1.189
1.4596431255340576,-0.937,0.363,-0.568,1.154
2.1910078525543213,-0.525,0.704,-0.09,0.883
2.1916768550872803,-0.525,0.704,-0.09,0.883
2.192250967025757,-0.525,0.704,-0.09,0.883
2.1933319568634033,-0.525,0.704,-0.09,0.883
2.193956136703491,-0.525,0.704,-0.09,0.883
2.196336030960083,-0.454,0.717,-0.117,0.857
2.1967689990997314,-0.454,0.717,-0.117,0.857
2.1972110271453857,-0.454,0.717,-0.117,0.857
2.197638988494873,-0.454,0.717,-0.117,0.857
2.198040008544922,-0.454,0.717,-0.117,0.857
2.1984479427337646,-0.454,0.717,-0.117,0.857
2.1988420486450195,-0.454,0.717,-0.117,0.857
2.1992549896240234,-0.454,0.717,-0.117,0.857
2.199648141860962,-0.454,0.717,-0.117,0.857
2.2000491619110107,-0.454,0.717,-0.117,0.857
2.200463056564331,-0.454,0.717,-0.117,0.857
2.2008750438690186,-0.454,0.717,-0.117,0.857
2.2012879848480225,-0.454,0.717,-0.117,0.857
2.2016818523406982,-0.454,0.717,-0.117,0.857
2.2022910118103027,-0.454,0.717,-0.117,0.857
2.2027640342712402,-0.454,0.717,-0.117,0.857
2.2031619548797607,-0.454,0.717,-0.117,0.857
2.203603982925415,-0.454,0.717,-0.117,0.857
2.203930139541626,-0.454,0.717,-0.117,0.857
2.2045130729675293,-0.44,0.651,-0.151,0.8
2.2053160667419434,-0.44,0.651,-0.151,0.8
2.205648183822632,-0.44,0.651,-0.151,0.8
2.20597505569458,-0.44,0.651,-0.151,0.8
2.2063229084014893,-0.44,0.651,-0.151,0.8
2.206652879714966,-0.44,0.651,-0.151,0.8
2.2070040702819824,-0.44,0.651,-0.151,0.8
2.2073299884796143,-0.44,0.651,-0.151,0.8
2.207658052444458,-0.44,0.651,-0.151,0.8
2.2079598903656006,-0.44,0.651,-0.151,0.8
2.208240032196045,-0.44,0.651,-0.151,0.8
2.2085230350494385,-0.44,0.651,-0.151,0.8
