time,gFx,gFy,gFz,gFTotal
0.009712934494018555,0.076,-0.698,-0.727,1.011
0.017345190048217773,0.085,-0.706,-0.792,1.064
0.03801703453063965,0.084,-0.743,-1.018,1.263
0.038172006607055664,0.084,-0.743,-1.018,1.263
0.04734015464782715,0.066,-0.74,-1.017,1.259
0.059185028076171875,0.002,-0.701,-0.952,1.182
0.06820988655090332,-0.064,-0.67,-0.974,1.184
0.07856392860412598,-0.109,-0.687,-0.93,1.161
0.08862614631652832,-0.163,-0.703,-0.865,1.127
0.09865307807922363,-0.232,-0.661,-0.863,1.112
0.10889792442321777,-0.196,-0.642,-0.765,1.018
0.11855292320251465,-0.152,-0.731,-0.908,1.176
0.14684200286865234,-0.093,-0.592,-0.962,1.133
0.14763903617858887,-0.093,-0.592,-0.962,1.133
0.14917397499084473,-0.093,-0.592,-0.962,1.133
0.15650010108947754,-0.258,-0.569,-0.924,1.115
0.16823887825012207,-0.117,-0.808,-0.757,1.113
0.17792487144470215,-0.001,-0.909,-0.534,1.054
0.18842601776123047,-0.056,-0.784,-0.48,0.921
0.19805407524108887,-0.022,-0.648,-0.522,0.832
0.20801711082458496,0.004,-0.571,-0.604,0.831
0.21804308891296387,0.039,-0.471,-0.697,0.842
0.24371600151062012,0.077,-0.467,-0.771,0.905
0.24402809143066406,0.077,-0.467,-0.771,0.905
0.2459700107574463,0.093,-0.496,-0.737,0.893
0.2576439380645752,0.137,-0.565,-0.668,0.886
0.2673308849334717,0.161,-0.633,-0.683,0.945
0.2774779796600342,0.154,-0.682,-0.786,1.052
0.28768086433410645,0.089,-0.654,-0.849,1.075
0.2977468967437744,0.044,-0.641,-0.855,1.07
0.30783915519714355,0.045,-0.661,-0.85,1.078
0.3172950744628906,0.069,-0.673,-0.838,1.077
0.3443739414215088,0.067,-0.669,-0.622,0.916
0.3447999954223633,0.067,-0.669,-0.622,0.916
0.34854817390441895,0.048,-0.672,-0.825,1.065
0.35559916496276855,0.028,-0.699,-0.87,1.116
0.3669002056121826,0.075,-0.786,-0.725,1.072
0.37708020210266113,0.013,-0.546,-0.773,0.946
0.38681507110595703,-0.114,-0.423,-0.769,0.885
0.39690709114074707,-0.162,-0.484,-0.912,1.045
0.4071471691131592,-0.225,-0.507,-0.955,1.104
0.41672801971435547,-0.262,-0.46,-0.85,1.001
0.4446408748626709,0.225,-0.39,-0.949,1.117
0.4455599784851074,0.442,-0.39,-0.949,1.117
0.44675517082214355,0.442,-0.39,-0.949,1.117
0.45492005348205566,0.412,-0.353,-0.619,0.823
0.46662116050720215,0.176,-0.42,-0.253,0.521
0.47646594047546387,0.05,-0.466,-0.181,0.502
0.48604702949523926,0.01,-0.453,-0.28,0.533
0.49651098251342773,-0.027,-0.474,-0.365,0.599
0.506756067276001,-0.087,-0.456,-0.449,0.646
0.5161290168762207,-0.187,-0.488,-0.433,0.679
0.5418660640716553,-0.218,-0.608,-0.122,0.657
0.5422019958496094,-0.218,-0.608,-0.122,0.657
0.5445079803466797,-0.226,-0.723,-0.074,0.761
0.5544900894165039,-0.15,-0.817,-0.234,0.863
0.5659959316253662,-0.028,-0.793,-0.555,0.968
0.5758960247039795,0.075,-0.748,-0.854,1.138
0.5856950283050537,0.108,-0.779,-0.707,1.058
0.5962169170379639,0.045,-0.818,-0.454,0.937
0.6064598560333252,-0.039,-0.895,-0.587,1.071
0.6156270503997803,-0.106,-0.933,-0.712,1.178
0.6451189517974854,0.033,-0.935,-0.491,1.057
0.6461961269378662,0.033,-0.935,-0.491,1.057
0.648935079574585,0.033,-0.935,-0.491,1.057
0.6551880836486816,-0.109,-1.023,-0.456,1.125
0.6652891635894775,-0.231,-0.999,-0.497,1.139
0.6756370067596436,-0.38,-0.959,-0.537,1.163
0.6857540607452393,-0.521,-0.909,-0.582,1.199
0.6951549053192139,-0.709,-0.847,-0.662,1.288
0.7057969570159912,-0.818,-0.927,-0.785,1.464
0.7150571346282959,-0.76,-0.976,-0.737,1.44
0.742671012878418,-0.681,-1.005,-0.493,1.31
0.7434170246124268,-0.699,-0.937,-0.424,1.244
0.7458178997039795,-0.699,-0.937,-0.424,1.244
0.7534999847412109,-0.729,-0.829,-0.438,1.188
0.7646770477294922,-0.725,-0.704,-0.573,1.162
0.7750132083892822,-0.757,-0.637,-0.767,1.252
0.7846691608428955,-0.878,-0.571,-0.888,1.373
0.7944281101226807,-1.014,-0.501,-0.977,1.495
0.8049581050872803,-1.077,-0.423,-1.017,1.541
0.8146131038665771,-1.124,-0.284,-0.99,1.525
0.8396890163421631,-1.083,-0.092,-0.816,1.359
0.8400859832763672,-1.083,-0.092,-0.816,1.359
0.8428299427032471,-0.898,-0.08,-0.769,1.185
0.8541769981384277,-0.779,-0.121,-0.578,0.978
0.8640480041503906,-0.715,-0.313,-0.411,0.882
0.874413013458252,-0.569,-0.499,-0.459,0.885
0.8840210437774658,-0.427,-0.658,-0.28,0.833
0.8939089775085449,-0.405,-0.85,-0.094,0.946
0.9043118953704834,-0.527,-0.986,-0.064,1.12
0.9137630462646484,-0.701,-0.959,-0.101,1.192
0.9391028881072998,-0.838,-0.738,-0.485,1.217
0.9395301342010498,-0.838,-0.738,-0.485,1.217
0.9419949054718018,-0.829,-0.59,-0.684,1.226
0.9520699977874756,-0.807,-0.521,-0.691,1.183
0.9636809825897217,-0.738,-0.527,-0.519,1.045
0.9734899997711182,-0.656,-0.573,-0.185,0.89
0.9832570552825928,-0.599,-0.725,0.117,0.948
0.9936602115631104,-0.65,-0.798,0.414,1.109
1.0033390522003174,-0.757,-0.766,0.621,1.243
1.013974905014038,-0.823,-0.595,0.65,1.206
1.038783073425293,-0.861,-0.134,0.39,0.955
1.039046049118042,-0.861,-0.134,0.39,0.955
1.0414679050445557,-0.822,0.046,0.072,0.826
1.0532350540161133,-0.726,0.111,-0.172,0.754
1.0631959438323975,-0.623,0.081,-0.168,0.65
1.0728051662445068,-0.757,0.075,-0.099,0.767
1.0828239917755127,-0.896,0.204,0.019,0.919
1.0930440425872803,-0.867,0.309,0.103,0.926
1.1031160354614258,-1.016,0.287,0.068,1.058
1.1131000518798828,-1.273,0.112,0.17,1.289
1.1388170719146729,-1.287,-0.115,0.255,1.317
1.1391499042510986,-1.287,-0.115,0.255,1.317
1.140990972518921,-1.156,-0.197,0.128,1.18
1.1510579586029053,-1.134,-0.272,-0.045,1.167
1.1625280380249023,-1.158,-0.32,-0.151,1.211
1.1720690727233887,-1.273,-0.364,-0.121,1.33
1.1820170879364014,-1.429,-0.373,0.077,1.479
1.1918919086456299,-1.364,-0.274,0.345,1.433
1.202179193496704,-1.27,-0.176,0.487,1.372
1.2119550704956055,-1.294,-0.131,0.461,1.38
1.237696886062622,-1.412,0.015,0.155,1.421
1.238213062286377,-1.412,0.015,0.155,1.421
1.269770860671997,-1.062,-0.156,-0.185,1.089
1.2730271816253662,-0.982,-0.1,-0.266,1.022
1.2735440731048584,-0.982,-0.1,-0.266,1.022
1.2739620208740234,-0.982,-0.1,-0.266,1.022
1.2810440063476562,-0.871,-0.032,-0.45,0.981
