time,gFx,gFy,gFz,gFTotal
0.01724100112915039,0.184,-0.186,-0.979,1.013
0.017657756805419922,0.184,-0.186,-0.979,1.013
0.027564048767089844,0.218,-0.191,-0.997,1.038
0.030124902725219727,0.176,-0.232,-0.946,0.99
0.04005789756774902,0.135,-0.293,-0.888,0.945
0.05005288124084473,0.066,-0.353,-0.96,1.025
0.0613250732421875,-0.041,-0.299,-1.026,1.069
0.0714559555053711,-0.024,-0.342,-0.927,0.988
0.08145809173583984,-0.009,-0.498,-0.904,1.032
0.09157395362854004,-0.065,-0.486,-0.8,0.938
0.1015629768371582,-0.097,-0.328,-0.637,0.723
0.11153078079223633,-0.084,-0.296,-0.512,0.597
0.1395268440246582,0.038,-0.388,-0.531,0.659
0.14019298553466797,0.038,-0.388,-0.531,0.659
0.14129304885864258,0.038,-0.388,-0.531,0.659
0.14962482452392578,-0.021,-0.345,-0.771,0.845
0.16087889671325684,-0.107,-0.372,-1.704,1.747
0.17114782333374023,-0.083,-0.389,-1.38,1.436
0.1806960105895996,-0.121,-0.235,-0.857,0.897
0.19079303741455078,-0.182,-0.313,-0.8,0.878
0.20092105865478516,-0.163,-0.439,-0.932,1.043
0.21082401275634766,-0.001,-0.437,-1.21,1.286
0.23723196983337402,-0.183,-0.006,-1.086,1.101
0.23760986328125,-0.183,-0.006,-1.086,1.101
0.23901891708374023,-0.268,-0.408,-0.843,0.974
0.2491159439086914,-0.096,-0.603,-0.824,1.026
0.2606940269470215,0.048,-0.604,-0.744,0.96
0.27060794830322266,0.073,-0.583,-0.637,0.867
0.2802000045776367,-0.001,-0.559,-0.524,0.766
0.29035282135009766,-0.08,-0.542,-0.397,0.677
0.3006398677825928,-0.166,-0.53,-0.315,0.638
0.31051087379455566,-0.012,-0.7,-0.427,0.82
0.33878183364868164,-0.274,-0.368,-0.766,0.893
0.33982181549072266,-0.274,-0.368,-0.766,0.893
0.34095001220703125,-0.274,-0.368,-0.766,0.893
0.34845495223999023,-0.369,-0.435,-0.731,0.927
0.3601078987121582,-0.314,-0.511,-0.757,0.966
0.3699989318847656,-0.259,-0.478,-0.837,0.998
0.3795890808105469,-0.169,-0.376,-0.851,0.946
0.3898179531097412,-0.057,-0.333,-0.867,0.93
0.40042996406555176,-0.112,-0.402,-0.984,1.069
0.40967798233032227,-0.187,-0.476,-1.036,1.155
0.4368748664855957,-0.075,-0.306,-1.1,1.144
0.43721795082092285,-0.075,-0.306,-1.1,1.144
0.4384438991546631,-0.082,-0.292,-1.152,1.191
0.4479649066925049,-0.07,-0.296,-1.095,1.136
0.4591329097747803,-0.025,-0.313,-1.062,1.107
0.46935486793518066,0.002,-0.328,-1.141,1.187
0.47895383834838867,-0.001,-0.356,-1.247,1.297
0.48921680450439453,-0.022,-0.36,-1.182,1.236
0.4990987777709961,-0.079,-0.327,-1.037,1.09
0.5091228485107422,-0.094,-0.272,-1.034,1.073
0.5349850654602051,-0.083,-0.262,-0.947,0.986
0.5351200103759766,-0.083,-0.262,-0.947,0.986
0.5372910499572754,-0.059,-0.328,-0.938,0.995
0.5489559173583984,-0.083,-0.33,-0.888,0.951
0.5588738918304443,-0.158,-0.303,-0.859,0.924
0.5688800811767578,-0.213,-0.246,-0.875,0.934
0.5785598754882812,-0.243,-0.224,-0.871,0.932
0.5884039402008057,-0.28,-0.225,-0.923,0.99
0.5990979671478271,-0.279,-0.203,-0.969,1.029
0.6082339286804199,-0.25,-0.171,-0.96,1.007
0.6331310272216797,-0.228,-0.153,-0.891,0.932
0.6332688331604004,-0.228,-0.153,-0.891,0.932
0.6365139484405518,-0.258,-0.168,-0.879,0.931
0.6482229232788086,-0.298,-0.2,-0.905,0.974
0.6580290794372559,-0.269,-0.214,-0.881,0.946
0.6679959297180176,-0.327,-0.202,-0.805,0.892
0.6778528690338135,-0.354,-0.187,-0.845,0.935
0.6881239414215088,-0.373,-0.191,-0.828,0.928
0.6984529495239258,-0.443,-0.162,-0.792,0.922
0.7080259323120117,-0.527,-0.116,-0.833,0.993
0.7382738590240479,-0.567,-0.099,-0.629,0.853
0.7385859489440918,-0.567,-0.099,-0.629,0.853
0.7391338348388672,-0.567,-0.099,-0.629,0.853
0.7461948394775391,-0.624,-0.091,-0.557,0.841
0.7579188346862793,-0.683,-0.211,-0.443,0.841
0.7672619819641113,-0.629,-0.184,-0.355,0.745
0.777224063873291,-0.708,-0.157,-0.523,0.894
0.7881927490234375,-0.744,-0.126,-0.597,0.962
0.7974510192871094,-0.772,-0.15,-0.713,1.062
0.8073818683624268,-0.814,-0.094,-0.826,1.163
0.8364899158477783,-0.854,-0.223,-0.854,1.228
0.8367347717285156,-0.854,-0.223,-0.854,1.228
