time,gFx,gFy,gFz,gFTotal
0.009654998779296875,-0.017,-0.585,-0.793,0.986
0.014775276184082031,-0.036,-0.56,-0.807,0.983
0.02373218536376953,-0.038,-0.578,-0.827,1.01
0.033651113510131836,-0.033,-0.617,-0.825,1.031
0.04494619369506836,-0.036,-0.635,-0.839,1.053
0.05545306205749512,-0.046,-0.633,-0.836,1.05
0.06522107124328613,-0.065,-0.62,-0.825,1.034
0.0749959945678711,-0.091,-0.589,-0.802,0.999
0.0851430892944336,-0.094,-0.547,-0.789,0.965
0.09512805938720703,-0.088,-0.531,-0.779,0.947
0.11642122268676758,-0.068,-0.558,-0.824,0.997
0.11683511734008789,-0.068,-0.558,-0.824,0.997
0.12345600128173828,-0.051,-0.575,-0.86,1.036
0.1350269317626953,-0.042,-0.586,-0.871,1.051
0.1445779800415039,-0.041,-0.581,-0.865,1.043
0.15453624725341797,-0.047,-0.568,-0.853,1.026
0.16490507125854492,-0.067,-0.56,-0.828,1.002
0.17467498779296875,-0.08,-0.554,-0.807,0.982
0.18464326858520508,-0.085,-0.555,-0.795,0.973
0.19484996795654297,-0.082,-0.564,-0.794,0.977
0.21614408493041992,-0.069,-0.579,-0.822,1.008
0.2165989875793457,-0.069,-0.579,-0.822,1.008
0.22281312942504883,-0.068,-0.582,-0.81,1.0
0.2345280647277832,-0.073,-0.577,-0.786,0.978
0.24386215209960938,-0.081,-0.569,-0.767,0.958
0.2540712356567383,-0.082,-0.57,-0.773,0.964
0.2644062042236328,-0.075,-0.581,-0.797,0.989
0.2742290496826172,-0.063,-0.588,-0.821,1.012
0.28413915634155273,-0.048,-0.593,-0.831,1.022
0.29473018646240234,-0.031,-0.6,-0.848,1.039
0.3184640407562256,-0.036,-0.578,-0.838,1.019
0.3189082145690918,-0.036,-0.578,-0.838,1.019
0.32357120513916016,-0.06,-0.563,-0.825,1.001
0.3339080810546875,-0.07,-0.559,-0.835,1.007
0.3439600467681885,-0.066,-0.563,-0.862,1.032
0.3538942337036133,-0.064,-0.556,-0.876,1.04
0.3636331558227539,-0.061,-0.539,-0.895,1.047
0.37409019470214844,-0.074,-0.523,-0.916,1.057
0.3834261894226074,-0.074,-0.514,-0.923,1.059
0.3934590816497803,-0.062,-0.513,-0.914,1.05
0.4174489974975586,-0.126,-0.522,-0.896,1.045
0.4179530143737793,-0.126,-0.522,-0.896,1.045
0.4227571487426758,-0.139,-0.523,-0.893,1.044
0.4328920841217041,-0.134,-0.501,-0.889,1.029
0.44284820556640625,-0.122,-0.486,-0.889,1.02
0.45278215408325195,-0.122,-0.465,-0.886,1.008
0.4626150131225586,-0.106,-0.437,-0.801,0.919
0.47356510162353516,-0.099,-0.417,-0.711,0.83
0.4830350875854492,-0.085,-0.41,-0.633,0.759
0.4927501678466797,-0.065,-0.442,-0.585,0.736
0.5145750045776367,-0.03,-0.535,-0.69,0.874
0.5149490833282471,-0.03,-0.535,-0.69,0.874
0.5227761268615723,-0.036,-0.572,-0.793,0.978
0.5324151515960693,-0.05,-0.58,-0.883,1.058
0.5423600673675537,-0.063,-0.56,-0.988,1.137
0.552009105682373,-0.063,-0.534,-1.09,1.215
0.5623621940612793,-0.042,-0.538,-1.11,1.234
0.5723531246185303,-0.012,-0.552,-1.007,1.148
0.5825200080871582,0.001,-0.548,-0.884,1.04
0.5925741195678711,-0.006,-0.517,-0.833,0.98
0.6163411140441895,-0.032,-0.478,-0.873,0.996
0.616847038269043,-0.032,-0.478,-0.873,0.996
0.6219592094421387,-0.053,-0.469,-0.923,1.037
0.6320950984954834,-0.086,-0.478,-0.939,1.057
0.642052173614502,-0.131,-0.491,-0.932,1.062
0.6520519256591797,-0.177,-0.485,-0.944,1.076
0.6621110439300537,-0.2,-0.465,-0.922,1.052
0.6724052429199219,-0.183,-0.445,-0.902,1.022
0.682013988494873,-0.148,-0.443,-0.898,1.012
0.6919701099395752,-0.118,-0.437,-0.929,1.033
0.7157161235809326,-0.091,-0.449,-1.021,1.119
0.7163362503051758,-0.091,-0.449,-1.021,1.119
0.72076416015625,-0.095,-0.455,-0.993,1.096
0.7301621437072754,-0.094,-0.457,-0.944,1.053
0.7411670684814453,-0.08,-0.456,-0.914,1.025
0.7512731552124023,-0.066,-0.462,-0.906,1.019
0.7609150409698486,-0.054,-0.474,-0.919,1.035
0.771759033203125,-0.041,-0.484,-0.934,1.053
0.781029224395752,-0.03,-0.483,-0.93,1.048
0.7914900779724121,-0.017,-0.481,-0.908,1.028
0.8135931491851807,-0.0,-0.494,-0.939,1.061
0.8141181468963623,-0.0,-0.494,-0.939,1.061
0.8202171325683594,-0.003,-0.49,-0.948,1.067
0.8306260108947754,0.006,-0.483,-0.93,1.048
0.8409180641174316,0.008,-0.506,-0.951,1.077
0.8505971431732178,-0.039,-0.531,-0.986,1.121
0.8600029945373535,-0.11,-0.543,-1.036,1.175
0.8704891204833984,-0.204,-0.569,-1.113,1.267
0.8803391456604004,-0.23,-0.575,-1.029,1.201
0.8904752731323242,-0.184,-0.448,-0.89,1.013
0.910059928894043,-0.169,-0.328,-0.655,0.752
0.9104461669921875,-0.169,-0.328,-0.655,0.752
0.919957160949707,-0.239,-0.383,-0.59,0.743
0.9294741153717041,-0.306,-0.418,-0.527,0.739
0.9402079582214355,-0.298,-0.466,-0.471,0.726
0.9499890804290771,-0.289,-0.558,-0.33,0.71
0.9594721794128418,-0.262,-0.626,-0.149,0.695
0.9697611331939697,-0.297,-0.645,-0.31,0.775
0.9796361923217773,-0.317,-0.706,-1.049,1.304
0.9926562309265137,-0.109,-0.843,-2.929,3.05
1.0205540657043457,-0.235,-0.544,-0.705,0.921
1.0213611125946045,-0.235,-0.544,-0.705,0.921
1.0222792625427246,-0.235,-0.544,-0.705,0.921
1.029461145401001,-0.13,-0.539,-0.747,0.93
1.0398211479187012,-0.076,-0.544,-0.646,0.848
1.0494179725646973,-0.018,-0.518,-0.736,0.9
1.059697151184082,-0.033,-0.486,-0.719,0.868
1.0699210166931152,-0.083,-0.485,-0.698,0.854
1.0791921615600586,-0.074,-0.485,-0.64,0.806
1.0900821685791016,0.043,-0.45,-0.604,0.754
1.1113252639770508,0.235,-0.355,-0.698,0.818
1.1118271350860596,0.235,-0.355,-0.698,0.818
1.1187541484832764,0.135,-0.372,-0.595,0.715
1.1291022300720215,0.16,-0.493,-0.572,0.772
1.139678955078125,0.171,-0.56,-0.594,0.834
1.1491711139678955,0.06,-0.429,-0.59,0.732
1.159250259399414,0.038,-0.321,-0.648,0.724
1.1687769889831543,0.116,-0.295,-0.731,0.797
1.1790821552276611,0.221,-0.204,-0.783,0.839
1.1893839836120605,0.324,-0.071,-0.779,0.847
1.2114131450653076,0.228,0.212,-0.888,0.941
1.2119412422180176,0.228,0.212,-0.888,0.941
1.217151165008545,-0.017,0.313,-0.902,0.955
1.2287721633911133,-0.19,0.382,-0.84,0.942
1.2385470867156982,-0.428,0.394,-0.461,0.742
1.2484800815582275,-0.632,0.393,-0.679,1.007
