time,gFx,gFy,gFz,gFTotal
0.015659809112548828,0.065,-0.393,-0.911,0.994
0.016010761260986328,0.065,-0.393,-0.911,0.994
0.019356727600097656,0.071,-0.379,-0.933,1.01
0.030319929122924805,0.075,-0.384,-0.95,1.027
0.04027271270751953,0.081,-0.386,-0.948,1.027
0.06685590744018555,0.072,-0.386,-0.938,1.017
0.06700587272644043,0.072,-0.386,-0.938,1.017
0.06849384307861328,0.043,-0.382,-0.913,0.991
0.07847404479980469,-0.002,-0.401,-0.897,0.983
0.08964395523071289,-0.017,-0.39,-0.903,0.984
0.1000678539276123,0.002,-0.394,-0.924,1.004
0.10981488227844238,0.017,-0.417,-0.953,1.04
0.11993980407714844,0.014,-0.413,-0.941,1.028
0.12996387481689453,0.012,-0.411,-0.911,0.999
0.13976788520812988,0.024,-0.423,-0.889,0.985
0.16629886627197266,0.071,-0.46,-0.89,1.004
0.1664438247680664,0.071,-0.46,-0.89,1.004
0.16806983947753906,0.088,-0.471,-0.925,1.042
0.17802190780639648,0.098,-0.472,-0.942,1.058
0.18800973892211914,0.104,-0.466,-0.913,1.03
0.1997969150543213,0.102,-0.471,-0.854,0.981
0.20933890342712402,0.12,-0.464,-0.828,0.957
0.2198178768157959,0.157,-0.431,-0.852,0.968
0.22963690757751465,0.181,-0.414,-0.891,0.999
0.23938798904418945,0.164,-0.43,-0.922,1.03
0.2707967758178711,-0.012,-0.354,-0.818,0.891
0.2710249423980713,-0.012,-0.354,-0.818,0.891
0.27123284339904785,-0.012,-0.354,-0.818,0.891
0.27722978591918945,0.013,-0.364,-0.804,0.883
0.288942813873291,0.07,-0.403,-0.944,1.029
0.2986898422241211,0.104,-0.398,-1.152,1.223
0.30901098251342773,0.16,-0.41,-1.049,1.138
0.3187069892883301,0.21,-0.486,-0.806,0.964
0.3289318084716797,0.19,-0.495,-0.751,0.919
0.3389098644256592,0.16,-0.47,-0.823,0.961
0.36801671981811523,0.025,-0.349,-1.043,1.1
0.3681619167327881,0.025,-0.349,-1.043,1.1
0.36829590797424316,0.025,-0.349,-1.043,1.1
0.37697887420654297,0.012,-0.36,-1.065,1.124
0.38844990730285645,0.024,-0.383,-1.043,1.111
0.39847898483276367,0.069,-0.387,-0.986,1.061
0.4082779884338379,0.094,-0.354,-0.909,0.98
0.41857385635375977,0.105,-0.315,-0.798,0.864
0.4283428192138672,0.13,-0.323,-0.693,0.776
0.4384889602661133,0.162,-0.417,-0.519,0.685
0.4691810607910156,0.187,-0.638,-0.554,0.865
0.4693169593811035,0.187,-0.638,-0.554,0.865
0.46944594383239746,0.187,-0.638,-0.554,0.865
0.47650885581970215,0.238,-0.754,-0.758,1.095
0.48807573318481445,0.292,-0.795,-0.898,1.234
0.4979557991027832,0.348,-0.754,-0.941,1.255
0.5076339244842529,0.36,-0.704,-0.916,1.21
0.5180740356445312,0.318,-0.636,-0.785,1.059
0.5274138450622559,0.272,-0.583,-0.635,0.904
0.537545919418335,0.271,-0.602,-0.691,0.956
0.5687088966369629,0.167,-0.436,-0.772,0.902
0.5692138671875,0.167,-0.436,-0.772,0.902
0.5697019100189209,0.167,-0.436,-0.772,0.902
0.5758957862854004,0.091,-0.389,-0.79,0.885
0.5871829986572266,0.086,-0.435,-0.878,0.984
0.5976109504699707,0.071,-0.456,-0.86,0.976
0.6075038909912109,0.039,-0.435,-0.917,1.016
0.6169428825378418,0.069,-0.453,-0.879,0.991
0.6274538040161133,0.067,-0.462,-0.851,0.971
0.6369369029998779,0.096,-0.481,-0.945,1.065
0.6637320518493652,0.069,-0.474,-0.912,1.03
0.6638798713684082,0.069,-0.474,-0.912,1.03
0.665137767791748,0.046,-0.469,-0.927,1.04
0.6752820014953613,0.025,-0.457,-0.937,1.043
0.687302827835083,0.007,-0.454,-0.938,1.042
0.6968808174133301,-0.019,-0.451,-0.937,1.04
0.7062287330627441,-0.058,-0.462,-0.91,1.022
0.7167398929595947,-0.085,-0.487,-0.893,1.021
0.7265188694000244,-0.103,-0.5,-0.885,1.022
0.7363877296447754,-0.125,-0.493,-0.884,1.02
0.7663450241088867,-0.178,-0.456,-0.829,0.963
0.7664878368377686,-0.178,-0.456,-0.829,0.963
0.7666218280792236,-0.178,-0.456,-0.829,0.963
0.7746708393096924,-0.183,-0.437,-0.818,0.945
0.786099910736084,-0.2,-0.407,-0.803,0.922
0.796198844909668,-0.212,-0.398,-0.817,0.933
0.8057780265808105,-0.212,-0.386,-0.862,0.968
0.816199779510498,-0.264,-0.376,-0.876,0.989
0.8259599208831787,-0.359,-0.387,-0.853,1.003
0.8357257843017578,-0.408,-0.388,-0.847,1.017
0.8637690544128418,-0.418,-0.267,-0.647,0.815
0.8640899658203125,-0.418,-0.267,-0.647,0.815
0.8647379875183105,-0.418,-0.267,-0.647,0.815
0.8743119239807129,-0.492,-0.266,-0.538,0.776
0.8856499195098877,-0.572,-0.3,-0.485,0.808
0.8951349258422852,-0.593,-0.321,-0.438,0.804
0.9052720069885254,-0.594,-0.33,-0.4,0.789
0.9149680137634277,-0.605,-0.327,-0.42,0.806
0.9253549575805664,-0.639,-0.353,-0.435,0.85
0.9353170394897461,-0.704,-0.37,-0.443,0.91
0.9647328853607178,-0.663,-0.273,-0.328,0.788
0.9648737907409668,-0.663,-0.273,-0.328,0.788
0.9650030136108398,-0.663,-0.273,-0.328,0.788
0.9736647605895996,-0.576,-0.257,-0.504,0.807
0.9848790168762207,-0.547,-0.278,-0.623,0.874
0.9950709342956543,-0.606,-0.325,-0.603,0.915
1.0050907135009766,-0.698,-0.341,-0.495,0.921
1.0152649879455566,-0.754,-0.375,-0.478,0.968
1.0247979164123535,-0.789,-0.391,-0.513,1.019
1.034928798675537,-0.804,-0.382,-0.515,1.028
1.0653128623962402,-0.779,-0.299,-0.592,1.023
1.0654518604278564,-0.779,-0.299,-0.592,1.023
1.0655808448791504,-0.779,-0.299,-0.592,1.023
1.0732688903808594,-0.764,-0.302,-0.637,1.04
1.0854239463806152,-0.793,-0.318,-0.635,1.065
1.0939908027648926,-0.877,-0.319,-0.644,1.134
1.1041827201843262,-0.956,-0.324,-0.689,1.222
1.1144568920135498,-1.018,-0.319,-0.707,1.28
1.1242098808288574,-1.072,-0.316,-0.677,1.307
1.1347260475158691,-1.129,-0.341,-0.626,1.335
1.149806022644043,-1.152,-0.359,-0.596,1.346
1.1686749458312988,-1.219,-0.383,-0.436,1.35
1.1688270568847656,-1.219,-0.383,-0.436,1.35
1.1723518371582031,-1.289,-0.357,-0.373,1.389
1.1865038871765137,-1.291,-0.29,-0.353,1.369
1.193586826324463,-1.258,-0.246,-0.354,1.33
1.2038488388061523,-1.172,-0.193,-0.382,1.248
1.2139520645141602,-1.063,-0.139,-0.345,1.126
1.2234277725219727,-0.964,-0.075,-0.25,0.999
1.2338528633117676,-1.009,-0.045,-0.147,1.021
1.2635328769683838,-1.323,-0.188,-0.036,1.337
1.2636747360229492,-1.323,-0.188,-0.036,1.337
1.2638039588928223,-1.323,-0.188,-0.036,1.337
1.2720327377319336,-1.337,-0.068,-0.067,1.34
1.2828030586242676,-1.405,0.097,0.03,1.409
1.2931058406829834,-1.413,0.21,0.042,1.429
1.303257942199707,-1.312,0.25,-0.051,1.337
1.3137669563293457,-1.264,0.313,0.006,1.302
1.323469877243042,-1.188,0.279,0.084,1.223
1.3333220481872559,-1.149,0.098,0.128,1.16
1.3652868270874023,-1.028,-0.016,0.246,1.057
1.3654260635375977,-1.028,-0.016,0.246,1.057
1.3655588626861572,-1.028,-0.016,0.246,1.057
1.371324062347412,-1.007,-0.05,0.189,1.026
1.3827037811279297,-0.953,-0.043,0.189,0.973
1.392765998840332,-0.887,-0.036,0.19,0.908
1.4024088382720947,-0.855,0.011,0.247,0.89
1.4131817817687988,-0.806,0.126,0.434,0.924
1.4228918552398682,-0.69,0.33,0.498,0.913
1.4329478740692139,-0.654,0.548,0.424,0.953
1.4636807441711426,-1.245,0.321,0.372,1.338
1.463817834854126,-1.245,0.321,0.372,1.338
1.4639477729797363,-1.245,0.321,0.372,1.338
1.4711217880249023,-1.256,0.298,0.282,1.321
1.482395887374878,-1.217,0.464,0.16,1.312
1.492271900177002,-1.204,0.505,0.057,1.307
1.50197172164917,-1.235,0.448,-0.036,1.314
1.5128939151763916,-1.254,0.435,-0.11,1.332
1.5220868587493896,-1.279,0.515,-0.003,1.379
1.532249927520752,-1.255,0.411,-0.018,1.321
1.5643339157104492,-1.427,0.199,-0.203,1.455
1.5644869804382324,-1.427,0.199,-0.203,1.455
1.564621925354004,-1.427,0.199,-0.203,1.455
1.5928387641906738,-1.174,0.14,-0.076,1.185
1.5932538509368896,-1.174,0.14,-0.076,1.185
1.5936598777770996,-1.174,0.14,-0.076,1.185
1.6010708808898926,-1.152,0.11,-0.113,1.163
1.6113698482513428,-1.128,0.169,-0.008,1.141
1.6209628582000732,-1.091,0.214,0.056,1.113
1.631269931793213,-1.004,0.249,0.086,1.038
1.6594479084014893,-0.887,0.288,0.218,0.958
1.6608200073242188,-0.887,0.288,0.218,0.958
1.6637530326843262,-0.887,0.288,0.218,0.958
1.6692709922790527,-0.888,0.321,0.138,0.954
1.6812689304351807,-0.882,0.318,0.124,0.946
1.6905770301818848,-0.945,0.287,0.099,0.993
1.700800895690918,-1.028,0.226,0.04,1.053
1.7104408740997314,-1.017,0.151,-0.03,1.029
1.7204999923706055,-1.073,0.081,-0.022,1.076
1.7308359146118164,-1.201,0.112,0.05,1.207
2.2426867485046387,-0.624,1.164,-0.175,1.332
2.2430520057678223,-0.624,1.164,-0.175,1.332
2.2433347702026367,-0.624,1.164,-0.175,1.332
2.243612766265869,-0.624,1.164,-0.175,1.332
2.2438907623291016,-0.624,1.164,-0.175,1.332
2.244959831237793,-0.624,1.164,-0.175,1.332
2.245248794555664,-0.624,1.164,-0.175,1.332
2.245527744293213,-0.624,1.164,-0.175,1.332
2.2458057403564453,-0.624,1.164,-0.175,1.332
2.2460927963256836,-0.727,0.842,-0.115,1.118
2.246983051300049,-0.727,0.842,-0.115,1.118
2.247299909591675,-0.727,0.842,-0.115,1.118
2.2475857734680176,-0.727,0.842,-0.115,1.118
2.2478668689727783,-0.727,0.842,-0.115,1.118
2.2481460571289062,-0.727,0.842,-0.115,1.118
2.2484240531921387,-0.727,0.842,-0.115,1.118
2.248699903488159,-0.727,0.842,-0.115,1.118
2.248964786529541,-0.727,0.842,-0.115,1.118
2.2492337226867676,-0.727,0.842,-0.115,1.118
2.249499797821045,-0.727,0.842,-0.115,1.118
2.249764919281006,-0.727,0.842,-0.115,1.118
2.250032901763916,-0.727,0.842,-0.115,1.118
2.2503018379211426,-0.727,0.842,-0.115,1.118
2.2505717277526855,-0.727,0.842,-0.115,1.118
