time,gFx,gFy,gFz,gFTotal
0.005789041519165039,0.129,-0.49,-0.834,0.976
0.01085805892944336,0.114,-0.483,-0.824,0.962
0.03091907501220703,0.186,-0.513,-0.83,0.993
0.03489208221435547,0.186,-0.513,-0.83,0.993
0.04183816909790039,0.219,-0.539,-0.858,1.037
0.0506739616394043,0.219,-0.556,-0.891,1.073
0.06201601028442383,0.179,-0.552,-0.928,1.094
0.07178688049316406,0.119,-0.534,-0.911,1.063
0.08217000961303711,0.066,-0.519,-0.889,1.032
0.09209299087524414,0.044,-0.511,-0.879,1.018
0.10096311569213867,0.047,-0.508,-0.838,0.981
0.11145997047424316,0.084,-0.538,-0.77,0.943
0.13401198387145996,0.139,-0.555,-0.679,0.888
0.13658404350280762,0.139,-0.555,-0.679,0.888
0.14084196090698242,0.157,-0.565,-0.665,0.887
0.15108585357666016,0.14,-0.581,-0.726,0.94
0.1612701416015625,0.101,-0.596,-0.803,1.005
0.17212700843811035,0.063,-0.628,-0.827,1.04
0.1835629940032959,0.006,-0.598,-0.787,0.988
0.1920008659362793,-0.037,-0.547,-0.701,0.89
0.20169806480407715,-0.056,-0.526,-0.67,0.854
0.2118091583251953,-0.044,-0.528,-0.688,0.868
0.2336711883544922,-0.027,-0.53,-0.796,0.957
0.23637700080871582,-0.027,-0.53,-0.796,0.957
0.24100303649902344,-0.068,-0.5,-0.825,0.967
0.25116491317749023,-0.094,-0.472,-0.799,0.933
0.26242685317993164,-0.096,-0.444,-0.763,0.888
0.27365803718566895,-0.094,-0.421,-0.751,0.866
0.28328704833984375,-0.107,-0.4,-0.765,0.87
0.29326796531677246,-0.13,-0.378,-0.802,0.896
0.3017699718475342,-0.154,-0.344,-0.792,0.877
0.3117070198059082,-0.181,-0.307,-0.741,0.822
0.33453893661499023,-0.145,-0.305,-0.715,0.791
0.33740997314453125,-0.145,-0.305,-0.715,0.791
0.3411831855773926,-0.155,-0.277,-0.617,0.694
0.3528881072998047,-0.162,-0.213,-0.488,0.557
0.36217498779296875,-0.129,-0.142,-0.477,0.514
0.37244701385498047,-0.138,-0.228,-0.572,0.631
0.38353800773620605,-0.277,-0.208,-0.733,0.811
0.3923468589782715,-0.384,-0.132,-0.923,1.008
0.40186309814453125,-0.399,-0.098,-1.03,1.109
0.41188812255859375,-0.394,-0.057,-1.064,1.136
0.4360160827636719,-0.3,-0.033,-1.08,1.121
0.4378790855407715,-0.3,-0.033,-1.08,1.121
0.4413599967956543,-0.222,-0.041,-1.13,1.152
0.45275402069091797,-0.2,-0.028,-1.11,1.128
0.4616661071777344,-0.238,-0.017,-1.014,1.042
0.473909854888916,-0.375,-0.037,-0.909,0.984
0.4836869239807129,-0.5,-0.066,-0.838,0.978
0.49367499351501465,-0.523,-0.092,-0.835,0.99
0.5019969940185547,-0.511,-0.08,-0.859,1.003
0.5119190216064453,-0.441,-0.075,-0.881,0.988
0.5355691909790039,-0.331,-0.072,-0.78,0.85
0.5381641387939453,-0.331,-0.072,-0.78,0.85
0.5415520668029785,-0.315,-0.053,-0.718,0.786
0.5518250465393066,-0.283,-0.008,-0.698,0.753
0.5620040893554688,-0.254,0.059,-0.723,0.769
0.5741949081420898,-0.242,0.146,-0.859,0.904
0.5838119983673096,-0.24,0.184,-1.049,1.092
0.5938410758972168,-0.328,0.172,-1.148,1.206
0.6021671295166016,-0.481,0.157,-1.188,1.291
0.6122431755065918,-0.59,0.154,-1.194,1.341
0.637174129486084,-0.47,0.133,-1.121,1.223
0.6394059658050537,-0.47,0.133,-1.121,1.223
0.6417431831359863,-0.375,0.107,-1.05,1.12
0.6518678665161133,-0.307,0.061,-0.817,0.875
0.66314697265625,-0.224,0.131,-0.996,1.029
0.6729831695556641,-0.213,0.187,-1.16,1.194
0.6840300559997559,-0.35,0.127,-1.151,1.21
0.6940751075744629,-0.439,0.012,-1.191,1.269
0.7023680210113525,-0.446,0.032,-1.262,1.339
0.7132620811462402,-0.419,0.101,-1.34,1.408
0.7374470233917236,-0.531,0.143,-1.208,1.327
0.740084171295166,-0.531,0.143,-1.208,1.327
0.7422399520874023,-0.621,0.078,-0.915,1.109
0.7520229816436768,-0.713,-0.024,-0.596,0.93
0.7625808715820312,-0.791,-0.086,-0.44,0.909
0.7730960845947266,-0.841,-0.078,-0.52,0.992
0.7847671508789062,-0.856,-0.06,-0.714,1.116
0.7930569648742676,-0.98,-0.086,-0.799,1.267
0.801887035369873,-1.126,-0.096,-0.781,1.374
0.8126430511474609,-1.159,-0.102,-0.773,1.397
0.8351931571960449,-0.878,-0.164,-0.802,1.2
0.837799072265625,-0.878,-0.164,-0.802,1.2
0.8420460224151611,-0.704,-0.128,-0.826,1.093
0.8523411750793457,-0.594,-0.059,-0.86,1.047
0.8648109436035156,-0.618,-0.042,-0.741,0.966
0.8732590675354004,-0.73,-0.055,-0.377,0.823
0.8843531608581543,-0.829,-0.032,-0.192,0.852
0.8932180404663086,-0.955,-0.043,-0.256,0.99
0.9027481079101562,-1.033,-0.039,-0.399,1.108
0.9126579761505127,-1.045,-0.017,-0.557,1.184
0.9257011413574219,-0.966,0.013,-0.63,1.153
0.9413549900054932,-0.888,0.021,-0.598,1.071
0.9436688423156738,-0.876,0.033,-0.447,0.984
0.952455997467041,-0.97,0.054,-0.296,1.016
0.9660680294036865,-1.168,0.022,-0.14,1.177
0.973970890045166,-1.022,0.024,-0.052,1.024
0.9833290576934814,-0.781,0.011,0.032,0.782
0.9944980144500732,-0.812,0.041,0.109,0.82
1.002148151397705,-0.905,0.03,0.175,0.922
1.013010025024414,-1.125,0.058,0.283,1.161
1.0357089042663574,-1.124,0.055,0.286,1.161
1.0381431579589844,-1.124,0.055,0.286,1.161
1.042409896850586,-0.996,0.108,0.252,1.033
1.0524699687957764,-0.83,0.188,0.157,0.865
1.0627210140228271,-0.744,0.263,0.034,0.79
1.0736289024353027,-0.709,0.323,-0.077,0.783
1.0848360061645508,-0.72,0.374,-0.172,0.829
1.09474515914917,-1.281,0.456,-0.367,1.408
1.1029679775238037,-1.179,0.24,-0.499,1.303
1.1136260032653809,-1.194,0.26,-0.436,1.297
1.1414320468902588,-0.911,0.011,-0.542,1.06
1.1446499824523926,-1.062,0.051,-0.516,1.182
1.1476709842681885,-1.062,0.051,-0.516,1.182
1.152541160583496,-1.217,0.287,-0.336,1.295
1.1632728576660156,-0.863,0.463,-0.206,1.001
1.1736979484558105,-0.424,0.698,-0.135,0.828
1.184556007385254,-0.238,0.928,-0.022,0.958
1.1936969757080078,-0.517,1.031,0.016,1.153
1.2032029628753662,-1.025,0.946,0.187,1.407
1.2134308815002441,-1.812,0.608,0.867,2.099
1.2378170490264893,-0.762,0.311,1.205,1.459
1.2404210567474365,-0.762,0.311,1.205,1.459
1.2429020404815674,-0.596,0.514,0.723,1.069
1.2530760765075684,-0.427,0.485,-0.103,0.654
1.2629809379577637,-0.439,0.397,-0.73,0.94
1.2741000652313232,-0.592,0.43,-1.183,1.391
1.285348892211914,-0.469,0.493,-1.125,1.315
1.2939660549163818,-0.506,0.524,-0.74,1.038
1.3033719062805176,-0.654,0.549,-0.244,0.888
1.3133611679077148,-0.8,0.51,0.086,0.953
1.3361279964447021,-0.767,0.451,0.11,0.897
1.3386900424957275,-0.767,0.451,0.11,0.897
1.342966079711914,-0.689,0.374,0.011,0.784
1.353072166442871,-0.154,0.36,-0.041,0.394
1.363412857055664,1.017,0.015,-0.882,1.346
1.3754920959472656,0.392,1.334,-1.649,2.157
1.385098934173584,-0.865,2.066,-0.063,2.241
1.3952720165252686,-0.992,1.587,1.451,2.368
1.4035580158233643,-0.419,1.399,1.662,2.212
1.4136340618133545,0.042,1.592,0.659,1.724
1.4262759685516357,-0.317,1.486,-0.193,1.532
1.4432940483093262,-1.041,1.012,0.064,1.453
1.445950984954834,-1.041,1.012,0.064,1.453
1.4534058570861816,-0.943,1.105,0.351,1.494
1.4635381698608398,-0.692,1.263,0.406,1.496
1.4754900932312012,-0.427,1.303,0.308,1.405
1.48530912399292,-0.302,1.225,0.152,1.271
1.4957489967346191,-0.242,1.038,0.04,1.067
1.503666877746582,-0.135,0.884,-0.139,0.905
1.5137310028076172,0.089,0.744,-0.064,0.752
1.5372769832611084,-0.438,0.86,-0.21,0.988
1.5398499965667725,-0.438,0.86,-0.21,0.988
1.5432639122009277,-0.545,0.782,-0.281,0.994
1.5534791946411133,-0.5,0.808,-0.195,0.97
1.563891887664795,-0.312,0.896,-0.09,0.953
1.5753111839294434,-0.505,0.959,0.108,1.089
1.5843479633331299,-0.5,0.963,0.143,1.094
1.5955581665039062,-0.378,0.971,0.018,1.042
1.604382038116455,-0.349,1.064,0.112,1.125
1.6140260696411133,-0.347,1.157,0.035,1.208
1.6378321647644043,-0.535,1.125,-0.278,1.276
1.6404619216918945,-0.535,1.125,-0.278,1.276
1.6434180736541748,-0.555,1.12,-0.206,1.267
1.6534619331359863,-0.473,1.191,-0.051,1.283
1.6639928817749023,-0.428,1.265,-0.097,1.339
1.6746301651000977,-0.351,1.275,-0.153,1.331
1.6858630180358887,-0.308,1.227,-0.141,1.273
1.6957411766052246,-0.34,1.188,-0.074,1.238
1.7042930126190186,-0.432,1.194,-0.054,1.271
1.7140698432922363,-0.435,1.169,-0.077,1.25
1.737889051437378,-0.497,1.048,-0.007,1.16
1.7404718399047852,-0.497,1.048,-0.007,1.16
1.7435309886932373,-0.553,1.004,-0.098,1.15
1.7537751197814941,-0.753,1.12,-0.209,1.366
1.7636120319366455,-0.922,0.836,-0.208,1.262
1.774796962738037,-0.797,0.475,-0.233,0.957
1.785956859588623,-0.638,0.505,-0.101,0.82
1.7967848777770996,-0.808,0.75,0.36,1.16
1.8036389350891113,-0.565,0.571,0.835,1.159
1.8141860961914062,0.139,0.468,0.643,0.807
1.8382830619812012,0.565,-0.594,0.555,0.99
1.8408479690551758,0.565,-0.594,0.555,0.99
1.843587875366211,-0.856,0.672,0.258,1.118
1.8537931442260742,-0.364,0.9,-0.081,0.974
1.8641560077667236,-0.161,0.543,0.047,0.568
1.8752951622009277,-0.284,1.116,0.315,1.194
1.885146141052246,-0.501,1.797,0.252,1.882
1.8958349227905273,-0.602,1.162,0.264,1.335
1.9037179946899414,-0.538,1.075,0.343,1.25
1.9144949913024902,-0.409,1.104,0.313,1.218
1.9385550022125244,-0.35,1.09,0.318,1.188
1.9411380290985107,-0.35,1.09,0.318,1.188
1.9439949989318848,-0.338,1.033,0.206,1.106
1.9538159370422363,-0.281,0.9,0.195,0.963
1.9641649723052979,-0.2,0.904,0.188,0.945
1.9761271476745605,-0.128,1.059,0.188,1.083
1.986407995223999,-0.105,1.084,0.278,1.124
1.996284008026123,-0.08,0.884,0.379,0.965
2.004459857940674,-0.034,0.507,0.334,0.608
2.0152158737182617,-0.099,0.442,0.294,0.54
2.0392918586730957,-0.184,0.823,0.294,0.893
2.041790008544922,-0.184,0.823,0.294,0.893
2.0441598892211914,-0.252,0.737,0.271,0.825
2.054280996322632,-0.304,0.693,0.223,0.789
2.064289093017578,-0.366,0.698,0.269,0.833
2.075410842895508,-0.346,0.683,0.321,0.83
2.086358070373535,-0.265,0.583,0.284,0.701
2.0974299907684326,-0.244,0.525,0.265,0.637
2.1046340465545654,-0.273,0.334,0.293,0.521
2.1146631240844727,-0.299,0.168,0.3,0.456
2.127469062805176,-0.305,0.339,0.261,0.525
2.144874095916748,-0.296,0.815,0.342,0.932
2.148071050643921,-0.296,0.815,0.342,0.932
2.1542911529541016,-0.384,1.051,0.551,1.247
2.1659770011901855,-0.491,1.239,0.612,1.467
2.1758840084075928,-0.529,1.269,0.448,1.446
2.1853551864624023,-0.495,1.178,0.317,1.317
2.1964049339294434,-0.479,1.009,0.303,1.157
2.204231023788452,-0.482,0.809,0.366,1.01
2.2156291007995605,-0.562,0.848,0.479,1.124
2.239910125732422,-0.463,1.201,0.465,1.369
2.242556095123291,-0.463,1.201,0.465,1.369
2.2452259063720703,-0.554,1.22,0.489,1.426
2.2544851303100586,-0.631,1.124,0.487,1.378
2.2645111083984375,-0.63,1.015,0.533,1.308
2.2773361206054688,-0.526,0.962,0.523,1.215
2.2857580184936523,-0.477,0.986,0.471,1.192
2.296687126159668,-0.541,1.113,0.504,1.336
2.3050220012664795,-0.601,1.099,0.559,1.372
2.315084934234619,-0.588,1.0,0.61,1.311
2.341607093811035,-0.487,0.957,0.462,1.169
2.345280170440674,-0.37,1.086,0.391,1.212
