time,gFx,gFy,gFz,gFTotal
0.007300853729248047,0.039,-0.498,-0.739,0.892
0.00964212417602539,0.039,-0.498,-0.739,0.892
0.014127016067504883,0.056,-0.52,-0.752,0.916
0.021635055541992188,0.06,-0.527,-0.759,0.926
0.030514001846313477,0.056,-0.535,-0.756,0.928
0.040888071060180664,0.053,-0.543,-0.747,0.925
0.05242800712585449,0.046,-0.543,-0.753,0.93
0.06152486801147461,0.043,-0.545,-0.778,0.951
0.07161712646484375,0.051,-0.548,-0.809,0.978
0.08156800270080566,0.066,-0.553,-0.822,0.993
0.09920692443847656,0.073,-0.549,-0.821,0.99
0.10318994522094727,0.073,-0.549,-0.825,0.994
0.11165904998779297,0.072,-0.558,-0.837,1.009
0.12184000015258789,0.067,-0.568,-0.838,1.015
0.13082098960876465,0.055,-0.569,-0.832,1.009
0.1410219669342041,0.042,-0.563,-0.842,1.014
0.1526470184326172,0.036,-0.561,-0.864,1.031
0.1616511344909668,0.03,-0.563,-0.872,1.038
0.17172002792358398,0.022,-0.563,-0.86,1.028
0.18240904808044434,0.008,-0.557,-0.847,1.014
0.19835805892944336,-0.002,-0.552,-0.85,1.014
0.20209598541259766,-0.002,-0.544,-0.859,1.017
0.21184897422790527,0.001,-0.539,-0.865,1.019
0.222182035446167,0.005,-0.535,-0.869,1.02
0.2308521270751953,0.002,-0.53,-0.876,1.024
0.24080610275268555,-0.003,-0.527,-0.889,1.033
0.2527780532836914,0.003,-0.53,-0.894,1.039
0.2622060775756836,0.014,-0.534,-0.893,1.041
0.27220606803894043,0.021,-0.537,-0.89,1.04
0.2822530269622803,0.033,-0.546,-0.884,1.04
0.30052709579467773,0.038,-0.555,-0.877,1.039
0.3040940761566162,0.039,-0.558,-0.879,1.042
0.31194305419921875,0.046,-0.563,-0.872,1.039
0.32220005989074707,0.053,-0.567,-0.852,1.025
0.3309941291809082,0.05,-0.569,-0.844,1.019
0.3411221504211426,0.046,-0.57,-0.844,1.019
0.3529958724975586,0.048,-0.573,-0.846,1.023
0.3623390197753906,0.047,-0.572,-0.846,1.022
0.37240004539489746,0.042,-0.566,-0.841,1.015
0.3826279640197754,0.039,-0.556,-0.834,1.003
0.4009819030761719,0.042,-0.537,-0.841,0.999
0.40421605110168457,0.042,-0.537,-0.841,0.999
0.41210317611694336,0.048,-0.531,-0.841,0.996
0.42240190505981445,0.048,-0.527,-0.843,0.995
0.43107104301452637,0.048,-0.521,-0.845,0.994
0.44176197052001953,0.054,-0.517,-0.85,0.996
0.4528069496154785,0.066,-0.516,-0.851,0.997
0.46251392364501953,0.079,-0.516,-0.848,0.996
0.472506046295166,0.09,-0.517,-0.844,0.994
0.4825620651245117,0.1,-0.516,-0.844,0.994
0.5012359619140625,0.099,-0.518,-0.835,0.988
0.5044710636138916,0.099,-0.518,-0.835,0.988
0.5125608444213867,0.102,-0.521,-0.837,0.991
0.5225238800048828,0.105,-0.526,-0.835,0.992
0.5312750339508057,0.102,-0.528,-0.831,0.99
0.5415859222412109,0.098,-0.527,-0.828,0.986
0.5531480312347412,0.091,-0.53,-0.826,0.986
0.5629229545593262,0.071,-0.536,-0.825,0.986
0.5726261138916016,0.052,-0.546,-0.818,0.985
0.5829691886901855,0.027,-0.555,-0.815,0.986
0.6015870571136475,0.003,-0.535,-0.824,0.982
0.6049289703369141,0.003,-0.535,-0.824,0.982
0.612436056137085,0.016,-0.528,-0.834,0.987
0.6226100921630859,0.036,-0.523,-0.852,1.0
0.6318240165710449,0.057,-0.515,-0.869,1.012
0.6416480541229248,0.071,-0.508,-0.881,1.019
0.6529331207275391,0.077,-0.502,-0.888,1.023
0.6627840995788574,0.081,-0.499,-0.893,1.026
0.6728100776672363,0.082,-0.5,-0.895,1.028
0.6830589771270752,0.079,-0.503,-0.895,1.03
0.7016301155090332,0.079,-0.513,-0.88,1.022
0.7043230533599854,0.079,-0.513,-0.88,1.022
0.7128579616546631,0.069,-0.52,-0.884,1.028
0.7228851318359375,0.053,-0.531,-0.879,1.028
0.7315831184387207,0.031,-0.547,-0.859,1.019
0.7423830032348633,0.011,-0.549,-0.836,1.0
0.7530450820922852,0.003,-0.545,-0.825,0.989
0.7629539966583252,0.008,-0.545,-0.835,0.997
0.7729001045227051,0.026,-0.545,-0.846,1.007
0.7833240032196045,0.045,-0.54,-0.853,1.011
0.8018598556518555,0.061,-0.522,-0.869,1.016
0.8061330318450928,0.061,-0.522,-0.869,1.016
0.8127100467681885,0.057,-0.521,-0.89,1.033
0.8232631683349609,0.05,-0.517,-0.905,1.043
0.8318638801574707,0.054,-0.512,-0.903,1.039
0.8422369956970215,0.058,-0.507,-0.898,1.033
0.8532350063323975,0.064,-0.502,-0.893,1.026
0.8631680011749268,0.074,-0.506,-0.887,1.024
0.8734431266784668,0.077,-0.508,-0.879,1.018
0.8832159042358398,0.075,-0.505,-0.874,1.012
0.9021420478820801,0.074,-0.509,-0.862,1.004
0.9060940742492676,0.074,-0.509,-0.862,1.004
0.9128751754760742,0.079,-0.508,-0.853,0.996
0.923530101776123,0.083,-0.506,-0.851,0.994
0.93202805519104,0.088,-0.502,-0.847,0.989
0.9421060085296631,0.091,-0.499,-0.846,0.986
0.9534530639648438,0.091,-0.498,-0.85,0.989
0.9632611274719238,0.088,-0.496,-0.855,0.992
0.9732060432434082,0.084,-0.496,-0.857,0.994
0.9836230278015137,0.083,-0.498,-0.857,0.995
1.0022449493408203,0.073,-0.504,-0.873,1.011
1.0055170059204102,0.073,-0.504,-0.873,1.011
1.0130360126495361,0.068,-0.51,-0.88,1.019
1.023259162902832,0.069,-0.517,-0.876,1.02
1.0323119163513184,0.069,-0.524,-0.866,1.015
1.0423798561096191,0.064,-0.531,-0.864,1.016
1.0535469055175781,0.058,-0.535,-0.863,1.017
1.0634469985961914,0.063,-0.542,-0.852,1.012
1.073477029800415,0.07,-0.546,-0.838,1.003
1.08378005027771,0.069,-0.543,-0.827,0.992
1.1024270057678223,0.071,-0.544,-0.82,0.987
1.1056151390075684,0.071,-0.544,-0.82,0.987
1.1131701469421387,0.064,-0.545,-0.827,0.992
1.1233758926391602,0.058,-0.543,-0.836,0.999
1.1327860355377197,0.052,-0.542,-0.848,1.008
1.1424040794372559,0.039,-0.54,-0.867,1.022
1.153688907623291,0.038,-0.539,-0.878,1.031
1.1635589599609375,0.045,-0.538,-0.873,1.026
1.1735601425170898,0.046,-0.532,-0.871,1.022
1.1837060451507568,0.048,-0.528,-0.872,1.021
1.2026820182800293,0.042,-0.533,-0.872,1.023
1.2057299613952637,0.042,-0.533,-0.872,1.023
1.2136030197143555,0.038,-0.526,-0.859,1.008
1.2234179973602295,0.038,-0.522,-0.859,1.006
1.2325129508972168,0.045,-0.52,-0.866,1.011
1.2428250312805176,0.056,-0.518,-0.865,1.01
1.2543370723724365,0.069,-0.515,-0.86,1.005
1.263761043548584,0.076,-0.512,-0.857,1.001
1.273658037185669,0.083,-0.512,-0.861,1.005
1.283756971359253,0.092,-0.512,-0.862,1.007
1.303144931793213,0.089,-0.517,-0.86,1.007
1.3068819046020508,0.089,-0.517,-0.86,1.007
1.3139419555664062,0.081,-0.519,-0.863,1.01
1.3236808776855469,0.072,-0.52,-0.866,1.013
1.3325560092926025,0.066,-0.519,-0.868,1.013
1.3427081108093262,0.061,-0.52,-0.869,1.015
1.3544058799743652,0.056,-0.519,-0.869,1.014
1.3639039993286133,0.053,-0.52,-0.867,1.012
1.3738651275634766,0.048,-0.521,-0.86,1.007
1.3838329315185547,0.048,-0.521,-0.854,1.002
1.4031291007995605,0.051,-0.53,-0.854,1.006
1.4067230224609375,0.051,-0.53,-0.854,1.006
1.4140348434448242,0.054,-0.53,-0.851,1.004
1.424306869506836,0.056,-0.528,-0.857,1.008
1.432875156402588,0.06,-0.527,-0.859,1.01
1.443160057067871,0.061,-0.525,-0.852,1.003
1.4542441368103027,0.059,-0.522,-0.847,0.997
1.4640650749206543,0.061,-0.523,-0.851,1.001
1.4739539623260498,0.061,-0.526,-0.853,1.004
1.4843449592590332,0.06,-0.528,-0.848,1.001
1.5034098625183105,0.058,-0.524,-0.831,0.984
1.5073859691619873,0.058,-0.524,-0.831,0.984
1.5137569904327393,0.058,-0.521,-0.839,0.989
1.5244159698486328,0.061,-0.521,-0.854,1.002
1.532958984375,0.064,-0.521,-0.863,1.01
1.5433030128479004,0.066,-0.52,-0.861,1.008
1.554232120513916,0.063,-0.52,-0.858,1.005
1.5641250610351562,0.068,-0.52,-0.857,1.005
1.5745179653167725,0.075,-0.52,-0.856,1.004
1.5843470096588135,0.081,-0.519,-0.855,1.003
1.603626012802124,0.093,-0.518,-0.856,1.005
1.6068658828735352,0.093,-0.518,-0.856,1.005
1.613908052444458,0.093,-0.511,-0.857,1.002
1.6244089603424072,0.09,-0.508,-0.86,1.003
1.6328740119934082,0.086,-0.508,-0.861,1.003
1.6434621810913086,0.085,-0.506,-0.859,1.001
1.6547319889068604,0.085,-0.504,-0.861,1.001
1.6642990112304688,0.088,-0.503,-0.861,1.001
1.674565076828003,0.093,-0.502,-0.864,1.004
1.6848440170288086,0.096,-0.5,-0.871,1.009
1.7037789821624756,0.09,-0.496,-0.884,1.018
1.7076821327209473,0.09,-0.496,-0.884,1.018
1.7141010761260986,0.085,-0.494,-0.898,1.028
1.7247250080108643,0.082,-0.498,-0.901,1.033
1.7332370281219482,0.079,-0.5,-0.897,1.03
1.7432889938354492,0.077,-0.497,-0.894,1.026
1.755068063735962,0.074,-0.498,-0.892,1.024
1.7644860744476318,0.071,-0.498,-0.894,1.026
1.7744321823120117,0.074,-0.498,-0.887,1.02
1.784862995147705,0.07,-0.501,-0.88,1.015
1.8040940761566162,0.066,-0.502,-0.878,1.014
1.80820894241333,0.066,-0.502,-0.878,1.014
1.8147029876708984,0.07,-0.504,-0.88,1.017
1.8248560428619385,0.072,-0.505,-0.88,1.017
1.8334031105041504,0.071,-0.505,-0.878,1.015
1.843696117401123,0.071,-0.503,-0.877,1.013
1.8559331893920898,0.076,-0.505,-0.873,1.011
1.864691972732544,0.084,-0.506,-0.868,1.008
1.8746659755706787,0.088,-0.504,-0.863,1.003
1.884861946105957,0.095,-0.503,-0.857,0.998
1.8945250511169434,0.102,-0.503,-0.854,0.996
1.9077160358428955,0.106,-0.506,-0.85,0.995
1.9144740104675293,0.105,-0.506,-0.842,0.988
1.9249980449676514,0.1,-0.507,-0.837,0.984
1.9335310459136963,0.093,-0.509,-0.842,0.988
1.9435749053955078,0.085,-0.509,-0.858,1.001
1.9551169872283936,0.079,-0.512,-0.865,1.008
1.964850902557373,0.074,-0.511,-0.863,1.006
1.9747869968414307,0.071,-0.508,-0.866,1.007
1.9849591255187988,0.074,-0.507,-0.869,1.009
2.0041489601135254,0.077,-0.504,-0.879,1.016
2.0071370601654053,0.077,-0.504,-0.879,1.016
2.0149950981140137,0.083,-0.504,-0.874,1.012
2.0248889923095703,0.084,-0.503,-0.871,1.009
2.0336031913757324,0.083,-0.502,-0.872,1.01
