time,gFx,gFy,gFz,gFTotal
0.006745100021362305,0.009,-0.36,-1.001,1.064
0.026047229766845703,-0.0,-0.365,-1.01,1.074
0.02704620361328125,-0.0,-0.365,-1.01,1.074
0.02863001823425293,-0.0,-0.365,-1.01,1.074
0.0380859375,0.023,-0.392,-1.017,1.09
0.047698020935058594,0.038,-0.416,-1.015,1.098
0.056448936462402344,0.038,-0.411,-0.994,1.076
0.06667304039001465,0.03,-0.401,-0.95,1.032
0.07646894454956055,0.026,-0.404,-0.9,0.987
0.08681821823120117,0.03,-0.411,-0.857,0.951
0.11146020889282227,0.058,-0.419,-0.83,0.932
0.1123042106628418,0.058,-0.419,-0.83,0.932
0.11718320846557617,0.071,-0.414,-0.838,0.937
0.12691402435302734,0.082,-0.414,-0.861,0.959
0.1383042335510254,0.08,-0.408,-0.891,0.983
0.1488790512084961,0.069,-0.392,-0.91,0.993
0.15722990036010742,0.057,-0.378,-0.909,0.986
0.16788411140441895,0.038,-0.372,-0.905,0.979
0.17745494842529297,0.016,-0.372,-0.896,0.97
0.1879129409790039,-0.011,-0.367,-0.882,0.955
0.2190990447998047,-0.024,-0.4,-0.823,0.915
0.22017407417297363,-0.024,-0.4,-0.823,0.915
0.2206101417541504,-0.024,-0.4,-0.823,0.915
0.2267301082611084,-0.002,-0.427,-0.826,0.93
0.2382669448852539,0.011,-0.432,-0.838,0.943
0.24857711791992188,0.019,-0.423,-0.846,0.946
0.2573680877685547,0.03,-0.422,-0.846,0.946
0.26793503761291504,0.044,-0.439,-0.834,0.944
0.2780580520629883,0.047,-0.454,-0.815,0.934
0.2878589630126953,0.032,-0.451,-0.801,0.92
0.3235468864440918,0.042,-0.447,-0.874,0.983
0.3242330551147461,0.042,-0.447,-0.874,0.983
0.3248250484466553,0.042,-0.447,-0.874,0.983
0.3272380828857422,0.057,-0.453,-0.908,1.016
0.33835792541503906,0.066,-0.456,-0.921,1.03
0.34864211082458496,0.081,-0.467,-0.921,1.036
0.3572359085083008,0.067,-0.474,-0.926,1.042
0.36750102043151855,0.041,-0.479,-0.925,1.042
0.3795750141143799,0.026,-0.495,-0.887,1.016
0.38810110092163086,0.006,-0.505,-0.853,0.991
0.41976213455200195,-0.081,-0.423,-0.839,0.943
0.42082905769348145,-0.081,-0.423,-0.839,0.943
0.4212770462036133,-0.081,-0.423,-0.839,0.943
0.42762207984924316,-0.042,-0.451,-0.849,0.962
0.4391169548034668,0.005,-0.48,-0.847,0.974
0.4485740661621094,0.047,-0.501,-0.811,0.954
0.45787501335144043,0.054,-0.491,-0.771,0.916
0.467771053314209,0.045,-0.461,-0.77,0.899
0.4786050319671631,0.012,-0.436,-0.792,0.904
0.48790597915649414,0.011,-0.422,-0.775,0.883
0.5183150768280029,0.042,-0.477,-0.888,1.009
0.5190072059631348,0.042,-0.477,-0.888,1.009
0.5194430351257324,0.042,-0.477,-0.888,1.009
0.527677059173584,0.052,-0.543,-0.88,1.035
0.5388989448547363,0.046,-0.546,-0.851,1.012
0.5492892265319824,-0.001,-0.489,-0.836,0.969
0.5585200786590576,-0.02,-0.486,-0.839,0.97
0.568540096282959,-0.026,-0.466,-0.854,0.973
0.5788722038269043,-0.077,-0.382,-0.864,0.948
0.5884220600128174,-0.085,-0.376,-0.854,0.937
0.6209111213684082,-0.098,-0.417,-0.918,1.013
0.6215980052947998,-0.098,-0.417,-0.918,1.013
0.622046947479248,-0.098,-0.417,-0.918,1.013
0.6278860569000244,-0.098,-0.411,-0.942,1.032
0.6390910148620605,-0.099,-0.403,-0.952,1.039
0.6490468978881836,-0.118,-0.38,-0.96,1.039
0.6583991050720215,-0.136,-0.386,-0.96,1.044
0.6684131622314453,-0.13,-0.425,-0.96,1.058
0.6791019439697266,-0.122,-0.447,-0.928,1.037
0.6885130405426025,-0.14,-0.446,-0.882,0.998
0.72275710105896,-0.203,-0.465,-0.838,0.98
0.7234230041503906,-0.203,-0.465,-0.838,0.98
0.7238678932189941,-0.203,-0.465,-0.838,0.98
0.7280840873718262,-0.221,-0.467,-0.878,1.019
0.739253044128418,-0.23,-0.465,-0.906,1.044
0.7497549057006836,-0.231,-0.458,-0.92,1.053
0.757594108581543,-0.221,-0.451,-0.928,1.055
0.7680211067199707,-0.206,-0.439,-0.914,1.035
0.7790431976318359,-0.192,-0.426,-0.91,1.023
0.7879641056060791,-0.202,-0.414,-0.944,1.05
0.8215160369873047,-0.204,-0.355,-1.073,1.148
0.8220551013946533,-0.204,-0.355,-1.073,1.148
0.8226320743560791,-0.204,-0.355,-1.073,1.148
0.8282279968261719,-0.148,-0.349,-1.039,1.106
0.8394651412963867,-0.08,-0.359,-0.997,1.063
0.8499350547790527,-0.018,-0.398,-0.989,1.066
0.858367919921875,-0.021,-0.396,-0.97,1.048
0.8686020374298096,-0.121,-0.344,-0.988,1.053
0.8805661201477051,-0.178,-0.366,-1.058,1.134
0.8898491859436035,-0.168,-0.411,-1.077,1.165
0.9171662330627441,-0.123,-0.444,-1.046,1.143
0.9182839393615723,-0.091,-0.438,-1.087,1.175
0.9200780391693115,-0.091,-0.438,-1.087,1.175
0.9283530712127686,-0.061,-0.427,-1.138,1.217
0.9392619132995605,-0.06,-0.384,-1.159,1.222
0.9496359825134277,-0.077,-0.345,-1.15,1.203
0.958482027053833,-0.086,-0.313,-1.141,1.186
0.9688050746917725,-0.093,-0.266,-1.17,1.203
0.9794211387634277,-0.135,-0.191,-1.228,1.25
0.9886269569396973,-0.167,-0.174,-1.224,1.248
1.0178790092468262,-0.078,-0.148,-1.09,1.103
1.0187649726867676,-0.078,-0.148,-1.09,1.103
1.0203099250793457,-0.078,-0.148,-1.09,1.103
1.0284810066223145,-0.026,-0.132,-1.052,1.061
1.039729118347168,0.023,-0.117,-0.994,1.001
1.0504910945892334,0.057,-0.111,-0.952,0.96
1.0588669776916504,0.056,-0.104,-0.929,0.936
1.068674087524414,0.019,-0.099,-0.899,0.905
1.079707145690918,-0.02,-0.106,-0.875,0.882
1.0892319679260254,-0.05,-0.112,-0.882,0.89
1.1222929954528809,-0.052,-0.256,-0.783,0.825
1.1229729652404785,-0.052,-0.256,-0.783,0.825
1.1234130859375,-0.052,-0.256,-0.783,0.825
1.1290011405944824,-0.033,-0.297,-0.722,0.781
1.1397020816802979,-0.035,-0.286,-0.669,0.728
1.149834156036377,-0.042,-0.238,-0.629,0.674
1.1594018936157227,-0.094,-0.174,-0.623,0.654
1.1698460578918457,-0.211,-0.121,-0.649,0.693
1.1797051429748535,-0.285,-0.123,-0.651,0.721
1.189241886138916,-0.299,-0.133,-0.641,0.72
1.2234811782836914,-0.241,-0.091,-0.646,0.695
1.2241711616516113,-0.241,-0.091,-0.646,0.695
1.2246100902557373,-0.241,-0.091,-0.646,0.695
1.2290010452270508,-0.241,-0.098,-0.558,0.616
1.239995002746582,-0.275,-0.074,-0.475,0.554
1.2501680850982666,-0.32,-0.095,-0.451,0.561
1.2589411735534668,-0.322,-0.08,-0.544,0.637
1.2691850662231445,-0.278,-0.054,-0.606,0.669
1.2804851531982422,-0.278,0.014,-0.638,0.696
1.2889618873596191,-0.259,0.079,-0.697,0.748
1.3217461109161377,-0.173,0.115,-0.721,0.75
1.3224449157714844,-0.173,0.115,-0.721,0.75
1.3228859901428223,-0.173,0.115,-0.721,0.75
1.3289721012115479,-0.067,0.123,-0.601,0.617
1.3402252197265625,-0.046,0.153,-0.498,0.523
1.350092887878418,-0.14,0.193,-0.479,0.535
1.3597369194030762,-0.23,0.234,-0.548,0.639
1.3690462112426758,-0.275,0.239,-0.667,0.76
1.3817238807678223,-0.263,0.221,-0.843,0.91
1.3912858963012695,-0.251,0.215,-0.99,1.044
1.4204611778259277,-0.267,0.273,-1.306,1.361
