time,gFx,gFy,gFz,gFTotal
0.01960897445678711,0.021,-0.799,-0.573,0.983
0.019980192184448242,0.021,-0.799,-0.573,0.983
0.030086994171142578,0.014,-0.794,-0.601,0.996
0.04061007499694824,0.006,-0.795,-0.609,1.001
0.04949307441711426,0.011,-0.805,-0.607,1.008
0.05289006233215332,0.011,-0.807,-0.618,1.017
0.06753802299499512,0.002,-0.798,-0.641,1.024
0.08191609382629395,-0.002,-0.793,-0.646,1.023
0.08371186256408691,-0.001,-0.789,-0.63,1.01
0.09272098541259766,-0.001,-0.782,-0.628,1.003
0.10298299789428711,0.001,-0.782,-0.635,1.007
0.1136629581451416,0.008,-0.792,-0.619,1.005
0.13085103034973145,0.01,-0.795,-0.602,0.997
0.13280701637268066,0.003,-0.786,-0.605,0.992
0.14293408393859863,0.007,-0.78,-0.599,0.983
0.15280890464782715,0.019,-0.786,-0.587,0.981
0.16353392601013184,0.02,-0.792,-0.597,0.992
0.1734302043914795,0.011,-0.796,-0.613,1.005
0.1833951473236084,0.009,-0.802,-0.608,1.006
0.19325804710388184,0.007,-0.808,-0.609,1.012
0.20345616340637207,-0.002,-0.808,-0.627,1.023
0.21406197547912598,0.0,-0.806,-0.635,1.026
0.23174118995666504,0.01,-0.806,-0.628,1.022
0.23395514488220215,0.005,-0.803,-0.631,1.021
0.24365592002868652,-0.004,-0.798,-0.634,1.019
0.2537219524383545,-0.004,-0.799,-0.616,1.009
0.26447105407714844,0.003,-0.799,-0.601,1.0
0.2739880084991455,-0.001,-0.795,-0.604,0.998
0.2845151424407959,0.002,-0.794,-0.597,0.993
0.294950008392334,0.008,-0.794,-0.581,0.984
0.30455994606018066,0.005,-0.788,-0.582,0.98
0.31488919258117676,-0.001,-0.787,-0.592,0.985
0.34186291694641113,-0.001,-0.798,-0.583,0.988
0.3422369956970215,-0.001,-0.798,-0.583,0.988
0.3454630374908447,-0.012,-0.798,-0.6,0.998
0.3544449806213379,-0.017,-0.8,-0.602,1.001
0.36479687690734863,-0.011,-0.803,-0.588,0.995
0.3744509220123291,-0.01,-0.8,-0.596,0.998
0.3845031261444092,-0.007,-0.798,-0.61,1.004
0.394913911819458,0.006,-0.801,-0.6,1.001
0.4050471782684326,0.013,-0.8,-0.592,0.995
