time,gFx,gFy,gFz,gFTotal
0.0130767822265625,-0.078,-0.274,-0.865,0.911
0.013446807861328125,-0.078,-0.274,-0.865,0.911
0.015791893005371094,-0.078,-0.274,-0.865,0.911
0.0233309268951416,-0.105,-0.273,-0.852,0.901
0.03348207473754883,-0.115,-0.267,-0.857,0.905
0.04423379898071289,-0.1,-0.275,-0.864,0.912
0.053488969802856445,-0.086,-0.291,-0.859,0.911
0.06370782852172852,-0.078,-0.319,-0.861,0.922
0.07349205017089844,-0.079,-0.355,-0.874,0.947
0.08375978469848633,-0.1,-0.382,-0.893,0.976
0.09943890571594238,-0.124,-0.393,-0.914,1.003
0.10369586944580078,-0.14,-0.391,-0.949,1.036
0.11390304565429688,-0.137,-0.388,-0.973,1.056
0.1240389347076416,-0.126,-0.382,-0.972,1.052
0.13388395309448242,-0.113,-0.375,-0.969,1.045
0.1443958282470703,-0.102,-0.369,-0.977,1.049
0.15382695198059082,-0.104,-0.361,-0.979,1.049
0.16408300399780273,-0.113,-0.355,-0.982,1.05
0.17423295974731445,-0.117,-0.356,-0.981,1.05
0.1841268539428711,-0.124,-0.355,-0.962,1.033
0.20033693313598633,-0.13,-0.35,-0.938,1.01
0.2041010856628418,-0.137,-0.346,-0.93,1.002
0.21431207656860352,-0.14,-0.352,-0.95,1.023
0.22461509704589844,-0.149,-0.359,-0.966,1.041
0.23430395126342773,-0.163,-0.361,-0.962,1.04
0.2441239356994629,-0.177,-0.362,-0.949,1.031
0.2541649341583252,-0.183,-0.366,-0.935,1.021
0.264293909072876,-0.185,-0.371,-0.924,1.013
0.2748548984527588,-0.19,-0.372,-0.913,1.004
0.2842879295349121,-0.19,-0.374,-0.913,1.005
0.3001399040222168,-0.179,-0.378,-0.92,1.011
0.3044290542602539,-0.164,-0.381,-0.922,1.011
0.3146679401397705,-0.163,-0.393,-0.933,1.025
0.3249518871307373,-0.175,-0.401,-0.949,1.045
0.3346738815307617,-0.181,-0.396,-0.971,1.064
0.3446540832519531,-0.186,-0.387,-1.0,1.088
0.3544487953186035,-0.202,-0.377,-1.021,1.107
0.36471986770629883,-0.226,-0.364,-1.029,1.115
0.37502598762512207,-0.242,-0.354,-1.031,1.117
0.38519787788391113,-0.248,-0.353,-1.026,1.113
0.40070390701293945,-0.244,-0.352,-1.022,1.108
0.4048590660095215,-0.234,-0.352,-0.986,1.073
0.4150710105895996,-0.225,-0.357,-0.928,1.019
0.42491888999938965,-0.218,-0.351,-0.884,0.976
0.43501806259155273,-0.208,-0.349,-0.855,0.947
0.4450240135192871,-0.206,-0.36,-0.838,0.935
0.45500802993774414,-0.212,-0.377,-0.82,0.927
0.4651329517364502,-0.21,-0.394,-0.8,0.916
0.47535276412963867,-0.206,-0.409,-0.779,0.904
0.48508310317993164,-0.206,-0.415,-0.759,0.889
0.5003538131713867,-0.2,-0.415,-0.744,0.875
0.505194902420044,-0.19,-0.413,-0.748,0.875
0.5152587890625,-0.179,-0.41,-0.752,0.875
0.5263879299163818,-0.172,-0.404,-0.755,0.873
0.5353050231933594,-0.165,-0.397,-0.754,0.868
0.5452558994293213,-0.149,-0.393,-0.752,0.861
0.5553808212280273,-0.132,-0.391,-0.766,0.87
0.565485954284668,-0.115,-0.385,-0.791,0.887
0.5756759643554688,-0.104,-0.386,-0.835,0.926
0.5854687690734863,-0.093,-0.392,-0.876,0.964
0.6014289855957031,-0.09,-0.391,-0.907,0.992
0.6056299209594727,-0.094,-0.387,-0.942,1.023
0.6158061027526855,-0.104,-0.385,-0.975,1.053
0.626305103302002,-0.119,-0.381,-1.002,1.079
0.635653018951416,-0.133,-0.381,-1.038,1.114
0.6458768844604492,-0.137,-0.382,-1.053,1.128
0.6557579040527344,-0.148,-0.378,-1.039,1.115
0.6657829284667969,-0.162,-0.369,-1.007,1.085
0.6759998798370361,-0.161,-0.363,-0.961,1.04
0.6858057975769043,-0.151,-0.368,-0.919,1.001
0.701301097869873,-0.145,-0.379,-0.887,0.975
0.7058010101318359,-0.135,-0.387,-0.86,0.953
0.7161779403686523,-0.123,-0.39,-0.838,0.932
0.7266430854797363,-0.108,-0.395,-0.821,0.917
0.7359938621520996,-0.087,-0.399,-0.812,0.909
0.7461481094360352,-0.068,-0.403,-0.811,0.908
0.7561299800872803,-0.055,-0.407,-0.818,0.915
0.7662129402160645,-0.046,-0.404,-0.826,0.921
0.7762560844421387,-0.04,-0.397,-0.836,0.926
0.7861669063568115,-0.039,-0.391,-0.847,0.934
0.801541805267334,-0.041,-0.386,-0.857,0.941
0.8063559532165527,-0.039,-0.383,-0.851,0.934
0.8166189193725586,-0.033,-0.38,-0.848,0.93
0.8273489475250244,-0.021,-0.384,-0.864,0.946
0.8363909721374512,-0.005,-0.396,-0.894,0.978
0.8465108871459961,0.008,-0.418,-0.935,1.024
0.8565099239349365,0.014,-0.435,-0.98,1.072
0.8664250373840332,0.012,-0.441,-1.053,1.142
0.876600980758667,0.017,-0.449,-1.158,1.242
0.886563777923584,0.039,-0.464,-1.258,1.341
0.9026451110839844,0.059,-0.475,-1.352,1.434
0.9066638946533203,0.059,-0.467,-1.434,1.509
0.9169697761535645,0.039,-0.445,-1.476,1.542
0.927501916885376,0.024,-0.409,-1.493,1.548
