time;gFx;gFy;gFz;TgF
0.004057813;-0,3284;0,3726;0,6167;0,792
0.00476198;-0,2968;0,3818;0,7202;0,867
0.004975521;-0,2799;0,3813;0,8304;0,956
0.005178125;-0,2689;0,3853;0,9277;1,040
0.00536875;-0,2683;0,3864;0,9882;1,094
0.009019792;-0,2798;0,3897;1,0247;1,131
0.010122917;-0,2817;0,3960;1,0174;1,128
0.0164625;-0,2837;0,3902;1,0029;1,113
0.019789063;-0,2889;0,3897;0,9829;1,096
0.024635938;-0,2953;0,3873;0,9256;1,046
0.030109375;-0,3101;0,3842;0,8671;0,998
0.034538542;-0,3068;0,3834;0,8013;0,940
0.039502604;-0,2952;0,3840;0,7459;0,889
0.044828646;-0,2659;0,3896;0,7344;0,873
0.049713021;-0,2269;0,3950;0,7752;0,899
0.054391667;-0,2248;0,3971;0,8288;0,946
0.059202604;-0,2171;0,4052;0,8397;0,957
0.064408334;-0,2081;0,4106;0,8447;0,962
0.069238542;-0,2138;0,4227;0,8640;0,985
0.074196354;-0,2434;0,4335;0,8967;1,025
0.079942188;-0,2727;0,4366;0,9251;1,059
0.084533854;-0,2788;0,4374;0,9468;1,080
0.089350521;-0,2719;0,4283;0,9477;1,075
0.094751563;-0,2710;0,4128;0,9340;1,057
0.099704167;-0,2708;0,4058;0,9213;1,042
0.104048438;-0,2729;0,4015;0,8956;1,019
0.108801042;-0,2663;0,3890;0,8659;0,986
0.114272917;-0,2669;0,3796;0,8243;0,946
0.118860938;-0,2755;0,3771;0,7792;0,908
0.123897396;-0,2814;0,3663;0,7353;0,868
0.129490104;-0,2927;0,3478;0,7192;0,851
0.133898438;-0,2917;0,3392;0,7276;0,854
0.138731771;-0,2794;0,3255;0,8078;0,915
0.144855209;-0,2584;0,3268;0,8928;0,985
0.149023959;-0,2225;0,3154;0,9606;1,035
0.153944792;-0,2053;0,3030;1,0099;1,074
0.158815104;-0,2019;0,2979;1,0653;1,124
0.164209896;-0,1997;0,2752;1,1160;1,167
0.168825;-0,1876;0,2659;1,1383;1,184
0.173805209;-0,1775;0,2601;1,1546;1,197
0.179207813;-0,1842;0,2550;1,1298;1,173
0.18384375;-0,1823;0,2451;1,1033;1,145
0.188693229;-0,1647;0,2378;1,0677;1,106
0.194888021;-0,1584;0,2406;1,0394;1,079
0.198914063;-0,1524;0,2363;0,9982;1,037
0.203561459;-0,1430;0,2379;0,9577;0,997
0.208427084;-0,1510;0,2349;0,9165;0,958
0.213708854;-0,1881;0,2164;0,8644;0,911
0.218482292;-0,2170;0,2427;0,8450;0,906
0.223386979;-0,2362;0,2993;0,8661;0,946
0.228929167;-0,2642;0,3341;0,9015;0,997
0.233503125;-0,2783;0,3487;0,9241;1,026
0.2383875;-0,2877;0,3328;0,9487;1,046
0.2431375;-0,2808;0,3081;0,9806;1,066
0.247981771;-0,2567;0,3028;0,9929;1,069
0.25285625;-0,2221;0,2956;1,0128;1,078
0.258423438;-0,1707;0,2793;1,0373;1,088
0.264884375;-0,0967;0,2794;1,0745;1,114
0.269733854;-0,0236;0,2700;1,0994;1,132
0.273136459;0,0213;0,2612;1,0872;1,118
0.278147396;0,0381;0,2450;1,0511;1,080
0.282824479;0,0279;0,2357;0,9959;1,024
0.287738021;-0,0173;0,2195;0,9516;0,977
0.292494792;-0,0776;0,2139;0,8905;0,919
0.297654688;-0,1423;0,2167;0,8607;0,899
0.302622917;-0,2070;0,2397;0,8457;0,903
0.307669271;-0,2647;0,2672;0,8315;0,913
0.312633854;-0,3030;0,2957;0,8356;0,937
0.317842709;-0,3284;0,3191;0,8181;0,938
0.322388021;-0,3405;0,3179;0,8106;0,935
0.328140625;-0,3079;0,3240;0,8342;0,946
0.33235625;-0,2424;0,3028;0,9360;1,013
0.337319271;-0,2271;0,2592;0,8757;0,941
0.342108854;-0,3101;0,1313;0,9023;0,963
0.347309896;-0,3198;0,1219;0,9305;0,991
0.352163021;-0,2412;0,1998;0,9225;0,974
0.357073959;-0,1754;0,2744;0,9885;1,041
0.362647917;-0,1074;0,3709;0,9796;1,053
0.367190625;-0,0415;0,4140;0,9867;1,071
0.372065104;0,0201;0,4365;0,9541;1,049
0.377832813;0,0744;0,3991;0,9252;1,010
0.382002604;0,0880;0,3369;0,9123;0,976
0.386951563;0,0666;0,2642;0,9188;0,958
0.391854167;0,0414;0,2126;0,9127;0,938
0.397313021;0,0184;0,1824;0,9250;0,943
0.401848438;0,0059;0,1659;0,9391;0,954
0.406669792;-0,0050;0,1642;0,9460;0,960
0.41241875;-0,0247;0,1816;0,9389;0,957
0.417052604;-0,0293;0,2132;0,9576;0,981
0.421651563;-0,0269;0,2366;0,9630;0,992
0.426463542;-0,0249;0,2535;0,9809;1,013
0.431774479;-0,0186;0,2462;0,9911;1,021
0.436464063;-0,0116;0,2378;0,9849;1,013
0.4415;-0,0036;0,2157;0,9923;1,016
