time;gFx;gFy;gFz;TgF
0.006933333;0,0903;0,4041;0,8141;0,913
0.008083854;0,0854;0,4189;0,7394;0,854
0.008988541;0,0881;0,4302;0,6718;0,803
0.00994375;0,0930;0,4468;0,6124;0,764
0.011236979;0,1028;0,4551;0,5568;0,726
0.012729166;0,1136;0,4686;0,5128;0,704
0.019852083;0,1248;0,4757;0,4865;0,692
0.023383854;0,1376;0,4912;0,4817;0,702
0.033157812;0,1469;0,4967;0,4644;0,696
0.034407291;0,1479;0,4890;0,4707;0,695
0.037926041;0,0379;0,3829;0,4545;0,596
0.043055208;-0,1258;0,2462;0,4551;0,533
0.046908854;-0,2492;0,1847;0,4664;0,560
0.051789583;-0,3001;0,2153;0,4889;0,613
0.056984896;-0,3035;0,2843;0,5250;0,670
0.061629166;-0,2928;0,3433;0,5702;0,727
0.067190104;-0,2480;0,3938;0,6225;0,777
0.071809896;-0,1939;0,4130;0,6502;0,794
0.076503646;-0,1000;0,4324;0,6688;0,803
0.081503125;0,0017;0,4388;0,6913;0,819
0.086624479;0,1407;0,4384;0,6901;0,830
0.091458854;0,2631;0,4350;0,6622;0,835
0.096413541;0,3279;0,4283;0,6195;0,821
0.101405208;0,4025;0,4177;0,5461;0,797
0.106578646;0,4526;0,4073;0,4105;0,734
0.111361458;0,4777;0,4004;0,2226;0,662
0.116946875;0,4502;0,3901;0,1056;0,605
0.121422396;0,4113;0,2914;0,0722;0,509
0.126183854;0,2602;0,2463;0,1725;0,398
0.131110416;0,1298;0,1612;0,1777;0,273
0.136230729;0,0233;0,0775;0,2148;0,230
0.140934375;-0,0816;0,0115;0,3128;0,324
0.145976562;0,1049;-0,2428;0,3199;0,415
0.1520625;0,1421;-0,2972;0,5624;0,652
0.157486458;0,0638;-0,2392;0,7775;0,816
0.160891666;0,0806;-0,2272;0,9399;0,970
0.166683854;0,2213;-0,3074;1,0355;1,103
0.171010937;0,2830;-0,2875;1,1027;1,174
0.175802083;0,2275;-0,1895;1,2320;1,267
0.18074375;0,2118;-0,1166;1,3173;1,339
0.185679166;0,1880;0,0022;1,3704;1,383
0.190646875;0,2255;0,0798;1,3936;1,414
0.196083333;0,2203;0,1506;1,4014;1,427
0.201023437;0,1845;0,1976;1,3611;1,388
0.205851562;0,1049;0,1587;1,2107;1,226
0.210686458;0,0554;0,0636;1,0887;1,092
0.217065625;0,0258;0,0355;0,9669;0,968
0.220695312;-0,0471;-0,0063;0,8179;0,819
0.225464062;-0,1347;-0,0211;0,7143;0,727
0.230343229;-0,1647;0,0255;0,5907;0,614
0.235316146;-0,1731;0,0776;0,5147;0,549
0.240224479;-0,1657;0,1031;0,5242;0,559
0.245622396;-0,1363;0,0985;0,5654;0,590
0.250788541;-0,0952;0,0613;0,5801;0,591
0.255203125;-0,0456;0,0075;0,5849;0,587
0.260304166;-0,0082;-0,0570;0,5734;0,576
0.265139062;0,0059;-0,1093;0,6086;0,618
0.2703625;-0,0193;-0,1582;0,6745;0,693
0.275011979;-0,1361;-0,1781;0,7649;0,797
0.280020833;-0,3869;-0,1380;0,8411;0,936
0.286158854;-0,7456;-0,0603;0,8997;1,170
0.290200521;-1,0202;-0,0078;0,9438;1,390
0.295622916;-0,9956;-0,0529;0,9599;1,384
0.299916146;-0,7012;-0,1862;0,9613;1,204
0.304864062;-0,3611;-0,2744;0,9634;1,065
0.309709375;-0,1148;-0,2885;0,9646;1,013
0.314772916;0,0247;-0,2375;0,9511;0,981
0.319669271;0,0934;-0,1514;0,9119;0,929
0.3246375;0,1832;-0,0642;0,8619;0,883
0.329898958;0,2685;-0,0176;0,8333;0,876
0.334776041;0,2947;-0,0256;0,8394;0,890
0.339571354;0,2876;-0,0426;0,8186;0,869
0.344507291;0,2601;-0,0727;0,8168;0,860
0.350023437;0,1848;-0,1157;0,8412;0,869
0.354489583;0,1181;-0,1374;0,8502;0,869
0.359397916;0,0673;-0,1672;0,8530;0,872
0.36441875;0,0261;-0,2059;0,8523;0,877
0.369313541;0,0069;-0,2372;0,8546;0,887
0.374472916;-0,0168;-0,2667;0,8422;0,884
0.379824479;-0,0238;-0,2800;0,8477;0,893
