time;gFx;gFy;gFz;TgF
0.001629166;-0,3777;0,6384;0,6450;0,983
0.001967708;-0,3860;0,6449;0,6521;0,995
0.00209375;-0,4023;0,6427;0,6583;1,004
0.009641146;-0,4120;0,6463;0,6658;1,015
0.011474479;-0,4166;0,6480;0,6665;1,019
0.016484375;-0,4180;0,6463;0,6634;1,016
0.021745312;-0,4156;0,6450;0,6597;1,012
0.026485416;-0,4153;0,6484;0,6617;1,015
0.031300521;-0,4134;0,6477;0,6701;1,020
0.036402083;-0,4008;0,6417;0,6690;1,010
0.041346354;-0,3954;0,6455;0,6686;1,010
0.046339062;-0,3907;0,6406;0,6669;1,004
0.051875521;-0,3841;0,6397;0,6617;0,997
0.056629166;-0,3786;0,6417;0,6666;1,000
0.061167187;-0,3770;0,6395;0,6645;0,996
0.066185416;-0,3746;0,6438;0,6553;0,992
0.071142187;-0,3737;0,6457;0,6477;0,988
0.076048958;-0,3735;0,6427;0,6408;0,981
0.080972396;-0,3736;0,6402;0,6429;0,981
0.086175521;-0,3813;0,6422;0,6402;0,984
0.091152083;-0,3825;0,6454;0,6382;0,985
0.095901041;-0,3816;0,6383;0,6315;0,976
0.101544791;-0,3866;0,6399;0,6276;0,976
0.105914062;-0,3894;0,6391;0,6304;0,979
0.110797396;-0,3916;0,6387;0,6308;0,979
0.115766146;-0,3995;0,6453;0,6303;0,987
0.120779687;-0,3908;0,6430;0,6392;0,987
0.125706771;-0,3949;0,6422;0,6503;0,996
0.1306875;-0,3932;0,6448;0,6534;0,999
0.136447396;-0,3852;0,6445;0,6584;0,999
0.140892708;-0,3847;0,6430;0,6545;0,995
0.145560416;-0,3745;0,6455;0,6731;1,005
0.151400521;-0,3789;0,6457;0,6658;1,002
0.155527604;-0,3733;0,6446;0,6676;1,000
0.161023437;-0,3634;0,6431;0,6671;0,995
0.165378646;-0,3702;0,6454;0,6625;0,996
0.170383333;-0,3675;0,6455;0,6762;1,005
0.175340625;-0,3661;0,6482;0,6697;1,001
0.180260937;-0,3648;0,6470;0,6680;0,999
0.185449479;-0,3726;0,6460;0,6736;1,005
0.190336458;-0,3722;0,6485;0,6771;1,009
0.195179687;-0,3727;0,6442;0,6783;1,007
0.201453646;-0,3825;0,6452;0,6739;1,008
0.205157812;-0,3859;0,6481;0,6684;1,008
0.210130208;-0,3980;0,6506;0,6727;1,017
0.214923958;-0,4001;0,6437;0,6709;1,012
0.220097916;-0,3957;0,6473;0,6686;1,011
0.2250125;-0,3954;0,6445;0,6697;1,010
0.22993125;-0,3872;0,6386;0,6652;1,000
0.236340104;-0,3838;0,6419;0,6561;0,995
0.239948958;-0,3808;0,6439;0,6556;0,995
0.245214062;-0,3714;0,6369;0,6627;0,991
0.250086458;-0,3642;0,6382;0,6693;0,994
0.25514375;-0,3607;0,6446;0,6670;0,995
0.262266146;-0,3627;0,6336;0,6705;0,991
0.264649479;-0,3616;0,6391;0,6745;0,997
0.269875;-0,3668;0,6389;0,6747;0,999
0.274816146;-0,3732;0,6434;0,6737;1,004
0.279581771;-0,3711;0,6514;0,6697;1,005
0.284916666;-0,3822;0,6469;0,6676;1,005
0.289838021;-0,3816;0,6433;0,6584;0,996
0.294669791;-0,3771;0,6461;0,6608;0,998
0.299284896;-0,3756;0,6357;0,6604;0,991
0.304446875;-0,3776;0,6386;0,6579;0,992
0.309334896;-0,3875;0,6398;0,6640;1,000
0.314246875;-0,3885;0,6416;0,6653;1,003
0.319778125;-0,3893;0,6402;0,6706;1,006
0.324364583;-0,3857;0,6372;0,6697;1,002
0.329145312;-0,3976;0,6393;0,6602;1,001
0.335128125;-0,4016;0,6403;0,6581;1,002
0.339439583;-0,4015;0,6406;0,6606;1,004
0.344532291;-0,3918;0,6390;0,6608;0,999
0.348889583;-0,3950;0,6403;0,6613;1,002
0.354676562;-0,3968;0,6389;0,6707;1,008
0.358889062;-0,3902;0,6410;0,6684;1,005
0.363880208;-0,3888;0,6409;0,6803;1,012
0.369108854;-0,3942;0,6429;0,6919;1,023
0.373933854;-0,3857;0,6439;0,6970;1,024
0.378766666;-0,3817;0,6443;0,7008;1,026
0.384827083;-0,3900;0,6436;0,7028;1,030
0.389047916;-0,3885;0,6422;0,6894;1,019
0.393928646;-0,3888;0,6370;0,6801;1,010
0.398539062;-0,3836;0,6395;0,6684;1,001
0.403789062;-0,3762;0,6417;0,6510;0,988
0.408627604;-0,3746;0,6380;0,6535;0,987
0.413454687;-0,3786;0,6404;0,6451;0,985
0.41865;-0,3889;0,6401;0,6423;0,987
0.423551562;-0,3909;0,6327;0,6481;0,987
0.428392187;-0,3905;0,6434;0,6527;0,996
0.433342187;-0,3956;0,6367;0,6463;0,990
0.438489062;-0,3975;0,6421;0,6571;1,001
0.443313021;-0,4008;0,6455;0,6661;1,010
0.448194271;-0,3997;0,6348;0,6613;1,000
0.453285416;-0,3908;0,6381;0,6589;0,997
0.458211458;-0,3795;0,6367;0,6514;0,987
0.463395833;-0,3824;0,6380;0,6514;0,989
0.468136458;-0,3778;0,6400;0,6545;0,990
0.473170312;-0,3716;0,6413;0,6497;0,986
0.478255208;-0,3736;0,6405;0,6525;0,988
0.482975521;-0,3788;0,6441;0,6527;0,992
0.488272916;-0,3828;0,6450;0,6532;0,995
0.492892708;-0,3859;0,6411;0,6550;0,994
0.497817708;-0,3837;0,6406;0,6682;1,002
0.503338541;-0,3824;0,6447;0,6746;1,008
0.508075;-0,3840;0,6444;0,6664;1,003
0.513703125;-0,3912;0,6400;0,6734;1,008
0.520684896;-0,3902;0,6401;0,6757;1,009
0.524790625;-0,3875;0,6403;0,6750;1,008
0.528357291;-0,3900;0,6380;0,6604;0,998
0.532559375;-0,3894;0,6391;0,6509;0,992
0.537664583;-0,3821;0,6417;0,6527;0,992
0.542684375;-0,3808;0,6380;0,6470;0,985
