time;gFx;gFy;gFz;TgF
0.002264584;-0,5402;0,3608;0,6298;0,905
0.002390104;-0,6022;0,3590;0,6786;0,976
0.009788542;-0,6142;0,3591;0,7392;1,026
0.010085417;-0,6021;0,3514;0,8275;1,082
0.012492188;-0,5718;0,3305;0,9187;1,131
0.019919271;-0,5146;0,3160;1,0060;1,173
0.022734896;-0,4434;0,3101;1,0913;1,218
0.027829167;-0,3729;0,3088;1,1851;1,280
0.032527604;-0,2674;0,2994;1,2294;1,293
0.037894271;-0,1843;0,3019;1,2694;1,318
0.042611459;-0,1315;0,2995;1,3130;1,353
0.047140625;-0,0879;0,2834;1,3121;1,345
0.052889584;-0,0796;0,2612;1,2831;1,312
0.057718229;-0,1127;0,2182;1,2284;1,253
0.062532292;-0,2007;0,2579;1,1557;1,201
0.067899479;-0,2176;0,2604;1,0246;1,079
0.072402084;-0,1832;0,2296;0,9180;0,964
0.077380209;-0,1280;0,2154;0,9049;0,939
0.082389584;-0,0711;0,1835;0,8782;0,900
0.087286979;-0,0279;0,1577;0,8560;0,871
0.092244271;0,0164;0,1350;0,8483;0,859
0.097389063;0,0356;0,1203;0,8386;0,848
0.102413542;0,0691;0,1100;0,8192;0,829
0.107608854;0,1853;0,1165;0,8438;0,872
0.112097917;0,1695;0,1134;0,8562;0,880
0.118045834;0,0571;0,1167;0,8590;0,869
0.12206875;-0,0179;0,1148;0,8611;0,869
0.126852084;-0,0980;0,1009;0,8170;0,829
0.131771875;-0,1505;0,0837;0,7886;0,807
0.136969271;-0,2173;0,0675;0,7679;0,801
0.141972396;-0,2381;0,0396;0,8067;0,842
0.147178125;-0,2584;-0,0038;0,8284;0,868
0.152054167;-0,2628;-0,0645;0,8456;0,888
0.157236979;-0,2392;-0,1256;0,8665;0,908
0.161453646;-0,1728;-0,1872;0,8622;0,899
0.167538542;-0,0327;-0,2473;0,8864;0,921
0.171848438;0,1760;-0,2881;0,9305;0,990
0.176575;0,3534;-0,2788;0,9331;1,036
0.181243229;0,4246;-0,1986;0,9306;1,042
0.187510938;0,3722;-0,0640;0,9913;1,061
0.191400521;0,2409;0,0861;1,0678;1,098
0.196269271;0,1301;0,1936;1,1058;1,130
0.201463542;0,0762;0,2457;1,0696;1,100
0.206525521;0,0642;0,2473;0,9741;1,007
0.211136979;0,0803;0,2252;0,8555;0,888
0.216125521;0,0921;0,1997;0,7387;0,771
0.221380729;0,0987;0,1562;0,7651;0,787
0.226304688;0,0815;0,1351;0,8847;0,899
0.230789063;0,0552;0,1057;0,6992;0,709
0.236705209;0,0294;0,0910;0,6371;0,644
0.241466667;-0,0189;0,0931;0,6911;0,698
