time,gFx,gFy,gFz,gFTotal
0.007889032363891602,-0.124,-0.304,-0.451,0.558
0.019003868103027344,-0.118,-0.287,-0.468,0.562
0.025709152221679688,-0.063,-0.249,-0.569,0.624
0.04304194450378418,0.008,-0.232,-0.688,0.726
0.04886913299560547,0.035,-0.274,-0.844,0.888
0.05705404281616211,0.05,-0.354,-1.034,1.094
0.06780600547790527,0.114,-0.423,-1.259,1.333
0.0756521224975586,0.232,-0.427,-1.35,1.435
0.08574700355529785,0.242,-0.301,-1.212,1.272
0.09549283981323242,0.076,-0.239,-0.975,1.007
0.10772299766540527,-0.055,-0.236,-0.773,0.81
0.11842012405395508,-0.113,-0.218,-0.724,0.765
0.12530803680419922,-0.106,-0.201,-0.79,0.822
0.1430521011352539,-0.089,-0.222,-0.872,0.904
0.14898109436035156,-0.095,-0.256,-0.962,1.0
0.15668392181396484,-0.123,-0.301,-1.062,1.111
0.16869497299194336,-0.161,-0.368,-1.134,1.203
0.17563104629516602,-0.173,-0.397,-1.154,1.233
0.1855621337890625,-0.138,-0.366,-1.106,1.173
0.19512605667114258,-0.082,-0.308,-1.033,1.081
0.2076420783996582,-0.046,-0.258,-0.984,1.018
0.2187790870666504,-0.036,-0.23,-0.964,0.992
0.2250990867614746,-0.048,-0.219,-0.959,0.985
0.24643898010253906,-0.109,-0.236,-0.891,0.928
0.2527298927307129,-0.109,-0.236,-0.891,0.928
0.25818681716918945,-0.115,-0.258,-0.88,0.924
0.26748085021972656,-0.11,-0.272,-0.908,0.954
0.27475404739379883,-0.091,-0.27,-0.925,0.968
0.28463196754455566,-0.054,-0.251,-0.934,0.969
0.2944960594177246,-0.03,-0.228,-0.927,0.955
0.30638885498046875,-0.041,-0.246,-0.911,0.945
0.31777501106262207,-0.047,-0.299,-0.921,0.969
0.32474303245544434,-0.021,-0.303,-0.935,0.983
0.343189001083374,-0.035,-0.27,-0.943,0.982
0.35001087188720703,-0.082,-0.283,-0.933,0.978
0.35620594024658203,-0.128,-0.325,-0.867,0.935
0.3680238723754883,-0.142,-0.332,-0.776,0.856
0.3743319511413574,-0.118,-0.316,-0.739,0.812
0.38469600677490234,-0.035,-0.247,-0.762,0.802
0.3945908546447754,-0.01,-0.206,-0.771,0.798
0.4072151184082031,-0.034,-0.215,-0.738,0.769
0.4175260066986084,-0.064,-0.228,-0.684,0.724
0.4244990348815918,-0.094,-0.234,-0.644,0.692
0.4430420398712158,-0.084,-0.212,-0.62,0.661
0.4493069648742676,-0.044,-0.149,-0.589,0.609
0.45581912994384766,0.018,-0.077,-0.6,0.605
0.46819591522216797,0.112,0.007,-0.658,0.668
0.47434282302856445,0.187,0.083,-0.683,0.713
0.48427391052246094,0.237,0.201,-0.426,0.527
0.494365930557251,0.278,0.233,-0.082,0.372
0.5064809322357178,0.323,0.183,-0.143,0.398
0.5177140235900879,0.417,0.177,-0.31,0.549
0.5244231224060059,0.48,0.278,-0.354,0.658
0.5476119518280029,0.413,0.517,-0.505,0.832
0.5534768104553223,0.305,0.517,-0.668,0.898
0.5588409900665283,0.305,0.517,-0.668,0.898
0.5667619705200195,0.243,0.537,-0.762,0.963
0.5737948417663574,0.207,0.594,-0.85,1.057
0.5836930274963379,0.175,0.705,-0.888,1.147
0.5939640998840332,0.159,0.767,-0.81,1.127
0.6061859130859375,0.175,0.721,-0.741,1.049
0.617030143737793,0.172,0.719,-0.706,1.022
0.623878002166748,0.101,0.846,-0.731,1.123
0.6425728797912598,0.002,1.017,-0.875,1.342
0.648798942565918,-0.198,1.113,-1.085,1.567
0.655332088470459,-0.414,1.111,-1.321,1.775
0.6659741401672363,-0.55,1.069,-1.545,1.958
0.6737589836120605,-0.591,1.034,-1.707,2.081
0.6836349964141846,-0.619,0.95,-1.875,2.191
0.6937789916992188,-0.691,0.769,-2.009,2.259
0.7068219184875488,-0.805,0.637,-2.066,2.307
0.7176628112792969,-1.007,0.615,-2.087,2.397
0.723628044128418,-1.225,0.567,-2.082,2.481
0.7431530952453613,-1.496,0.382,-2.039,2.558
0.7495861053466797,-1.496,0.382,-2.039,2.558
