time,gFx,gFy,gFz,gFTotal
0.008297920227050781,0.214,-0.099,-0.79,0.824
0.019038915634155273,0.216,-0.045,-0.776,0.807
0.026230812072753906,0.24,-0.025,-0.889,0.921
0.036303043365478516,0.284,-0.036,-1.038,1.077
0.05817389488220215,0.269,-0.035,-1.083,1.116
0.060502052307128906,0.269,-0.035,-1.083,1.116
0.0664210319519043,0.248,-0.04,-1.001,1.032
0.07616686820983887,0.219,-0.032,-0.946,0.972
0.08612489700317383,0.199,-0.031,-0.922,0.944
0.09598207473754883,0.184,-0.032,-0.873,0.893
0.10634708404541016,0.187,0.015,-0.827,0.848
0.12110590934753418,0.259,0.024,-0.814,0.855
0.12649989128112793,0.276,-0.005,-0.791,0.838
0.1364119052886963,0.236,-0.04,-0.736,0.774
0.15912890434265137,0.157,-0.095,-0.67,0.695
0.16206693649291992,0.157,-0.095,-0.67,0.695
0.16760587692260742,0.2,-0.04,-0.742,0.77
0.1757678985595703,0.142,-0.065,-0.841,0.855
0.18590879440307617,-0.054,-0.148,-0.958,0.971
0.19573092460632324,-0.248,-0.19,-1.42,1.454
0.20594286918640137,-0.12,-0.203,-1.183,1.206
0.2190248966217041,-0.028,-0.203,-1.029,1.049
0.2253108024597168,-0.09,-0.217,-1.121,1.145
0.23561382293701172,-0.11,-0.231,-1.105,1.134
0.25734996795654297,-0.088,-0.272,-0.942,0.984
0.2607119083404541,-0.088,-0.272,-0.942,0.984
0.2666597366333008,-0.037,-0.248,-0.848,0.884
0.27571582794189453,-0.052,-0.17,-0.806,0.825
0.2854619026184082,-0.122,-0.089,-0.859,0.872
0.2951998710632324,-0.171,-0.036,-0.964,0.98
0.3055238723754883,-0.167,-0.035,-1.031,1.045
0.31775999069213867,-0.236,-0.106,-1.029,1.061
0.3253617286682129,-0.436,-0.18,-1.044,1.146
0.3355598449707031,-0.546,-0.223,-1.047,1.202
0.3574709892272949,-0.328,-0.215,-0.872,0.956
0.36051487922668457,-0.328,-0.215,-0.872,0.956
0.3658428192138672,-0.284,-0.143,-0.773,0.836
0.37525391578674316,-0.116,-0.06,-0.887,0.897
0.3857748508453369,0.042,-0.01,-1.127,1.128
0.39513683319091797,0.292,0.045,-1.106,1.145
0.4052400588989258,0.532,0.137,-0.896,1.051
0.41890907287597656,0.612,0.161,-0.82,1.036
0.4254589080810547,0.488,0.056,-0.917,1.04
0.4354710578918457,0.447,-0.069,-0.853,0.965
0.45795106887817383,0.467,0.069,-0.774,0.907
0.4609518051147461,0.467,0.069,-0.774,0.907
0.4654428958892822,0.08,0.263,-1.02,1.056
0.4747037887573242,-0.1,0.265,-0.946,0.987
0.48516273498535156,0.335,0.253,-0.755,0.864
0.49493885040283203,0.83,0.557,-0.357,1.061
0.504889965057373,0.689,0.857,-0.312,1.143
0.5172209739685059,0.529,0.88,-0.434,1.115
0.5247659683227539,0.301,0.78,-0.495,0.972
0.5350289344787598,0.451,0.852,-0.259,0.998
0.5581679344177246,0.32,0.95,-0.543,1.14
0.5620050430297852,0.32,0.95,-0.543,1.14
