time,gFx,gFy,gFz,gFTotal
0.00766301155090332,0.083,-0.163,-0.911,0.929
0.016019821166992188,0.126,-0.16,-0.89,0.913
0.020698070526123047,0.172,-0.173,-0.876,0.909
0.03439188003540039,0.21,-0.2,-0.871,0.918
0.043820858001708984,0.217,-0.217,-0.888,0.94
0.059764862060546875,0.197,-0.21,-0.922,0.966
0.06222701072692871,0.164,-0.19,-0.951,0.984
0.07037687301635742,0.14,-0.176,-0.959,0.985
0.0806131362915039,0.138,-0.165,-0.964,0.988
0.09026002883911133,0.145,-0.157,-0.968,0.991
0.10040092468261719,0.145,-0.155,-0.975,0.998
0.11015510559082031,0.146,-0.158,-0.969,0.993
0.1206519603729248,0.148,-0.164,-0.948,0.973
0.1303400993347168,0.147,-0.171,-0.932,0.959
0.14353299140930176,0.15,-0.18,-0.93,0.959
0.16153597831726074,0.171,-0.185,-0.937,0.97
0.16271305084228516,0.171,-0.185,-0.937,0.97
0.17018413543701172,0.169,-0.175,-0.938,0.969
0.18038702011108398,0.164,-0.168,-0.938,0.967
0.19012999534606934,0.168,-0.162,-0.938,0.967
0.20041394233703613,0.158,-0.162,-0.937,0.964
0.2101268768310547,0.144,-0.166,-0.934,0.96
0.22059011459350586,0.147,-0.166,-0.925,0.951
0.23033905029296875,0.143,-0.163,-0.913,0.938
0.2448711395263672,0.132,-0.166,-0.899,0.924
0.26622486114501953,0.121,-0.178,-0.866,0.892
0.2669520378112793,0.121,-0.178,-0.866,0.892
0.27056097984313965,0.126,-0.184,-0.851,0.88
0.2799220085144043,0.131,-0.195,-0.837,0.869
0.28986406326293945,0.13,-0.2,-0.826,0.86
0.3002150058746338,0.114,-0.198,-0.813,0.844
0.30984997749328613,0.09,-0.197,-0.809,0.837
0.3198540210723877,0.056,-0.202,-0.804,0.831
0.33069396018981934,0.04,-0.198,-0.793,0.818
0.3446331024169922,0.066,-0.188,-0.806,0.83
0.3623371124267578,0.014,-0.208,-0.844,0.869
0.3630990982055664,0.014,-0.208,-0.844,0.869
0.3696780204772949,-0.058,-0.264,-0.814,0.858
0.37957096099853516,-0.093,-0.283,-0.789,0.843
0.38941001892089844,-0.093,-0.262,-0.758,0.807
0.39965105056762695,-0.095,-0.23,-0.748,0.788
0.40955400466918945,-0.104,-0.202,-0.735,0.769
0.4196481704711914,-0.105,-0.196,-0.713,0.747
0.4295830726623535,-0.107,-0.201,-0.738,0.772
0.44531702995300293,-0.148,-0.203,-0.86,0.896
0.462583065032959,-0.182,-0.248,-1.042,1.086
0.4631979465484619,-0.182,-0.248,-1.042,1.086
0.4693589210510254,-0.222,-0.184,-1.057,1.096
0.47937703132629395,-0.218,-0.079,-1.029,1.055
0.4891669750213623,-0.22,-0.056,-0.95,0.977
0.49918413162231445,-0.269,-0.06,-0.886,0.928
0.509070873260498,-0.375,-0.015,-0.949,1.021
0.5193390846252441,-0.556,0.036,-0.992,1.138
0.5294089317321777,-0.543,0.022,-0.811,0.976
0.5428838729858398,-0.511,0.033,-0.8,0.95
0.5663950443267822,-0.501,-0.052,-0.902,1.033
0.5671148300170898,-0.501,-0.052,-0.902,1.033
0.5701351165771484,-0.497,-0.062,-0.839,0.977
0.579416036605835,-0.542,-0.045,-0.852,1.011
0.5891389846801758,-0.595,-0.054,-1.001,1.166
0.5998501777648926,-0.643,-0.088,-1.085,1.264
0.6089780330657959,-0.711,-0.1,-0.976,1.212
0.6190791130065918,-0.782,-0.091,-0.794,1.118
0.6293458938598633,-0.885,-0.066,-0.615,1.08
0.6437320709228516,-0.918,-0.147,-0.537,1.074
0.6661090850830078,-0.527,-0.242,-0.821,1.005
0.6668229103088379,-0.527,-0.242,-0.821,1.005
0.6699519157409668,-0.622,-0.156,-0.614,0.888
0.6791670322418213,-0.703,-0.093,-0.674,0.978
0.6889019012451172,-0.617,-0.09,-0.705,0.941
0.7001240253448486,-0.507,-0.073,-0.793,0.944
0.7088761329650879,-0.508,-0.072,-0.719,0.883
0.7192850112915039,-0.534,-0.068,-0.629,0.828
0.7289049625396729,-0.46,-0.03,-0.67,0.813
0.7443499565124512,-0.399,0.037,-0.804,0.898
0.7553229331970215,-0.29,0.087,-0.857,0.909
0.7702641487121582,-0.225,0.072,-0.616,0.66
0.7709829807281494,-0.225,0.072,-0.616,0.66
0.7785038948059082,-0.234,0.041,-0.461,0.519
0.788538932800293,-0.213,0.04,-0.421,0.474
0.7992348670959473,-0.163,0.078,-0.429,0.466
0.8083639144897461,-0.119,0.134,-0.451,0.485
0.8183410167694092,-0.072,0.167,-0.404,0.443
0.829138994216919,-0.132,0.124,-0.343,0.388
0.8415060043334961,-0.137,0.167,-0.414,0.467
0.860543966293335,-0.194,0.337,-0.573,0.692
0.8612709045410156,-0.194,0.337,-0.573,0.692
0.8683619499206543,-0.248,0.302,-0.426,0.578
0.878136157989502,-0.276,0.314,-0.405,0.582
0.8884029388427734,-0.299,0.352,-0.395,0.608
0.8985471725463867,-0.34,0.371,-0.352,0.614
0.9082808494567871,-0.339,0.433,-0.344,0.649
0.9183030128479004,-0.3,0.543,-0.387,0.731
0.9281368255615234,-0.344,0.659,-0.393,0.841
0.9412689208984375,-0.443,0.728,-0.425,0.952
0.9662189483642578,-0.704,0.706,-0.677,1.205
0.9669320583343506,-0.704,0.706,-0.677,1.205
0.9700398445129395,-0.873,0.7,-0.809,1.381
0.9781770706176758,-1.021,0.661,-0.863,1.491
0.9886908531188965,-1.121,0.649,-0.906,1.581
0.9989719390869141,-1.225,0.735,-1.002,1.745
1.0078530311584473,-1.291,0.823,-0.999,1.828
1.018049955368042,-1.295,0.839,-0.962,1.818
1.0280561447143555,-1.268,0.846,-1.052,1.852
1.0427908897399902,-1.26,0.871,-1.134,1.906
1.06174898147583,-1.278,0.764,-1.318,1.988
1.062830924987793,-1.278,0.764,-1.318,1.988
1.0678129196166992,-1.289,0.73,-1.466,2.084
1.0776779651641846,-1.323,0.701,-1.533,2.143
1.087663173675537,-1.352,0.672,-1.554,2.167
1.0977940559387207,-1.387,0.618,-1.57,2.184
1.1077320575714111,-1.365,0.591,-1.651,2.222
1.1177690029144287,-1.366,0.608,-1.622,2.206
1.1276309490203857,-1.418,0.557,-1.585,2.198
1.1407740116119385,-1.52,0.511,-1.632,2.288
1.1635971069335938,-1.449,0.497,-1.34,2.035
1.1647770404815674,-1.449,0.497,-1.34,2.035
1.1679620742797852,-1.223,0.472,-1.236,1.802
1.1775341033935547,-1.044,0.415,-1.122,1.588
1.1875181198120117,-0.811,0.363,-1.14,1.445
1.1975889205932617,-0.687,0.203,-1.055,1.275
1.2073249816894531,-0.685,0.106,-0.946,1.173
1.2173781394958496,-0.675,0.137,-1.026,1.236
1.2274198532104492,-0.701,0.14,-0.969,1.204
1.242013931274414,-0.709,0.174,-0.884,1.146
1.2667489051818848,-0.78,0.235,-0.797,1.14
1.267561912536621,-0.767,0.207,-0.723,1.074
1.2704620361328125,-0.767,0.207,-0.723,1.074
1.2772269248962402,-0.745,0.176,-0.529,0.931
1.2874999046325684,-0.688,0.116,-0.438,0.824
1.2974638938903809,-0.646,0.086,-0.381,0.755
1.3073978424072266,-0.606,0.135,-0.336,0.706
1.317223072052002,-0.646,0.237,-0.28,0.743
1.3272290229797363,-0.657,0.251,-0.145,0.718
1.3419990539550781,-0.505,0.236,-0.077,0.563
1.365312099456787,-0.312,0.233,-0.065,0.395
1.3660390377044678,-0.312,0.233,-0.065,0.395
1.3692419528961182,-0.351,0.207,-0.151,0.435
1.3775889873504639,-0.309,0.074,-0.293,0.432
1.3871519565582275,-0.366,-0.039,-0.343,0.503
1.3971781730651855,-0.463,0.027,-0.294,0.549
1.4070849418640137,-0.47,0.093,-0.241,0.536
1.4171218872070312,-0.458,0.078,-0.193,0.503
1.4269938468933105,-0.476,0.104,-0.173,0.517
1.4419970512390137,-0.538,0.089,-0.158,0.568
1.4652040004730225,-0.744,-0.042,-0.127,0.756
1.4659810066223145,-0.744,-0.042,-0.127,0.756
1.4691729545593262,-0.823,-0.076,-0.132,0.837
1.476816177368164,-0.909,-0.073,-0.134,0.922
1.4867758750915527,-0.931,-0.076,-0.182,0.952
1.496845006942749,-0.974,0.069,-0.268,1.013
1.5068368911743164,-1.035,0.102,-0.227,1.064
1.5168571472167969,-1.031,0.028,-0.237,1.058
1.52662992477417,-1.063,-0.027,-0.316,1.109
1.5413870811462402,-1.104,-0.119,-0.396,1.179
1.5654311180114746,-1.255,0.038,-0.361,1.306
1.5662050247192383,-1.183,0.089,-0.301,1.224
1.569159984588623,-1.183,0.089,-0.301,1.224
1.5765480995178223,-1.056,0.253,-0.232,1.11
1.5863399505615234,-0.975,0.297,-0.187,1.036
1.5964269638061523,-0.906,0.422,-0.152,1.011
1.60664701461792,-0.83,0.542,-0.119,0.998
1.6165759563446045,-0.786,0.535,-0.146,0.962
1.6264569759368896,-0.785,0.368,-0.241,0.9
1.641469955444336,-0.79,0.427,-0.232,0.927
1.6658830642700195,-0.912,0.148,-0.411,1.011
1.6666269302368164,-0.912,0.148,-0.411,1.011
1.669485092163086,-0.912,0.148,-0.411,1.011
1.6762199401855469,-1.052,0.159,-0.462,1.16
1.686582088470459,-0.97,0.345,-0.532,1.159
1.696241855621338,-0.899,0.488,-0.41,1.102
1.7061738967895508,-0.956,0.678,-0.042,1.173
1.7161619663238525,-1.083,0.835,0.145,1.375
1.7261650562286377,-1.145,0.837,0.147,1.426
1.7408180236816406,-1.121,0.727,0.104,1.34
1.7655179500579834,-1.002,0.355,-0.158,1.075
1.7662639617919922,-1.002,0.355,-0.158,1.075
1.7691550254821777,-1.002,0.355,-0.158,1.075
1.775954008102417,-1.04,0.132,0.052,1.05
1.7861950397491455,-0.966,0.098,0.079,0.974
1.799468994140625,-0.938,0.25,-0.021,0.971
1.8059179782867432,-1.083,0.217,-0.153,1.115
1.8160760402679443,-0.988,0.08,-0.272,1.028
1.8256449699401855,-0.892,0.193,-0.359,0.981
1.8383100032806396,-0.969,0.406,-0.535,1.179
1.8566250801086426,-0.732,0.771,-0.991,1.453
1.8571629524230957,-0.732,0.771,-0.991,1.453
1.8665199279785156,-0.415,0.768,-0.825,1.201
1.8754630088806152,-0.249,0.618,-0.56,0.87
1.8856580257415771,-0.197,0.45,-0.359,0.608
1.8958101272583008,-0.153,0.317,-0.25,0.432
1.9056620597839355,-0.068,0.16,-0.126,0.215
1.9156160354614258,0.047,0.083,0.098,0.137
1.9256329536437988,-0.069,0.193,0.199,0.286
1.9386301040649414,-0.374,0.462,0.296,0.664
1.959230899810791,-0.545,0.493,0.344,0.811
1.9599599838256836,-0.545,0.493,0.344,0.811
1.96647310256958,-0.561,0.471,0.249,0.774
1.9756550788879395,-0.535,0.43,0.119,0.697
1.9856460094451904,-0.476,0.385,-0.096,0.62
1.9956209659576416,-0.396,0.352,-0.198,0.566
2.0054850578308105,-0.315,0.305,-0.189,0.477
2.015385150909424,-0.233,0.264,-0.163,0.388
2.0254290103912354,-0.161,0.243,-0.153,0.329
2.038416862487793,-0.195,0.383,-0.099,0.441
2.067579984664917,-1.001,3.156,0.294,3.324
2.068341016769409,-1.001,3.156,0.294,3.324
2.069216012954712,-1.001,3.156,0.294,3.324
2.0755250453948975,-0.926,3.539,-0.342,3.674
2.0857911109924316,-0.701,3.113,-0.485,3.228
2.095086097717285,-0.432,2.103,-0.266,2.163
2.1051199436187744,-0.219,1.339,-0.159,1.366
2.115294933319092,-0.052,0.838,-0.135,0.85
2.1252079010009766,0.087,0.52,-0.164,0.552
2.139832019805908,0.184,0.363,-0.182,0.446
2.164983034133911,0.289,0.722,0.201,0.803
2.1657891273498535,0.289,0.722,0.201,0.803
2.168684959411621,0.289,0.722,0.201,0.803
2.1751790046691895,0.383,0.981,0.297,1.094
2.184995174407959,0.49,1.173,0.354,1.32
2.1949081420898438,0.583,1.268,0.326,1.433
2.2056219577789307,0.708,1.313,0.236,1.51
2.2152669429779053,0.736,1.242,0.104,1.447
2.2249369621276855,0.592,1.061,-0.124,1.221
2.2395238876342773,0.323,0.892,-0.404,1.031
2.265122890472412,0.267,0.991,-0.246,1.055
2.2658700942993164,0.267,0.991,-0.246,1.055
2.2691521644592285,0.267,0.991,-0.246,1.055
2.2749781608581543,0.22,1.017,-0.169,1.054
2.284852981567383,0.125,1.017,-0.106,1.03
2.294644832611084,0.037,0.986,-0.065,0.989
2.3049659729003906,-0.013,0.951,-0.035,0.952
2.3148398399353027,-0.009,0.947,-0.025,0.947
2.324510097503662,-0.008,0.963,-0.036,0.964
2.3392081260681152,0.009,0.993,-0.042,0.994
2.3650970458984375,-0.004,1.038,0.003,1.038
2.365841865539551,-0.004,1.038,0.003,1.038
2.3690528869628906,-0.004,1.038,0.003,1.038
2.374770164489746,-0.01,1.037,0.045,1.038
2.384995937347412,-0.024,1.028,0.077,1.031
2.3944380283355713,-0.039,1.017,0.082,1.021
2.404510021209717,-0.061,0.998,0.061,1.002
2.414854049682617,-0.08,0.981,0.025,0.985
2.424299955368042,-0.07,0.983,-0.008,0.986
2.439107894897461,-0.044,1.003,-0.03,1.004
