time,gFx,gFy,gFz,gFTotal
0.019299983978271484,-0.106,-0.057,-0.726,0.736
0.022771120071411133,-0.106,-0.057,-0.726,0.736
0.039510250091552734,0.054,-0.131,-0.882,0.893
0.040032148361206055,0.054,-0.131,-0.882,0.893
0.04480409622192383,0.093,-0.118,-0.992,1.003
0.05546116828918457,0.142,-0.077,-1.124,1.136
0.06500720977783203,0.141,-0.062,-1.248,1.257
0.07483100891113281,0.04,-0.017,-1.374,1.375
0.08492898941040039,0.139,-0.066,-1.314,1.323
0.09472417831420898,0.2,-0.152,-1.206,1.232
0.10484814643859863,0.214,-0.009,-1.197,1.216
0.13318920135498047,0.024,0.194,-1.141,1.158
0.13740825653076172,0.064,0.204,-1.022,1.044
0.14037704467773438,0.064,0.204,-1.022,1.044
0.14459013938903809,0.06,0.232,-1.008,1.036
0.15469026565551758,0.063,0.234,-1.1,1.126
0.16502904891967773,0.133,0.175,-1.262,1.281
0.1746530532836914,0.171,0.116,-1.343,1.359
0.1848921775817871,0.076,0.069,-1.248,1.252
0.1945810317993164,-0.104,0.044,-1.052,1.058
0.20435333251953125,-0.238,0.045,-0.856,0.89
0.23161721229553223,-0.215,0.028,-0.722,0.754
0.23511719703674316,-0.182,-0.009,-0.788,0.809
0.23740530014038086,-0.182,-0.009,-0.788,0.809
0.24448513984680176,-0.135,-0.042,-0.829,0.841
0.25408029556274414,-0.127,-0.062,-0.888,0.899
0.26486921310424805,-0.086,-0.034,-1.011,1.015
0.2740821838378906,-0.069,-0.011,-1.163,1.165
0.28415822982788086,-0.151,-0.019,-1.221,1.23
0.2945690155029297,-0.212,-0.015,-1.069,1.09
0.30396604537963867,-0.183,0.046,-0.873,0.893
0.32978105545043945,-0.122,0.152,-0.701,0.728
0.333524227142334,-0.175,0.09,-0.864,0.886
0.33611321449279785,-0.175,0.09,-0.864,0.886
0.3443942070007324,-0.292,-0.105,-0.976,1.024
0.3537912368774414,-0.244,-0.195,-0.915,0.967
0.3650360107421875,-0.181,-0.203,-0.861,0.903
0.3738532066345215,-0.145,-0.201,-0.87,0.905
0.3838341236114502,-0.165,-0.168,-0.878,0.909
0.3939962387084961,-0.149,-0.085,-0.911,0.927
0.40340423583984375,-0.169,-0.022,-0.907,0.923
0.43005800247192383,-0.206,0.151,0.497,0.559
0.4336831569671631,-0.152,0.365,0.446,0.596
0.43613409996032715,-0.152,0.365,0.446,0.596
0.44312524795532227,-0.129,0.401,-0.441,0.61
0.4534602165222168,-0.115,0.307,-0.749,0.818
0.4641852378845215,-0.214,0.131,-0.664,0.71
0.4732961654663086,-0.077,0.11,-0.71,0.723
0.48331117630004883,0.076,0.16,-0.837,0.856
0.49301910400390625,0.127,0.126,-0.868,0.886
0.5030171871185303,0.205,0.144,-0.583,0.635
0.5220441818237305,0.304,0.307,-0.393,0.584
0.5266132354736328,0.374,0.48,-0.287,0.673
0.5329780578613281,0.436,0.648,-0.064,0.784
0.5428380966186523,0.441,0.791,-0.01,0.906
0.5530819892883301,0.46,0.798,-0.07,0.924
0.563737154006958,0.575,0.734,-0.219,0.958
0.5727441310882568,0.627,0.659,-0.37,0.982
0.5827512741088867,0.614,0.669,-0.393,0.989
0.5928130149841309,0.622,0.802,-0.369,1.08
0.6027581691741943,0.589,0.96,-0.424,1.203
0.6297152042388916,-0.011,1.429,-0.628,1.561
0.6334142684936523,-0.072,1.44,-0.812,1.655
0.6359231472015381,-0.072,1.44,-0.812,1.655
0.6424081325531006,-0.364,1.507,-1.162,1.937
0.6528620719909668,-0.626,1.436,-1.206,1.977
0.6629199981689453,-0.707,1.396,-1.82,2.4
0.6729130744934082,-0.81,1.242,-2.103,2.573
0.6827340126037598,-0.796,0.951,-1.681,2.089
