time,gFx,gFy,gFz,gFTotal
0.008009195327758789,0.184,-0.36,-0.916,1.001
0.014309167861938477,0.126,-0.351,-0.8,0.883
0.024399280548095703,0.087,-0.367,-0.665,0.765
0.030967235565185547,0.104,-0.317,-0.82,0.885
0.041294097900390625,0.234,-0.414,-0.836,0.962
0.052306175231933594,0.228,-0.394,-0.708,0.842
0.06151628494262695,0.182,-0.377,-0.698,0.814
0.07236409187316895,0.185,-0.359,-0.757,0.858
0.08227014541625977,0.23,-0.347,-0.931,1.02
0.09196114540100098,0.206,-0.39,-1.017,1.109
0.10265207290649414,0.121,-0.321,-0.946,1.006
0.12523698806762695,0.109,-0.323,-0.833,0.9
0.12543821334838867,0.109,-0.323,-0.833,0.9
0.13252520561218262,0.148,-0.346,-0.875,0.952
0.14210820198059082,0.166,-0.406,-0.967,1.062
0.1529550552368164,0.182,-0.458,-1.04,1.151
0.16240620613098145,0.173,-0.446,-1.014,1.121
0.17295217514038086,0.152,-0.434,-0.998,1.099
0.18296313285827637,0.118,-0.408,-0.969,1.058
0.19277000427246094,0.067,-0.329,-0.893,0.954
0.20334911346435547,0.059,-0.288,-0.875,0.923
0.22684097290039062,0.121,-0.274,-0.986,1.03
0.22707223892211914,0.121,-0.274,-0.986,1.03
0.23305225372314453,0.142,-0.315,-1.118,1.17
0.24269723892211914,0.17,-0.413,-1.105,1.192
0.25342416763305664,0.145,-0.432,-1.063,1.157
0.26291418075561523,0.182,-0.438,-1.055,1.157
0.2737541198730469,0.177,-0.347,-0.978,1.053
0.28386402130126953,0.126,-0.24,-1.057,1.091
0.2934989929199219,0.069,-0.199,-1.118,1.138
0.3046231269836426,0.077,-0.154,-1.154,1.167
0.329653263092041,0.127,-0.258,-1.166,1.201
0.32993030548095703,0.127,-0.258,-1.166,1.201
0.33380126953125,0.077,-0.251,-1.0,1.034
0.3433980941772461,0.059,-0.265,-0.838,0.881
0.35422611236572266,0.102,-0.289,-0.746,0.806
0.3638420104980469,0.146,-0.261,-0.788,0.843
0.3743762969970703,0.194,-0.314,-0.951,1.02
0.3844480514526367,0.272,-0.452,-1.035,1.162
0.39423418045043945,0.121,-0.295,-0.622,0.699
0.4050922393798828,0.025,-0.339,-0.712,0.789
0.4308161735534668,0.65,-0.883,-1.348,1.738
0.4312551021575928,0.65,-0.883,-1.348,1.738
0.43400120735168457,0.215,-0.099,-0.597,0.642
0.4440131187438965,0.047,-0.129,-1.052,1.061
0.45482730865478516,-0.016,-0.423,-1.16,1.235
0.46489906311035156,-0.082,-0.424,-1.259,1.331
0.4747161865234375,-0.163,-0.471,-1.168,1.27
0.48487424850463867,-0.278,-0.763,-0.471,0.939
0.4947781562805176,-0.514,-0.494,-0.507,0.875
0.5053310394287109,-0.527,-0.058,-0.7,0.878
0.5275440216064453,0.207,0.216,-0.591,0.662
0.5277731418609619,0.207,0.216,-0.591,0.662
0.5350370407104492,0.306,0.168,-0.701,0.783
0.544497013092041,0.279,-0.015,-0.855,0.899
0.555678129196167,0.171,-0.004,-0.952,0.967
0.5654771327972412,-0.106,-0.058,-0.972,0.979
0.5752301216125488,-0.362,-0.066,-0.959,1.027
0.586085319519043,-0.449,-0.002,-0.937,1.039
0.5954082012176514,-0.373,-0.136,-0.942,1.022
0.6060872077941895,0.051,-0.737,-1.152,1.369
0.6332840919494629,-0.311,-0.223,-0.924,1.0
0.6335530281066895,-0.311,-0.223,-0.924,1.0
0.6354532241821289,-0.36,-0.204,-1.065,1.143
0.6453821659088135,-0.49,0.059,-1.141,1.243
0.6559090614318848,-0.802,-0.048,-0.928,1.227
0.6663122177124023,-0.731,-0.219,-0.644,0.999
0.6762261390686035,-0.537,-0.143,-0.809,0.981
0.6871800422668457,-0.455,-0.008,-1.055,1.149
0.6970710754394531,-0.279,0.02,-1.188,1.22
0.7070271968841553,0.002,0.02,-0.996,0.996
0.7347691059112549,-0.253,-0.12,-0.591,0.654
0.7350811958312988,-0.253,-0.12,-0.591,0.654
0.7368602752685547,-0.541,0.141,-0.67,0.873
0.7461910247802734,-0.593,0.121,-0.573,0.833
0.7566981315612793,-0.787,0.175,-0.581,0.994
0.7672863006591797,-1.007,0.055,-0.536,1.142
0.7770562171936035,-1.044,-0.028,-0.433,1.131
0.7872061729431152,-0.897,-0.104,-0.408,0.991
0.7974200248718262,-0.778,-0.009,-0.465,0.906
0.807192325592041,-0.706,-0.073,-0.502,0.869
0.8333492279052734,-0.835,-0.165,-0.427,0.952
0.8335990905761719,-0.835,-0.165,-0.427,0.952
0.836597204208374,-0.783,-0.035,-0.542,0.953
0.846796989440918,-0.746,0.165,-0.695,1.033
0.8575630187988281,-0.912,-0.079,-0.299,0.963
0.8676543235778809,-1.062,0.029,-0.312,1.107
0.8773961067199707,-1.169,0.065,-0.273,1.202
0.8880372047424316,-1.305,-0.126,-0.222,1.33
0.899010181427002,-1.383,-0.22,-0.307,1.434
0.9078402519226074,-1.067,-0.135,-0.292,1.114
