time,gFx,gFy,gFz,gFTotal
0.009747028350830078,-0.023,-0.467,-0.744,0.879
0.01695704460144043,0.06,-0.38,-0.678,0.78
0.03657698631286621,0.107,-0.456,-0.856,0.976
0.03812909126281738,0.107,-0.456,-0.856,0.976
0.047605037689208984,0.022,-0.55,-0.843,1.007
0.057608842849731445,-0.045,-0.585,-0.855,1.037
0.06759500503540039,-0.048,-0.571,-0.882,1.052
0.07769989967346191,-0.019,-0.535,-0.902,1.049
0.08739805221557617,0.006,-0.504,-0.87,1.005
0.09823107719421387,0.019,-0.487,-0.802,0.938
0.10817790031433105,0.03,-0.48,-0.771,0.909
0.11797499656677246,0.041,-0.493,-0.756,0.903
0.14170598983764648,0.109,-0.524,-0.882,1.032
0.14198803901672363,0.109,-0.524,-0.882,1.032
0.1477830410003662,0.124,-0.563,-0.884,1.055
0.15843701362609863,0.133,-0.569,-0.86,1.04
0.16802000999450684,0.103,-0.563,-0.86,1.033
0.17874789237976074,0.071,-0.539,-0.861,1.018
0.18852496147155762,0.059,-0.494,-0.825,0.963
0.1994178295135498,0.056,-0.457,-0.812,0.933
0.2100510597229004,0.046,-0.449,-0.848,0.961
0.2192990779876709,0.048,-0.452,-0.887,0.997
0.24495816230773926,0.059,-0.454,-0.992,1.093
0.2451930046081543,0.059,-0.454,-0.992,1.093
0.248366117477417,0.039,-0.447,-0.985,1.082
0.2594640254974365,0.026,-0.421,-0.917,1.009
0.26862502098083496,0.026,-0.387,-0.838,0.923
0.2796628475189209,0.036,-0.375,-0.782,0.868
0.28948402404785156,0.039,-0.388,-0.788,0.879
0.29953598976135254,0.044,-0.421,-0.848,0.948
0.3096480369567871,0.064,-0.464,-0.928,1.04
0.31926703453063965,0.075,-0.48,-1.004,1.115
0.34628891944885254,0.01,-0.355,-0.828,0.901
0.3465249538421631,0.01,-0.355,-0.828,0.901
0.34903597831726074,-0.018,-0.346,-0.888,0.953
0.36005616188049316,-0.019,-0.37,-1.023,1.088
0.3695518970489502,-0.012,-0.365,-1.068,1.129
0.3802921772003174,0.015,-0.353,-0.967,1.03
0.39043402671813965,0.053,-0.364,-0.832,0.91
0.400256872177124,0.108,-0.396,-0.77,0.873
0.410599946975708,0.196,-0.374,-0.767,0.876
0.42029500007629395,0.212,-0.387,-0.883,0.987
0.44702696800231934,0.288,-0.405,-1.082,1.191
0.4472689628601074,0.288,-0.405,-1.082,1.191
0.4497520923614502,0.266,-0.397,-1.033,1.138
0.46060800552368164,0.198,-0.346,-0.972,1.051
0.47026515007019043,0.153,-0.303,-0.917,0.978
0.48078203201293945,0.142,-0.287,-0.882,0.938
0.49101996421813965,0.145,-0.297,-0.847,0.909
0.5010101795196533,0.15,-0.338,-0.897,0.97
0.5110409259796143,0.185,-0.346,-0.955,1.032
0.5206620693206787,0.244,-0.358,-1.007,1.096
0.5478050708770752,0.317,-0.46,-0.958,1.109
0.5480968952178955,0.317,-0.46,-0.958,1.109
0.5506150722503662,0.265,-0.457,-0.924,1.064
0.5612850189208984,0.224,-0.437,-0.906,1.031
0.5707309246063232,0.196,-0.435,-0.9,1.019
0.581679105758667,0.169,-0.445,-0.863,0.986
0.591925859451294,0.162,-0.447,-0.816,0.944
0.6011569499969482,0.162,-0.416,-0.796,0.913
0.6123709678649902,0.185,-0.421,-0.82,0.94
0.6218621730804443,0.203,-0.458,-0.826,0.966
0.6468620300292969,0.215,-0.488,-0.861,1.013
0.6470880508422852,0.215,-0.488,-0.861,1.013
0.65106201171875,0.165,-0.475,-0.877,1.011
0.6619830131530762,0.113,-0.48,-0.868,0.998
0.6713478565216064,0.136,-0.494,-0.83,0.975
0.6819851398468018,0.172,-0.519,-0.819,0.985
0.692436933517456,0.177,-0.547,-0.846,1.023
0.7019870281219482,0.193,-0.519,-0.876,1.036
0.7129309177398682,0.214,-0.443,-0.881,1.009
0.722944974899292,0.223,-0.419,-0.853,0.976
0.7505018711090088,0.202,-0.426,-0.917,1.031
0.7508189678192139,0.202,-0.426,-0.917,1.031
0.75295090675354,0.196,-0.425,-0.909,1.022
0.7625889778137207,0.19,-0.433,-0.857,0.979
0.7721819877624512,0.195,-0.456,-0.863,0.995
0.7825639247894287,0.217,-0.487,-0.899,1.045
0.7927191257476807,0.245,-0.513,-0.918,1.08
0.8025610446929932,0.28,-0.534,-0.926,1.105
0.813072919845581,0.289,-0.534,-0.948,1.126
0.8229110240936279,0.25,-0.544,-0.975,1.144
0.848365068435669,0.198,-0.572,-0.979,1.151
0.84865403175354,0.198,-0.572,-0.979,1.151
0.8524191379547119,0.207,-0.567,-0.99,1.159
0.8633201122283936,0.203,-0.545,-1.0,1.157
0.8730928897857666,0.216,-0.496,-1.027,1.161
0.8835630416870117,0.219,-0.52,-1.026,1.171
0.893653154373169,0.183,-0.593,-0.951,1.136
0.9032418727874756,0.155,-0.612,-0.933,1.127
0.9143500328063965,0.133,-0.607,-0.918,1.109
0.9243030548095703,0.128,-0.607,-0.949,1.134
0.9482529163360596,0.114,-0.597,-0.927,1.108
0.9484879970550537,0.114,-0.597,-0.927,1.108
0.9531810283660889,0.104,-0.599,-0.922,1.104
0.9639918804168701,0.129,-0.607,-0.992,1.17
0.97371506690979,0.132,-0.622,-0.949,1.142
0.9838788509368896,0.133,-0.659,-0.922,1.141
0.9944009780883789,0.162,-0.667,-0.96,1.18
1.0039608478546143,0.151,-0.626,-0.936,1.136
1.015010118484497,0.092,-0.584,-0.943,1.113
1.024888038635254,0.047,-0.57,-0.967,1.123
1.0481300354003906,0.048,-0.576,-0.994,1.15
1.0483620166778564,0.048,-0.576,-0.994,1.15
1.0537259578704834,0.03,-0.571,-0.977,1.132
1.064561128616333,0.04,-0.559,-0.956,1.108
1.0746428966522217,0.065,-0.557,-0.979,1.128
1.0843939781188965,0.08,-0.551,-0.966,1.115
1.0946881771087646,0.075,-0.551,-0.933,1.086
1.1044418811798096,0.046,-0.557,-0.922,1.078
1.114894151687622,0.05,-0.562,-0.919,1.078
1.1256780624389648,0.072,-0.534,-0.889,1.04
1.1488380432128906,0.102,-0.521,-0.825,0.981
1.1490700244903564,0.102,-0.521,-0.825,0.981
1.1543891429901123,0.091,-0.508,-0.822,0.971
1.1653358936309814,0.086,-0.51,-0.88,1.021
1.1753871440887451,0.079,-0.481,-0.895,1.019
1.1850640773773193,0.081,-0.443,-0.899,1.005
1.195613145828247,0.094,-0.41,-0.902,0.995
1.2052228450775146,0.087,-0.373,-0.873,0.953
