time,gFx,gFy,gFz,gFTotal
0.01165008544921875,-0.153,-0.395,-0.755,0.866
0.019247055053710938,-0.117,-0.407,-0.686,0.806
0.029531002044677734,-0.127,-0.433,-0.777,0.899
0.04006505012512207,-0.139,-0.48,-0.903,1.032
0.0615081787109375,-0.198,-0.569,-0.936,1.113
0.06171417236328125,-0.198,-0.569,-0.936,1.113
0.0695340633392334,-0.175,-0.556,-0.869,1.046
0.08017706871032715,-0.128,-0.501,-0.809,0.96
0.09090709686279297,-0.086,-0.471,-0.777,0.913
0.1001119613647461,-0.043,-0.471,-0.763,0.898
0.11072015762329102,0.002,-0.498,-0.783,0.928
0.12054300308227539,0.058,-0.543,-0.831,0.994
0.1316370964050293,0.154,-0.583,-0.848,1.041
0.14175105094909668,0.244,-0.613,-0.859,1.083
0.16679906845092773,0.286,-0.682,-0.918,1.179
0.16704416275024414,0.286,-0.682,-0.918,1.179
0.17022109031677246,0.253,-0.653,-0.856,1.106
0.18114089965820312,0.222,-0.565,-0.765,0.977
0.19147396087646484,0.197,-0.495,-0.753,0.922
0.20098590850830078,0.196,-0.484,-0.744,0.909
0.21163702011108398,0.227,-0.495,-0.719,0.902
0.22134900093078613,0.235,-0.511,-0.684,0.886
0.2316288948059082,0.273,-0.543,-0.731,0.951
0.24342703819274902,0.308,-0.533,-0.869,1.065
0.2651529312133789,0.283,-0.396,-0.927,1.047
0.26538801193237305,0.283,-0.396,-0.927,1.047
0.27099108695983887,0.213,-0.358,-0.974,1.059
0.2817502021789551,0.134,-0.363,-0.905,0.984
0.29176998138427734,0.132,-0.312,-0.764,0.836
0.30161190032958984,0.207,-0.281,-0.647,0.735
0.31242799758911133,0.324,-0.316,-0.538,0.703
0.3218200206756592,0.439,-0.474,-0.554,0.851
0.33241796493530273,0.463,-0.651,-0.716,1.073
0.3435039520263672,0.445,-0.625,-0.839,1.137
0.36727309226989746,0.556,-0.284,-0.813,1.025
0.36749887466430664,0.556,-0.284,-0.813,1.025
0.3716599941253662,0.514,-0.35,-0.896,1.091
0.3824350833892822,0.504,-0.34,-0.836,1.034
0.39247798919677734,0.486,-0.284,-0.798,0.977
0.4022860527038574,0.433,-0.267,-0.791,0.94
0.41289305686950684,0.418,-0.263,-0.745,0.894
0.42290401458740234,0.468,-0.264,-0.772,0.941
0.432772159576416,0.51,-0.318,-0.906,1.087
0.4432039260864258,0.521,-0.335,-0.992,1.169
0.46602606773376465,0.583,-0.362,-1.023,1.232
0.46625709533691406,0.583,-0.362,-1.023,1.232
0.47235703468322754,0.602,-0.341,-0.853,1.098
0.48316502571105957,0.612,-0.343,-0.827,1.084
0.49303102493286133,0.536,-0.354,-0.867,1.079
0.5032169818878174,0.424,-0.343,-0.854,1.013
0.5135090351104736,0.221,-0.373,-1.331,1.4
0.5237100124359131,-0.039,-0.382,-1.382,1.434
0.5334739685058594,-0.016,-0.388,-0.601,0.716
0.5442509651184082,-0.001,-0.421,-0.506,0.658
0.5703830718994141,-0.045,-0.768,-1.792,1.95
0.5706138610839844,-0.045,-0.768,-1.792,1.95
0.5732121467590332,0.195,-0.461,-1.487,1.569
0.5837931632995605,0.201,-0.275,-1.181,1.229
0.5937209129333496,-0.015,-0.224,-1.168,1.189
0.6035289764404297,-0.312,-0.255,-1.171,1.238
0.614199161529541,-0.27,-0.268,-1.04,1.107
0.6244010925292969,0.032,-0.217,-0.957,0.982
0.6343340873718262,0.4,-0.132,-0.992,1.078
0.6443300247192383,0.601,-0.173,-1.002,1.181
0.6684551239013672,-0.036,-0.597,-1.038,1.198
0.6686921119689941,-0.036,-0.597,-1.038,1.198
0.673983097076416,-0.339,-0.334,-0.87,0.992
0.6842851638793945,-0.254,-0.167,-0.843,0.896
0.6941561698913574,-0.199,-0.162,-0.868,0.905
0.7040340900421143,-0.462,-0.096,-0.861,0.982
0.7148761749267578,-0.551,-0.131,-0.736,0.929
0.7250771522521973,-0.441,-0.253,-0.64,0.817
0.7353930473327637,-0.462,-0.259,-0.636,0.828
0.7455880641937256,-0.587,-0.259,-0.59,0.872
0.7718091011047363,-0.571,-0.382,-0.556,0.884
0.7720379829406738,-0.571,-0.382,-0.556,0.884
0.7748808860778809,-0.53,-0.48,-0.508,0.877
0.7847762107849121,-0.649,-0.461,-0.636,1.019
0.7950248718261719,-0.762,-0.354,-0.785,1.15
0.8046810626983643,-0.721,-0.277,-0.704,1.045
0.8153970241546631,-0.678,-0.303,-0.664,0.996
0.8255810737609863,-0.663,-0.336,-0.641,0.982
0.8353750705718994,-0.689,-0.376,-0.558,0.963
0.8456411361694336,-0.802,-0.334,-0.454,0.98
0.8687670230865479,-0.679,-0.32,-0.625,0.977
0.8690061569213867,-0.679,-0.32,-0.625,0.977
0.8756561279296875,-0.704,-0.264,-0.561,0.938
0.8852081298828125,-0.76,-0.206,-0.571,0.973
0.8958640098571777,-0.759,-0.159,-0.611,0.987
0.9054980278015137,-0.76,-0.153,-0.586,0.972
0.9161028861999512,-0.838,-0.021,-0.859,1.2
0.9260320663452148,-0.876,-0.143,-0.525,1.031
0.9359588623046875,-0.997,-0.512,-0.063,1.123
0.9463310241699219,-1.022,-0.544,-0.011,1.158
0.971034049987793,-0.59,-0.28,-0.812,1.042
0.9712619781494141,-0.59,-0.28,-0.812,1.042
0.9762210845947266,-0.567,-0.396,-0.085,0.697
0.9857831001281738,-0.791,-0.237,-0.666,1.061
0.9963850975036621,-0.804,0.054,-0.863,1.181
1.006403923034668,-0.763,0.08,-0.822,1.124
1.0169270038604736,-0.67,-0.084,-0.756,1.014
1.026803970336914,-0.725,-0.344,-0.503,0.947
1.0365629196166992,-0.731,-0.278,-0.443,0.899
1.0476231575012207,-0.61,-0.178,-0.616,0.885
1.072998046875,-0.639,-0.29,-0.564,0.9
1.073302984237671,-0.639,-0.29,-0.564,0.9
1.0765280723571777,-0.688,-0.365,-0.685,1.037
1.0864710807800293,-0.852,-0.326,-0.478,1.03
1.0970180034637451,-0.817,-0.036,-0.376,0.9
1.107004165649414,-0.761,0.124,-0.406,0.871
1.1172850131988525,-0.843,0.276,-0.386,0.967
1.1275510787963867,-0.869,0.17,-0.382,0.964
1.1372241973876953,-0.923,0.077,-0.308,0.976
1.148353099822998,-0.912,0.02,-0.26,0.949
1.1745891571044922,-0.941,0.195,-0.346,1.021
1.1748950481414795,-0.941,0.195,-0.346,1.021
1.1770081520080566,-0.989,0.2,-0.489,1.121
1.1876258850097656,-1.069,0.16,-0.486,1.185
1.197571039199829,-1.097,0.205,-0.313,1.159
1.2079250812530518,-1.153,0.24,-0.185,1.192
1.218163013458252,-1.159,0.174,-0.223,1.193
1.228295087814331,-1.151,0.198,-0.207,1.186
1.2383971214294434,-1.018,0.168,-0.297,1.074
1.2480502128601074,-1.018,0.168,-0.275,1.068
1.2762088775634766,-0.962,0.143,-0.113,0.979
1.2764370441436768,-0.962,0.143,-0.113,0.979
1.278810977935791,-0.861,0.213,-0.167,0.903
1.2882561683654785,-0.774,0.373,-0.182,0.878
1.2982940673828125,-0.788,0.385,-0.097,0.882
1.3088290691375732,-0.878,0.329,0.103,0.943
1.3183751106262207,-0.947,0.318,0.01,0.999
1.3289830684661865,-0.892,0.299,-0.008,0.941
1.338529109954834,-0.939,0.248,-0.041,0.972
1.349088191986084,-0.884,0.254,-0.149,0.932
1.3734800815582275,-0.885,0.342,-0.221,0.974
1.3738651275634766,-0.885,0.342,-0.221,0.974
1.378627061843872,-0.983,0.303,-0.244,1.057
1.3885579109191895,-0.959,0.31,-0.197,1.027
1.3992750644683838,-0.858,0.307,-0.172,0.927
1.4091930389404297,-0.818,0.346,-0.065,0.891
1.4195940494537354,-0.929,0.379,0.063,1.005
1.4297080039978027,-0.968,0.308,0.076,1.019
1.4404749870300293,-0.978,0.346,0.144,1.047
1.450092077255249,-1.158,0.44,0.196,1.254
1.4764819145202637,-1.303,0.396,0.124,1.367
1.4767231941223145,-1.303,0.396,0.124,1.367
1.4787840843200684,-1.303,0.364,0.054,1.354
1.4894440174102783,-1.201,0.3,0.103,1.242
1.499372959136963,-1.035,0.362,0.079,1.099
1.510033130645752,-0.876,0.463,-0.126,0.999
1.5197930335998535,-0.864,0.437,-0.293,1.012
1.530320167541504,-0.943,0.241,-0.06,0.975
1.540374994277954,-0.903,0.23,-0.017,0.932
1.5502309799194336,-0.867,0.197,-0.007,0.889
1.578016996383667,-0.885,0.236,0.009,0.916
1.5782580375671387,-0.885,0.236,0.009,0.916
1.5801138877868652,-0.898,0.252,-0.036,0.933
1.5901989936828613,-0.928,0.243,-0.146,0.97
1.600447177886963,-0.964,0.234,-0.213,1.015
1.6104841232299805,-0.96,0.231,-0.226,1.013
1.6207680702209473,-0.948,0.229,-0.301,1.021
1.6314680576324463,-0.917,0.228,-0.307,0.994
1.6411800384521484,-0.896,0.304,-0.277,0.986
1.6514182090759277,-0.915,0.333,-0.233,1.001
1.6794500350952148,-0.924,0.294,-0.334,1.026
1.679677963256836,-0.92,0.324,-0.407,1.057
1.6815290451049805,-0.92,0.324,-0.407,1.057
1.691080093383789,-0.935,0.339,-0.5,1.113
1.701033115386963,-0.927,0.318,-0.431,1.071
1.7113640308380127,-0.882,0.345,-0.403,1.029
1.721592903137207,-0.851,0.357,-0.418,1.013
1.731614112854004,-0.831,0.342,-0.369,0.971
1.7417550086975098,-0.811,0.359,-0.304,0.938
1.7517881393432617,-0.812,0.36,-0.27,0.928
1.779177188873291,-0.89,0.35,-0.228,0.983
1.7794950008392334,-0.89,0.35,-0.228,0.983
1.7813692092895508,-0.92,0.334,-0.236,1.007
1.7917110919952393,-0.937,0.322,-0.244,1.02
1.801603078842163,-0.947,0.311,-0.271,1.033
1.8117530345916748,-0.947,0.3,-0.283,1.033
1.8220460414886475,-0.938,0.286,-0.29,1.023
1.8322579860687256,-0.924,0.274,-0.3,1.009
1.8425278663635254,-0.91,0.258,-0.311,0.996
1.852269172668457,-0.898,0.269,-0.344,0.999
1.8774051666259766,-0.901,0.181,-0.47,1.032
1.8776400089263916,-0.901,0.181,-0.47,1.032
1.8820490837097168,-0.866,0.318,-0.469,1.035
1.8923630714416504,-0.864,0.305,-0.335,0.976
1.9024240970611572,-0.881,0.266,-0.284,0.963
1.9126811027526855,-0.889,0.322,-0.212,0.969
1.9227309226989746,-0.896,0.36,-0.159,0.979
1.9325881004333496,-0.882,0.364,-0.206,0.976
1.943014144897461,-0.852,0.451,-0.313,1.014
1.9527812004089355,-0.882,0.424,-0.416,1.063
1.980437994003296,-0.901,0.239,-0.43,1.027
1.980666160583496,-0.901,0.239,-0.43,1.027
1.982680082321167,-0.892,0.158,-0.368,0.978
1.9932241439819336,-0.888,0.111,-0.318,0.95
2.002916097640991,-0.918,0.197,-0.337,0.998
2.013247013092041,-0.951,0.217,-0.314,1.025
2.0235280990600586,-0.949,0.258,-0.251,1.015
2.0337510108947754,-0.937,0.357,-0.327,1.055
2.0436160564422607,-0.921,0.344,-0.339,1.04
2.0535058975219727,-0.885,0.35,-0.364,1.019
2.0835330486297607,-0.844,0.406,-0.404,1.02
2.083911895751953,-0.844,0.406,-0.404,1.02
2.0852999687194824,-0.844,0.406,-0.404,1.02
2.0937771797180176,-0.82,0.413,-0.409,1.005
2.103430986404419,-0.785,0.423,-0.349,0.958
2.114023208618164,-0.781,0.357,-0.31,0.913
2.12424898147583,-0.792,0.297,-0.328,0.907
2.134258985519409,-0.815,0.198,-0.287,0.886
2.1443910598754883,-0.876,0.185,-0.382,0.973
2.1541872024536133,-0.955,0.183,-0.483,1.086
2.1821200847625732,-0.978,0.175,-0.477,1.102
2.182365894317627,-0.978,0.175,-0.477,1.102
2.184091091156006,-0.955,0.196,-0.473,1.084
2.194427013397217,-0.913,0.172,-0.368,0.999
2.203908920288086,-0.87,0.147,-0.211,0.907
2.2147390842437744,-0.907,0.188,-0.174,0.942
2.225090980529785,-0.929,0.244,-0.124,0.968
2.2347159385681152,-0.912,0.282,-0.134,0.964
2.244819164276123,-0.843,0.303,-0.137,0.906
2.254962921142578,-0.875,0.326,-0.487,1.053
2.280200958251953,-0.874,0.306,-0.635,1.123
2.280416965484619,-0.874,0.306,-0.635,1.123
2.2842459678649902,-0.842,0.364,-0.57,1.08
2.295212984085083,-0.822,0.437,-0.532,1.072
2.3045310974121094,-0.832,0.423,-0.604,1.112
2.315345048904419,-0.812,0.374,-0.55,1.05
2.326143980026245,-0.777,0.35,-0.504,0.99
2.335358142852783,-0.739,0.345,-0.486,0.949
2.34635591506958,-0.721,0.344,-0.505,0.945
2.3563451766967773,-0.716,0.304,-0.429,0.888
2.383871078491211,-0.788,0.263,-0.562,1.003
2.3841350078582764,-0.788,0.263,-0.562,1.003
2.3858718872070312,-0.859,0.175,-0.685,1.113
2.3956830501556396,-0.822,0.161,-0.469,0.96
2.405412197113037,-0.919,0.145,-0.735,1.186
2.4160609245300293,-0.832,0.166,-0.351,0.918
2.425994873046875,-0.952,0.106,-0.66,1.163
2.435920000076294,-0.878,0.125,-0.321,0.943
2.4463911056518555,-0.951,0.131,-0.419,1.047
2.456326961517334,-0.923,0.134,-0.397,1.014
2.480988025665283,-0.881,0.144,-0.337,0.954
2.4812068939208984,-0.881,0.144,-0.337,0.954
2.485814094543457,-0.866,0.155,-0.386,0.961
2.496479034423828,-0.88,0.138,-0.446,0.996
2.505894184112549,-0.88,0.15,-0.556,1.052
2.516632080078125,-0.826,0.15,-0.523,0.989
2.5269980430603027,-0.787,0.167,-0.574,0.988
2.536659002304077,-0.754,0.201,-0.494,0.924
2.5470800399780273,-0.79,0.168,-0.541,0.972
2.5574100017547607,-0.793,0.192,-0.588,1.006
2.5825300216674805,-0.833,0.19,-0.668,1.085
2.5827770233154297,-0.833,0.19,-0.668,1.085
2.5863242149353027,-0.857,0.158,-0.725,1.134
2.597072124481201,-0.798,0.25,-0.658,1.064
2.6068592071533203,-0.753,0.265,-0.475,0.929
2.6173200607299805,-0.764,0.246,-0.531,0.962
2.627316951751709,-0.789,0.173,-0.52,0.961
2.636929988861084,-0.826,0.183,-0.673,1.081
2.6477580070495605,-0.798,0.195,-0.682,1.068
2.6578001976013184,-0.797,0.184,-0.647,1.043
2.6844980716705322,-0.93,-0.012,-0.538,1.074
2.6847310066223145,-0.93,-0.012,-0.538,1.074
2.686983108520508,-1.051,-0.145,-0.467,1.159
2.6977920532226562,-1.075,-0.151,-0.415,1.162
2.7082109451293945,-1.024,-0.101,-0.382,1.098
2.7176430225372314,-0.994,-0.075,-0.251,1.028
2.728177070617676,-1.044,-0.092,-0.143,1.058
2.7378220558166504,-1.111,-0.178,-0.263,1.155
2.7485198974609375,-1.181,-0.188,-0.512,1.301
2.7592201232910156,-0.896,-0.088,-0.359,0.969
2.7850751876831055,-0.51,0.265,-0.409,0.705
2.7853078842163086,-0.51,0.265,-0.409,0.705
2.7877860069274902,-0.179,0.395,-0.536,0.689
2.7986700534820557,0.193,0.689,-1.055,1.275
2.8087239265441895,0.321,0.76,-1.371,1.6
2.8183860778808594,0.247,0.825,-1.829,2.022
2.8291759490966797,-0.153,0.747,-1.776,1.933
2.838615894317627,-0.535,0.725,-1.248,1.539
2.8492541313171387,-0.57,0.734,-1.129,1.462
2.859394073486328,-0.646,0.497,-0.842,1.172
2.886363983154297,-1.068,0.172,-0.165,1.094
2.886615037918091,-1.068,0.172,-0.165,1.094
2.8885200023651123,-1.099,0.074,-0.069,1.104
2.8993070125579834,-1.099,-0.011,-0.117,1.105
2.9092841148376465,-1.096,-0.053,-0.239,1.123
2.9189372062683105,-1.06,-0.02,-0.367,1.122
2.9297029972076416,-0.968,0.106,-0.436,1.067
2.939422130584717,-0.946,0.16,-0.442,1.056
2.950498104095459,-0.893,0.153,-0.47,1.021
2.960690975189209,-0.852,0.132,-0.533,1.014
2.989729881286621,-0.659,0.234,-0.714,0.999
2.9905171394348145,-0.659,0.234,-0.714,0.999
2.992682933807373,-0.659,0.234,-0.714,0.999
2.999408006668091,-0.673,0.277,-0.709,1.016
3.0099360942840576,-0.584,0.324,-0.839,1.072
3.0193819999694824,-0.528,0.359,-0.896,1.1
3.0305349826812744,-0.499,0.339,-0.919,1.099
3.0403709411621094,-0.476,0.341,-0.906,1.079
3.05035400390625,-0.459,0.357,-0.866,1.043
3.060349941253662,-0.469,0.364,-0.809,1.003
3.083522081375122,-0.601,0.331,-0.673,0.961
3.0838088989257812,-0.601,0.331,-0.673,0.961
3.0904011726379395,-0.679,0.33,-0.609,0.97
3.1003429889678955,-0.725,0.328,-0.602,0.998
3.110629081726074,-0.748,0.325,-0.601,1.013
3.1202890872955322,-0.751,0.321,-0.604,1.016
3.1311659812927246,-0.74,0.312,-0.62,1.015
3.1407880783081055,-0.717,0.295,-0.646,1.009
3.1515021324157715,-0.688,0.272,-0.64,0.978
3.162014961242676,-0.665,0.273,-0.612,0.944
3.190190076828003,-0.667,0.249,-0.663,0.973
3.1910009384155273,-0.667,0.249,-0.663,0.973
3.192517042160034,-0.667,0.249,-0.663,0.973
3.2007009983062744,-0.707,0.258,-0.686,1.018
