time,gFx,gFy,gFz,gFTotal
0.008820056915283203,0.299,-0.252,-0.839,0.926
0.012367963790893555,0.299,-0.252,-0.839,0.926
0.019814014434814453,0.319,-0.213,-0.922,0.999
0.029627084732055664,0.354,-0.294,-0.985,1.087
0.04020285606384277,0.178,-0.383,-0.978,1.065
0.06220197677612305,-0.077,-0.261,-1.163,1.194
0.06240200996398926,-0.077,-0.261,-1.163,1.194
0.06972289085388184,-0.032,-0.261,-1.207,1.235
0.08019089698791504,0.059,-0.303,-1.055,1.099
0.0904848575592041,0.095,-0.297,-0.936,0.987
0.10054802894592285,0.164,-0.277,-0.882,0.939
0.11018490791320801,0.197,-0.28,-0.942,1.002
0.1210029125213623,0.23,-0.296,-1.004,1.072
0.13037896156311035,0.258,-0.285,-0.897,0.976
0.14156007766723633,0.283,-0.242,-0.727,0.817
0.16398000717163086,0.383,-0.268,-0.713,0.853
0.16432690620422363,0.383,-0.268,-0.713,0.853
0.17044401168823242,0.772,-0.242,-0.739,1.096
0.1813650131225586,0.938,-0.253,-0.919,1.337
0.19097900390625,0.606,-0.306,-0.998,1.207
0.20142292976379395,0.375,-0.246,-0.939,1.041
0.21088600158691406,0.309,-0.202,-0.901,0.974
0.22142720222473145,0.291,-0.213,-0.864,0.936
0.231889009475708,0.213,-0.208,-0.806,0.859
0.24196314811706543,0.163,-0.212,-0.713,0.761
0.26578307151794434,0.19,-0.323,-0.659,0.758
0.26602816581726074,0.19,-0.323,-0.659,0.758
0.27118897438049316,0.201,-0.399,-1.034,1.126
0.28168797492980957,0.242,-0.499,-1.391,1.497
0.2916240692138672,0.263,-0.391,-0.9,1.016
0.3022348880767822,0.279,-0.27,-0.634,0.743
0.3115119934082031,0.212,-0.299,-0.7,0.79
0.32274317741394043,0.09,-0.382,-0.97,1.046
0.33254218101501465,0.022,-0.439,-1.046,1.135
0.3425328731536865,0.028,-0.431,-0.915,1.012
0.36783289909362793,-0.028,-0.472,-0.925,1.039
0.36807894706726074,-0.028,-0.472,-0.925,1.039
0.37183403968811035,-0.058,-0.529,-0.96,1.098
0.38254499435424805,-0.047,-0.577,-0.986,1.143
0.3925290107727051,-0.04,-0.587,-0.947,1.115
0.4029538631439209,-0.091,-0.565,-0.869,1.041
0.4122588634490967,0.062,-0.736,-0.722,1.033
0.4232609272003174,0.366,-0.932,-0.766,1.261
0.4342939853668213,0.392,-0.676,-0.834,1.143
0.4430379867553711,0.298,-0.328,-0.933,1.033
0.4703099727630615,0.106,-0.198,-1.004,1.029
0.4705500602722168,0.106,-0.198,-1.004,1.029
0.47258496284484863,0.06,-0.195,-0.9,0.923
0.4832780361175537,-0.081,-0.202,-0.907,0.933
0.4930720329284668,-0.213,-0.195,-0.878,0.924
0.5038790702819824,-0.229,-0.213,-0.859,0.914
0.5129799842834473,-0.168,-0.241,-0.846,0.896
0.523658037185669,-0.09,-0.255,-0.869,0.91
0.5341360569000244,0.031,-0.273,-0.939,0.978
0.5439150333404541,0.067,-0.262,-0.962,0.999
0.5690419673919678,-0.184,-0.251,-0.922,0.973
0.5692808628082275,-0.184,-0.251,-0.922,0.973
0.573253870010376,-0.271,-0.265,-0.841,0.922
