time,gFx,gFy,gFz,gFTotal
0.010293006896972656,-0.04,-0.123,-1.07,1.078
0.01939988136291504,-0.102,-0.215,-1.042,1.069
0.02933192253112793,-0.134,-0.17,-1.041,1.063
0.03978681564331055,-0.17,-0.067,-1.077,1.092
0.04990792274475098,-0.143,-0.144,-1.071,1.09
0.06025075912475586,-0.147,-0.151,-1.093,1.113
0.08402395248413086,-0.157,-0.073,-1.075,1.089
0.08428478240966797,-0.157,-0.073,-1.075,1.089
0.08991694450378418,-0.083,-0.096,-1.023,1.031
0.09973788261413574,-0.082,-0.153,-0.908,0.924
0.11031985282897949,-0.133,-0.133,-0.813,0.834
0.11980986595153809,-0.227,-0.089,-0.762,0.8
0.13083887100219727,-0.083,-0.123,-0.705,0.72
0.14053893089294434,0.012,-0.132,-0.709,0.721
0.1506819725036621,0.169,-0.16,-0.728,0.764
0.16144895553588867,0.429,-0.073,-0.904,1.003
0.18627285957336426,1.02,-0.245,-1.048,1.483
0.18649888038635254,1.02,-0.245,-1.048,1.483
0.19045186042785645,0.655,-0.392,-0.785,1.095
0.20059490203857422,0.373,-0.288,-0.882,1.0
0.2109217643737793,0.298,-0.266,-0.953,1.033
0.22084999084472656,0.071,-0.269,-0.97,1.009
0.23158502578735352,-0.218,-0.315,-1.044,1.112
0.24160289764404297,-0.227,-0.347,-1.597,1.65
0.2512040138244629,-0.05,-0.159,-1.121,1.133
0.2620968818664551,-0.047,-0.152,-0.936,0.949
0.2864980697631836,-0.227,-0.266,-0.848,0.917
0.2867269515991211,-0.227,-0.266,-0.848,0.917
0.2914159297943115,-0.181,-0.298,-0.758,0.834
0.30141401290893555,0.003,-0.334,-0.912,0.971
0.3115658760070801,0.135,-0.382,-1.133,1.203
0.3213019371032715,0.181,-0.388,-1.201,1.275
0.33226680755615234,0.163,-0.345,-1.112,1.176
0.34209299087524414,0.061,-0.284,-0.929,0.973
0.3518857955932617,0.016,-0.293,-0.944,0.989
0.3628697395324707,0.001,-0.294,-1.021,1.062
0.39005088806152344,-0.21,-0.069,-1.168,1.189
0.3903329372406006,-0.21,-0.069,-1.168,1.189
0.3927907943725586,-0.404,-0.009,-0.973,1.054
0.4019780158996582,-0.21,-0.091,-0.905,0.933
0.4124760627746582,-0.189,-0.064,-0.835,0.859
0.42183589935302734,-0.329,0.033,-0.726,0.798
0.43312692642211914,-0.471,-0.052,-0.608,0.771
0.4426870346069336,-0.509,-0.124,-0.645,0.831
0.4529569149017334,-0.391,-0.03,-0.723,0.823
0.46337080001831055,-0.278,-0.061,-0.781,0.831
0.49050092697143555,-0.595,-0.136,-0.707,0.934
0.49082088470458984,-0.595,-0.136,-0.707,0.934
0.4927849769592285,-0.697,-0.219,-0.52,0.897
0.5029740333557129,-0.774,-0.255,-0.342,0.884
0.5128097534179688,-0.771,-0.349,-0.319,0.904
0.5233187675476074,-0.748,-0.357,-0.531,0.984
0.5332670211791992,-0.755,-0.329,-0.519,0.973
0.5434918403625488,-0.86,-0.344,-0.35,0.99
0.553013801574707,-1.096,-0.424,-0.285,1.209
0.5641119480133057,-1.118,-0.502,-0.381,1.283
0.5901780128479004,-1.388,-0.518,0.083,1.484
0.5904378890991211,-1.388,-0.518,0.083,1.484
0.593163013458252,-1.205,-0.43,0.219,1.298
0.6033520698547363,-0.987,-0.432,0.393,1.147
