time,gFx,gFy,gFz,gFTotal
0.008174896240234375,0.204,-0.024,-0.873,0.897
0.0176389217376709,0.213,-0.063,-0.932,0.958
0.02766275405883789,0.198,-0.041,-1.039,1.058
0.04787778854370117,0.169,0.018,-1.039,1.053
0.0483548641204834,0.169,0.018,-1.039,1.053
0.05788087844848633,0.194,-0.069,-0.906,0.929
0.06791973114013672,0.129,-0.116,-0.747,0.767
0.07785177230834961,0.081,-0.102,-0.7,0.712
0.08841490745544434,0.036,-0.084,-0.732,0.738
0.09832000732421875,0.037,-0.091,-0.831,0.837
0.1084890365600586,0.06,-0.113,-0.983,0.991
0.11885690689086914,0.041,-0.155,-1.076,1.088
0.12866497039794922,0.032,-0.172,-1.042,1.057
0.15282988548278809,0.096,-0.07,-0.785,0.794
0.15322184562683105,0.096,-0.07,-0.785,0.794
0.15822887420654297,0.094,-0.085,-0.79,0.8
0.16860198974609375,0.072,-0.068,-0.865,0.871
0.17868995666503906,0.055,-0.047,-0.893,0.896
0.18886995315551758,0.187,-0.07,-0.864,0.887
0.19904184341430664,0.338,-0.071,-0.841,0.909
0.20945286750793457,0.258,-0.076,-0.895,0.935
0.2194669246673584,0.137,-0.09,-0.927,0.941
0.2292799949645996,0.089,-0.095,-0.872,0.882
0.25565481185913086,0.079,-0.131,-0.736,0.752
0.2560877799987793,0.079,-0.131,-0.736,0.752
0.25888586044311523,0.029,-0.136,-0.687,0.701
0.26944589614868164,0.026,-0.182,-0.662,0.687
0.2793607711791992,0.078,-0.282,-0.679,0.739
0.2896900177001953,0.103,-0.362,-0.756,0.845
0.29959678649902344,0.105,-0.481,-0.927,1.05
0.3095219135284424,0.04,-0.71,-1.233,1.423
0.32007288932800293,0.019,-0.738,-1.348,1.537
0.33063697814941406,0.119,-0.41,-1.167,1.243
0.35456275939941406,0.161,-0.137,-0.896,0.921
0.35495901107788086,0.161,-0.137,-0.896,0.921
0.3595728874206543,0.126,-0.206,-0.841,0.875
0.3699507713317871,0.043,-0.289,-0.952,0.996
0.3803410530090332,0.101,-0.361,-1.07,1.134
0.3903207778930664,0.125,-0.401,-0.962,1.05
0.4007558822631836,0.157,-0.371,-0.884,0.971
0.4105410575866699,0.203,-0.345,-0.93,1.012
