time,gFx,gFy,gFz,gFTotal
0.008643150329589844,0.272,-0.127,-0.952,0.998
0.013115882873535156,0.225,-0.142,-0.832,0.874
0.023217201232910156,0.209,-0.153,-0.844,0.883
0.03363513946533203,0.253,-0.094,-0.945,0.983
0.054800987243652344,0.368,-0.196,-1.032,1.113
0.05503988265991211,0.368,-0.196,-1.032,1.113
0.06355094909667969,0.324,-0.215,-1.021,1.093
0.07361507415771484,0.305,-0.192,-1.072,1.131
0.08386802673339844,0.254,-0.181,-1.128,1.17
0.09427213668823242,0.204,-0.175,-1.093,1.126
0.1039571762084961,0.201,-0.168,-1.075,1.106
0.1151130199432373,0.255,-0.162,-1.063,1.105
0.12535309791564941,0.291,-0.132,-1.061,1.108
0.1349329948425293,0.28,-0.082,-1.016,1.057
0.16370010375976562,0.153,-0.164,-0.706,0.741
0.1644301414489746,0.153,-0.164,-0.706,0.741
0.16614603996276855,0.153,-0.164,-0.706,0.741
0.1749560832977295,0.112,-0.24,-0.646,0.698
0.18432188034057617,0.158,-0.295,-0.605,0.691
0.1948709487915039,0.152,-0.195,-0.679,0.723
0.20512008666992188,0.354,-0.115,-0.843,0.922
0.21585702896118164,0.625,-0.15,-1.248,1.404
0.22603797912597656,0.798,-0.263,-1.363,1.601
0.2349228858947754,0.651,-0.299,-0.991,1.223
0.26175904273986816,0.235,-0.224,-0.885,0.943
0.2620069980621338,0.235,-0.224,-0.885,0.943
0.2646160125732422,0.089,-0.242,-0.955,0.989
0.2755160331726074,0.101,-0.348,-0.964,1.03
0.28504204750061035,0.18,-0.424,-1.357,1.433
0.29588794708251953,0.131,-0.304,-1.38,1.419
0.30553293228149414,0.014,-0.347,-0.834,0.903
0.31573915481567383,-0.106,-0.385,-0.888,0.974
0.3265261650085449,-0.149,-0.344,-0.989,1.058
0.33553099632263184,-0.113,-0.28,-0.961,1.007
0.36245107650756836,-0.073,-0.237,-0.973,1.004
0.3626821041107178,-0.073,-0.237,-0.973,1.004
0.36534905433654785,0.005,-0.288,-1.117,1.154
0.3759431838989258,0.05,-0.331,-1.107,1.157
0.3855280876159668,0.056,-0.361,-1.041,1.103
0.39647817611694336,0.024,-0.387,-0.929,1.007
0.4068031311035156,-0.026,-0.447,-0.796,0.913
0.4162468910217285,-0.036,-0.479,-0.878,1.001
0.42634105682373047,-0.018,-0.479,-0.913,1.031
0.43678808212280273,0.003,-0.372,-0.829,0.909
0.4637289047241211,-0.239,-0.211,-0.848,0.906
0.4639720916748047,-0.239,-0.211,-0.848,0.906
0.4660310745239258,-0.246,-0.155,-0.973,1.016
0.4770081043243408,-0.223,-0.333,-1.063,1.136
0.48641300201416016,-0.273,-0.464,-0.735,0.911
0.49715399742126465,-0.459,-0.22,-0.498,0.712
0.5072040557861328,-0.602,-0.159,-0.503,0.8
0.5169780254364014,-0.645,-0.296,-0.711,1.005
0.5279240608215332,-0.602,-0.395,-0.793,1.071
0.537506103515625,-0.465,-0.421,-0.695,0.936
0.5646560192108154,-0.281,-0.264,-0.743,0.837
0.5649452209472656,-0.281,-0.264,-0.743,0.837
0.5669851303100586,-0.429,-0.224,-0.636,0.799
0.5774259567260742,-0.836,-0.435,-0.516,1.074
0.58685302734375,-1.073,-0.587,-0.457,1.306
0.5978989601135254,-1.082,-0.533,-0.54,1.322
0.6079931259155273,-0.921,-0.426,-0.49,1.127
0.6174321174621582,-0.81,-0.425,-0.313,0.967
0.6284730434417725,-0.929,-0.436,-0.407,1.104
0.6376419067382812,-1.079,-0.392,-0.579,1.286
0.6665050983428955,-1.014,-0.356,-0.655,1.259
0.6667962074279785,-0.979,-0.499,-0.588,1.246
0.6687400341033936,-0.979,-0.499,-0.588,1.246
0.6781589984893799,-0.861,-0.504,-0.461,1.099
0.6882209777832031,-0.86,-0.379,-0.438,1.037
0.6984550952911377,-0.89,-0.32,-0.491,1.066
0.7083821296691895,-0.798,-0.313,-0.513,0.999
0.7181990146636963,-0.744,-0.177,-0.625,0.988
0.729337215423584,-0.811,-0.185,-0.647,1.054
0.7394649982452393,-0.804,-0.193,-0.527,0.981
0.7668800354003906,-0.838,-0.164,-0.587,1.036
0.7671530246734619,-0.838,-0.164,-0.587,1.036
0.768989086151123,-0.721,-0.197,-0.474,0.885
0.7788639068603516,-0.718,-0.188,-0.43,0.858
0.7884922027587891,-0.771,-0.156,-0.407,0.886
0.7990450859069824,-0.762,-0.12,-0.435,0.886
0.809333086013794,-0.723,-0.129,-0.477,0.876
0.8190569877624512,-0.695,-0.04,-0.497,0.855
0.8299999237060547,-0.686,-0.01,-0.455,0.823
0.8399930000305176,-0.711,-0.081,-0.372,0.807
0.8684689998626709,-0.773,-0.152,-0.163,0.804
0.869163990020752,-0.773,-0.152,-0.163,0.804
0.8707799911499023,-0.773,-0.152,-0.163,0.804
0.8794960975646973,-0.946,-0.164,-0.199,0.981
0.8894360065460205,-0.932,0.033,-0.352,0.997
0.8998100757598877,-0.833,0.121,-0.394,0.929
0.9101030826568604,-0.829,0.047,-0.38,0.913
0.9196028709411621,-0.916,-0.05,-0.316,0.97
0.9307551383972168,-0.926,-0.084,-0.299,0.977
0.9405770301818848,-0.901,-0.049,-0.365,0.973
0.96927809715271,-0.999,0.124,-0.298,1.05
0.969994068145752,-0.999,0.124,-0.298,1.05
0.9719729423522949,-0.999,0.124,-0.298,1.05
0.9802510738372803,-0.985,0.146,-0.324,1.047
0.9899740219116211,-0.926,0.147,-0.32,0.991
1.000187873840332,-0.933,0.133,-0.306,0.991
1.0108389854431152,-0.942,0.078,-0.261,0.981
1.020665168762207,-0.882,0.052,-0.237,0.915
1.0312600135803223,-0.841,0.122,-0.241,0.883
1.0415170192718506,-0.871,0.238,-0.297,0.951
1.0681638717651367,-0.823,0.328,-0.228,0.915
1.068406105041504,-0.823,0.328,-0.228,0.915
1.0702271461486816,-0.793,0.327,-0.166,0.874
1.0808970928192139,-0.755,0.346,-0.085,0.835
1.0910711288452148,-0.722,0.324,-0.129,0.802
1.100696086883545,-0.654,0.247,-0.114,0.708
1.1115961074829102,-0.684,0.211,-0.012,0.716
1.120981216430664,-0.718,0.272,0.009,0.768
1.1322212219238281,-0.705,0.258,0.097,0.757
1.1424331665039062,-0.711,0.337,0.167,0.804
1.1708569526672363,-0.634,0.642,0.016,0.902
1.1713099479675293,-0.634,0.642,0.016,0.902
1.1730661392211914,-0.634,0.642,0.016,0.902
1.1815850734710693,-0.657,0.622,-0.014,0.905
1.1917619705200195,-0.666,0.603,-0.059,0.9
1.2015471458435059,-0.64,0.607,-0.172,0.899
1.2124850749969482,-0.589,0.76,-0.225,0.987
1.2226262092590332,-0.581,0.897,-0.274,1.103
1.232490062713623,-0.616,0.853,-0.176,1.067
1.2427749633789062,-0.857,0.744,0.048,1.136
1.270719051361084,-3.038,-0.19,0.145,3.047
1.270948886871338,-3.038,-0.19,0.145,3.047
1.2731828689575195,-2.592,0.011,-0.021,2.592
1.2820250988006592,-1.325,0.554,-0.022,1.436
1.2924840450286865,-0.86,0.659,0.082,1.087
1.3018989562988281,-0.707,0.553,0.21,0.922
1.3127470016479492,-0.661,0.478,0.266,0.858
1.322601079940796,-0.64,0.416,0.343,0.837
1.332632064819336,-0.67,0.371,0.431,0.879
1.3434770107269287,-0.696,0.383,0.437,0.907
1.3695991039276123,-0.799,0.398,0.369,0.966
1.369832992553711,-0.799,0.398,0.369,0.966
1.3727591037750244,-0.828,0.345,0.333,0.957
1.3828248977661133,-0.852,0.278,0.275,0.937
1.39290189743042,-0.916,0.208,0.214,0.963
1.402608871459961,-0.972,0.23,0.178,1.015
1.4135570526123047,-0.923,0.333,0.136,0.991
1.423962116241455,-0.943,0.394,0.088,1.026
1.4338998794555664,-0.942,0.437,0.046,1.039
1.4442501068115234,-1.008,0.389,0.06,1.082
1.4688560962677002,-0.929,0.457,0.222,1.059
1.4690830707550049,-0.929,0.457,0.222,1.059
1.4734249114990234,-0.888,0.465,0.275,1.039
1.483147144317627,-0.857,0.459,0.262,1.007
1.4939301013946533,-0.848,0.461,0.193,0.984
1.5033888816833496,-0.844,0.472,0.127,0.975
1.5138611793518066,-0.839,0.47,0.08,0.965
1.5243511199951172,-0.903,0.458,0.053,1.014
1.53410005569458,-0.888,0.46,0.067,1.002
1.5449740886688232,-0.895,0.43,0.066,0.995
1.5693011283874512,-0.874,0.411,0.081,0.969
1.569530963897705,-0.874,0.411,0.081,0.969
1.5743210315704346,-0.867,0.394,0.106,0.958
1.5837910175323486,-0.854,0.371,0.096,0.936
1.594529151916504,-0.873,0.379,0.063,0.954
1.6039209365844727,-0.905,0.397,0.082,0.992
1.6145739555358887,-0.941,0.387,0.139,1.027
1.6245942115783691,-0.96,0.393,0.16,1.05
1.6344530582427979,-0.989,0.394,0.159,1.076
1.6449370384216309,-1.005,0.377,0.132,1.081
1.6694788932800293,-0.98,0.386,0.06,1.055
1.6697111129760742,-0.98,0.386,0.06,1.055
1.6753249168395996,-0.963,0.392,0.062,1.042
1.6842970848083496,-0.93,0.358,0.058,0.998
1.6951510906219482,-0.913,0.351,0.077,0.981
1.705514907836914,-0.897,0.408,0.099,0.99
1.7152481079101562,-0.869,0.47,0.131,0.997
1.7258191108703613,-0.852,0.505,0.186,1.008
1.7352051734924316,-0.822,0.534,0.216,1.004
1.7455439567565918,-0.8,0.558,0.242,1.005
1.7709169387817383,-0.809,0.509,0.301,1.002
1.771164894104004,-0.809,0.509,0.301,1.002
1.7755789756774902,-0.836,0.417,0.302,0.982
1.7851691246032715,-0.883,0.331,0.239,0.973
1.7959098815917969,-0.903,0.365,0.225,1.0
1.8057899475097656,-0.864,0.42,0.235,0.989
1.816145896911621,-0.9,0.427,0.185,1.013
1.8260879516601562,-0.936,0.417,0.142,1.034
1.8359699249267578,-0.977,0.362,0.119,1.049
1.8470702171325684,-0.985,0.346,0.09,1.048
1.8732450008392334,-0.844,0.489,0.113,0.982
1.8734750747680664,-0.844,0.489,0.113,0.982
1.875762939453125,-0.833,0.483,0.103,0.968
1.8859009742736816,-0.83,0.475,0.104,0.962
1.896306037902832,-0.82,0.491,0.153,0.968
1.906303882598877,-0.828,0.503,0.201,0.989
1.916736125946045,-0.821,0.541,0.259,1.017
1.9277420043945312,-0.893,0.525,0.242,1.064
1.9371581077575684,-0.941,0.513,0.186,1.088
1.9476070404052734,-0.981,0.468,0.164,1.099
1.9751510620117188,-1.002,0.438,0.141,1.103
1.9753870964050293,-1.002,0.438,0.141,1.103
1.9773170948028564,-0.88,0.546,0.048,1.037
1.9867072105407715,-0.948,0.417,0.079,1.039
1.9969170093536377,-0.919,0.312,0.031,0.971
2.007634162902832,-0.954,0.169,0.018,0.969
2.0172300338745117,-0.978,0.13,-0.051,0.988
2.028168201446533,-0.934,0.229,-0.078,0.965
2.0381979942321777,-0.909,0.181,0.007,0.927
2.0482239723205566,-0.928,0.178,-0.002,0.945
2.0743629932403564,-0.847,0.419,0.041,0.946
2.0745902061462402,-0.847,0.419,0.041,0.946
2.0773000717163086,-0.851,0.318,0.17,0.924
2.0877041816711426,-0.953,0.21,0.092,0.98
2.097659111022949,-1.08,0.182,0.047,1.096
2.1082470417022705,-1.148,0.219,0.055,1.17
2.11788010597229,-1.007,0.307,0.127,1.06
2.1290221214294434,-0.852,0.374,0.246,0.962
2.138155937194824,-0.797,0.414,0.298,0.946
2.1489529609680176,-0.786,0.449,0.322,0.961
2.1765220165252686,-0.863,0.366,0.232,0.966
2.1767802238464355,-0.863,0.366,0.232,0.966
2.178575038909912,-0.869,0.383,0.173,0.965
2.1879870891571045,-0.965,0.359,0.11,1.035
2.1984241008758545,-0.997,0.413,0.028,1.08
2.208872079849243,-0.949,0.459,-0.094,1.058
2.218564033508301,-0.95,0.433,-0.189,1.061
2.2289528846740723,-0.975,0.368,-0.245,1.071
2.2392349243164062,-0.942,0.378,-0.271,1.051
2.2495789527893066,-0.865,0.443,-0.248,1.003
2.2791051864624023,-0.869,0.46,-0.036,0.984
2.2795801162719727,-0.869,0.46,-0.036,0.984
2.2811031341552734,-0.869,0.46,-0.036,0.984
2.289228916168213,-0.899,0.426,0.012,0.995
2.2994251251220703,-0.862,0.455,0.022,0.975
2.309580087661743,-0.824,0.563,0.006,0.998
2.319157123565674,-0.795,0.528,-0.005,0.954
2.329806089401245,-0.831,0.434,-0.029,0.938
2.339588165283203,-0.896,0.419,-0.008,0.989
2.3495821952819824,-0.907,0.448,0.006,1.012
