time,gFx,gFy,gFz,gFTotal
0.010068893432617188,0.103,-0.121,-0.89,0.904
0.018440961837768555,0.091,-0.147,-0.758,0.777
0.02864694595336914,0.075,-0.222,-0.775,0.81
0.03875589370727539,0.072,-0.23,-0.929,0.96
0.048573970794677734,0.136,-0.206,-1.06,1.088
0.07014608383178711,0.255,-0.178,-1.024,1.07
0.07034707069396973,0.255,-0.178,-1.024,1.07
0.07878303527832031,0.138,-0.143,-1.014,1.033
0.08899903297424316,-0.008,-0.218,-1.028,1.051
0.09895086288452148,0.088,-0.167,-0.995,1.013
0.10924100875854492,0.179,-0.031,-1.005,1.021
0.11900615692138672,0.247,-0.092,-0.999,1.033
0.12979412078857422,0.225,-0.134,-0.953,0.988
0.1395559310913086,0.226,-0.149,-0.903,0.943
0.14962196350097656,0.252,-0.181,-0.916,0.967
0.16403698921203613,0.282,-0.223,-0.995,1.058
0.17912602424621582,0.331,-0.332,-1.153,1.245
0.18050384521484375,0.331,-0.332,-1.153,1.245
0.19127511978149414,0.336,-0.325,-1.118,1.212
0.19960784912109375,0.34,-0.337,-0.958,1.071
0.2098829746246338,0.351,-0.358,-0.791,0.937
0.22007298469543457,0.23,-0.355,-0.756,0.866
0.2301959991455078,0.208,-0.259,-0.843,0.906
0.2405109405517578,0.106,-0.244,-0.672,0.723
0.25013303756713867,0.219,-0.236,-0.515,0.607
0.2795381546020508,0.354,-0.192,-1.487,1.541
0.28018999099731445,0.354,-0.192,-1.487,1.541
0.2817649841308594,0.354,-0.192,-1.487,1.541
0.2903308868408203,0.368,-0.387,-1.782,1.86
0.30067896842956543,0.308,-0.25,-0.994,1.07
0.3108789920806885,0.356,-0.269,-0.836,0.948
0.3212919235229492,0.463,-0.418,-0.95,1.136
0.33155012130737305,0.3,-0.457,-0.9,1.053
0.3417530059814453,0.148,-0.347,-0.801,0.885
0.3512849807739258,0.144,-0.305,-0.909,0.97
0.37624096870422363,0.145,-0.24,-1.09,1.125
0.3764770030975342,0.145,-0.24,-1.09,1.125
0.38052892684936523,0.204,-0.243,-0.99,1.04
0.39138197898864746,0.215,-0.295,-1.021,1.084
0.40090203285217285,0.169,-0.362,-1.081,1.152
0.4116649627685547,0.119,-0.391,-0.919,1.006
0.4215259552001953,-0.044,-0.424,-0.88,0.978
0.4316070079803467,-0.156,-0.466,-1.262,1.354
