time,gFx,gFy,gFz,gFTotal
0.009601116180419922,-0.391,0.351,-0.806,0.962
0.01519012451171875,-0.351,0.307,-0.834,0.956
0.03354597091674805,-0.337,0.264,-0.9,0.997
0.03486299514770508,-0.35,0.219,-0.942,1.029
0.044913291931152344,-0.348,0.206,-0.901,0.988
0.05522727966308594,-0.342,0.213,-0.808,0.903
0.06650924682617188,-0.351,0.212,-0.825,0.921
0.07628607749938965,-0.367,0.179,-0.936,1.021
0.08613204956054688,-0.375,0.131,-0.979,1.057
0.09668111801147461,-0.38,0.134,-0.952,1.034
0.10643315315246582,-0.364,0.185,-0.959,1.042
0.11643600463867188,-0.375,0.233,-0.932,1.031
0.14580416679382324,-0.454,0.195,-0.784,0.927
0.14595413208007812,-0.454,0.195,-0.784,0.927
0.14609003067016602,-0.454,0.195,-0.784,0.927
0.1560680866241455,-0.425,0.159,-0.799,0.919
0.16551518440246582,-0.429,0.091,-0.859,0.964
0.17591428756713867,-0.375,0.075,-0.852,0.934
0.18568706512451172,-0.251,0.184,-0.891,0.944
0.19598722457885742,-0.179,0.303,-0.983,1.044
0.20624709129333496,-0.235,0.37,-1.011,1.102
0.2157750129699707,-0.321,0.348,-1.009,1.115
0.24344301223754883,-0.455,0.253,-1.297,1.398
0.24376296997070312,-0.455,0.253,-1.297,1.398
0.24453020095825195,-0.455,0.253,-1.297,1.398
0.2559211254119873,-0.491,0.187,-1.413,1.508
0.26497817039489746,-0.503,0.08,-1.271,1.369
0.27541399002075195,-0.374,0.068,-0.834,0.917
0.2852511405944824,0.267,0.538,-0.971,1.142
0.2950150966644287,0.667,0.932,-0.81,1.403
0.30579423904418945,0.129,0.365,-0.013,0.387
0.31516599655151367,-0.288,-0.123,-0.386,0.497
0.3419930934906006,-0.379,0.113,-0.95,1.029
0.34212827682495117,-0.379,0.113,-0.95,1.029
0.34323596954345703,-0.403,0.236,-0.601,0.761
0.3552541732788086,-0.332,0.327,-0.564,0.732
0.3643951416015625,-0.276,0.327,-0.533,0.684
0.37539100646972656,-0.319,0.295,-0.48,0.647
0.38446998596191406,-0.363,0.287,-0.547,0.716
0.39469408988952637,-0.311,0.278,-0.719,0.831
0.4051361083984375,-0.241,0.263,-0.731,0.813
0.4147830009460449,-0.271,0.3,-0.699,0.807
0.44547009468078613,-0.193,0.647,-0.704,0.975
0.4456820487976074,-0.193,0.647,-0.704,0.975
0.44588518142700195,-0.193,0.647,-0.704,0.975
0.45437002182006836,-0.07,0.669,-0.727,0.99
0.46445226669311523,-0.044,0.685,-0.701,0.981
0.4747161865234375,-0.005,0.771,-0.576,0.962
0.4837169647216797,-0.005,0.886,-0.407,0.975
0.4942512512207031,-0.005,1.01,-0.264,1.044
0.5044760704040527,0.135,1.099,-0.074,1.11
0.5147631168365479,0.284,1.163,-0.013,1.197
0.5434412956237793,-0.212,1.358,0.485,1.458
0.5436501502990723,-0.212,1.358,0.485,1.458
0.5438611507415771,-0.212,1.358,0.485,1.458
0.553901195526123,-0.548,1.511,0.605,1.717
0.5634291172027588,-0.844,1.631,0.647,1.947
0.5739879608154297,-1.023,1.578,0.911,2.09
0.5840780735015869,-1.227,1.401,1.356,2.304
0.5935173034667969,-1.409,1.185,1.48,2.362
0.6037850379943848,-1.512,1.135,1.47,2.395
0.6136181354522705,-1.534,1.397,1.366,2.484
0.640498161315918,-1.29,1.53,0.737,2.133
0.6407232284545898,-1.29,1.53,0.737,2.133
0.6419661045074463,-1.024,1.051,0.686,1.62
0.6516580581665039,-0.857,0.725,0.64,1.292
0.6630191802978516,-0.706,0.8,0.53,1.191
0.6728792190551758,-0.555,0.998,0.575,1.279
0.6828780174255371,-0.401,0.979,0.796,1.324
0.6931653022766113,-0.347,0.943,0.733,1.244
0.7027339935302734,-0.388,0.985,0.383,1.126
0.7130541801452637,-0.491,1.015,0.111,1.133
0.7397942543029785,-0.682,1.022,-0.047,1.23
0.739933967590332,-0.682,1.022,-0.047,1.23
0.7412452697753906,-0.707,0.958,-0.064,1.192
0.7526271343231201,-0.717,0.887,0.003,1.141
0.7624721527099609,-0.761,0.829,0.07,1.128
0.7727642059326172,-0.795,0.786,0.084,1.121
0.7826642990112305,-0.785,0.781,0.083,1.11
0.7925341129302979,-0.734,0.765,0.092,1.064
0.8020939826965332,-0.669,0.734,0.052,0.994
0.8124861717224121,-0.724,0.641,0.006,0.967
0.8432250022888184,-0.412,0.61,-0.016,0.736
0.8434829711914062,-0.412,0.61,-0.016,0.736
0.843696117401123,-0.412,0.61,-0.016,0.736
0.8507630825042725,-0.479,0.716,0.066,0.864
0.8623111248016357,-0.608,0.765,-0.047,0.978
0.8722162246704102,-0.754,0.615,-0.172,0.988
0.8819742202758789,-0.844,0.421,-0.298,0.989
0.8922741413116455,-0.747,0.269,-0.321,0.856
0.9019379615783691,-0.651,0.312,-0.189,0.746
0.9123001098632812,-0.647,0.462,0.018,0.795
0.9414782524108887,-0.525,0.372,0.048,0.645
0.9416921138763428,-0.525,0.372,0.048,0.645
0.9418940544128418,-0.525,0.372,0.048,0.645
0.9515581130981445,-0.622,0.432,-0.076,0.761
0.9614882469177246,-0.878,0.506,-0.297,1.056
0.9716272354125977,-0.991,0.594,-0.387,1.218
0.9814231395721436,-1.01,0.649,-0.352,1.251
0.9914391040802002,-1.008,0.592,-0.3,1.207
1.0014052391052246,-0.923,0.429,-0.171,1.032
1.0116682052612305,-0.793,0.263,0.015,0.836
1.0410561561584473,-0.734,0.19,-0.013,0.758
1.0412802696228027,-0.734,0.19,-0.013,0.758
1.041485071182251,-0.734,0.19,-0.013,0.758
1.0494871139526367,-0.815,0.245,-0.189,0.872
1.0614542961120605,-0.843,0.397,-0.389,1.01
1.070857048034668,-0.895,0.442,-0.303,1.043
1.080522060394287,-0.844,0.354,-0.101,0.921
1.091017246246338,-0.775,0.284,0.029,0.826
1.100973129272461,-0.732,0.237,0.193,0.793
1.1104860305786133,-0.723,0.214,0.316,0.818
1.1361770629882812,-0.764,0.145,0.182,0.799
1.1363260746002197,-0.764,0.145,0.182,0.799
1.1390032768249512,-0.714,0.084,0.077,0.723
1.1489810943603516,-0.639,0.05,0.043,0.642
1.160581111907959,-0.635,0.062,-0.003,0.638
1.1702470779418945,-0.739,0.068,-0.088,0.747
1.1802282333374023,-0.855,0.103,-0.123,0.87
1.191035270690918,-0.942,0.242,-0.192,0.991
1.2002930641174316,-1.007,0.258,-0.232,1.065
1.21038818359375,-0.958,0.106,-0.206,0.986
1.2439610958099365,-1.167,0.287,-0.007,1.202
1.2443232536315918,-1.167,0.287,-0.007,1.202
1.244554042816162,-1.167,0.287,-0.007,1.202
1.2483701705932617,-1.21,-0.066,0.023,1.212
1.2601432800292969,-1.081,0.109,0.169,1.1
1.2696630954742432,-0.93,0.488,0.331,1.101
