time,gFx,gFy,gFz,gFTotal
0.005754947662353516,0.106,-0.146,-1.004,1.02
0.012908935546875,0.096,-0.122,-0.964,0.976
0.02420186996459961,0.084,-0.113,-0.981,0.991
0.034689903259277344,0.068,-0.143,-0.958,0.971
0.05820608139038086,0.093,-0.202,-0.901,0.928
0.05835700035095215,0.093,-0.202,-0.901,0.928
0.06246185302734375,0.111,-0.226,-0.911,0.945
0.07253217697143555,0.114,-0.25,-0.936,0.975
0.08279991149902344,0.107,-0.241,-0.957,0.993
0.09392309188842773,0.106,-0.229,-0.974,1.006
0.10373806953430176,0.101,-0.234,-0.938,0.972
0.11421799659729004,0.103,-0.235,-0.932,0.967
0.12373018264770508,0.104,-0.23,-0.955,0.988
0.13466691970825195,0.078,-0.206,-0.959,0.984
0.16416311264038086,-0.015,-0.227,-0.875,0.904
0.16431188583374023,-0.015,-0.227,-0.875,0.904
0.1644449234008789,-0.015,-0.227,-0.875,0.904
0.17219209671020508,-0.048,-0.17,-0.758,0.778
0.1836991310119629,-0.065,-0.136,-0.694,0.71
0.19364500045776367,-0.071,-0.124,-0.693,0.708
0.20315217971801758,-0.071,-0.136,-0.8,0.815
0.2137620449066162,-0.09,-0.176,-0.909,0.93
0.22323203086853027,-0.128,-0.219,-0.931,0.965
0.23379087448120117,-0.15,-0.255,-0.978,1.022
0.2620711326599121,-0.301,-0.237,-0.847,0.93
0.26221799850463867,-0.301,-0.237,-0.847,0.93
0.26235294342041016,-0.301,-0.237,-0.847,0.93
0.2714200019836426,-0.384,-0.219,-0.731,0.854
0.2815539836883545,-0.372,-0.208,-0.599,0.735
0.2927250862121582,-0.227,-0.163,-0.51,0.582
0.3023209571838379,-0.047,-0.077,-0.485,0.493
0.3127410411834717,0.088,0.034,-0.642,0.649
0.3225221633911133,0.235,0.164,-0.921,0.965
0.3320960998535156,0.046,0.022,-0.675,0.677
0.3641681671142578,-0.427,-0.042,-0.726,0.843
0.36437296867370605,-0.427,-0.042,-0.726,0.843
0.36450910568237305,-0.427,-0.042,-0.726,0.843
0.3708980083465576,-0.58,0.082,-0.944,1.111
0.3827948570251465,-0.419,0.119,-0.657,0.788
0.3921928405761719,-0.19,0.053,-0.343,0.396
0.4023289680480957,-0.213,0.041,-0.313,0.381
0.4121570587158203,-0.412,0.105,-0.394,0.58
0.4220709800720215,-0.5,0.178,-0.466,0.706
0.4323570728302002,-0.443,0.193,-0.476,0.678
0.45947694778442383,-0.321,0.239,-0.505,0.644
0.459658145904541,-0.321,0.239,-0.505,0.644
0.46056199073791504,-0.319,0.286,-0.516,0.671
0.47025585174560547,-0.384,0.324,-0.536,0.735
0.48033809661865234,-0.483,0.356,-0.517,0.792
0.49192190170288086,-0.602,0.397,-0.434,0.842
0.5017759799957275,-0.751,0.405,-0.353,0.923
0.5114941596984863,-0.86,0.404,-0.235,0.979
0.5221719741821289,-0.923,0.418,-0.109,1.019
0.5319571495056152,-0.949,0.44,-0.046,1.047
0.5626580715179443,-0.999,0.549,-0.107,1.145
0.5628030300140381,-0.999,0.549,-0.107,1.145
0.5629339218139648,-0.999,0.549,-0.107,1.145
0.5696799755096436,-1.057,0.588,-0.16,1.22
0.581779956817627,-1.147,0.635,-0.186,1.324
0.5907158851623535,-1.222,0.679,-0.158,1.407
0.6014561653137207,-1.351,0.747,-0.08,1.546
0.6109271049499512,-1.441,0.788,0.048,1.643
0.6209101676940918,-1.475,0.782,0.18,1.679
0.6327390670776367,-1.47,0.745,0.293,1.674
0.6599040031433105,-1.483,0.746,0.636,1.778
0.6600508689880371,-1.483,0.746,0.636,1.778
0.660181999206543,-1.483,0.746,0.636,1.778
0.6694068908691406,-1.487,0.818,0.743,1.853
0.6792030334472656,-1.489,0.808,0.848,1.894
0.6908910274505615,-1.464,0.758,0.919,1.887
0.7009801864624023,-1.409,0.714,0.93,1.833
0.7104048728942871,-1.34,0.701,0.891,1.755
0.7208938598632812,-1.283,0.702,0.918,1.727
0.7310559749603271,-1.225,0.669,0.841,1.63
0.7607531547546387,-1.05,0.64,0.612,1.374
0.7609081268310547,-1.05,0.64,0.612,1.374
0.7610430717468262,-1.05,0.64,0.612,1.374
0.7686018943786621,-0.99,0.66,0.517,1.297
0.780357837677002,-0.917,0.652,0.419,1.201
0.7898139953613281,-0.843,0.668,0.333,1.126
0.8004131317138672,-0.769,0.703,0.237,1.069
0.8099770545959473,-0.737,0.693,0.178,1.027
0.8199949264526367,-0.745,0.667,0.169,1.014
0.8302421569824219,-0.754,0.649,0.185,1.012
0.8591160774230957,-0.956,0.723,0.263,1.227
0.8592610359191895,-0.956,0.723,0.263,1.227
0.8593931198120117,-0.956,0.723,0.263,1.227
0.8682680130004883,-1.028,0.765,0.321,1.321
0.8782968521118164,-1.057,0.785,0.322,1.355
0.8898048400878906,-1.045,0.792,0.316,1.349
0.8995909690856934,-0.963,0.759,0.311,1.265
0.9094099998474121,-0.851,0.738,0.269,1.158
0.9196629524230957,-0.742,0.731,0.203,1.061
0.9298281669616699,-0.665,0.748,0.106,1.006
0.9591970443725586,-0.579,0.769,-0.13,0.971
0.9593460559844971,-0.579,0.769,-0.13,0.971
0.9594821929931641,-0.579,0.769,-0.13,0.971
0.9674849510192871,-0.547,0.788,-0.219,0.984
0.9778060913085938,-0.535,0.823,-0.29,1.024
0.9891879558563232,-0.565,0.857,-0.309,1.072
0.9991989135742188,-0.557,0.821,-0.303,1.037
1.0088210105895996,-0.572,0.767,-0.261,0.992
1.0193371772766113,-0.626,0.696,-0.176,0.953
1.029789924621582,-0.615,0.576,-0.034,0.843
1.0605201721191406,-0.628,0.501,0.199,0.828
1.0606679916381836,-0.628,0.501,0.199,0.828
1.0607991218566895,-0.628,0.501,0.199,0.828
1.0669341087341309,-0.592,0.515,0.147,0.798
1.078618049621582,-0.556,0.504,0.107,0.758
1.0884029865264893,-0.507,0.466,0.089,0.694
1.098330020904541,-0.47,0.421,0.067,0.635
1.1082768440246582,-0.488,0.418,0.04,0.644
1.1185269355773926,-0.526,0.386,0.062,0.655
1.1281390190124512,-0.528,0.251,0.12,0.597
1.1607110500335693,-0.634,0.02,0.076,0.639
1.1608591079711914,-0.634,0.02,0.076,0.639
1.1609978675842285,-0.634,0.02,0.076,0.639
1.1662769317626953,-0.704,0.09,0.07,0.713
1.1768100261688232,-0.792,0.221,0.08,0.826
1.1882071495056152,-0.844,0.312,0.062,0.902
1.197707176208496,-0.843,0.312,0.067,0.901
1.2079100608825684,-0.827,0.084,0.068,0.834
1.2183599472045898,-0.745,-0.052,0.048,0.748
1.227658987045288,-0.665,0.063,0.074,0.672
1.25999116897583,-0.614,0.527,0.162,0.825
1.260138988494873,-0.614,0.527,0.162,0.825
1.2602801322937012,-0.614,0.527,0.162,0.825
1.2658591270446777,-0.601,0.715,0.164,0.948
1.277174949645996,-0.599,0.9,0.14,1.09
1.28745698928833,-0.647,1.045,0.092,1.233
1.297389030456543,-0.705,1.167,-0.005,1.363
1.3075718879699707,-0.766,1.247,-0.166,1.473
1.317512035369873,-0.78,1.243,-0.28,1.494
1.3272080421447754,-0.775,1.274,-0.324,1.526
1.35886812210083,-0.619,1.372,-0.172,1.515
1.3590130805969238,-0.619,1.372,-0.172,1.515
1.3591480255126953,-0.619,1.372,-0.172,1.515
1.365830898284912,-0.531,1.101,-0.04,1.223
1.3770790100097656,-0.529,0.97,0.033,1.105
1.3867988586425781,-0.547,0.862,0.039,1.022
1.3970890045166016,-0.551,0.748,0.019,0.929
1.4070348739624023,-0.545,0.662,-0.016,0.858
1.4170150756835938,-0.535,0.631,-0.037,0.828
1.4268419742584229,-0.521,0.565,-0.015,0.769
1.4586181640625,-0.425,0.327,0.049,0.538
1.4587650299072266,-0.425,0.327,0.049,0.538
1.458899974822998,-0.425,0.327,0.049,0.538
1.4649438858032227,-0.33,0.391,0.032,0.513
1.476294994354248,-0.253,0.46,-0.031,0.526
1.4862298965454102,-0.199,0.457,-0.011,0.499
1.4964430332183838,-0.139,0.408,0.073,0.437
1.5063438415527344,-0.13,0.483,0.077,0.506
1.51664400100708,-0.182,0.662,0.02,0.687
1.5261330604553223,-0.229,0.832,0.001,0.863
1.5579581260681152,-0.26,1.511,-0.176,1.543
1.5581040382385254,-0.26,1.511,-0.176,1.543
1.5582399368286133,-0.26,1.511,-0.176,1.543
1.5643281936645508,-0.206,1.769,-0.205,1.793
1.5745980739593506,-0.1,1.995,-0.269,2.016
1.58656907081604,0.028,2.151,-0.345,2.179
1.596747875213623,0.166,2.181,-0.328,2.212
1.6055350303649902,0.278,2.026,-0.274,2.063
1.6159400939941406,0.359,1.744,-0.206,1.792
1.6252939701080322,0.397,1.444,-0.139,1.504
1.6548328399658203,0.413,0.836,0.011,0.933
1.6549830436706543,0.413,0.836,0.011,0.933
1.655116081237793,0.413,0.836,0.011,0.933
1.663611888885498,0.422,0.731,0.031,0.845
1.673832893371582,0.44,0.666,0.05,0.8
