time,gFx,gFy,gFz,gFTotal
0.00553584098815918,0.15,-0.569,-0.696,0.911
0.01689291000366211,0.153,-0.563,-0.722,0.928
0.04256296157836914,0.178,-0.606,-0.775,1.0
0.04271888732910156,0.178,-0.606,-0.775,1.0
0.04530477523803711,0.177,-0.633,-0.786,1.025
0.05521202087402344,0.18,-0.636,-0.796,1.035
0.06511092185974121,0.18,-0.632,-0.795,1.031
0.07520890235900879,0.178,-0.621,-0.788,1.019
0.08690500259399414,0.177,-0.605,-0.779,1.002
0.09635496139526367,0.182,-0.594,-0.775,0.993
0.10639572143554688,0.187,-0.599,-0.784,1.004
0.11633777618408203,0.193,-0.615,-0.804,1.03
0.1461038589477539,0.204,-0.601,-0.813,1.031
0.14625787734985352,0.204,-0.601,-0.813,1.031
0.14639997482299805,0.204,-0.601,-0.813,1.031
0.15447783470153809,0.196,-0.591,-0.808,1.02
0.16620087623596191,0.19,-0.586,-0.798,1.008
0.17618489265441895,0.184,-0.585,-0.794,1.003
0.18623876571655273,0.181,-0.581,-0.802,1.007
0.1960468292236328,0.185,-0.577,-0.807,1.009
0.20630288124084473,0.194,-0.58,-0.807,1.013
0.21572303771972656,0.203,-0.583,-0.806,1.015
0.2465968132019043,0.202,-0.593,-0.821,1.033
0.2467498779296875,0.202,-0.593,-0.821,1.033
0.2468888759613037,0.202,-0.593,-0.821,1.033
0.25409984588623047,0.199,-0.596,-0.824,1.036
0.2639179229736328,0.198,-0.59,-0.815,1.025
0.2759218215942383,0.2,-0.577,-0.801,1.007
0.2852208614349365,0.204,-0.565,-0.796,0.997
0.29566478729248047,0.211,-0.554,-0.793,0.99
0.305189847946167,0.211,-0.553,-0.781,0.98
0.31562089920043945,0.204,-0.559,-0.786,0.986
0.3476567268371582,0.234,-0.567,-0.825,1.028
0.3478116989135742,0.234,-0.567,-0.825,1.028
0.3479499816894531,0.234,-0.567,-0.825,1.028
0.3535478115081787,0.248,-0.572,-0.828,1.036
0.36377787590026855,0.254,-0.572,-0.822,1.033
0.3753519058227539,0.246,-0.565,-0.805,1.014
0.38461780548095703,0.231,-0.558,-0.789,0.994
0.39498281478881836,0.22,-0.559,-0.786,0.989
0.4050018787384033,0.213,-0.567,-0.774,0.983
0.41534996032714844,0.194,-0.585,-0.757,0.976
0.4464759826660156,0.151,-0.583,-0.786,0.99
0.4466269016265869,0.151,-0.583,-0.786,0.99
0.44676780700683594,0.151,-0.583,-0.786,0.99
0.45287370681762695,0.127,-0.55,-0.726,0.92
0.46314573287963867,0.072,-0.502,-0.785,0.935
0.4750058650970459,0.003,-0.452,-0.848,0.961
0.48436880111694336,-0.065,-0.38,-0.813,0.9
0.49431681632995605,-0.072,-0.343,-0.765,0.841
0.5049748420715332,-0.071,-0.353,-0.753,0.835
0.5145068168640137,-0.077,-0.388,-0.721,0.822
0.5459489822387695,0.044,-0.564,-0.558,0.795
0.5460958480834961,0.044,-0.564,-0.558,0.795
0.5462279319763184,0.044,-0.564,-0.558,0.795
0.5524218082427979,0.084,-0.603,-0.556,0.825
0.5625929832458496,0.116,-0.677,-0.436,0.814
0.5744078159332275,0.139,-0.714,-0.068,0.731
0.583770751953125,0.152,-0.705,0.012,0.721
0.5940017700195312,0.214,-0.579,0.143,0.634
0.6039319038391113,0.334,-0.398,-0.172,0.547
0.614250898361206,0.729,-0.212,-1.792,1.946
0.6439337730407715,-0.109,-0.331,-0.683,0.767
0.6440830230712891,-0.109,-0.331,-0.683,0.767
0.6442170143127441,-0.109,-0.331,-0.683,0.767
0.6517999172210693,-0.095,-0.351,-0.763,0.845
0.6620588302612305,-0.245,-0.368,-0.539,0.697
0.6733708381652832,-0.259,-0.35,-0.323,0.542
0.6833999156951904,0.209,-0.348,-0.037,0.408
0.6933588981628418,0.455,-0.278,-0.038,0.535
0.7031488418579102,0.288,-0.065,-0.04,0.298
0.7131378650665283,0.154,0.093,-0.128,0.221
0.7421207427978516,0.245,0.243,-0.006,0.345
0.7422957420349121,0.245,0.243,-0.006,0.345
0.7424297332763672,0.245,0.243,-0.006,0.345
0.7513327598571777,0.288,0.371,0.031,0.471
0.7614517211914062,0.282,0.486,0.039,0.563
0.7728099822998047,0.201,0.537,0.015,0.574
0.7828528881072998,0.082,0.572,0.033,0.579
0.7930197715759277,-0.009,0.681,0.198,0.709
0.8025588989257812,-0.125,0.843,0.331,0.914
0.8126308917999268,-0.293,0.963,0.29,1.048
0.8426070213317871,-0.452,1.127,0.107,1.219
0.8427588939666748,-0.452,1.127,0.107,1.219
0.8428928852081299,-0.452,1.127,0.107,1.219
0.8507308959960938,-0.552,1.284,-0.015,1.398
0.8606300354003906,-0.729,1.464,0.007,1.635
0.8707036972045898,-0.937,1.619,0.231,1.885
0.882476806640625,-1.103,1.699,0.526,2.093
0.8923807144165039,-1.291,1.723,0.827,2.306
0.9019169807434082,-1.544,1.674,1.139,2.546
0.9125118255615234,-1.757,1.551,1.395,2.727
0.94439697265625,-2.017,1.253,1.526,2.823
0.9445466995239258,-2.017,1.253,1.526,2.823
0.9446828365325928,-2.017,1.253,1.526,2.823
0.9506738185882568,-1.933,1.294,1.229,2.631
0.9603867530822754,-1.846,1.339,0.859,2.437
0.9705548286437988,-1.781,1.474,0.547,2.376
0.9821200370788574,-1.742,1.617,0.476,2.424
0.9919238090515137,-1.735,1.636,0.659,2.474
1.0015697479248047,-1.805,1.639,0.922,2.607
1.012077808380127,-2.021,1.73,1.149,2.898
1.0443358421325684,-2.385,1.73,1.24,3.197
1.0444858074188232,-2.385,1.73,1.24,3.197
1.044618844985962,-2.385,1.73,1.24,3.197
1.0501768589019775,-2.203,1.562,1.021,2.887
1.0607967376708984,-1.968,1.433,0.778,2.556
1.071488857269287,-1.739,1.349,0.572,2.274
1.0812458992004395,-1.554,1.271,0.467,2.061
1.0916566848754883,-1.391,1.11,0.485,1.845
1.1009259223937988,-1.259,1.006,0.546,1.702
1.1111550331115723,-1.219,0.986,0.563,1.666
1.1425278186798096,-0.421,0.834,1.0,1.369
1.142676830291748,-0.421,0.834,1.0,1.369
1.1428108215332031,-0.421,0.834,1.0,1.369
1.149096965789795,0.015,0.678,0.972,1.185
1.1594908237457275,0.034,0.723,0.624,0.956
1.1707048416137695,-0.374,0.901,0.128,0.984
1.1812467575073242,-0.578,0.897,-0.445,1.156
1.1907567977905273,-0.529,0.664,-0.85,1.201
1.200711727142334,-0.425,0.379,-0.757,0.947
1.2108349800109863,-0.382,0.55,-0.522,0.849
1.2418327331542969,-0.276,0.518,-0.095,0.595
1.2419829368591309,-0.276,0.518,-0.095,0.595
1.242116928100586,-0.276,0.518,-0.095,0.595
1.2487218379974365,-0.305,0.471,-0.205,0.597
1.2591090202331543,-0.337,0.544,-0.4,0.755
1.270582914352417,-0.359,0.568,-0.627,0.919
1.2802808284759521,-0.364,0.512,-0.774,0.997
1.2899727821350098,-0.412,0.45,-0.743,0.961
